date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-10-03,1.75,1.9,1.75,1.875,1.86686056607,3875700,0.0,1.0
2003-10-06,1.89625,1.98625,1.87875,1.97375,1.96518188922,383600,0.0,1.0
2003-10-07,1.95625,2.075,1.95625,2.03125,2.02243227991,423900,0.0,1.0
2003-10-08,2.04375,2.04375,1.975,2.0125,2.00376367425,398900,0.0,1.0
2003-10-09,1.98875,2.0125,1.95,1.95,1.94153498871,152800,0.0,1.0
2003-10-10,1.95,1.992375,1.89375,1.9275,1.91913266192,333500,0.0,1.0
2003-10-13,1.935,1.935,1.90625,1.91375,1.9054423511,189000,0.0,1.0
2003-10-14,1.92125,2.08125,1.91375,2.0375,2.02865514846,267500,0.0,1.0
2003-10-15,2.03875,2.115,2.0,2.00125,1.99256251085,98100,0.0,1.0
2003-10-16,2.0175,2.03125,2.0,2.0125,2.00376367425,48300,0.0,1.0
2003-10-17,2.00125,2.0075,1.98125,1.98125,1.97264933148,200200,0.0,1.0
2003-10-20,1.9975,2.0025,1.97,1.99375,1.98509506859,168500,0.0,1.0
2003-10-21,1.98625,1.9975,1.9825,1.99375,1.98509506859,110600,0.0,1.0
2003-10-22,2.0,2.0,1.975,1.98,1.97140475777,88800,0.0,1.0
2003-10-23,1.97,1.97,1.91875,1.9375,1.92908925161,114800,0.0,1.0
2003-10-24,1.9325,2.0,1.9325,1.99125,1.98260592117,202000,0.0,1.0
2003-10-27,1.999875,2.075,1.96875,2.0,1.99131793714,99900,0.0,1.0
2003-10-28,2.05,2.075,1.96,1.97875,1.97016018406,202300,0.0,1.0
2003-10-29,1.971375,2.0275,1.95625,2.0125,2.00376367425,205700,0.0,1.0
2003-10-30,2.0125,2.1175,2.0,2.075,2.06599235978,132500,0.0,1.0
2003-10-31,2.08125,2.1625,2.075,2.1625,2.15311251953,182300,0.0,1.0
2003-11-03,2.1625,2.23375,2.13375,2.18875,2.17924856746,95300,0.0,1.0
2003-11-04,2.21375,2.21375,2.125,2.15375,2.14440050356,100500,0.0,1.0
2003-11-05,2.12375,2.13125,2.0875,2.125,2.11577530821,8100,0.0,1.0
2003-11-06,2.1225,2.125,2.0825,2.11,2.10084042368,48000,0.0,1.0
2003-11-07,2.125,2.125,2.08875,2.125,2.11577530821,27300,0.0,1.0
2003-11-10,2.085,2.1375,2.085,2.11875,2.10955243966,61800,0.0,1.0
2003-11-11,2.09375,2.125,2.09375,2.125,2.11577530821,114500,0.0,1.0
2003-11-12,2.1,2.14875,2.0875,2.12375,2.1145307345,74800,0.0,1.0
2003-11-13,2.0875,2.124875,2.07625,2.0775,2.06848150721,15100,0.0,1.0
2003-11-14,2.07625,2.1,2.07625,2.0925,2.08341639173,249400,0.0,1.0
2003-11-17,2.09375,2.10625,2.05,2.05125,2.04234545928,231900,0.0,1.0
2003-11-18,2.05125,2.0625,2.0375,2.0375,2.02865514846,12200,0.0,1.0
2003-11-19,2.03375,2.08,2.025,2.0625,2.05354662268,44300,0.0,1.0
2003-11-20,2.0625,2.074875,2.03125,2.05625,2.04732375412,107800,0.0,1.0
2003-11-21,2.03125,2.075,2.025,2.075,2.06599235978,24900,0.0,1.0
2003-11-24,2.075,2.0875,2.05,2.0875,2.07843809689,26000,0.0,1.0
2003-11-25,2.1,2.15,2.0625,2.09375,2.08466096545,38700,0.0,1.0
2003-11-26,2.11,2.24375,2.0875,2.225,2.21534120507,73800,0.0,1.0
2003-11-28,2.225,2.23125,2.175,2.2125,2.20289546796,5200,0.0,1.0
2003-12-01,2.2375,2.25,2.1875,2.25,2.24023267928,29200,0.0,1.0
2003-12-02,2.1875,2.25,2.1875,2.20625,2.19667259941,37500,0.0,1.0
2003-12-03,2.22625,2.23125,2.18875,2.23,2.22031949991,22800,0.0,1.0
2003-12-04,2.225,2.24625,2.21875,2.24625,2.23649895815,128600,0.0,1.0
2003-12-05,2.21875,2.275,2.21875,2.22,2.21036291023,50400,0.0,1.0
2003-12-08,2.24375,2.24375,2.1125,2.1125,2.10332957111,28500,0.0,1.0
2003-12-09,2.19375,2.19375,1.95375,2.00625,1.9975408057,68800,0.0,1.0
2003-12-10,2.0075,2.0575,2.0,2.037375,2.02853069109,14900,0.0,1.0
2003-12-11,2.03125,2.1425,2.0,2.1125,2.10332957111,31200,0.0,1.0
2003-12-12,2.10125,2.175,2.09875,2.1675,2.15809081438,104700,0.0,1.0
2003-12-15,2.10125,2.2125,2.10125,2.15625,2.14688965098,30700,0.0,1.0
2003-12-16,2.1575,2.225,2.1575,2.20875,2.19916174683,26000,0.0,1.0
2003-12-17,2.1625,2.26125,2.1625,2.25,2.24023267928,24900,0.0,1.0
2003-12-18,2.25625,2.25625,2.2275,2.25,2.24023267928,5100,0.0,1.0
2003-12-19,2.20875,2.25,2.20875,2.25,2.24023267928,65000,0.0,1.0
2003-12-22,2.18875,2.25625,2.18875,2.25,2.24023267928,9600,0.0,1.0
2003-12-23,2.25,2.28125,2.245,2.275,2.2651241535,24700,0.0,1.0
2003-12-24,2.2875,2.2875,2.245,2.28125,2.27134702205,9200,0.0,1.0
2003-12-26,2.275,2.28125,2.275,2.28125,2.27134702205,400,0.0,1.0
2003-12-29,2.24375,2.28625,2.24375,2.28125,2.27134702205,27800,0.0,1.0
2003-12-30,2.24625,2.3125,2.235,2.235,2.22529779476,75300,0.0,1.0
2003-12-31,2.25125,2.26875,2.21625,2.24375,2.23400981073,45000,0.0,1.0
2004-01-02,2.21375,2.25,2.20375,2.215,2.20538461538,17300,0.0,1.0
2004-01-05,2.268625,2.268625,2.2,2.22,2.21036291023,25500,0.0,1.0
2004-01-06,2.19,2.28125,2.19,2.22,2.21036291023,30600,0.0,1.0
2004-01-07,2.25,2.25,2.225,2.24375,2.23400981073,139000,0.0,1.0
2004-01-08,2.225,2.24625,2.175,2.24125,2.23152066331,190200,0.0,1.0
2004-01-09,2.25,2.25625,2.23375,2.24125,2.23152066331,27100,0.0,1.0
2004-01-12,2.2275,2.25,2.2025,2.2375,2.22778694218,146200,0.0,1.0
2004-01-13,2.175,2.24375,2.16375,2.20625,2.19667259941,107400,0.0,1.0
2004-01-14,2.22625,2.23625,2.1875,2.20625,2.19667259941,217100,0.0,1.0
2004-01-15,2.23,2.26375,2.2125,2.26375,2.2539229901,18000,0.0,1.0
2004-01-16,2.26375,2.31125,2.24125,2.2975,2.28752648029,31900,0.0,1.0
2004-01-20,2.27625,2.355,2.2725,2.355,2.34477687098,36500,0.0,1.0
2004-01-21,2.3675,2.55375,2.2675,2.4725,2.46176679979,30500,0.0,1.0
2004-01-22,2.475,2.475,2.43,2.46875,2.45803307866,19900,0.0,1.0
2004-01-23,2.475,2.4875,2.392625,2.448875,2.43824435666,64400,0.0,1.0
2004-01-26,2.459875,2.5,2.44,2.4575,2.44683191526,142900,0.0,1.0
2004-01-27,2.4875,2.4875,2.30625,2.3775,2.36717919778,29200,0.0,1.0
2004-01-28,2.40625,2.40625,2.36,2.375,2.36469005036,53700,0.0,1.0
2004-01-29,2.373625,2.37875,2.3375,2.34,2.32984198646,21500,0.0,1.0
2004-01-30,2.35,2.35,2.296375,2.335,2.32486369161,35700,0.0,1.0
2004-02-02,2.34375,2.34375,2.3125,2.34375,2.33357570759,60300,0.0,1.0
2004-02-03,2.34375,2.34375,2.2875,2.29875,2.288771054,59400,0.0,1.0
2004-02-04,2.341125,2.34375,2.23625,2.26125,2.25143384268,123600,0.0,1.0
2004-02-05,2.3,2.301125,2.2375,2.2375,2.22778694218,48900,0.0,1.0
2004-02-06,2.23625,2.24875,2.125,2.1375,2.12822104532,225000,0.0,1.0
2004-02-09,2.22375,2.22375,2.15875,2.175,2.16555825664,99700,0.0,1.0
2004-02-10,2.21875,2.25,2.1875,2.236125,2.2264179111,33900,0.0,1.0
2004-02-11,2.1875,2.24125,2.1875,2.21125,2.20165089425,16500,0.0,1.0
2004-02-12,2.21875,2.24625,2.1875,2.23375,2.22405322105,33800,0.0,1.0
2004-02-13,2.233125,2.24625,2.2,2.2425,2.23276523702,15000,0.0,1.0
2004-02-17,2.2,2.24,2.2,2.2,2.19044973086,10200,0.0,1.0
2004-02-18,2.237375,2.23875,2.20625,2.237375,2.22766248481,11000,0.0,1.0
2004-02-19,2.2375,2.2375,2.19875,2.201625,2.19206767668,79500,0.0,1.0
2004-02-20,2.175,2.25,2.175,2.2125,2.20289546796,21800,0.0,1.0
2004-02-23,2.1875,2.224875,2.1625,2.18875,2.17924856746,106100,0.0,1.0
2004-02-24,2.20375,2.20375,2.16875,2.20375,2.19418345199,14000,0.0,1.0
2004-02-25,2.19375,2.50375,2.19375,2.48125,2.47047881577,49700,0.0,1.0
2004-02-26,2.4875,2.4875,2.315,2.3825,2.37215749262,41700,0.0,1.0
2004-02-27,2.375,2.42875,2.32375,2.35,2.33979857614,107900,0.0,1.0
2004-03-01,2.325,2.39,2.29875,2.29875,2.288771054,40900,0.0,1.0
2004-03-02,2.36875,2.375,2.24375,2.24375,2.23400981073,30300,0.0,1.0
2004-03-03,2.24125,2.3125,2.2375,2.282625,2.27271605313,37100,0.0,1.0
2004-03-04,2.3125,2.3125,2.28125,2.31125,2.30121679111,16600,0.0,1.0
2004-03-05,2.3,2.3125,2.295,2.295,2.28503733287,54800,0.0,1.0
2004-03-08,2.30625,2.30625,2.2625,2.28625,2.2763253169,16500,0.0,1.0
2004-03-09,2.3,2.3,2.27875,2.2875,2.27756989061,76600,0.0,1.0
2004-03-10,2.275,2.2875,2.225,2.2875,2.27756989061,3400,0.0,1.0
2004-03-11,2.2925,2.29375,2.245,2.2875,2.27756989061,18300,0.0,1.0
2004-03-12,2.29375,2.29375,2.25,2.28,2.27010244834,4700,0.0,1.0
2004-03-15,2.2525,2.28,2.1875,2.19625,2.18671600972,36900,0.0,1.0
2004-03-16,2.23125,2.25,2.15625,2.15625,2.14688965098,52100,0.0,1.0
2004-03-17,2.16,2.23875,2.15875,2.1925,2.18298228859,61900,0.0,1.0
2004-03-18,2.15625,2.182375,2.13375,2.16125,2.15186794582,50200,0.0,1.0
2004-03-19,2.1375,2.1375,2.1,2.11875,2.10955243966,12900,0.0,1.0
2004-03-22,2.0975,2.1075,2.05,2.10125,2.09212840771,110900,0.0,1.0
2004-03-23,2.10625,2.1375,2.0875,2.12125,2.11204158708,109600,0.0,1.0
2004-03-24,2.06875,2.175,2.06875,2.14875,2.13942220872,88600,0.0,1.0
2004-03-25,2.18125,2.18125,2.10875,2.155,2.14564507727,28500,0.0,1.0
2004-03-26,2.138125,2.17,2.05875,2.065,2.0560357701,315000,0.0,1.0
2004-03-29,2.05,2.084375,2.035,2.06375,2.05479119639,65800,0.0,1.0
2004-03-30,2.035,2.15,2.025,2.125,2.11577530821,239700,0.0,1.0
2004-03-31,2.125,2.1875,2.1,2.1875,2.17800399375,285100,0.0,1.0
2004-04-01,2.1875,2.24625,2.15875,2.2,2.19044973086,80300,0.0,1.0
