date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-03-31,51.69,51.95,51.59,51.9,42.5870682428,14200,0.0,1.0
2011-04-01,52.58,52.72,52.53,52.62,43.1778715017,2900,0.0,1.0
2011-04-04,53.78,53.78,53.122,53.74,44.0968987932,10500,0.0,1.0
2011-04-05,53.5,53.56,53.4,53.4214,43.8354683512,3700,0.0,1.0
2011-04-06,53.96,53.968,53.532,53.688,44.054229669,4700,0.0,1.0
2011-04-07,53.9,53.9,53.39,53.59,43.973814781,7400,0.0,1.0
2011-04-08,54.02,54.02,53.51,53.72,44.0804875916,6300,0.0,1.0
2011-04-11,53.89,53.89,52.92,52.93,43.432245127,18500,0.0,1.0
2011-04-12,52.59,52.74,52.26,52.56,43.1286378968,7200,0.0,1.0
2011-04-13,53.19,53.19,52.8508,53.086,43.5602524998,2000,0.0,1.0
2011-04-14,53.19,53.35,53.01,53.25,43.6948243532,4700,0.0,1.0
2011-04-15,53.47,53.62,53.17,53.62,43.9984315834,9700,0.0,1.0
2011-04-18,52.83,52.83,52.24,52.78,43.3091611148,1900,0.0,1.0
2011-04-19,52.81,52.85,52.52,52.7,43.2435163082,3900,0.0,1.0
2011-04-20,53.73,53.78,53.44,53.64,44.0148427851,5300,0.0,1.0
2011-04-21,54.19,54.25,53.92,54.25,44.5153844349,2200,0.0,1.0
2011-04-25,54.26,54.26,53.59,53.69,44.0558707892,1000,0.0,1.0
2011-04-26,53.86,53.89,53.49,53.74,44.0968987932,4300,0.0,1.0
2011-04-27,53.66,53.66,52.673,52.91,43.4158339254,15100,0.0,1.0
2011-04-28,52.502,52.81,52.502,52.65,43.2024883041,1000,0.0,1.0
2011-04-29,52.5168,52.78,52.116,52.7748,43.3048942023,1800,0.0,1.0
2011-05-02,53.34,53.34,52.92,53.01,43.4978899336,5600,0.0,1.0
2011-05-03,52.2,52.28,51.61,51.65,42.3819282224,6600,0.0,1.0
2011-05-04,51.14,51.18,50.88,51.071,41.9068239351,2000,0.0,1.0
2011-05-05,50.72,50.85,50.72,50.85,41.725480157,400,0.0,1.0
2011-05-06,51.82,51.82,51.0191,51.0191,41.8642368668,7700,0.0,1.0
2011-05-09,51.36,51.79,51.19,51.6,42.3409002183,27000,0.0,1.0
2011-05-10,51.73,51.8576,51.73,51.8148,42.5171565239,4900,0.0,1.0
2011-05-11,51.76,51.76,50.86,50.86,41.7336857578,2100,0.0,1.0
