date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,34.69,36.13,34.63,35.63,25.2836055755,4935500,0.0,1.0
1999-11-02,36.63,38.0,36.06,36.25,25.7235672779,6979500,0.0,1.0
1999-11-03,36.38,37.88,36.25,37.69,26.7454138125,5394000,0.0,1.0
1999-11-04,38.0,38.13,37.25,37.69,26.7454138125,4346600,0.0,1.0
1999-11-05,38.0,38.56,37.81,37.88,26.8802407858,4330500,0.0,1.0
1999-11-08,37.94,38.13,36.44,36.94,26.2132020757,3653500,0.0,1.0
1999-11-09,37.06,37.13,35.13,35.13,24.9287977509,4272900,0.0,1.0
1999-11-10,35.0,35.69,34.94,35.38,25.1062016632,4304100,0.0,1.0
1999-11-11,35.5,36.75,35.44,36.75,26.0783751024,3099500,0.0,1.0
1999-11-12,36.44,36.63,35.75,36.13,25.6384134,2183500,0.0,1.0
1999-11-15,36.13,37.44,35.75,37.25,26.4331829269,3049300,0.0,1.0
1999-11-16,37.19,38.69,37.19,38.38,27.2350486103,4048400,0.0,1.0
1999-11-17,38.88,39.44,38.44,39.0,27.6750103127,4650800,0.0,1.0
1999-11-18,39.13,40.19,38.75,39.88,28.2994720839,6013000,0.0,1.0
1999-11-19,39.69,39.69,38.56,38.69,27.4550294615,3505400,0.0,1.0
1999-11-22,38.94,39.63,37.69,39.0,27.6750103127,3393000,0.0,1.0
1999-11-23,39.06,39.25,37.44,38.0,26.9653946637,3708100,0.0,1.0
1999-11-24,38.25,39.69,38.0,38.63,27.4124525226,2598900,0.0,1.0
1999-11-26,39.19,39.88,38.69,38.88,27.5898564348,932900,0.0,1.0
1999-11-29,38.5,38.88,38.0,38.44,27.2776255493,2136200,0.0,1.0
1999-11-30,38.0,39.25,37.75,38.81,27.5401833394,2424800,0.0,1.0
1999-12-01,38.5,38.81,37.88,38.0,26.9653946637,2539000,0.0,1.0
1999-12-02,38.25,40.0,38.19,39.43,27.9801450418,4110900,0.0,1.0
1999-12-03,40.19,40.56,39.81,39.94,28.3420490228,5259500,0.0,1.0
1999-12-06,39.69,39.94,38.75,39.0,27.6750103127,2897600,0.0,1.0
1999-12-07,38.75,38.75,36.0,36.69,26.0357981634,5792600,0.0,1.0
1999-12-08,37.0,37.38,36.38,36.5,25.9009711901,3381400,0.0,1.0
1999-12-09,36.94,37.0,35.38,36.63,25.9932212245,3101500,0.0,1.0
1999-12-10,37.5,37.5,35.69,36.06,25.5887403045,2630200,0.0,1.0
1999-12-13,35.56,35.88,34.5,34.94,24.7939707776,3321500,0.0,1.0
1999-12-14,34.75,35.56,34.31,35.31,25.0565285678,3884200,0.0,1.0
1999-12-15,35.5,36.38,35.06,36.0,25.5461633656,2922000,0.0,1.0
1999-12-16,36.13,36.25,34.0,34.75,24.6591438043,4191300,0.0,1.0
1999-12-17,35.25,35.25,33.44,33.56,23.8147011819,6111300,0.0,1.0
1999-12-20,33.94,34.25,33.06,33.63,23.8643742774,5171800,0.0,1.0
1999-12-21,33.25,34.75,32.81,34.31,24.3469129187,5012200,0.0,1.0
1999-12-22,34.31,35.81,34.13,35.5,25.1913555411,3942700,0.0,1.0
1999-12-23,35.31,37.75,35.19,37.25,26.4331829269,3800700,0.0,1.0
1999-12-27,37.31,37.56,36.56,37.44,26.5680099002,2186900,0.0,1.0
1999-12-28,37.0,37.13,36.0,36.13,25.6384134,1803200,0.0,1.0
1999-12-29,36.5,37.94,36.38,37.5,26.6105868392,2688400,0.0,1.0
1999-12-30,37.5,38.0,36.5,36.69,26.0357981634,1371500,0.0,1.0
1999-12-31,36.81,37.19,36.38,36.44,25.8583942512,697200,0.0,1.0
2000-01-03,33.0,35.25,32.75,34.25,24.3043359798,9266900,0.0,1.0
2000-01-04,34.31,35.5,34.25,34.5,24.481739892,5109300,0.0,1.0
2000-01-05,35.0,36.44,34.63,35.94,25.5319710526,5841200,0.04,1.0
2000-01-06,36.56,38.31,36.31,38.0,26.9954062326,6130500,0.0,1.0
2000-01-07,39.75,43.0,39.31,42.25,30.0146292981,11537600,0.0,1.0
2000-01-10,41.63,43.25,41.44,41.94,29.7944036157,6966700,0.0,1.0
2000-01-11,41.56,43.06,41.44,42.13,29.9293806468,4413700,0.0,1.0
2000-01-12,41.63,42.06,41.31,42.06,29.8796522669,3243300,0.0,1.0
2000-01-13,42.0,44.13,41.94,43.5,30.9026360821,5029300,0.0,1.0
2000-01-14,44.75,44.94,43.63,43.88,31.1725901444,5759600,0.0,1.0
2000-01-18,44.5,44.88,43.88,44.38,31.527792858,5947800,0.0,1.0
2000-01-19,44.63,45.63,44.25,44.94,31.9256198972,4288100,0.0,1.0
2000-01-20,45.75,46.13,44.0,44.0,31.2578387956,6083200,0.0,1.0
2000-01-21,45.0,45.0,43.31,43.56,30.9452604077,6105200,0.0,1.0
2000-01-24,44.25,44.94,42.38,43.06,30.5900576941,5749800,0.0,1.0
2000-01-25,43.75,45.0,43.63,44.56,31.6556658349,3742800,0.0,1.0
2000-01-26,44.75,46.31,44.5,46.13,32.7710023555,6589300,0.0,1.0
2000-01-27,46.88,47.5,45.31,46.44,32.9912280379,4539700,0.0,1.0
2000-01-28,46.19,46.19,44.31,44.81,31.8332671917,3981200,0.0,1.0
2000-01-31,44.81,45.75,43.25,45.75,32.5010482932,3717100,0.0,1.0
2000-02-01,45.5,46.5,44.97,46.38,32.9486037123,2960700,0.0,1.0
2000-02-02,46.13,46.56,44.75,45.0,31.9682442228,3099000,0.0,1.0
2000-02-03,45.38,45.81,44.0,45.75,32.5010482932,3275900,0.0,1.0
2000-02-04,46.0,49.63,46.0,48.06,34.14208483,5717100,0.0,1.0
