date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-07-01,163.84,171.6,160.56,169.84,166.670799978,707600,0.0,1.0
2004-07-02,169.6,176.96,169.6,176.08,172.794362106,802000,0.0,1.0
2004-07-06,175.6,182.4,175.6,177.68,174.364506242,381500,0.0,1.0
2004-07-07,178.4,180.88,178.0,179.2,175.85614317,472100,0.0,1.0
2004-07-08,178.4,179.92,177.6,178.8,175.463607136,407200,0.0,1.0
2004-07-09,178.56,181.28,177.52,181.28,177.897330546,225300,0.0,1.0
2004-07-12,181.44,183.36,180.72,182.0,178.603895407,215700,0.0,1.0
2004-07-13,182.0,183.04,180.0,180.0,176.641215238,323500,0.0,1.0
2004-07-14,179.6,181.28,179.2,181.2,177.81882334,641100,0.0,1.0
2004-07-15,181.04,182.24,180.0,180.0,176.641215238,342300,0.0,1.0
2004-07-16,180.0,180.24,177.04,178.24,174.914056689,159100,0.0,1.0
2004-07-19,177.36,178.56,176.4,178.56,175.228085516,216800,0.0,1.0
2004-07-20,177.68,178.16,176.96,177.6,174.285999035,121500,0.0,1.0
2004-07-21,177.36,178.0,172.48,173.6,170.360638696,109500,0.0,1.0
2004-07-22,172.4,173.6,167.92,171.12,167.926915286,120400,0.0,1.0
2004-07-23,170.8,170.8,168.4,169.6,166.435278358,273600,0.0,1.0
2004-07-26,170.8,173.04,169.76,170.8,167.612886459,202700,0.0,1.0
2004-07-27,169.6,172.8,169.12,170.88,167.691393666,274700,0.0,1.0
2004-07-28,170.24,172.32,163.2,172.32,169.104523388,450800,0.0,1.0
2004-07-29,171.84,171.84,148.88,152.0,149.163692868,2110400,0.0,1.0
2004-07-30,151.84,151.84,148.8,149.6,146.808476665,212100,0.0,1.0
2004-08-02,148.8,151.28,145.44,150.4,147.593548732,206000,0.0,1.0
2004-08-03,149.76,149.76,146.08,146.88,144.139231634,148000,0.0,1.0
2004-08-04,146.0,146.24,144.96,146.0,143.27565236,229300,0.0,1.0
2004-08-05,145.6,146.16,143.28,144.0,141.31297219,132400,0.0,1.0
2004-08-06,143.2,144.64,137.2,140.8,138.17268392,216300,0.0,1.0
2004-08-09,139.6,141.28,138.8,141.28,138.64372716,317600,0.0,1.0
2004-08-10,141.28,141.28,138.16,138.32,135.73896051,590200,0.0,1.0
2004-08-11,137.52,137.52,134.4,136.64,134.090309167,403900,0.0,1.0
2004-08-12,135.44,136.24,134.4,136.08,133.54075872,264800,0.0,1.0
2004-08-13,135.6,136.8,133.2,134.72,132.206136205,301600,0.0,1.0
2004-08-16,132.72,136.8,130.4,131.92,129.458383968,294400,0.0,1.0
2004-08-17,132.8,133.92,132.4,133.52,131.028528103,429600,0.0,1.0
2004-08-18,132.64,133.04,131.76,132.4,129.929427208,237600,0.0,1.0
2004-08-19,131.6,132.4,130.4,131.52,129.065847934,79200,0.0,1.0
2004-08-20,131.2,132.72,130.88,131.2,128.751819107,209600,0.0,1.0
2004-08-23,130.64,134.0,130.48,133.2,130.714499276,385600,0.0,1.0
2004-08-24,133.6,137.12,133.6,136.0,133.462251513,348800,0.0,1.0
2004-08-25,136.0,136.0,131.76,131.92,129.458383968,216800,0.0,1.0
2004-08-26,132.0,133.6,131.44,133.28,130.793006483,245600,0.0,1.0
2004-08-27,132.08,134.4,131.92,133.6,131.10703531,201600,0.0,1.0
2004-08-30,133.2,134.0,131.12,131.6,129.144355141,107200,0.0,1.0
2004-08-31,131.2,134.0,131.2,133.6,131.10703531,473600,0.0,1.0
2004-09-01,134.0,136.8,133.68,136.4,133.854787547,349600,0.0,1.0
2004-09-02,136.4,136.8,135.2,135.36,132.834193859,436000,0.0,1.0
2004-09-03,136.4,136.72,132.56,132.96,130.478977656,133600,0.0,1.0
2004-09-07,133.76,138.4,133.76,138.32,135.73896051,417600,0.0,1.0
2004-09-08,137.52,139.6,136.0,136.96,134.404337994,548000,0.0,1.0
2004-09-09,136.96,140.08,132.64,140.08,137.466119059,548800,0.0,1.0
2004-09-10,139.84,142.4,136.48,141.6,138.957755987,996800,0.0,1.0
2004-09-13,140.8,141.2,138.4,138.56,135.97448213,675200,0.0,1.0
2004-09-14,137.68,138.56,136.96,138.0,135.503438889,351200,0.01,1.0
2004-09-15,136.8,137.6,135.6,137.2,134.717911707,360800,0.0,1.0
2004-09-16,136.4,137.68,136.0,136.96,134.482253553,332800,0.0,1.0
2004-09-17,136.4,140.16,136.08,139.6,137.074493253,607200,0.0,1.0
2004-09-20,139.2,139.6,136.8,137.2,134.717911707,535200,0.0,1.0
2004-09-21,137.2,139.52,136.8,138.24,135.739097044,408000,0.0,1.0
2004-09-22,138.0,138.8,136.8,137.68,135.189228017,360000,0.0,1.0
2004-09-23,138.4,138.4,135.12,136.72,134.246595398,286400,0.0,1.0
