date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,34.69,35.75,34.5,35.31,18.1373499042,1614200,0.0,1.0
1999-11-02,34.5,35.13,33.69,35.06,18.0089347958,1973900,0.0,1.0
1999-11-03,34.81,36.5,34.38,36.5,18.74860582,1195500,0.0,1.0
1999-11-04,36.5,36.5,35.44,35.63,18.3017212429,1156800,0.0,1.0
1999-11-05,35.63,36.0,34.69,34.88,17.9164759178,1137200,0.0,1.0
1999-11-08,34.94,35.25,34.31,35.0,17.9781151698,1015500,0.0,1.0
1999-11-09,34.63,34.63,29.0,32.0,16.437133869500002,3231700,0.0,1.0
1999-11-10,32.75,35.25,32.69,34.56,17.8548366658,2535900,0.2,1.0
1999-11-11,34.56,35.06,33.81,34.88,18.0201592275,955700,0.0,1.0
1999-11-12,34.88,34.94,33.5,34.31,17.7256784145,1249200,0.0,1.0
1999-11-15,34.0,34.44,33.69,34.31,17.7256784145,556400,0.0,1.0
1999-11-16,35.0,35.63,34.44,35.56,18.3714696712,1403400,0.0,1.0
1999-11-17,35.5,37.06,35.38,36.5,18.8571046962,1214100,0.0,1.0
1999-11-18,36.5,36.5,35.56,35.94,18.5677902132,836400,0.0,1.0
1999-11-19,35.5,35.63,34.63,34.94,18.0511572078,1065200,0.0,1.0
1999-11-22,34.5,34.75,33.44,34.31,17.7256784145,1670100,0.0,1.0
1999-11-23,33.5,34.5,33.44,34.06,17.5965201631,1154400,0.0,1.0
1999-11-24,33.5,34.0,32.81,33.94,17.5345242025,836300,0.0,1.0
1999-11-26,33.69,33.94,33.63,33.69,17.4053659511,267000,0.0,1.0
1999-11-29,33.31,33.44,32.13,32.94,17.0178911971,971100,0.0,1.0
1999-11-30,32.5,33.5,32.5,32.81,16.950728906400002,1039700,0.0,1.0
1999-12-01,32.38,32.75,31.81,31.81,16.434095901,1068200,0.0,1.0
1999-12-02,32.0,32.5,31.63,32.19,16.6304164431,777100,0.0,1.0
1999-12-03,32.5,34.0,32.5,33.5,17.3072056801,1133200,0.0,1.0
1999-12-06,33.13,34.0,33.13,33.69,17.4053659511,788300,0.0,1.0
1999-12-07,33.63,33.63,32.31,32.75,16.919730926099998,842200,0.0,1.0
1999-12-08,32.5,32.88,31.5,32.0,16.532256172,815000,0.0,1.0
1999-12-09,31.5,32.13,31.0,31.19,16.1137834377,674700,0.0,1.0
1999-12-10,31.44,33.5,31.38,32.0,16.532256172,1096500,0.0,1.0
1999-12-13,32.0,32.31,31.63,32.07,16.5684204824,673300,0.0,1.0
1999-12-14,31.38,32.13,31.06,31.06,16.046621147,864600,0.0,1.0
1999-12-15,31.06,31.19,30.06,30.56,15.7883046443,1110700,0.0,1.0
1999-12-16,30.13,30.19,29.31,30.06,15.5299881416,837000,0.0,1.0
1999-12-17,30.88,31.75,30.5,30.88,15.953627205999998,1789400,0.0,1.0
1999-12-20,30.13,30.94,30.13,30.81,15.9174628956,923500,0.0,1.0
1999-12-21,30.5,30.5,28.63,28.81,14.8841968849,914100,0.0,1.0
1999-12-22,29.06,31.06,28.94,30.56,15.7883046443,1082800,0.0,1.0
1999-12-23,30.31,30.44,29.31,29.94,15.467992181,785700,0.0,1.0
1999-12-27,29.25,30.75,29.13,29.5,15.240673658599999,1359300,0.0,1.0
