date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,7.36,7.36,7.265,7.265,2.39898268905,52075,0.0,1.0
1999-11-02,7.2975,7.5,7.1575,7.1875,2.37339133897,177375,0.0,1.0
1999-11-03,7.1875,7.3275,7.125,7.1725,2.36843817443,130650,0.0,1.0
1999-11-04,7.25,7.36,7.25,7.25,2.39402952452,56400,0.0,1.0
1999-11-05,7.2975,7.3125,7.14,7.14,2.35770631794,65675,0.0,1.0
1999-11-08,7.1725,7.39,7.1725,7.375,2.43530589563,79375,0.0,1.0
1999-11-09,7.36,7.4375,7.265,7.2825,2.40476138101,65325,0.0,1.0
1999-11-10,7.265,7.36,7.235,7.25,2.39402952452,91025,0.0,1.0
1999-11-11,7.2825,7.36,7.25,7.2825,2.40476138101,44425,0.0,1.0
1999-11-12,7.2825,7.2975,7.1725,7.22,2.38412319545,108600,0.0,1.0
1999-11-15,7.2025,7.4075,7.095,7.36,2.4303527311,217925,0.0,1.0
1999-11-16,7.4225,7.5325,7.39,7.4525,2.46089724572,154875,0.0,1.0
1999-11-17,7.4375,7.5,7.2825,7.36,2.4303527311,63500,0.0,1.0
1999-11-18,7.36,7.4225,7.2825,7.2975,2.40971454554,63825,0.0,1.0
1999-11-19,7.3275,7.3275,7.095,7.14,2.35770631794,118900,0.0,1.0
1999-11-22,7.0775,7.0775,6.7025,6.86,2.26524724665,154425,0.0,1.0
1999-11-23,6.86,6.875,6.61,6.6725,2.20333268998,100500,0.0,1.0
1999-11-24,6.735,6.9075,6.72,6.8125,2.24956222563,59725,0.0,1.0
1999-11-26,6.7975,6.875,6.7825,6.7825,2.23965589656,23525,0.0,1.0
1999-11-29,6.735,6.735,6.625,6.64,2.19260083349,74575,0.0,1.0
1999-11-30,6.64,6.735,6.5625,6.735,2.22397087554,114425,0.0,1.0
1999-12-01,6.735,6.8275,6.6875,6.8125,2.24956222563,94550,0.0,1.0
1999-12-02,6.8275,7.0,6.7825,6.7825,2.23965589656,94900,0.0,1.0
1999-12-03,6.7825,7.235,6.7825,7.14,2.35770631794,145850,0.0,1.0
1999-12-06,7.11,7.3125,7.0625,7.1875,2.37339133897,283475,0.0,1.0
