date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,43.875,43.905,42.905,43.5,27.7500242886,789300,0.0,1.0
1999-11-02,43.0,43.19,40.595,41.0,26.1551953065,805200,0.0,1.0
1999-11-03,41.25,41.5,40.78,41.095,26.2157988079,727100,0.0,1.0
1999-11-04,41.595,41.75,41.375,41.5,26.474161103,773200,0.0,1.0
1999-11-05,41.625,41.94,40.065,40.25,25.6767466119,1322000,0.0,1.0
1999-11-08,40.375,41.22,40.125,41.0,26.1551953065,637800,0.0,1.0
1999-11-09,40.625,40.78,40.0,40.565,25.8776950637,427000,0.0,1.0
1999-11-10,40.655,42.5,40.5,42.345,27.0132132989,771800,0.0,1.0
1999-11-11,42.47,44.625,42.44,44.345,28.2890764846,1145800,0.0,1.0
1999-11-12,44.345,44.72,43.22,44.5,28.3879558815,481000,0.0,1.0
1999-11-15,44.5,45.44,44.375,44.905,28.6463181766,807500,0.0,1.0
1999-11-16,44.75,45.0,44.44,44.75,28.5474387797,601100,0.0,1.0
1999-11-17,44.815,45.875,44.815,45.44,28.9876115788,609100,0.0,1.0
1999-11-18,45.44,46.5,45.375,46.405,29.6032155659,931400,0.0,1.0
1999-11-19,46.28,46.655,46.03,46.375,29.5840776181,598300,0.0,1.0
1999-11-22,46.345,46.97,45.75,46.375,29.5840776181,484800,0.0,1.0
1999-11-23,46.5,46.53,45.315,45.655,29.1247668712,419100,0.0,1.0
1999-11-24,45.78,46.125,45.565,46.03,29.3639912185,609300,0.0,1.0
1999-11-26,46.155,46.5,46.0,46.44,29.6255431716,190000,0.0,1.0
1999-11-29,46.5,46.905,46.28,46.595,29.7244225685,307100,0.0,1.0
1999-11-30,45.75,45.905,43.845,44.065,28.1104556386,689700,0.0,1.0
1999-12-01,44.065,45.375,43.565,44.565,28.429421435,608800,0.0,1.0
1999-12-02,44.44,45.0,44.44,44.94,28.6686457823,676300,0.0,1.0
1999-12-03,45.625,46.28,45.565,45.815,29.2268359261,506900,0.0,1.0
1999-12-06,45.845,46.095,45.125,45.155,28.8058010748,772400,0.0,1.0
1999-12-07,45.655,48.815,45.315,47.565,30.3432162136,912500,0.0,1.0
1999-12-08,48.5,49.875,47.75,49.125,31.3383894984,1449100,0.0,1.0
1999-12-09,50.0,53.0,48.69,50.25,32.0560625403,2243400,0.0,1.0
1999-12-10,50.75,50.75,48.69,49.53,31.5967517935,870900,0.0,1.0
1999-12-13,49.655,50.4,49.315,49.885,31.8232175089,847800,0.0,1.0
1999-12-14,49.72,49.815,49.19,49.72,31.7179587961,518700,0.0,1.0
1999-12-15,49.5,50.2,47.875,48.47,30.9205443051,774000,0.0,1.0
1999-12-16,48.75,51.3,48.75,51.2,32.7179165679,623400,0.175,1.0
1999-12-17,51.75,53.75,51.06,53.72,34.328251524,879500,0.0,1.0
1999-12-20,52.9,53.4,51.95,52.4,33.4847427375,746400,0.0,1.0
1999-12-21,51.0,51.1,49.75,50.55,32.3025523927,758100,0.0,1.0
1999-12-22,51.05,51.45,49.22,49.72,31.7721642921,1028800,0.0,1.0
1999-12-23,50.2,51.15,49.97,51.15,32.6859654775,435200,0.0,1.0
1999-12-27,50.25,50.8,49.5,50.5,32.2706013023,636600,0.0,1.0
1999-12-28,50.5,51.3,49.94,50.05,31.9830414887,322300,0.0,1.0
1999-12-29,49.94,50.5,49.75,50.3,32.1427969407,263100,0.0,1.0
1999-12-30,50.25,50.4,49.815,49.845,31.8520420181,326900,0.0,1.0
1999-12-31,49.845,50.4,49.845,50.0,31.9510903983,165500,0.0,1.0
2000-01-03,50.0,50.0,47.75,48.44,30.9542163779,912100,0.0,1.0
2000-01-04,48.44,48.5,46.315,46.845,29.9349765942,631000,0.0,1.0
2000-01-05,46.565,46.94,45.155,45.565,29.11702868,975000,0.0,1.0
2000-01-06,45.5,46.315,45.0,45.75,29.2352477145,722500,0.0,1.0
2000-01-07,45.875,47.97,45.78,47.69,30.4749500219,494600,0.0,1.0
2000-01-10,48.5,50.3,47.845,49.815,31.8328713639,487200,0.0,1.0
2000-01-11,49.625,49.655,48.125,48.72,31.1331424842,568200,0.0,1.0
2000-01-12,48.75,49.22,48.345,48.565,31.0340941039,321100,0.0,1.0
2000-01-13,48.565,49.155,48.25,48.5,30.9925576864,474300,0.0,1.0
2000-01-14,49.0,49.0,47.75,47.94,30.6347054739,477600,0.0,1.0
2000-01-18,48.0,48.0,46.78,46.78,29.8934401767,646800,0.0,1.0
2000-01-19,46.815,49.19,46.75,48.655,31.0916060666,785400,0.0,1.0
2000-01-20,49.94,50.45,46.815,46.845,29.9349765942,891400,0.0,1.0
2000-01-21,47.125,47.97,47.0,47.47,30.3343652242,713800,0.0,1.0
2000-01-24,47.595,47.595,45.875,46.0,29.3950031665,533200,0.0,1.0
2000-01-25,46.125,46.78,44.905,45.22,28.8965661563,591100,0.0,1.0
2000-01-26,45.5,48.19,45.28,46.905,29.9733179027,536100,0.0,1.0
2000-01-27,46.75,48.03,45.905,46.595,29.7752211422,498700,0.0,1.0
2000-01-28,45.75,48.375,45.095,47.315,30.235316844,973100,0.0,1.0
2000-01-31,47.19,47.25,45.815,46.845,29.9349765942,545800,0.0,1.0
2000-02-01,46.845,48.625,46.75,48.19,30.7944609259,498700,0.0,1.0
2000-02-02,48.19,49.97,47.28,47.375,30.2736581524,922300,0.0,1.0
2000-02-03,47.315,47.625,46.655,47.0,30.0340249744,656100,0.0,1.0
2000-02-04,47.0,47.565,46.72,46.875,29.9541472485,509300,0.0,1.0
2000-02-07,46.69,46.75,45.845,45.94,29.356661858,442400,0.0,1.0
2000-02-08,45.94,47.815,45.94,47.44,30.31519457,626000,0.0,1.0
2000-02-09,47.44,48.845,47.155,48.405,30.9318506146,709600,0.0,1.0
2000-02-10,48.345,49.19,47.53,48.22,30.8136315802,460500,0.0,1.0
2000-02-11,48.94,48.97,47.315,47.845,30.5739984022,525700,0.0,1.0
2000-02-14,47.78,48.19,47.25,47.47,30.3343652242,239600,0.0,1.0
2000-02-15,47.595,47.815,46.595,47.19,30.155439118,1466500,0.0,1.0
2000-02-16,47.315,47.5,44.03,44.625,28.5163481805,657200,0.0,1.0
2000-02-17,45.0,45.0,41.5,42.375,27.0785491126,919900,0.0,1.0
2000-02-18,42.56,44.94,42.56,44.56,28.474811763,1414400,0.0,1.0
2000-02-22,45.5,45.75,41.94,43.125,27.5578154686,1185300,0.0,1.0
2000-02-23,43.75,48.5,43.625,47.25,30.1937804264,1341600,0.0,1.0
2000-02-24,47.5,48.625,45.565,46.315,29.596295036,832600,0.0,1.0
2000-02-25,46.815,46.94,44.345,44.405,28.3757633828,683700,0.0,1.0
2000-02-28,45.25,46.25,43.875,45.845,29.2959547862,746100,0.0,1.0
2000-02-29,45.78,47.315,45.565,47.095,30.0947320462,584200,0.0,1.0
2000-03-01,47.095,47.44,46.375,47.065,30.075561392,830500,0.0,1.0
2000-03-02,46.875,46.94,45.815,46.25,29.5547586185,895500,0.0,1.0
2000-03-03,46.125,46.125,44.03,45.125,28.8358590845,1252400,0.0,1.0
2000-03-06,45.0,45.0,40.5,41.565,26.5609414481,3252800,0.0,1.0
2000-03-07,41.065,41.97,40.155,40.375,25.8005054967,1366900,0.0,1.0
2000-03-08,40.345,40.565,37.75,39.94,25.5784454184,1830300,0.175,1.0
2000-03-09,40.22,41.72,39.565,41.5,26.5775033767,1212400,0.0,1.0
2000-03-10,41.75,42.065,41.03,41.845,26.7984488867,1126000,0.0,1.0
2000-03-13,41.845,41.97,40.5,41.655,26.6767687507,851500,0.0,1.0
2000-03-14,41.53,42.19,40.875,41.78,26.7568214717,981700,0.0,1.0
2000-03-15,41.655,41.69,40.315,40.875,26.1772397716,1184700,0.0,1.0
2000-03-16,41.375,42.875,41.28,42.69,27.3396052807,994200,0.0,1.0
2000-03-17,42.565,44.375,41.875,44.25,28.338663239,1093300,0.0,1.0
2000-03-20,44.69,46.5,43.97,45.095,28.879819633,940100,0.0,1.0
2000-03-21,45.47,46.47,45.375,45.875,29.3793486121,1128200,0.0,1.0
2000-03-22,46.125,48.5,46.125,47.47,30.4008213323,1220100,0.0,1.0
2000-03-23,47.25,48.25,47.155,47.78,30.5993520804,445500,0.0,1.0
2000-03-24,47.78,49.875,47.78,49.28,31.5599847326,934700,0.0,1.0
