date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-11-27,48.68,49.4,47.08,49.14,32.1493315998,59338,0.0,1.0
2015-11-30,49.23,49.29,47.86,48.46,31.7044487042,593094,0.0,1.0
2015-12-01,49.05,49.35,48.01,48.47,31.7109910997,329399,0.0,1.0
2015-12-02,48.53,49.56,47.31,47.57,31.1221755027,365028,0.0,1.0
2015-12-03,47.74,49.34,47.15,47.48,31.063293943,906043,0.0,1.0
2015-12-04,47.65,48.75,47.5,48.65,31.8287542192,364292,0.0,1.0
2015-12-07,48.37,48.45,47.19,47.61,31.1483450848,320779,0.0,1.0
2015-12-08,46.67,46.93,45.5,46.57,30.4679359504,334226,0.0,1.0
2015-12-09,46.56,46.87,45.02,45.47,29.7482724429,516752,0.0,1.0
2015-12-10,45.48,46.34,45.36,45.53,29.787526816,294994,0.0,1.0
2015-12-11,44.82,45.2999,43.89,44.28,28.9697273756,544347,0.0,1.0
2015-12-14,44.44,44.833,41.685,42.03,27.497688383,924483,0.0,1.0
2015-12-15,42.34,43.14,42.155,42.59,27.8640625322,1014627,0.0,1.0
2015-12-16,42.85,43.77,42.7,43.35,28.361284592,546320,0.0,1.0
2015-12-17,43.42,43.68,41.57,41.59,27.20982298,528421,0.0,1.0
2015-12-18,41.12,41.407,39.99,40.0,26.1695820918,753079,0.0,1.0
2015-12-21,40.49,40.93,39.76,40.43,26.4509050993,562770,0.0,1.0
2015-12-22,40.53,41.16,39.24,40.65,26.5948378008,444881,0.0,1.0
2015-12-23,40.85,41.84,40.77,41.61,27.222907771,397675,0.0,1.0
2015-12-24,41.55,41.74,41.45,41.6,27.2163653755,120947,0.0,1.0
2015-12-28,41.36,41.65,40.88,41.27,27.0004663232,317194,0.0,1.0
2015-12-29,41.49,41.75,40.62,41.32,27.0331783008,480929,0.0,1.0
2015-12-30,41.28,41.59,40.9,41.2,26.9546695546,538616,0.0,1.0
2015-12-31,41.04,41.7,40.82,41.54,27.1771110023,337361,0.0,1.0
2016-01-04,41.25,41.25,40.18,40.72,26.6406345695,599144,0.0,1.0
2016-01-05,40.73,40.81,39.64,39.77,26.0191069948,636116,0.0,1.0
2016-01-06,39.21,39.21,38.56,39.05,25.5480545171,637859,0.0,1.0
2016-01-07,38.35,38.35,36.54,36.84,24.1021851065,660217,0.0,1.0
2016-01-08,37.07,37.11,36.34,36.64,23.9713371961,597327,0.0,1.0
2016-01-11,36.78,37.0,35.91,36.21,23.6900141886,576183,0.0,1.0
2016-01-12,36.61,36.81,34.03,34.87,22.8133331885,1145634,0.0,1.0
