date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-03-30,50.15,50.18,50.14,50.14,19.7409227319,2000,0.0,1.0
2007-04-02,50.2,50.29,50.2,50.25,19.7842314974,11700,0.0,1.0
2007-04-03,50.25,50.37,50.25,50.37,19.8314774234,4800,0.0,1.0
2007-04-04,50.35,50.37,50.23,50.23,19.7763571764,7200,0.0,1.0
2007-04-05,50.29,50.33,50.27,50.3,19.8039172999,7000,0.0,1.0
2007-04-09,50.35,50.37,50.24,50.34,19.8196659419,7200,0.0,1.0
2007-04-10,50.37,50.42,50.3,50.38,19.8354145839,8400,0.0,1.0
2007-04-11,50.41,50.41,50.24,50.29,19.7999801394,8100,0.0,1.0
2007-04-12,50.31,50.31,50.24,50.26,19.7881686579,4200,0.0,1.0
2007-04-13,50.24,50.28,50.0,50.25,19.7842314974,6900,0.0,1.0
2007-04-16,50.3,50.33,50.11,50.2255,19.7745854542,18400,0.0,1.0
2007-04-17,50.27,50.3,50.2,50.28,19.7960429789,20300,0.0,1.0
2007-04-18,50.27,50.29,50.24,50.27,19.7921058184,9200,0.0,1.0
2007-04-19,50.29,50.29,50.14,50.16,19.7487970529,13900,0.0,1.0
2007-04-20,50.25,50.28,50.2,50.28,19.7960429789,4800,0.0,1.0
2007-04-23,50.27,50.34,50.0,50.24,19.7802943369,12400,0.0,1.0
2007-04-24,50.31,50.32,50.24,50.27,19.7921058184,20100,0.0,1.0
2007-04-25,50.25,50.35,50.15,50.24,19.7802943369,29300,0.0,1.0
2007-04-26,50.23,50.26,50.2,50.25,19.7842314974,13400,0.0,1.0
2007-04-27,50.36,50.36,50.26,50.31,19.8078544604,7700,0.0,1.0
2007-04-30,50.34,50.37,50.32,50.32,19.8117916209,7400,0.0,1.0
2007-05-01,50.06,50.06,49.96,50.01,19.8020900637,13400,0.2854,1.0
2007-05-02,50.04,50.14,50.04,50.14,19.8535652028,11800,0.0,1.0
2007-05-03,50.21,50.21,50.14,50.18,19.8694037072,19600,0.0,1.0
2007-05-04,50.2,50.2,50.16,50.17,19.8654440811,32900,0.0,1.0
2007-05-07,50.22,50.24,50.17,50.2,19.8773229594,55400,0.0,1.0
2007-05-08,50.22,50.28,50.18,50.2692,19.9047235719,24400,0.0,1.0
