date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,25.65,25.65,25.025,25.05,14.6966227638,498900,0.0,1.0
1999-11-02,25.075,25.675,25.0,25.4,14.9019647984,773200,0.0,1.0
1999-11-03,26.225,26.55,26.15,26.525,15.5619927668,740600,0.0,1.0
1999-11-04,27.5,27.6,27.3,27.5,16.1340170061,610300,0.0,1.0
1999-11-05,27.625,27.65,27.4,27.475,16.1193497179,519800,0.0,1.0
1999-11-08,26.825,26.85,26.7,26.8,15.7233329369,359700,0.0,1.0
1999-11-09,27.5,27.725,27.25,27.45,16.1046824298,611900,0.0,1.0
1999-11-10,28.325,28.725,28.275,28.675,16.8233795509,439500,0.0,1.0
1999-11-11,29.9,30.35,29.825,30.35,17.8060878595,715500,0.0,1.0
1999-11-12,29.5,29.5,28.375,29.075,17.0580561619,677400,0.0,1.0
1999-11-15,29.375,29.525,29.15,29.325,17.2047290438,385300,0.0,1.0
1999-11-16,29.325,29.325,28.825,29.25,17.1607271792,180100,0.0,1.0
1999-11-17,29.25,29.725,29.075,29.125,17.0873907383,356700,0.0,1.0
1999-11-18,29.2,29.275,29.025,29.15,17.1020580265,904300,0.0,1.0
1999-11-19,28.9,29.325,28.9,29.1,17.0727234501,473400,0.0,1.0
1999-11-22,28.2,28.525,28.125,28.475,16.7060412454,596100,0.0,1.0
1999-11-23,28.6,28.625,27.95,28.0,16.4273627699,436100,0.0,1.0
1999-11-24,28.45,28.9,28.275,28.9,16.9553851446,411500,0.0,1.0
1999-11-26,30.7,30.775,30.475,30.475,17.8794243004,651100,0.0,1.0
1999-11-29,30.65,30.7,30.2,30.2,17.7180841304,456700,0.0,1.0
1999-11-30,30.15,30.45,29.825,29.875,17.5274093839,548200,0.0,1.0
1999-12-01,31.0,31.325,30.9,31.25,18.3341102342,986700,0.0,1.0
1999-12-02,31.1,31.15,30.7,30.95,18.158102776,464600,0.0,1.0
1999-12-03,31.45,31.6,31.15,31.325,18.3781120988,520700,0.0,1.0
1999-12-06,31.925,32.1,31.875,32.05,18.8034634562,585800,0.0,1.0
1999-12-07,32.1,32.2,31.9,32.15,18.862132609,340500,0.0,1.0
1999-12-08,32.575,32.85,32.575,32.725,19.1994802373,343800,0.0,1.0
1999-12-09,33.775,33.875,33.1,33.45,19.6248315947,590900,0.0,1.0
1999-12-10,32.85,33.3,32.65,33.1,19.4194895601,498300,0.0,1.0
1999-12-13,31.875,32.25,31.65,32.2,18.8914671854,297200,0.0,1.0
1999-12-14,32.1,32.125,31.125,31.125,18.2607737933,198700,0.0,1.0
1999-12-15,30.575,30.85,30.075,30.25,17.7474187067,817500,0.0,1.0
1999-12-16,31.975,32.625,31.825,32.5,19.0674746436,270300,0.0,1.0
1999-12-17,32.9,32.9,32.9,32.9,19.3021512546,359600,0.0,1.0
1999-12-20,32.7,32.775,32.1,32.125,18.8474653208,221900,0.0,1.0
1999-12-21,32.2,32.85,32.175,32.75,19.2141475255,424000,0.0,1.0
1999-12-22,33.425,33.65,32.7,33.075,19.4048222719,310500,0.0,1.0
1999-12-23,32.95,33.375,32.95,33.275,19.5221605774,194000,0.0,1.0
1999-12-27,33.225,33.325,33.025,33.2,19.4781587129,153700,0.0,1.0
1999-12-28,33.15,33.15,32.85,32.95,19.331485831,198400,0.0,1.0
1999-12-29,32.975,32.975,32.7,32.8,19.2434821019,153900,0.0,1.0
1999-12-30,33.575,34.125,33.325,33.35,19.566162442,212200,0.0,1.0
1999-12-31,33.5,33.75,33.5,33.75,19.800839053,53400,0.0,1.0
2000-01-03,35.845,35.905,34.78,35.25,20.6808763442,830000,0.0,1.0
2000-01-04,34.45,34.5,32.95,33.1,19.4194895601,411500,0.0,1.0
2000-01-05,34.075,34.4,33.3,34.075,19.9915137994,750700,0.0,1.0
2000-01-06,32.75,32.9,32.0,32.0,18.7741288799,789700,0.0,1.0
2000-01-07,32.875,34.075,32.875,34.075,19.9915137994,595800,0.0,1.0
2000-01-10,34.925,35.0,34.225,34.775,20.4021978687,577400,0.0,1.0
2000-01-11,35.075,35.825,34.95,35.075,20.5782053269,579000,0.0,1.0
2000-01-12,35.675,36.25,35.35,36.15,21.208898719,355100,0.0,1.0
2000-01-13,37.075,37.25,36.8,37.225,21.839592111,318100,0.0,1.0
2000-01-14,38.7,38.875,37.975,38.4,22.5289546558,502900,0.0,1.0
2000-01-18,38.5,38.85,38.15,38.2,22.4116163503,357100,0.0,1.0
2000-01-19,37.725,37.9,37.025,37.2,21.8249248228,370600,0.0,1.0
2000-01-20,39.35,39.475,38.15,38.65,22.6756275377,537800,0.0,1.0
2000-01-21,38.475,38.475,37.75,37.825,22.1916070275,184000,0.0,1.0
2000-01-24,39.75,39.825,37.1,37.6,22.0596014338,451800,0.0,1.0
2000-01-25,38.6,39.175,38.275,38.75,22.7342966905,673600,0.0,1.0
2000-01-26,38.775,38.775,37.775,38.0,22.2942780448,485000,0.0,1.0
2000-01-27,37.875,37.9,37.075,37.275,21.8689266874,488900,0.0,1.0
2000-01-28,37.325,37.9,36.95,36.95,21.678251941,471400,0.0,1.0
2000-01-31,36.75,36.95,36.05,36.95,21.678251941,547100,0.0,1.0
2000-02-01,37.25,37.6,36.9,37.575,22.0449341456,505300,0.0,1.0
2000-02-02,38.275,39.025,38.025,38.7,22.7049621141,358200,0.0,1.0
2000-02-03,40.7,42.35,40.65,42.1,24.6997133076,699800,0.0,1.0
2000-02-04,42.475,42.475,41.525,41.6,24.4063675438,484100,0.0,1.0
2000-02-07,41.625,41.625,40.65,41.325,24.2450273738,375600,0.0,1.0
2000-02-08,44.125,44.125,43.025,43.7,25.6384197516,701100,0.0,1.0
2000-02-09,44.825,44.825,43.275,43.35,25.4330777169,404500,0.0,1.0
2000-02-10,44.975,45.375,44.35,45.375,26.6211280601,619300,0.0,1.0
2000-02-11,45.7,45.7,42.9,43.45,25.4917468697,831500,0.0,1.0
2000-02-14,44.325,44.35,42.75,43.5,25.5210814461,496500,0.0,1.0
2000-02-15,42.85,42.9,41.65,42.7,25.0517282241,411300,0.0,1.0
2000-02-16,41.525,42.725,41.4,42.175,24.7437151721,413000,0.0,1.0
2000-02-17,42.45,42.75,39.775,40.0,23.4676610998,1366700,0.0,1.0
2000-02-18,41.6,41.65,40.075,40.325,23.6583358463,970900,0.0,1.0
2000-02-22,43.25,44.1,42.525,43.125,25.3010721232,1002500,0.0,1.0
2000-02-23,45.2,45.4,44.725,44.975,26.3864514491,811500,0.0,1.0
2000-02-24,45.95,46.1,44.675,44.875,26.3277822964,548200,0.0,1.0
2000-02-25,46.575,48.875,46.55,46.9,27.5158326395,932800,0.0,1.0
2000-02-28,45.725,46.775,45.275,46.775,27.4424961986,391800,0.0,1.0
2000-02-29,46.15,47.875,46.15,47.875,28.0878568789,735900,0.0,1.0
2000-03-01,49.4,50.525,49.35,50.525,29.6425894267,695100,0.0,1.0
2000-03-02,50.1,50.1,49.1,49.45,29.0118960347,548200,0.0,1.0
2000-03-03,52.075,52.075,50.75,51.85,30.4199557006,380200,0.0,1.0
2000-03-06,51.45,51.45,50.7,50.775,29.7892623086,293000,0.0,1.0
2000-03-07,51.075,51.125,47.85,47.875,28.0878568789,474600,0.0,1.0
2000-03-08,49.9,50.075,47.2,48.15,28.2491970489,714800,0.0,1.0
2000-03-09,47.95,49.375,47.025,49.225,28.879890441,510800,0.0,1.0
2000-03-10,48.975,49.35,48.4,48.45,28.4252045072,344500,0.0,1.0
2000-03-13,46.475,47.825,46.15,47.4,27.8091784033,757800,0.0,1.0
2000-03-14,47.55,47.975,45.8,45.825,26.8851392475,596200,0.0,1.0
2000-03-15,44.575,44.85,43.625,43.625,25.594417887,715900,0.0,1.0
2000-03-16,44.25,45.0,42.625,45.0,26.4011187373,1104900,0.0,1.0
2000-03-17,43.575,44.325,43.525,43.775,25.6824216161,409300,0.0,1.0
2000-03-20,46.225,46.225,44.25,44.675,26.2104439909,507400,0.0,1.0
2000-03-21,44.85,46.25,44.625,46.25,27.1344831467,445700,0.0,1.0
2000-03-22,44.575,45.675,43.725,45.6,26.7531336538,708100,0.0,1.0
2000-03-23,44.1,44.75,43.7,44.425,26.063771109,523100,0.0,1.0
2000-03-24,43.47,45.25,43.28,45.015,26.4099191102,595100,0.0,1.0
2000-03-27,45.525,46.2,45.375,45.45,26.6651299247,387300,0.0,1.0
2000-03-28,47.075,47.25,46.225,46.275,27.1491504349,449600,0.0,1.0
2000-03-29,47.0,47.125,45.4,45.4,26.6357953483,487300,0.0,1.0
2000-03-30,43.0,44.25,42.25,43.225,25.359741276,582800,0.0,1.0
2000-03-31,42.45,43.45,42.15,42.825,25.125064665,452900,0.0,1.0
2000-04-03,41.25,41.825,39.75,39.85,23.3796573707,715000,0.0,1.0
2000-04-04,40.25,40.325,37.025,39.475,23.1596480479,842900,0.0,1.0
2000-04-05,37.975,39.6,37.75,38.775,22.9217446335,1033700,1.178,1.0
2000-04-06,41.125,42.75,40.825,42.575,25.1681051649,868300,0.0,1.0
2000-04-07,43.8,44.95,43.45,44.95,26.5720804971,590000,0.0,1.0
2000-04-10,44.375,44.375,41.425,42.25,24.9759822248,517500,0.0,1.0
2000-04-11,40.575,41.225,39.5,40.525,23.956252773,1242400,0.0,1.0
2000-04-12,39.0,39.6,37.325,37.4,22.1089168096,704300,0.0,1.0
2000-04-13,40.25,40.25,38.75,38.75,22.9069659458,1265900,0.0,1.0
2000-04-14,38.7,39.0,36.375,37.25,22.0202446834,1130700,0.0,1.0
2000-04-17,38.275,39.675,37.5,39.625,23.4242200155,1264500,0.0,1.0
2000-04-18,39.94,42.44,39.38,41.69,24.6449396201,661675,0.0,4.0
2000-04-19,43.5,44.94,42.0,44.13,26.0873395403,4030900,0.0,1.0
2000-04-20,43.81,46.0,43.38,44.56,26.3415329689,1722400,0.0,1.0
2000-04-24,44.5,44.56,42.06,42.38,25.0528314008,1176700,0.0,1.0
2000-04-25,44.5,46.0,43.75,45.75,27.0449985037,1507700,0.0,1.0
2000-04-26,44.63,45.06,43.69,44.19,26.1228083908,1464500,0.0,1.0
2000-04-27,42.06,45.44,41.63,44.63,26.3829132945,2277300,0.0,1.0
2000-04-28,45.25,45.38,44.01,44.63,26.3829132945,983700,0.0,1.0
2000-05-01,44.38,45.38,44.38,45.19,26.7139558991,1299600,0.0,1.0
2000-05-02,45.31,45.63,44.31,44.38,26.2351264174,1067200,0.0,1.0
2000-05-03,43.69,44.06,42.13,42.81,25.3070248294,1415800,0.0,1.0
2000-05-04,42.5,42.88,41.94,42.44,25.0883002513,1138400,0.0,1.0
2000-05-05,42.5,43.69,42.5,43.56,25.7503854606,600200,0.0,1.0
2000-05-08,42.69,43.38,42.25,42.75,25.2715559789,701200,0.0,1.0
2000-05-09,42.56,42.69,41.31,42.0,24.8281953477,780400,0.0,1.0
2000-05-10,41.19,41.63,40.0,40.25,23.7936872082,906600,0.0,1.0
2000-05-11,40.88,42.44,40.38,42.13,24.9050445238,1376600,0.0,1.0
2000-05-12,43.06,43.94,43.06,43.69,25.8272346367,1388800,0.0,1.0
2000-05-15,43.69,43.88,43.06,43.63,25.7917657862,1158600,0.0,1.0
2000-05-16,44.0,45.06,44.0,44.94,26.566169022,1128100,0.0,1.0
2000-05-17,43.5,43.69,42.81,43.38,25.6439789091,892000,0.0,1.0
2000-05-18,43.63,43.63,42.75,42.75,25.2715559789,374500,0.0,1.0
2000-05-19,41.56,41.56,40.31,41.0,24.2370478394,1013700,0.0,1.0
2000-05-22,39.75,39.88,38.5,39.19,23.1670708494,1490200,0.0,1.0
2000-05-23,39.88,40.44,38.75,38.75,22.9069659458,1011900,0.0,1.0
2000-05-24,38.25,39.13,36.88,39.0,23.0547528229,1347800,0.0,1.0
2000-05-25,40.0,41.88,39.75,40.06,23.6813691816,1977300,0.0,1.0
2000-05-26,40.5,41.44,40.5,41.38,24.4616838926,849300,0.0,1.0
2000-05-30,43.5,43.88,42.88,43.88,25.9395526633,965400,0.0,1.0
2000-05-31,44.63,45.0,44.44,44.44,26.2705952679,1145400,0.0,1.0
2000-06-01,44.5,46.69,44.5,46.5,27.4883591349,1515600,0.0,1.0
2000-06-02,48.25,50.0,48.13,49.75,29.4095885368,2809300,0.0,1.0
2000-06-05,47.44,48.5,47.31,48.44,28.635185301,1063200,0.0,1.0
2000-06-06,48.0,48.63,47.44,47.5,28.0795066432,1046100,0.0,1.0
2000-06-07,47.56,48.44,47.5,48.44,28.635185301,1061400,0.0,1.0
2000-06-08,49.81,49.88,48.75,48.94,28.9307590551,747600,0.0,1.0
2000-06-09,48.69,48.81,47.75,47.81,28.2627623708,439600,0.0,1.0
2000-06-12,48.44,48.44,47.19,47.25,27.9317197661,641500,0.0,1.0
2000-06-13,47.75,48.56,47.19,48.56,28.706123002,548500,0.0,1.0
2000-06-14,49.63,50.0,49.06,49.25,29.1140147827,930000,0.0,1.0
2000-06-15,49.13,49.88,48.69,49.0,28.9662279056,530100,0.0,1.0
2000-06-16,49.0,51.0,48.44,48.44,28.635185301,569100,0.0,1.0
2000-06-19,49.5,50.44,49.13,50.19,29.6696934405,2015400,0.0,1.0
2000-06-20,52.0,52.56,51.31,51.63,30.5209458524,2062300,0.0,1.0
2000-06-21,52.56,53.5,52.5,53.16,31.4254015401,2910100,0.0,1.0
2000-06-22,53.0,53.0,50.31,50.31,29.7406311415,1039300,0.0,1.0
2000-06-23,51.5,51.63,49.56,49.94,29.5219065634,1496800,0.0,1.0
2000-06-26,50.81,50.94,49.94,50.22,29.6874278657,1544100,0.0,1.0
2000-06-27,49.5,49.94,49.13,49.22,29.0962803575,886300,0.0,1.0
2000-06-28,49.0,49.88,48.94,49.72,29.3918541116,1011800,0.0,1.0
2000-06-29,48.38,48.38,45.56,46.28,27.3583066831,1883200,0.0,1.0
2000-06-30,46.69,47.94,46.63,47.47,28.061772218,707700,0.0,1.0
2000-07-03,47.56,48.25,47.38,48.16,28.4696639987,350000,0.0,1.0
2000-07-05,46.0,46.25,45.06,45.34,26.8026280253,1774200,0.0,1.0
2000-07-06,45.75,45.88,44.75,45.63,26.9740608027,1729000,0.0,1.0
2000-07-07,46.75,47.75,46.63,47.47,28.061772218,1026000,0.0,1.0
2000-07-10,47.94,48.63,47.81,48.03,28.3928148226,512700,0.0,1.0
2000-07-11,48.88,49.5,47.88,48.31,28.5583361249,725100,0.0,1.0
2000-07-12,50.38,50.44,49.25,49.84,29.4627918126,1092800,0.0,1.0
2000-07-13,50.44,51.06,50.19,51.0,30.1485229222,1032400,0.0,1.0
2000-07-14,51.81,52.19,51.25,51.91,30.6864671547,596200,0.0,1.0
2000-07-17,52.44,54.13,52.31,53.84,31.8273818457,1220700,0.0,1.0
2000-07-18,50.25,51.0,49.56,50.19,29.6696934405,1109000,0.0,1.0
2000-07-19,49.69,49.88,49.25,49.5,29.2618016598,860900,0.0,1.0
2000-07-20,49.75,51.0,49.75,50.94,30.1130540717,893500,0.0,1.0
2000-07-21,50.19,50.38,49.88,50.31,29.7406311415,798300,0.0,1.0
2000-07-24,50.06,50.25,49.0,49.25,29.1140147827,693900,0.0,1.0
2000-07-25,49.25,49.5,48.5,48.69,28.7829721781,1038700,0.0,1.0
2000-07-26,48.88,48.88,47.56,48.0,28.3750803974,1075300,0.0,1.0
2000-07-27,46.25,46.63,42.31,43.44,26.3952682774,2398000,1.2109,1.0
2000-07-28,42.5,43.13,40.81,41.38,25.1435589622,2226700,0.0,1.0
2000-07-31,44.0,45.38,42.94,44.94,27.3067070991,1414900,0.0,1.0
2000-08-01,47.06,47.25,45.38,45.88,27.8778754274,976600,0.0,1.0
2000-08-02,44.19,45.13,44.06,44.25,26.8874452411,1165200,0.0,1.0
2000-08-03,40.75,42.63,40.0,42.63,25.9030913136,4962300,0.0,1.0
