date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-10-29,10.0,10.05,9.75,10.04,10.04,5819500,0.0,1.0
2010-11-01,10.06,10.31,10.05,10.208,10.208,2976700,0.0,1.0
2010-11-02,10.2,10.49,10.2,10.49,10.49,1895600,0.0,1.0
2010-11-03,10.4,10.5,10.25,10.49,10.49,1879000,0.0,1.0
2010-11-04,10.65,10.8,10.51,10.73,10.73,3304400,0.0,1.0
2010-11-05,10.75,10.96,10.6,10.78,10.78,2855500,0.0,1.0
2010-11-08,10.88,11.23,10.71,11.11,11.11,3409900,0.0,1.0
2010-11-09,11.47,11.76,10.77,10.81,10.81,3781200,0.0,1.0
2010-11-10,11.14,11.21,10.76,10.99,10.99,2118700,0.0,1.0
2010-11-11,11.43,11.5,11.04,11.35,11.35,1923100,0.0,1.0
2010-11-12,11.25,11.27,10.81,10.95,10.95,2319300,0.0,1.0
2010-11-15,10.95,11.0499,10.66,10.67,10.67,920500,0.0,1.0
2010-11-16,10.8,10.8,10.35,10.565,10.565,1019500,0.0,1.0
2010-11-17,10.72,10.77,10.56,10.68,10.68,832800,0.0,1.0
2010-11-18,11.08,11.25,10.98,11.162,11.162,1216600,0.0,1.0
2010-11-19,11.1,11.3,10.92,11.27,11.27,978600,0.0,1.0
2010-11-22,11.33,11.44,11.24,11.39,11.39,1378600,0.0,1.0
2010-11-23,11.44,11.5,11.26,11.49,11.49,1040600,0.0,1.0
2010-11-24,11.52,11.75,11.41,11.74,11.74,812500,0.0,1.0
2010-11-26,11.49,11.6599,11.41,11.53,11.53,423300,0.0,1.0
2010-11-29,11.63,11.73,11.453,11.68,11.68,949000,0.0,1.0
2010-11-30,11.95,12.15,11.71,11.8001,11.8001,1307400,0.0,1.0
2010-12-01,12.02,12.04,11.81,11.9008,11.9008,673000,0.0,1.0
2010-12-02,11.97,12.45,11.94,12.08,12.08,1119300,0.0,1.0
2010-12-03,12.46,12.46,12.25,12.31,12.31,1327500,0.0,1.0
2010-12-06,12.49,13.15,12.45,12.87,12.87,1770500,0.0,1.0
2010-12-07,13.23,13.4744,12.4,12.5,12.5,2156500,0.0,1.0
2010-12-08,12.53,12.6,12.11,12.25,12.25,1268200,0.0,1.0
2010-12-09,12.68,12.68,12.2,12.4,12.4,852500,0.0,1.0
2010-12-10,12.31,12.62,12.2,12.62,12.62,1025700,0.0,1.0
2010-12-13,12.94,13.132,12.79,12.97,12.97,1167700,0.0,1.0
2010-12-14,13.1,13.43,12.94,13.05,13.05,1318600,0.0,1.0
2010-12-15,13.01,13.05,12.83,12.94,12.94,821100,0.0,1.0
2010-12-16,13.05,13.05,12.61,12.85,12.85,919800,0.0,1.0
2010-12-17,12.87,13.03,12.51,13.0,13.0,759800,0.0,1.0
2010-12-20,13.07,13.09,12.78,13.0,13.0,811300,0.0,1.0
2010-12-21,13.0,13.02,12.88,12.9,12.9,419700,0.0,1.0
2010-12-22,12.9,12.951,12.54,12.87,12.87,657500,0.0,1.0
2010-12-23,12.79,12.81,12.52,12.64,12.64,393400,0.0,1.0
2010-12-27,12.75,12.95,12.59,12.91,12.91,249300,0.0,1.0
2010-12-28,13.34,13.54,13.01,13.44,13.44,555700,0.0,1.0
2010-12-29,13.6,13.84,13.45,13.57,13.57,720300,0.0,1.0
2010-12-30,13.78,13.78,13.44,13.58,13.58,572100,0.0,1.0
2010-12-31,13.7,14.08,13.64,14.07,14.07,844000,0.0,1.0
2011-01-03,14.07,14.25,13.6,13.63,13.63,1118800,0.0,1.0
2011-01-04,13.5,13.58,12.74,13.06,13.06,2415800,0.0,1.0
2011-01-05,12.97,13.28,12.55,13.08,13.08,985500,0.0,1.0
2011-01-06,13.12,13.21,12.6,12.7,12.7,1356600,0.0,1.0
2011-01-07,12.65,12.96,12.35,12.49,12.49,1078800,0.0,1.0
2011-01-10,12.64,12.949,12.5,12.93,12.93,855800,0.0,1.0
2011-01-11,13.19,13.33,13.0801,13.3,13.3,845200,0.0,1.0
2011-01-12,13.37,13.47,13.09,13.24,13.24,646000,0.0,1.0
2011-01-13,13.45,13.45,12.75,12.87,12.87,773000,0.0,1.0
2011-01-14,12.73,12.87,12.43,12.87,12.87,836200,0.0,1.0
2011-01-18,13.0,13.17,12.87,13.08,13.08,818200,0.0,1.0
2011-01-19,13.21,13.29,12.81,12.85,12.85,754900,0.0,1.0
2011-01-20,12.6,12.6,12.15,12.2969,12.2969,1316400,0.0,1.0
2011-01-21,12.11,12.35,11.99,12.35,12.35,802100,0.0,1.0
2011-01-24,12.15,12.436,11.79,11.84,11.84,914300,0.0,1.0
2011-01-25,11.8,11.9,11.53,11.7,11.7,1154000,0.0,1.0
2011-01-26,11.87,12.07,11.719,12.07,12.07,765800,0.0,1.0
2011-01-27,12.27,12.27,11.66,11.72,11.72,603500,0.0,1.0
2011-01-28,11.86,12.33,11.75,12.23,12.23,689900,0.0,1.0
