date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-06-21,274.48,274.48,274.48,274.48,235.189850251,200,0.0,1.0
2006-06-22,276.52,279.48,276.52,279.2,239.234210835,14600,0.0,1.0
2006-06-23,280.8,280.8,277.84,279.16,239.199936593,16700,0.0,1.0
2006-06-26,279.24,280.48,278.76,279.2,239.234210835,16200,0.0,1.0
2006-06-27,279.2,284.8,279.2,284.6,243.861233537,62700,0.0,1.0
2006-06-28,284.6,285.8,281.8,282.8,242.318892636,152300,0.0,1.0
2006-06-29,278.96,281.36,276.0,277.2,237.520498723,68900,0.0,1.0
2006-06-30,277.2,279.8,274.64,275.88,236.389448729,58500,0.0,1.0
2006-07-03,275.0,275.52,274.08,274.48,235.189850251,18300,0.0,1.0
2006-07-05,277.6,280.5808,277.4,280.2,240.091066891,78300,0.0,1.0
2006-07-06,279.2,281.08,278.48,280.2,240.091066891,66200,0.0,1.0
2006-07-07,282.28,283.8,280.56,282.8,242.318892636,92100,0.0,1.0
2006-07-10,283.4,287.4,282.92,286.72,245.677768376,119300,0.0,1.0
2006-07-11,287.4,288.8,283.8,284.4,243.689862326,247100,0.0,1.0
2006-07-12,285.2,290.88,285.08,290.44,248.865272904,127700,0.0,1.0
2006-07-13,293.0,294.64,289.4,293.8,251.744309252,447400,0.0,1.0
2006-07-14,295.6,298.6,294.6,297.08,254.554797116,291400,0.0,1.0
2006-07-17,296.0,298.28,295.08,296.4,253.972134998,154500,0.0,1.0
2006-07-18,294.84,300.52,294.44,294.56,252.395519855,215100,0.0,1.0
2006-07-19,294.6,296.08,289.6,292.2,250.373339563,395300,0.0,1.0
2006-07-20,291.16,297.16,290.2,297.16,254.623345601,168600,0.0,1.0
2006-07-21,299.8,300.04,297.6,299.6,256.714074377,170900,0.0,1.0
2006-07-24,298.8,298.8,293.28,293.28,251.298744103,156600,0.0,1.0
2006-07-25,293.96,295.432,291.2,292.88,250.956001681,197800,0.0,1.0
2006-07-26,294.4,295.48,290.4,292.72,250.818904712,64300,0.0,1.0
2006-07-27,289.32,295.5196,289.12,294.72,252.532616824,89800,0.0,1.0
2006-07-28,293.08,293.32,288.2672,289.0,247.631400184,115600,0.0,1.0
2006-07-31,289.8,290.0,287.2,289.0,247.631400184,57700,0.0,1.0
2006-08-01,292.2,295.48,292.2,294.08,251.984228948,69600,0.0,1.0
2006-08-02,291.88,292.32,288.6,291.2,249.516483507,136400,0.0,1.0
2006-08-03,294.0,294.0,287.48,289.2,247.802771395,123700,0.0,1.0
2006-08-04,285.6,293.2,284.6,290.5996,249.002027131,250000,0.0,1.0
2006-08-07,292.2,293.96,290.28,292.56,250.681807743,71100,0.0,1.0
2006-08-08,292.16,296.28,291.2,294.4,252.258422886,91900,0.0,1.0
2006-08-09,291.0,295.3196,288.6,294.72,252.532616824,104400,0.0,1.0
2006-08-10,297.0,297.0,290.36,292.44,250.578985016,79700,0.0,1.0
2006-08-11,293.32,295.56,292.64,294.48,252.326971371,45900,0.0,1.0
2006-08-14,291.8,293.0,288.24,292.72,250.818904712,94400,0.0,1.0
2006-08-15,289.04,289.96,284.0,284.24,243.552765357,143800,0.0,1.0
2006-08-16,282.4,283.76,278.56,278.88,238.960016897,229300,0.0,1.0
2006-08-17,278.88,279.24,275.52,277.5096,237.785781358,104300,0.0,1.0
2006-08-18,278.08,280.56,277.0404,277.4,237.691869934,140500,0.0,1.0
2006-08-21,277.2,281.0,277.2,280.0,239.91969568,175700,0.0,1.0
2006-08-22,280.4,281.36,277.16,280.28,240.159615375,78400,0.0,1.0
2006-08-23,279.0,283.36,278.52,282.16,241.770504761,95700,0.0,1.0
2006-08-24,281.8,283.84,280.288,281.92,241.564859307,70200,0.0,1.0
2006-08-25,281.76,282.32,278.72,281.08,240.84510022,55800,0.0,1.0
2006-08-28,281.48,281.48,278.08,279.1996,239.233868092,47600,0.0,1.0
2006-08-29,279.96,282.28,278.08,278.256,238.425338718,101500,0.0,1.0
2006-08-30,277.6,279.2,276.96,277.08,237.417675996,79800,0.0,1.0
2006-08-31,276.92,278.28,276.36,277.56,237.828966903,50000,0.0,1.0
2006-09-01,275.6,277.16,275.2,275.88,236.389448729,137800,0.0,1.0
2006-09-05,276.88,277.48,273.3232,273.84,234.641462375,93500,0.0,1.0
2006-09-06,275.92,279.88,275.6,279.6,239.576953257,225200,0.0,1.0
2006-09-07,282.0,282.0,278.04,280.8,240.605180524,216000,0.0,1.0
2006-09-08,281.16,281.16,278.52,279.32,239.337033562,39800,0.0,1.0
2006-09-11,281.48,281.96,276.36,277.56,237.828966903,84000,0.0,1.0
2006-09-12,277.04,277.2,271.36,272.24,233.270492685,152700,0.0,1.0
2006-09-13,272.2,272.44,269.76,269.76,231.145489666,129000,0.0,1.0
2006-09-14,271.0,271.08,269.52,270.16,231.488232089,51800,0.0,1.0
2006-09-15,268.2,269.96,258.0,269.36,230.802747244,114200,0.0,1.0
2006-09-18,269.2,270.3596,267.24,269.44,230.871295728,47800,0.0,1.0
2006-09-19,269.0,273.72,269.0,271.64,232.756379052,99800,0.0,1.0
2006-09-20,268.4,268.92,266.6,267.32,229.05476089,103900,0.0,1.0
2006-09-21,266.72,269.6,265.84,269.4,230.837021486,98200,0.0,1.0
2006-09-22,269.6,272.6,269.6,271.4,232.550733598,86300,0.0,1.0
2006-09-25,271.2,272.76,266.08,266.8,228.60919574,93700,0.0,1.0
2006-09-26,267.4,267.6,265.04,265.52,227.512419989,129700,0.0,1.0
2006-09-27,265.6,267.96,264.08,266.24,228.129356349,65400,0.0,1.0
2006-09-28,264.88,267.88,264.88,265.48,227.478145747,33200,0.0,1.0
2006-09-29,265.6,266.64,264.68,266.4,228.266453318,28800,0.0,1.0
2006-10-02,267.12,270.4,266.6992,270.24,231.556780573,101300,0.0,1.0
2006-10-03,271.2,272.36,268.0,269.16,230.631376033,114700,0.0,1.0
2006-10-04,269.28,270.12,261.8,261.8,224.32491546,372100,0.0,1.0
2006-10-05,261.0,262.64,259.44,260.64,223.330962436,242700,0.0,1.0
2006-10-06,260.96,262.44,260.36,261.64,224.187818492,135200,0.0,1.0
2006-10-09,262.28,262.28,259.64,260.8,223.468059404,64500,0.0,1.0
2006-10-10,260.64,262.24,259.84,260.36,223.09104274,48700,0.0,1.0
2006-10-11,261.64,263.2,259.28,260.76,223.433785162,102400,0.0,1.0
2006-10-12,259.4,260.12,256.6,256.76,220.006360938,89500,0.0,1.0
2006-10-13,255.92,257.2,255.0404,255.8,219.183779124,117000,0.0,1.0
2006-10-16,255.68,255.88,254.6,255.4,218.841036702,50500,0.0,1.0
2006-10-17,257.44,260.04,257.44,258.6,221.582976081,275100,0.0,1.0
2006-10-18,257.16,260.9596,257.16,259.88,222.679751833,62800,0.0,1.0
2006-10-19,261.04,261.2,258.04,258.88,221.822895777,67000,0.0,1.0
2006-10-20,259.84,260.88,258.88,258.96,221.891444261,74800,0.0,1.0
2006-10-23,259.4,259.68,255.52,256.8,220.04063518,78800,0.0,1.0
2006-10-24,257.44,259.64,256.68,258.4,221.41160487,43500,0.0,1.0
2006-10-25,258.28,258.8,256.28,257.08,220.280554876,126300,0.0,1.0
2006-10-26,256.04,257.88,253.84,254.36,217.949906404,109400,0.0,1.0
2006-10-27,255.0,259.0,254.64,258.0,221.068862448,60000,0.0,1.0
2006-10-30,258.44,259.2,255.76,256.8,220.04063518,65600,0.0,1.0
2006-10-31,255.64,257.76,255.12,256.28,219.595070031,58400,0.0,1.0
2006-11-01,255.36,260.92,255.08,259.7204,222.542997606,76700,0.0,1.0
