date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,65.75,66.55,65.3,65.4,56.7867754998,4840900,0.0,1.0
1999-11-02,65.75,66.55,65.2,65.45,56.8301904658,6417400,0.0,1.0
1999-11-03,66.4,67.15,66.2,66.75,57.9589795813,9376300,0.0,1.0
1999-11-04,67.7,67.8,66.8,67.5,58.6102040709,10024300,0.0,1.0
1999-11-05,68.9,69.2,68.2,68.2,59.2180135946,7567300,0.0,1.0
1999-11-08,68.45,69.8,68.2,69.55,60.390217676,5445400,0.0,1.0
1999-11-09,70.15,70.25,68.5,69.1,59.9994829822,7314900,0.0,1.0
1999-11-10,69.15,70.6,68.8,70.0,60.7809523699,8280500,0.0,1.0
1999-11-11,70.75,71.35,70.15,71.25,61.8663265193,9250700,0.0,1.0
1999-11-12,71.65,72.25,69.4,72.2,62.6912108729,14323300,0.0,1.0
1999-11-15,72.25,72.5,71.7,72.05,62.560965975,5454700,0.0,1.0
1999-11-16,72.3,74.2,72.0,73.9,64.1673197162,9563200,0.0,1.0
1999-11-17,73.9,74.2,72.5,72.9,63.2990203966,10841800,0.0,1.0
1999-11-18,73.4,75.1,72.95,75.1,65.2092788997,8869200,0.0,1.0
1999-11-19,74.8,75.9,74.5,75.8,65.8170884234,8969700,0.0,1.0
1999-11-22,75.95,77.5,74.65,74.65,64.8185442059,9420900,0.0,1.0
1999-11-23,76.45,76.5,74.25,74.95,65.0790340017,12023800,0.0,1.0
1999-11-24,75.2,77.75,74.4,77.45,67.2497823006,9308900,0.0,1.0
1999-11-26,78.4,78.8,77.4,77.7,67.4668571305,4022600,0.0,1.0
1999-11-29,77.55,78.2,76.3,76.4,66.3380680151,10242600,0.0,1.0
1999-11-30,76.55,76.7,73.75,74.0,64.2541496481,11851200,0.0,1.0
1999-12-01,74.3,75.45,73.75,75.1,65.2092788997,11602900,0.0,1.0
1999-12-02,75.4,77.65,75.35,77.5,67.2931972666,8614600,0.0,1.0
1999-12-03,79.3,80.2,78.9,79.15,68.7258911439,10722300,0.0,1.0
1999-12-06,79.45,80.5,78.7,79.85,69.3337006676,8009200,0.0,1.0
1999-12-07,80.1,80.4,78.85,79.85,69.3337006676,11698500,0.0,1.0
1999-12-08,79.85,80.5,78.7,78.9,68.508816314,9781500,0.0,1.0
1999-12-09,80.0,80.45,77.25,79.25,68.8127210759,14222700,0.0,1.0
1999-12-10,79.9,80.2,78.15,79.9,69.3771156336,10214200,0.0,1.0
1999-12-13,79.65,81.35,79.3,81.0,70.3322448851,8104600,0.0,1.0
1999-12-14,80.75,81.2,79.0,79.55,69.0732108717,13880100,0.0,1.0
1999-12-15,78.65,81.05,77.95,81.05,70.3756598511,15898600,0.0,1.0
1999-12-16,82.15,83.25,81.75,83.05,72.1122584902,13609800,0.0,1.0
1999-12-17,84.5,84.875,83.43,83.78,72.7461169935,11946200,0.0,1.0
1999-12-20,84.4,85.25,83.7,84.9,73.7186122314,7696000,0.0,1.0
1999-12-21,85.15,89.45,84.65,89.45,77.6693741355,13001900,0.0,1.0
1999-12-22,89.2,89.3,87.45,89.15,77.4088843396,11156800,0.0,1.0
1999-12-23,89.85,90.75,89.0,90.2,78.3205986252,8771800,0.0,1.0
1999-12-27,90.3,90.35,87.9,89.7,77.8864489654,9640900,0.0,1.0
1999-12-28,89.75,90.5,88.55,89.15,77.4088843396,7673200,0.0,1.0
1999-12-29,90.0,92.5,89.9,92.5,80.3176870602,8256300,0.0,1.0
