date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,17.0,17.0625,16.985,16.985,5.63375334081,8600,0.0,1.0
1999-11-02,16.985,17.155,16.97,17.125,5.68018993002,60600,0.0,1.0
1999-11-03,17.11,17.11,17.0,17.095,5.67023923233,21800,0.0,1.0
1999-11-04,17.0625,17.095,16.875,16.905,5.60721814698,15700,0.0,1.0
1999-11-05,16.625,16.6725,16.625,16.6725,5.5301002399,2500,0.0,1.0
1999-11-08,16.735,16.735,16.25,16.61,5.50936961972,36300,0.0,1.0
1999-11-09,16.515,16.86,16.515,16.75,5.55580620892,2000,0.0,1.0
1999-11-10,16.75,16.875,16.75,16.8125,5.57653682911,500,0.0,1.0
1999-11-11,17.5625,17.8125,17.4375,17.4375,5.78384303093,16800,0.0,1.0
1999-11-12,17.845,18.0,17.75,17.75,5.88749613184,1100,0.0,1.0
1999-11-15,17.905,17.9375,17.845,17.9375,5.94968799239,4300,0.0,1.0
1999-11-16,18.095,18.5625,18.095,18.5,6.13626357404,35100,0.0,1.0
1999-11-17,19.75,20.235,19.75,19.765,6.55585132653,78900,0.0,1.0
1999-11-18,20.0,20.0,19.9225,19.97,6.62384776073,24900,0.0,1.0
1999-11-19,19.75,19.905,19.75,19.845,6.58238652036,58400,0.0,1.0
1999-11-22,19.6875,19.6875,19.405,19.4225,6.44224752793,9600,0.0,1.0
1999-11-23,19.655,19.8125,19.53,19.53,6.47790419464,26800,0.0,1.0
1999-11-24,19.47,19.655,19.4375,19.5,6.46795349696,35000,0.0,1.0
1999-11-26,18.875,19.0625,18.875,19.0625,6.32283915568,10500,0.0,1.0
1999-11-29,19.595,19.75,19.5475,19.5625,6.48868411714,5100,0.0,1.0
1999-11-30,19.625,19.6875,19.4375,19.4375,6.44722287677,3700,0.0,1.0
1999-12-01,20.0,20.125,20.0,20.0475,6.64955372976,5600,0.0,1.0
1999-12-02,20.375,20.4375,20.25,20.36,6.75320683067,7500,0.0,1.0
1999-12-03,20.125,20.125,19.905,20.0,6.63379845842,110600,0.0,1.0
1999-12-06,19.9375,20.0625,19.905,19.9225,6.60809248939,69700,0.0,1.0
1999-12-07,20.125,20.1875,20.03,20.03,6.6437491561,155200,0.0,1.0
1999-12-08,20.095,20.25,20.0,20.0775,6.65950442744,235900,0.0,1.0
1999-12-09,20.625,20.8125,20.5475,20.5625,6.82037404006,12200,0.0,1.0
1999-12-10,20.595,20.655,20.4375,20.4375,6.77891279969,8600,0.0,1.0
1999-12-13,20.47,20.75,20.47,20.625,6.84110466024,12300,0.0,1.0
1999-12-14,20.5625,20.625,19.8125,19.8125,6.57160659787,23300,0.0,1.0
1999-12-15,20.845,21.8125,20.845,21.5,7.1313333428,40200,0.0,1.0
1999-12-16,23.75,23.78,22.875,23.1875,7.69106008773,27100,0.0,1.0
1999-12-17,23.265,23.375,23.1725,23.28,7.7217414056,14600,0.0,1.0
1999-12-20,23.25,23.25,22.78,22.78,7.55589644414,2900,0.0,1.0
1999-12-21,22.5625,22.5625,22.25,22.3125,7.40083140517,52700,0.0,1.0
1999-12-22,22.9375,22.97,22.405,22.47,7.45307256803,50700,0.0,1.0
1999-12-23,22.47,22.5,22.3275,22.4225,7.43731729669,52900,0.0,1.0
1999-12-27,22.25,22.3125,22.1875,22.235,7.37512543614,1600,0.0,1.0
1999-12-28,22.0,22.0,21.8125,21.905,7.26566776158,4300,0.0,1.0
1999-12-29,22.875,23.22,22.8125,23.0,7.62886822718,13800,0.0,1.0
1999-12-30,23.5,23.5,23.345,23.345,7.74330125059,4800,0.0,1.0
1999-12-31,23.36,23.6875,23.36,23.6875,7.85690504919,4100,0.0,1.0
2000-01-03,23.875,23.9375,23.5775,23.75,7.87763566937,10700,0.0,1.0
2000-01-04,24.095,24.1875,23.8125,23.8125,7.89836628955,147100,0.0,1.0
