date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,2.625,2.6875,2.57875,2.57875,2.03028788363,708100,0.0,1.0
1999-11-02,2.57875,2.65625,2.57,2.60125,2.04800246526,711300,0.0,1.0
1999-11-03,2.59375,2.65625,2.59375,2.625,2.06670119031,684700,0.0,1.0
1999-11-04,2.6325,2.6325,2.47625,2.5,1.96828684792,995200,0.0,1.0
1999-11-05,2.5475,2.5475,2.485,2.5,1.96828684792,605900,0.0,1.0
1999-11-08,2.51625,2.51625,2.40625,2.43,1.91317481618,558100,0.0,1.0
1999-11-09,2.46875,2.47625,2.39125,2.39875,1.88857123058,560100,0.0,1.0
1999-11-10,2.395,2.4375,2.3825,2.39125,1.88266637003,693300,0.0,1.0
1999-11-11,2.39125,2.40625,2.32875,2.34375,1.84526891992,590700,0.0,1.0
1999-11-12,2.395,2.40625,2.32875,2.33625,1.83936405938,988700,0.0,1.0
1999-11-15,2.375,2.375,2.2975,2.35125,1.85117378047,855100,0.0,1.0
1999-11-16,2.3675,2.39125,2.3125,2.375,1.86987250552,1268400,0.0,1.0
1999-11-17,2.3125,2.32875,2.22625,2.27375,1.79015688818,862200,0.0,1.0
1999-11-18,2.28875,2.3125,2.1875,2.2575,1.77736302367,1329800,0.0,1.0
1999-11-19,2.2575,2.26625,2.20375,2.20375,1.73504485644,919300,0.0,1.0
1999-11-22,2.20375,2.2575,2.14125,2.2575,1.77736302367,1453400,0.0,1.0
1999-11-23,2.27375,2.28125,2.14875,2.23,1.75571186834,1228100,0.0,1.0
1999-11-24,2.22625,2.235,2.195,2.22625,1.75275943807,551500,0.0,1.0
1999-11-26,2.21875,2.235,2.20375,2.22625,1.75275943807,277100,0.0,1.0
1999-11-29,2.22625,2.28125,2.21125,2.2425,1.76555330258,955500,0.0,1.0
1999-11-30,2.25,2.40625,2.25,2.39875,1.88857123058,1803400,0.0,1.0
1999-12-01,2.40625,2.5,2.3825,2.47625,1.95278658899,1412700,0.0325,1.0
1999-12-02,2.47625,2.52375,2.28875,2.45375,1.93504294507,1912200,0.0,1.0
1999-12-03,2.4925,2.51625,2.46125,2.485,1.95968689496,1339800,0.0,1.0
1999-12-06,2.46875,2.47625,2.39875,2.40625,1.89758414124,903700,0.0,1.0
1999-12-07,2.4025,2.40625,2.32,2.36,1.86111109541,1473600,0.0,1.0
1999-12-08,2.35125,2.36,2.32875,2.34375,1.84829624147,855600,0.0,1.0
1999-12-09,2.33625,2.39875,2.32875,2.39125,1.8857550453,639900,0.0,1.0
1999-12-10,2.39875,2.46875,2.35125,2.4375,1.92222809113,425100,0.0,1.0
1999-12-13,2.4025,2.40625,2.3125,2.32875,1.83646714553,750200,0.0,1.0
1999-12-14,2.2975,2.3675,2.2575,2.3675,1.86702564339,551200,0.0,1.0
1999-12-15,2.26625,2.34375,2.18,2.22625,1.7556349899,1684900,0.0,1.0
1999-12-16,2.20375,2.28875,2.20375,2.2575,1.78027893979,1500200,0.0,1.0
1999-12-17,2.25,2.5475,2.21875,2.53125,1.99615994079,2939700,0.0,1.0
1999-12-20,2.46125,2.485,2.2975,2.305,1.81773774361,715300,0.0,1.0
1999-12-21,2.2575,2.27375,2.18,2.1875,1.72507649204,998600,0.0,1.0
1999-12-22,2.21875,2.2425,2.125,2.1325,1.68170314024,691400,0.0,1.0
1999-12-23,2.14125,2.21125,2.1325,2.19875,1.733948314,714100,0.0,1.0
1999-12-27,2.14125,2.195,2.125,2.195,1.73099104001,605300,0.0,1.0
1999-12-28,2.20375,2.26625,2.18,2.235,1.76253529587,648500,0.0,1.0
1999-12-29,2.25,2.27375,2.14125,2.18,1.71916194407,417400,0.0,1.0
1999-12-30,2.18,2.36,2.1725,2.25,1.77436439181,614200,0.0,1.0
