date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,3.36,3.51625,3.32875,3.3825,2.77984521113,3400500,0.0,1.0
1999-11-02,3.41375,3.5,3.35125,3.3825,2.77984521113,2605400,0.0,1.0
1999-11-03,3.40625,3.43,3.28125,3.32875,2.73567176542,2769800,0.0,1.0
1999-11-04,3.33625,3.375,3.235,3.32,2.72848073938,2784900,0.0,1.0
1999-11-05,3.5075,3.6725,3.5,3.59375,2.95345712564,5720700,0.0,1.0
1999-11-08,3.59375,3.64875,3.57875,3.6175,2.97297562491,2868100,0.0,1.0
1999-11-09,3.61,3.695,3.51625,3.6325,2.98530309813,2188500,0.0,1.0
1999-11-10,3.60125,3.65625,3.485,3.53875,2.9082563905,1278100,0.0,1.0
1999-11-11,3.555,3.625,3.485,3.53875,2.9082563905,1396500,0.0,1.0
1999-11-12,3.53875,3.58625,3.4925,3.53125,2.90209265389,1966900,0.0,1.0
1999-11-15,3.53875,3.53875,3.46875,3.52375,2.89592891728,1627700,0.0,1.0
1999-11-16,3.52375,3.555,3.41375,3.5475,2.91544741655,2266300,0.0,1.0
1999-11-17,3.53125,3.6325,3.52375,3.61,2.9668118883,1844400,0.0,1.0
1999-11-18,3.65625,3.82,3.625,3.76625,3.09522306767,4220000,0.0,1.0
1999-11-19,3.8825,3.8825,3.51625,3.5475,2.91544741655,4052000,0.0,1.0
1999-11-22,3.57,3.59375,3.4375,3.46875,2.85072818214,1570200,0.0,1.0
1999-11-23,3.5075,3.51625,3.2975,3.375,2.77368147452,3165900,0.0,1.0
1999-11-24,3.36,3.4375,3.25,3.4375,2.82504594627,1968900,0.0,1.0
1999-11-26,3.43,3.4375,3.32,3.34375,2.74799923864,548300,0.0,1.0
1999-11-29,3.35125,3.40625,3.3125,3.33625,2.74183550203,1954900,0.0,1.0
1999-11-30,3.33625,3.40625,3.2975,3.32,2.72848073938,1556000,0.0,1.0
1999-12-01,3.32,3.39125,3.28125,3.32,2.72848073938,1379300,0.0,1.0
1999-12-02,3.33625,3.47625,3.32875,3.46125,2.84456444553,2599500,0.0,1.0
1999-12-03,3.5625,3.64125,3.46875,3.47625,2.85689191875,2836500,0.0,1.0
1999-12-06,3.4375,3.555,3.34375,3.3675,2.76751773791,1696100,0.0,1.0
1999-12-07,3.375,3.4225,3.34375,3.3825,2.77984521113,1498800,0.0,1.0
1999-12-08,3.375,3.3825,3.14125,3.22625,2.65143403175,2208200,0.0,1.0
1999-12-09,3.1875,3.21875,2.96875,3.0075,2.47165838062,4123600,0.0,1.0
1999-12-10,3.055,3.195,3.0,3.16375,2.60006956,2713100,0.0,1.0
1999-12-13,3.16375,3.3125,3.11,3.16375,2.60006956,1907700,0.0,1.0
1999-12-14,3.18,3.20375,3.0625,3.09375,2.54254135164,2309400,0.0,1.0
1999-12-15,3.09375,3.16375,3.08625,3.15625,2.59390582339,1137100,0.0,1.0
1999-12-16,3.1325,3.1725,3.055,3.15625,2.59390582339,1917100,0.0,1.0
1999-12-17,3.34375,3.375,3.25,3.26625,2.68430729367,3175400,0.0,1.0
1999-12-20,3.2575,3.32,3.16375,3.25,2.67095253102,1288500,0.0,1.0
1999-12-21,3.25,3.32875,3.07,3.21125,2.63910655853,2349800,0.0,1.0
1999-12-22,3.14875,3.235,3.07,3.1875,2.61958805927,1951200,0.0,1.0
1999-12-23,3.195,3.25,3.125,3.15625,2.59390582339,1125900,0.0,1.0
1999-12-27,3.125,3.20375,3.0625,3.11,2.5558961143,1284600,0.0,1.0
1999-12-28,3.055,3.15625,3.0475,3.14875,2.58774208678,1341000,0.0,1.0
1999-12-29,3.10125,3.1175,3.0475,3.08625,2.53637761503,1176600,0.0,1.0
1999-12-30,3.0475,3.10125,3.01625,3.01625,2.47884940667,1506800,0.0,1.0
1999-12-31,3.01625,3.10125,2.96875,3.03125,2.49117687989,1629600,0.0,1.0
2000-01-03,2.985,3.08625,2.90625,3.0825,2.53329574673,3029000,0.0,1.0
2000-01-04,3.0075,3.11,2.96875,2.985,2.45316717079,2695600,0.0,1.0
2000-01-05,2.9925,3.07875,2.96125,2.9925,2.4593309074,3525800,0.0,1.0
2000-01-06,3.0,3.20375,3.0,3.1325,2.57438732413,3853200,0.0,1.0
2000-01-07,3.09375,3.125,3.03125,3.1175,2.56205985091,3255600,0.0,1.0
2000-01-10,3.235,3.34375,3.22625,3.25,2.67095253102,3628900,0.0,1.0
2000-01-11,3.2425,3.2575,3.14875,3.15625,2.59390582339,2452900,0.0,1.0
2000-01-12,3.1725,3.21875,3.09375,3.16375,2.60006956,2218200,0.0,1.0
2000-01-13,3.1725,3.40625,3.1725,3.39125,2.78703623717,2694500,0.0,1.0
2000-01-14,3.39875,3.445,3.28875,3.305,2.71615326616,2774600,0.0,1.0
