date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-11-03,24.21,24.65,24.19,24.63,18.4206126571,191500,0.0,1.0
2009-11-04,24.99,25.13,24.84,24.91,18.6300227888,115000,0.0,1.0
2009-11-05,25.3,25.39,25.09,25.232,18.8708444402,93300,0.0,1.0
2009-11-06,25.2,25.89,25.0,25.35,18.9590958529,164000,0.0,1.0
2009-11-09,25.88,26.14,25.77,26.1,19.5200158485,233500,0.0,1.0
2009-11-10,25.93,25.98,25.71,25.89,19.3629582498,163400,0.0,1.0
2009-11-11,26.19,26.255,25.9,25.97,19.422789716,277500,0.0,1.0
2009-11-12,26.02,26.03,25.5,25.594,19.1415818248,132100,0.0,1.0
2009-11-13,25.85,26.01,25.6,25.91,19.3779161163,115700,0.0,1.0
2009-11-16,26.17,26.49,26.13,26.34,19.6995102472,184200,0.0,1.0
2009-11-17,26.19,26.2,25.92,26.17,19.5723683815,195800,0.0,1.0
2009-11-18,26.27,26.27,25.98,26.13,19.5424526484,123600,0.0,1.0
2009-11-19,25.86,25.86,25.4,25.67,19.1984217177,157300,0.0,1.0
2009-11-20,25.39,25.51,25.19,25.49,19.0638009188,113400,0.0,1.0
2009-11-23,26.08,26.22,25.86,25.95,19.4078318494,106800,0.0,1.0
2009-11-24,25.98,25.98,25.644,25.8,19.2956478503,141700,0.0,1.0
2009-11-25,26.05,26.21,25.89,26.19,19.587326248,92800,0.0,1.0
2009-11-27,25.24,25.56,25.0,25.422,19.0129441725,157100,0.0,1.0
2009-11-30,25.5,25.64,25.26,25.5,19.071279852,123700,0.0,1.0
2009-12-01,26.02,26.28,25.94,26.225,19.6135025145,101300,0.0,1.0
2009-12-02,26.27,26.39,26.152,26.237,19.6224772344,84800,0.0,1.0
2009-12-03,26.46,26.49,26.08,26.1,19.5200158485,70200,0.0,1.0
2009-12-04,26.45,26.5,25.846,26.129,19.541704755,169500,0.0,1.0
2009-12-07,26.09,26.1465,25.89,25.93,19.3928739829,116300,0.0,1.0
2009-12-08,25.77,25.78,25.38,25.46,19.0413641189,227100,0.0,1.0
2009-12-09,25.5,25.53,25.19,25.494,19.0667924921,127300,0.0,1.0
2009-12-10,25.7,25.73,25.47,25.59,19.1385902515,72300,0.0,1.0
2009-12-11,25.73,25.73,25.5,25.6,19.1460691848,98800,0.0,1.0
2009-12-14,25.86,25.88,25.67,25.84,19.3255635834,228100,0.0,1.0
2009-12-15,25.68,25.71,25.51,25.57,19.123632385,150800,0.0,1.0
2009-12-16,25.86,25.99,25.77,25.838,19.3240677967,154300,0.0,1.0
2009-12-17,25.52,25.52,25.14,25.18,18.8319539872,162200,0.0,1.0
2009-12-18,25.34,25.402,25.0,25.24,18.8768275869,133800,0.0,1.0
