date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-11-25,284.3,284.3,282.5,282.5,282.5,200,0.0,1.0
2008-11-26,265.59999999999997,270.2,239.1,239.1,239.1,12500,0.0,1.0
2008-11-28,258.8,271.70000000000005,258.8,267.4,267.4,11000,0.0,1.0
2008-12-01,279.0,292.2,272.0,292.2,292.2,12000,0.0,1.0
2008-12-02,281.4,316.0,281.1,313.09999999999997,313.1,9000,0.0,1.0
2008-12-03,320.6,326.3,302.0,320.0,320.0,22500,0.0,1.0
2008-12-04,334.4,368.7,320.5,367.2,367.2,54000,0.0,1.0
2008-12-05,379.09999999999997,413.5,370.5,391.8,391.8,108500,0.0,1.0
2008-12-08,358.1,369.4,336.5,341.8,341.8,85500,0.0,1.0
2008-12-09,360.09999999999997,379.7,342.0,374.7,374.7,27500,0.0,1.0
2008-12-10,348.40000000000003,379.20000000000005,316.3,351.9,351.9,125500,0.0,1.0
2008-12-11,319.8,321.0,269.7,289.001,289.001,180000,0.0,1.0
2008-12-12,321.1,323.0,285.3,289.5,289.5,63000,0.0,1.0
2008-12-15,261.8,315.001,257.4,315.001,315.001,64500,0.0,1.0
2008-12-16,298.2,333.699,291.0,318.29999999999995,318.3,125000,0.0,1.0
2008-12-17,320.4,347.299,307.0,330.09999999999997,330.1,93000,0.0,1.0
2008-12-18,354.09999999999997,382.88,353.9,382.65999999999997,382.66,75500,0.0,1.0
2008-12-19,367.59999999999997,403.8,361.8,370.0,370.0,76000,0.0,1.0
2008-12-22,375.20000000000005,417.2,365.09999999999997,416.0,416.0,135500,0.0,1.0
2008-12-23,410.20000000000005,455.79999999999995,406.3,434.399,434.399,176500,0.0,1.0
2008-12-24,463.9,473.6,454.5,462.496,462.496,87000,0.0,1.0
2008-12-26,499.79999999999995,499.79999999999995,441.9,449.0,449.0,184000,0.0,1.0
2008-12-29,409.7,447.1,391.4,393.0,393.0,194000,0.0,1.0
2008-12-30,411.4,427.5,393.29999999999995,394.0,394.0,184000,0.0,1.0
2008-12-31,415.0,415.0,303.0,316.6,316.6,1005000,0.0,1.0
2009-01-02,300.3,306.3,267.7,272.0,272.0,802500,0.0,1.0
2009-01-05,270.79999999999995,274.6,239.89999999999998,246.70000000000002,246.7,832000,0.0,1.0
2009-01-06,230.2,247.86,225.39999999999998,241.8,241.8,825500,0.0,1.0
2009-01-07,247.5,293.09999999999997,247.39999999999998,293.09999999999997,293.1,1205500,0.0,1.0
2009-01-08,299.1,317.5,292.0,294.20000000000005,294.2,1541500,0.0,1.0
2009-01-09,312.5,329.0,303.29999999999995,310.3,310.3,886500,0.0,1.0
2009-01-12,335.79999999999995,345.20000000000005,329.7,341.1,341.1,889000,0.0,1.0
2009-01-13,337.59999999999997,343.29999999999995,307.6,317.4,317.4,1145000,0.0,1.0
2009-01-14,322.59999999999997,354.899,322.59999999999997,329.20000000000005,329.2,1203500,0.0,1.0
2009-01-15,335.6,379.20000000000005,335.6,351.1,351.1,1116000,0.0,1.0
