date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-02-11,20692.48,20759.04,19860.48,19970.56,19327.4538532,4800,0.0,1.0
2010-02-12,20572.16,20728.2944,20154.752,20339.2,19684.2226463,3600,0.0,1.0
2010-02-16,19808.256,19824.64,19095.04,19166.72,18549.4996794,6000,0.0,1.0
2010-02-17,19002.88,19056.64,18810.9056,18905.6,18296.788451,5600,0.0,1.0
2010-02-18,18979.84,18979.84,18380.8,18416.6144,17823.5495123,23600,0.0,1.0
2010-02-19,18549.76,18670.08,18168.32,18365.44,17774.0230667,56000,0.0,1.0
2010-02-22,18168.32,18488.32,18168.32,18462.72,17868.1703871,9600,0.0,1.0
2010-02-23,18529.8432,18992.64,18293.76,18977.6384,18366.5070193,33600,0.0,1.0
2010-02-24,18785.28,18887.68,18360.32,18470.4,17875.6030703,48000,0.0,1.0
2010-02-25,19304.96,19425.28,18711.04,18711.04,18108.4938102,45200,0.0,1.0
2010-02-26,18677.76,18982.4,18567.68,18711.04,18108.4938102,35600,0.0,1.0
2010-03-01,18485.76,18552.32,18237.44,18301.44,17712.0840401,20400,0.0,1.0
2010-03-02,18176.0,18327.04,18035.2,18311.68,17721.9942844,28000,0.0,1.0
2010-03-03,18147.84,18396.16,17971.2,18319.104,17729.1792114,17600,0.0,1.0
2010-03-04,18211.84,18278.4,18048.0,18060.7744,17479.1685246,12000,0.0,1.0
2010-03-05,17920.0,17920.0,17405.4656,17428.48,16867.2357176,81200,0.0,1.0
2010-03-08,17423.36,17500.16,17423.36,17495.04,16931.6523052,8000,0.0,1.0
2010-03-09,17510.1952,17528.32,17254.4,17418.24,16857.3254733,21200,0.0,1.0
2010-03-10,17369.6,17512.96,17254.4,17384.96,16825.1171795,18800,0.0,1.0
2010-03-11,17461.76,17635.84,17154.56,17154.5856,16602.1614594,25600,0.0,1.0
2010-03-12,16939.52,17213.44,16939.52,17093.12,16542.6752183,44000,0.0,1.0
2010-03-15,17131.52,17290.24,16995.84,17003.52,16455.9605811,13200,0.0,1.0
2010-03-16,16924.16,17082.88,16752.64,16752.64,16213.1595969,31200,0.0,1.0
2010-03-17,16668.16,16668.16,16407.04,16583.68,16049.6405668,17600,0.0,1.0
2010-03-18,16514.56,16532.48,16330.24,16353.28,15826.6600711,18000,0.0,1.0
2010-03-19,16184.32,16698.88,16174.08,16535.04,16002.5669066,36800,0.0,1.0
2010-03-22,16701.44,16724.48,16227.84,16286.72,15762.2434834,32400,0.0,1.0
2010-03-23,16222.72,16284.1088,15838.6944,15859.2,15348.4907859,34800,0.0,1.0
2010-03-24,15979.52,16107.52,15869.44,16061.44,15544.2181099,17200,0.0,1.0
2010-03-25,15772.16,16066.56,15564.8256,16035.8656,15519.4672749,31600,0.0,1.0
2010-03-26,15948.8,16122.8544,15764.4544,15987.2,15472.3688391,18800,0.0,1.0
2010-03-29,15843.84,15861.76,15736.2944,15787.52,15279.1190761,20000,0.0,1.0
2010-03-30,15800.32,15877.0944,15242.24,15772.16,15264.2537098,13200,0.0,1.0
2010-03-31,15843.84,16046.08,15779.84,15976.96,15462.4585948,32800,0.0,1.0
2010-04-01,15651.84,15902.72,15526.4,15641.6,15137.8980955,19200,0.0,1.0
2010-04-05,15516.16,15646.72,15393.28,15449.6,14952.0810158,13600,0.0,1.0
2010-04-06,15585.28,15621.12,15393.28,15467.52,14969.4239432,39200,0.0,1.0
2010-04-07,15572.48,15918.08,15464.96,15754.24,15246.9107823,20000,0.0,1.0
2010-04-08,15892.48,15966.72,15518.72,15598.08,15095.7795575,18000,0.0,1.0
2010-04-09,15526.4,15564.8,15307.776,15315.2256,14822.0338356,17200,0.0,1.0
2010-04-12,15244.8,15316.48,15173.12,15304.96,14812.0988157,12000,0.0,1.0
2010-04-13,15324.16,15513.5744,15157.76,15232.0,14741.4883254,13600,0.0,1.0
2010-04-14,15068.16,15078.4,14784.0,14799.36,14322.7805058,23200,0.0,1.0
2010-04-15,14850.56,14860.8,14656.512,14696.96,14223.6780633,30400,0.0,1.0
2010-04-16,14776.32,15360.0,14720.0,15183.36,14694.4146652,46400,0.0,1.0
2010-04-19,15321.6,15359.616,14891.52,14899.2,14419.4053872,26400,0.0,1.0
2010-04-20,14763.52,14912.0,14691.84,14817.28,14340.1234332,18800,0.0,1.0
2010-04-21,14791.68,14955.52,14656.0,14776.32,14300.4824562,25600,0.0,1.0
2010-04-22,15034.88,15179.264,14656.0,14712.32,14238.5434296,23600,0.0,1.0
2010-04-23,14740.48,14786.56,14443.52,14446.08,13980.8770791,31200,0.0,1.0
2010-04-26,14330.88,14417.9456,14249.472,14417.9456,13953.648683,13200,0.0,1.0
2010-04-27,14528.0,15303.68,14197.76,15249.92,14758.8312529,46000,0.0,1.0
2010-04-28,15047.68,15336.96,14904.32,15047.68,14563.1039289,43200,0.0,1.0
2010-04-29,14830.08,14830.08,14412.8256,14548.48,14079.9795216,21200,0.0,1.0
2010-04-30,14471.6544,15162.88,14338.56,15137.28,14649.8185661,54400,0.0,1.0
2010-05-03,14894.08,14924.8,14451.2,14548.48,14079.9795216,23200,0.0,1.0
2010-05-04,14958.08,15546.88,14958.08,15429.12,14932.2605273,55600,0.0,1.0
2010-05-05,15746.56,15859.2,15334.4,15667.2,15162.6737062,99200,0.0,1.0
2010-05-06,15802.88,20224.0,12800.0,17128.96,16577.3610732,14028,0.0,1.0
