date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-07-13,1153.6,1177.76,1152.96,1175.68,886.294451518,37600,0.0,1.0
2006-07-14,1177.6,1203.2,1177.6,1184.0,892.566540723,214400,0.0,1.0
2006-07-17,1184.0,1197.76,1180.8,1192.8,899.200481229,268400,0.0,1.0
2006-07-18,1185.6,1211.2,1183.2,1186.4,894.375797225,290000,0.0,1.0
2006-07-19,1176.0,1176.0,1140.8,1145.6,863.6184367,184800,0.0,1.0
2006-07-20,1138.4,1164.32,1138.4,1164.32,877.730637411,146800,0.0,1.0
2006-07-21,1164.32,1183.2,1164.32,1179.52,889.18926192,163200,0.0,1.0
2006-07-24,1168.0,1169.6,1140.48,1144.0,862.412265699,184000,0.0,1.0
2006-07-25,1144.8,1151.04,1122.08,1129.92,851.79796089,182800,0.0,1.0
2006-07-26,1133.92,1141.6,1120.0,1126.4,849.144384688,175200,0.0,1.0
2006-07-27,1117.76,1141.92,1115.36,1141.92,860.844243398,160800,0.0,1.0
2006-07-28,1130.88,1131.2,1108.16,1116.32,841.545507382,174000,0.0,1.0
2006-07-31,1112.48,1120.32,1112.48,1117.12,842.148592882,111200,0.0,1.0
2006-08-01,1128.64,1137.44,1124.4816,1128.16,850.471172789,149600,0.0,1.0
2006-08-02,1119.2,1121.6,1104.96,1115.04,840.580570581,138400,0.0,1.0
2006-08-03,1127.04,1127.04,1104.0,1111.68,838.047611479,170400,0.0,1.0
2006-08-04,1086.4,1121.92,1085.6,1113.28,839.25378248,223200,0.0,1.0
2006-08-07,1120.0,1128.0,1115.2016,1120.1584,844.439111613,119200,0.0,1.0
2006-08-08,1117.12,1134.2384,1108.48,1130.08,851.91857799,237200,0.0,1.0
2006-08-09,1118.4,1141.76,1108.48,1141.76,860.723626297,288000,0.0,1.0
2006-08-10,1146.56,1147.36,1127.2,1132.16,853.486600292,215200,0.0,1.0
2006-08-11,1134.72,1144.96,1132.16,1137.6,857.587581695,132800,0.0,1.0
2006-08-14,1122.4,1137.44,1116.0,1136.32,856.622644894,104000,0.0,1.0
2006-08-15,1112.16,1119.84,1102.4,1102.4,831.051819673,215200,0.0,1.0
2006-08-16,1097.76,1100.8,1085.6,1089.92,821.643685866,256000,0.0,1.0
2006-08-17,1091.36,1093.76,1077.92,1085.12,818.025172863,182400,0.0,1.0
2006-08-18,1080.8,1093.6,1076.64,1077.76,812.476786258,140400,0.0,1.0
2006-08-21,1086.56,1089.12,1082.88,1083.2,816.577767662,106400,0.0,1.0
2006-08-22,1086.4,1092.8,1078.24,1084.96,817.904555763,125600,0.0,1.0
2006-08-23,1084.96,1100.8,1078.56,1092.8,823.814793668,203600,0.0,1.0
2006-08-24,1091.2,1098.08,1088.0,1091.36,822.729239767,158400,0.0,1.0
2006-08-25,1095.36,1095.36,1084.48,1090.56,822.126154266,112400,0.0,1.0
2006-08-28,1094.88,1094.88,1076.48,1080.96,814.88912826,179600,0.0,1.0
2006-08-29,1085.28,1092.48,1076.48,1076.9616,811.874906929,198800,0.0,1.0
2006-08-30,1072.32,1080.4784,1072.32,1076.32,811.391232357,102400,0.0,1.0
2006-08-31,1074.72,1080.96,1074.08,1078.56,813.079871759,51600,0.0,1.0
2006-09-01,1071.84,1076.96,1065.76,1068.16,805.239760252,165200,0.0,1.0
2006-09-05,1072.16,1073.76,1062.728,1065.1216,802.949241522,130800,0.0,1.0
2006-09-06,1072.0,1088.0,1072.0,1084.0,817.180853162,322400,0.0,1.0
2006-09-07,1095.04,1100.48,1084.96,1098.56,828.157009271,514400,0.0,1.0
2006-09-08,1094.72,1097.12,1086.08,1089.28,821.161217465,150400,0.0,1.0
2006-09-11,1096.0,1103.84,1082.4,1089.6,821.402451666,307200,0.0,1.0
2006-09-12,1080.8,1087.04,1065.44,1067.2,804.516057652,316400,0.0,1.0
2006-09-13,1069.12,1072.0,1055.2,1059.36,798.605819747,217200,0.0,1.0
2006-09-14,1064.0,1069.28,1061.6,1067.04,804.395440552,297200,0.0,1.0
2006-09-15,1055.84,1061.6,1032.32,1061.6,800.294459148,271600,0.0,1.0
