date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-06-21,140.14,140.14,138.1,138.38,108.664261789,4400,0.0,1.0
2006-06-22,139.1,140.04,139.0,139.48,109.528047654,7200,0.0,1.0
2006-06-23,139.92,139.96,138.64,139.52,109.559458049,8100,0.0,1.0
2006-06-26,139.6,139.8,138.98,139.08,109.213943703,8800,0.0,1.0
2006-06-27,139.0,140.34,139.0,140.28,110.156255556,17700,0.0,1.0
2006-06-28,140.08,140.5,139.56,139.56,109.590868444,123700,0.0,1.0
2006-06-29,138.78,138.78,136.44,136.5,107.18797322,54600,0.0,1.0
2006-06-30,136.4,136.7,136.26,136.7,107.345025196,16400,0.0,1.0
2006-07-03,136.5,136.62,135.84,135.9,106.716817294,21600,0.0,1.0
2006-07-05,136.86,137.48,136.8,136.9,107.502077171,37800,0.0,1.0
2006-07-06,136.6,136.98,136.16,136.7,107.345025196,36200,0.0,1.0
2006-07-07,137.06,137.94,136.62,137.68,108.114579875,73600,0.0,1.0
2006-07-10,137.24,137.84,136.8,137.54,108.004643492,30300,0.0,1.0
2006-07-11,137.88,138.42,136.82,136.86,107.470666776,77700,0.0,1.0
2006-07-12,136.8,138.7,136.8,138.5,108.758492974,113900,0.0,1.0
2006-07-13,139.2,140.48,138.82,140.36,110.219076346,224400,0.0,1.0
2006-07-14,140.74,142.0,140.48,140.96,110.690232272,192800,0.0,1.0
2006-07-17,141.2,141.66,140.62,141.4,111.035746618,137700,0.0,1.0
2006-07-18,141.2,142.42,140.66,141.0,110.721642667,113900,0.0,1.0
2006-07-19,140.8,140.8,138.32,138.52,108.774198172,217900,0.0,1.0
2006-07-20,138.04,139.88,138.04,139.88,109.842151605,49100,0.0,1.0
2006-07-21,139.88,141.06,139.852,140.78,110.548885494,92200,0.0,1.0
2006-07-24,140.0,140.1,138.34,138.48,108.742787777,125600,0.0,1.0
2006-07-25,138.6,139.0,137.26,137.78,108.193105863,33700,0.0,1.0
2006-07-26,138.02,138.46,137.08,137.572,108.029771808,37900,0.0,1.0
2006-07-27,137.04,138.56,137.0,138.4,108.679966987,82400,0.0,1.0
2006-07-28,139.0,139.0,136.5608,136.8208,107.439884589,50200,0.0,1.0
2006-07-31,137.18,137.38,136.8,136.84,107.454961578,210900,0.0,1.0
2006-08-01,137.8,138.18,137.52,137.74,108.161695468,82200,0.0,1.0
2006-08-02,137.2,137.2,136.26,136.9,107.502077171,25600,0.0,1.0
2006-08-03,137.66,137.66,136.2202,136.6,107.266499208,22400,0.0,1.0
2006-08-04,135.0,137.44,134.7,136.88,107.486371973,66900,0.0,1.0
2006-08-07,137.2,137.5456,136.94,137.28,107.800475924,18800,0.0,1.0
2006-08-08,136.98,138.0998,136.52,137.88,108.271631851,107100,0.0,1.0
2006-08-09,136.54,138.48,136.46,138.36,108.648556592,44300,0.0,1.0
2006-08-10,138.4,138.96,137.62,137.9,108.287337048,92500,0.0,1.0
2006-08-11,138.4,138.828,138.1402,138.38,108.664261789,46500,0.0,1.0
2006-08-14,137.3202,138.34,137.02,138.1,108.444389024,92500,0.0,1.0
2006-08-15,137.02,137.18,136.32,136.54,107.219383615,46200,0.0,1.0
2006-08-16,135.7,136.1,135.18,135.5,106.402713343,140800,0.0,1.0
2006-08-17,135.54,135.6,134.72,135.12,106.10431459,54200,0.0,1.0
2006-08-18,135.2,135.6192,134.72,134.8,105.853031429,61600,0.0,1.0
2006-08-21,135.26,135.4,135.06,135.22,106.182840578,45000,0.0,1.0
2006-08-22,135.4,135.64,134.8198,135.16,106.135724985,43300,0.0,1.0
2006-08-23,135.16,136.117,134.86,135.92,106.732522492,68000,0.0,1.0
2006-08-24,135.56,136.04,135.42,135.6,106.481239331,59600,0.0,1.0
2006-08-25,135.86,135.88,135.22,135.64,106.512649726,44600,0.0,1.0
2006-08-28,135.6,135.88,134.78,135.0,106.010083405,43200,0.0,1.0
2006-08-29,135.22,135.76,134.64,134.82,105.868736627,48600,0.0,1.0
2006-08-30,134.82,135.02,134.5202,134.82,105.868736627,26300,0.0,1.0
2006-08-31,134.6,135.06,134.6,134.78,105.837326232,44000,0.0,1.0
2006-09-01,134.78,134.82,134.12,134.2,105.381875503,35000,0.0,1.0
2006-09-05,134.24,134.52,133.92,134.0798,105.287487266,56500,0.0,1.0
2006-09-06,134.74,135.56,134.7,135.48,106.387008146,99400,0.0,1.0
2006-09-07,135.88,136.36,135.5,136.2,106.952395257,65200,0.0,1.0
2006-09-08,136.0,136.16,135.3,135.62,106.496944528,32600,0.0,1.0
2006-09-11,136.3,136.54,135.32,135.714,106.570758957,50600,0.0,1.0
2006-09-12,135.34,135.8,134.12,134.22,105.3975807,142600,0.0,1.0
2006-09-13,134.34,134.36,133.6,133.66,104.957835169,54800,0.0,1.0
2006-09-14,133.86,134.3,133.86,134.0,105.224823528,94000,0.0,1.0
2006-09-15,133.1,133.82,133.1,133.76,105.036361157,50600,0.0,1.0
2006-09-18,133.76,133.88,133.1,133.56,104.879309182,11600,0.0,1.0
2006-09-19,133.6,134.44,133.6,133.82,105.08347675,75300,0.0,1.0
2006-09-20,133.16,133.6,132.9402,133.16,104.565205231,61000,0.0,1.0
2006-09-21,133.1,134.2,132.96,133.84,105.099181947,84200,0.0,1.0
2006-09-22,134.2,134.7392,134.16,134.36,105.507517083,59600,0.0,1.0
2006-09-25,133.92,134.72,132.96,133.2,104.596615626,71200,0.0,1.0
2006-09-26,133.12,133.2,132.16,132.16,103.779945354,72800,0.0,1.0
2006-09-27,132.22,132.56,131.88,132.24,103.842766144,81200,0.0,1.0
2006-09-28,132.14,132.6,131.94,132.14,103.764240156,36400,0.0,1.0
2006-09-29,131.94,132.52,131.94,132.42,103.984112922,56400,0.0,1.0
2006-10-02,132.36,133.1,132.3,133.04,104.470974046,66600,0.0,1.0
2006-10-03,133.3,133.38,132.3402,132.74,104.235396082,59200,0.0,1.0
2006-10-04,132.72,132.84,131.0602,131.28,103.088916662,96200,0.0,1.0
2006-10-05,131.02,131.36,130.72,130.86,102.759107514,135400,0.0,1.0
2006-10-06,131.7,131.7,131.1,131.1,102.947569884,43700,0.0,1.0
2006-10-09,131.32,131.5,130.98,131.16,102.994685477,37300,0.0,1.0
2006-10-10,131.02,131.4,130.86,131.0,102.869043896,22000,0.0,1.0
2006-10-11,131.54,131.9434,130.98,131.3316,103.129436072,24200,0.0,1.0
2006-10-12,130.8,130.9704,130.02,130.16,102.2094256,41400,0.0,1.0
2006-10-13,130.3,130.3,129.76,129.86,101.973847636,20000,0.0,1.0
2006-10-16,130.04,130.04,129.58,129.66,101.816795661,34000,0.0,1.0
2006-10-17,130.22,130.84,129.96,130.14,102.193720402,170600,0.0,1.0
2006-10-18,128.14,130.48,128.14,130.06,102.130899612,62000,0.0,1.0
2006-10-19,130.42,130.42,129.88,129.98,102.068078822,47100,0.0,1.0
2006-10-20,129.92,130.36,129.8,129.84,101.958142439,72100,0.0,1.0
2006-10-23,130.16,130.3,129.04,129.2,101.455576118,86000,0.0,1.0
2006-10-24,129.16,129.54,129.1,129.1598,101.424008671,19600,0.0,1.0
2006-10-25,129.02,129.3,128.5,128.7,101.062946179,105900,0.0,1.0
2006-10-26,128.2,129.0,128.02,128.1,100.591790253,56800,0.0,1.0
2006-10-27,128.48,129.38,128.34,129.0,101.298524142,46500,0.0,1.0
2006-10-30,129.2,129.6224,128.92,129.2,101.455576118,25400,0.0,1.0
2006-10-31,128.82,129.86,128.82,129.38,101.596922895,40200,0.0,1.0
2006-11-01,129.06,130.46,128.94,130.3,102.319361982,76800,0.0,1.0
2006-11-02,130.6,130.8,130.3,130.5,102.476413958,86500,0.0,1.0
2006-11-03,130.0,130.98,129.92,130.56,102.52352955,45600,0.0,1.0
2006-11-06,130.24,130.32,129.06,129.32,101.549807303,41200,0.0,1.0
2006-11-07,129.1,129.3,128.44,128.92,101.235703352,59200,0.0,1.0
2006-11-08,129.5,129.58,128.44,128.72,101.078651377,43500,0.0,1.0
2006-11-09,128.52,129.48,128.4,129.36,101.581217698,54700,0.0,1.0
2006-11-10,129.38,129.68,129.1002,129.16,101.424165723,21000,0.0,1.0
2006-11-13,129.5,129.5,128.6,128.86,101.188587759,19800,0.0,1.0
2006-11-14,128.7,129.4244,127.9402,128.06,100.560379858,75000,0.0,1.0
2006-11-15,128.1,128.1,127.32,127.66,100.246275907,52200,0.0,1.0
2006-11-16,127.34,127.64,127.3,127.48,100.104929129,36300,0.0,1.0
2006-11-17,127.86,128.0,127.4202,127.44,100.073518734,10900,0.0,1.0
2006-11-20,127.46,127.74,127.2,127.56,100.167749919,34500,0.0,1.0
2006-11-21,127.34,127.62,127.32,127.42,100.057813536,23500,0.0,1.0
2006-11-22,126.94,127.42,126.88,127.04,99.7594147831,24100,0.0,1.0
2006-11-24,127.7,127.74,127.24,127.6,100.199160314,13900,0.0,1.0
2006-11-27,127.96,129.54,127.94,129.4,101.612628093,102100,0.0,1.0
2006-11-28,129.96,129.96,128.94,129.0,101.298524142,358900,0.0,1.0
2006-11-29,128.62,128.64,127.66,127.84,100.387622685,39800,0.0,1.0
2006-11-30,127.68,128.38,127.2802,127.8,100.35621229,21200,0.0,1.0
2006-12-01,127.6,129.1072,127.6,128.26,100.717431833,28000,0.0,1.0
2006-12-04,128.04,128.04,126.76,127.0,99.728004388,327500,0.0,1.0
2006-12-05,126.8,127.0,126.4,126.42,99.2725536593,31500,0.0,1.0
2006-12-06,126.6,126.8,126.42,126.66,99.4610160298,24100,0.0,1.0
2006-12-07,126.3,127.22,126.3,127.18,99.8693511659,25200,0.0,1.0
2006-12-08,127.16,127.5,126.7352,127.08,99.7908251782,35100,0.0,1.0
2006-12-11,127.0,127.04,126.56,126.7,99.4924264249,36400,0.0,1.0
2006-12-12,126.84,127.42,126.84,126.84,99.6023628077,8800,0.0,1.0
2006-12-13,126.64,126.94,126.44,126.72,99.5081316225,21200,0.0,1.0
2006-12-14,126.6,126.62,125.6,125.8,98.7856925356,180900,0.0,1.0
2006-12-15,125.28,125.76,125.24,125.54,98.5815249675,61600,0.0,1.0
2006-12-18,125.54,126.2316,125.3,126.06,98.9898601036,84200,0.0,1.0
2006-12-19,126.7,126.8,125.7,125.84,98.8171029306,21500,0.0,1.0
2006-12-20,123.558,123.78,123.24,123.78,99.0189775398,44900,1.1585,1.0
2006-12-21,123.56,124.5,123.46,124.2194,99.3704797109,49500,0.0,1.0
2006-12-22,124.34,124.96,124.34,124.8,99.8349361526,123300,0.0,1.0
2006-12-26,125.0,125.06,124.36,124.38,99.4989531944,14300,0.0,1.0
2006-12-27,123.9,124.1598,123.46,123.46,98.7629905241,52100,0.0,1.0
2006-12-28,123.6402,124.08,123.5,123.82,99.0509759168,43800,0.0,1.0
2006-12-29,123.84,124.6,123.64,124.4,99.5149523829,55900,0.0,1.0
2007-01-03,123.86,125.52,123.5,124.82,99.8509353411,60200,0.0,1.0
2007-01-04,125.08,125.5,124.2402,124.5998,99.6747842759,23700,0.0,1.0
2007-01-05,124.84,125.8,124.84,125.36,100.28291343,50900,0.0,1.0
2007-01-08,125.8,126.0,124.9602,125.16,100.122921545,10400,0.0,1.0
2007-01-09,124.9,125.88,124.9,125.1832,100.141480604,55600,0.0,1.0
2007-01-10,125.82,125.94,124.92,125.06,100.042925603,56300,0.0,1.0
2007-01-11,124.88,125.0,124.0,124.26,99.4029580635,37100,0.0,1.0
2007-01-12,124.44,124.44,123.6,123.6,98.8749848435,13100,0.0,1.0
2007-01-16,123.62,124.02,123.56,123.76,99.0029783513,15000,0.0,1.0
2007-01-17,123.9,124.02,123.4802,123.9398,99.1468110558,14600,0.0,1.0
2007-01-18,123.9,124.5,123.8198,124.4,99.5149523829,43000,0.0,1.0
2007-01-19,124.4,124.7,123.96,124.16,99.3229621211,105700,0.0,1.0
2007-01-22,124.3,125.06,124.16,124.8202,99.851095333,90000,0.0,1.0
2007-01-23,125.0,125.0,124.2,124.52,99.6109475138,60500,0.0,1.0
2007-01-24,124.06,124.2,123.4884,123.5,98.794988901,25100,0.0,1.0
2007-01-25,123.6,125.0,123.48,124.8398,99.8667745377,16000,0.0,1.0
2007-01-26,124.52,126.24,124.52,125.12,100.090923168,62000,0.0,1.0
2007-01-29,125.06,125.48,124.7,125.28,100.218916676,397500,0.0,1.0
2007-01-30,125.04,125.2,124.54,124.54,99.6269467023,31500,0.0,1.0
2007-01-31,124.64,124.8,123.4998,123.84,99.0669751053,31100,0.0,1.0
2007-02-01,123.44,123.62,122.96,123.06,98.4430067543,106600,0.0,1.0
2007-02-02,123.0,123.22,122.8208,122.92,98.3310124349,35600,0.0,1.0
2007-02-05,123.14,123.32,122.82,122.98,98.3790100004,48500,0.0,1.0
2007-02-06,122.96,123.3998,122.78,123.02,98.4110083774,54800,0.0,1.0
2007-02-07,122.9,123.12,122.52,122.86,98.2830148695,77100,0.0,1.0
2007-02-08,123.24,123.4598,122.74,122.94,98.3470116234,61600,0.0,1.0
2007-02-09,122.78,124.32,122.78,123.88,99.0989734823,151100,0.0,1.0
2007-02-12,123.96,124.6,123.86,124.32,99.450955629,60300,0.0,1.0
2007-02-13,124.1,124.1,123.36,123.46,98.7629905241,46300,0.0,1.0
2007-02-14,123.36,123.36,122.3,122.56,98.0430270422,99900,0.0,1.0
2007-02-15,122.4,122.7,122.3,122.46,97.9630310998,17600,0.0,1.0
2007-02-16,122.8,122.84,122.5402,122.6,98.0750254192,24100,0.0,1.0
2007-02-20,122.72,123.22,122.26,122.34,97.8670359688,15400,0.0,1.0
2007-02-21,122.6,122.86,122.38,122.48,97.9790302882,90300,0.0,1.0
2007-02-22,122.2,123.0,122.16,122.66,98.1230229846,32000,0.0,1.0
2007-02-23,122.88,123.32,122.78,123.1,98.4750051313,36300,0.0,1.0
2007-02-26,122.64,123.6998,122.64,123.34,98.6669953931,41100,0.0,1.0
2007-02-27,124.8,128.9,124.44,128.14,102.50680063,354400,0.0,1.0
2007-02-28,127.34,127.88,126.02,127.2,101.754838771,245600,0.0,1.0
2007-03-01,129.5,129.7,126.58,127.5,101.994826598,329100,0.0,1.0
2007-03-02,128.0,129.14,127.42,129.14,103.306760054,504500,0.0,1.0
2007-03-05,129.96,130.3,128.5,130.3,104.234712986,478900,0.0,1.0
2007-03-06,128.92,129.48,127.92,128.18,102.538799007,138100,0.0,1.0
2007-03-07,128.2,128.58,127.6,128.44,102.746788457,123500,0.0,1.0
2007-03-08,127.5,127.9,126.94,127.56,102.042824164,123900,0.0,1.0
2007-03-09,126.844,127.92,126.58,127.54,102.026824975,111800,0.0,1.0
2007-03-12,127.66,127.94,126.94,127.3,101.834834713,44400,0.0,1.0
2007-03-13,128.1,129.96,127.54,129.96,103.962726782,205600,0.0,1.0
2007-03-14,129.48,131.2,128.6,128.6,102.874781965,491800,0.0,1.0
2007-03-15,129.12,129.16,128.24,128.54,102.826784399,87900,0.0,1.0
2007-03-16,128.5,129.44,128.16,129.16,103.322759243,53400,0.0,1.0
2007-03-19,128.2,128.56,127.68,127.68,102.138819295,64600,0.0,1.0
2007-03-20,127.82,127.9,126.9,126.94,101.546849321,81800,0.0,1.0
2007-03-21,126.7,127.1,124.5602,124.86,99.8829337181,249800,0.0,1.0
2007-03-22,124.72,125.22,124.46,124.6802,99.7391010136,225600,0.0,1.0
2007-03-23,124.86,124.9198,124.42,124.66,99.7229418332,41100,0.0,1.0
2007-03-26,124.9,125.9,124.64,124.78,99.8189369641,137100,0.0,1.0
2007-03-27,124.46,124.92,124.296,124.58,100.365933219,160100,0.4419,1.0
2007-03-28,125.16,125.78,124.8,125.2,100.865426546,173300,0.0,1.0
2007-03-29,124.84,126.06,124.7602,125.22,100.881539234,37400,0.0,1.0
2007-03-30,125.3,126.4,124.66,125.52,101.123229553,6900,0.0,1.0
2007-04-02,125.48,125.84,124.98,125.2,100.865426546,75800,0.0,1.0
2007-04-03,124.6,124.7198,123.78,123.98,99.8825525809,32800,0.0,1.0
2007-04-04,124.0,124.18,123.74,123.84,99.7697637653,59000,0.0,1.0
2007-04-05,124.0,124.12,123.3802,123.4,99.4152846304,59800,0.0,1.0
2007-04-09,123.2,123.64,123.14,123.5,99.4958480702,104100,0.0,1.0
