date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-04-09,29.86,29.88,29.82,29.85,17.9308850423,34500,0.0,1.0
2012-04-10,29.84,29.85,29.7075,29.73,17.8588010823,31700,0.0,1.0
2012-04-11,29.82,29.83,29.69,29.83,17.918871049,71900,0.0,1.0
2012-04-12,29.7768,29.91,29.77,29.91,17.9669270223,24600,0.0,1.0
2012-04-13,29.86,29.91,29.71,29.78,17.8888360656,47600,0.0,1.0
2012-04-16,29.79,29.9,29.7,29.9,17.9609200256,54000,0.0,1.0
2012-04-17,29.9,29.98,29.9,29.98,18.0089759989,92900,0.0,1.0
2012-04-18,29.95,29.98,29.81,29.97,18.0029690023,4800,0.0,1.0
2012-04-19,29.96,29.97,29.8501,29.94,17.9849480123,43300,0.0,1.0
2012-04-20,29.93,29.98,29.9205,29.98,18.0089759989,45300,0.0,1.0
2012-04-23,29.91,29.95,29.9,29.95,17.9909550089,122500,0.0,1.0
2012-04-24,29.96,30.02,29.946,30.02,18.0330039856,126300,0.0,1.0
2012-04-25,29.92,30.15,29.92,30.15,18.1110949422,76600,0.0,1.0
2012-04-26,30.14,30.14,30.01,30.1399,18.1050278756,311700,0.0,1.0
2012-04-27,30.46,30.46,30.08,30.15,18.1110949422,69400,0.0,1.0
2012-04-30,30.15,30.21,30.1201,30.18,18.1291159322,122000,0.0,1.0
2012-05-01,30.3,30.3,30.1,30.14,18.1978594013,415200,0.1544,1.0
2012-05-02,30.18,30.18,30.14,30.16,18.209934955,90300,0.0,1.0
2012-05-03,30.14,30.2,30.12,30.19,18.2280482855,256000,0.0,1.0
2012-05-04,30.18,30.2,30.15,30.16,18.209934955,114600,0.0,1.0
2012-05-07,30.2,30.2,30.12,30.15,18.2038971782,356000,0.0,1.0
2012-05-08,30.2,30.2,30.09,30.139,18.1972556236,407300,0.0,1.0
2012-05-09,30.14,30.14,30.01,30.12,18.1857838476,230900,0.0,1.0
2012-05-10,30.1,30.13,30.05,30.12,18.1857838476,61600,0.0,1.0
2012-05-11,30.13,30.13,30.04,30.1,18.173708294,60000,0.0,1.0
2012-05-14,30.07,30.09,30.0,30.03,18.1314438561,60700,0.0,1.0
2012-05-15,30.07,30.07,29.89,29.94,18.0771038645,159000,0.0,1.0
2012-05-16,29.97,29.9999,29.86,29.88,18.0408772034,70900,0.0,1.0
2012-05-17,29.8825,29.89,29.64,29.7,17.9321972203,108100,0.0,1.0
2012-05-18,29.7,29.79,29.54,29.5899,17.8657212973,55000,0.0,1.0
2012-05-21,29.72,29.77,29.45,29.45,17.7812527992,37000,0.0,1.0
2012-05-22,29.64,29.7,29.51,29.65,17.9020083361,115900,0.0,1.0
2012-05-23,29.6,29.61,29.55,29.6,17.8718194519,74000,0.0,1.0
2012-05-24,29.55,29.62,29.53,29.62,17.8838950056,52500,0.0,1.0
2012-05-25,29.32,29.618,29.32,29.58,17.8597438982,26000,0.0,1.0
2012-05-29,29.61,29.8,29.59,29.8,17.9925749887,575600,0.0,1.0
2012-05-30,29.63,29.6799,29.57,29.6,17.8718194519,401200,0.0,1.0
2012-05-31,29.73,29.73,29.5,29.64,17.8959705592,232800,0.0,1.0
2012-06-01,30.06,30.06,28.95,29.12,17.6744946405,1219900,0.1532,1.0
2012-06-04,29.25,29.25,29.09,29.15,17.6927032544,88600,0.0,1.0
2012-06-05,29.24,29.24,29.14,29.24,17.7473290964,123600,0.0,1.0
2012-06-06,29.25,29.38,29.2,29.36,17.8201635523,35600,0.0,1.0
2012-06-07,29.67,29.67,29.45,29.4628,17.8825584029,86100,0.0,1.0
2012-06-08,29.69,29.69,29.4145,29.56,17.9415543122,29200,0.0,1.0
2012-06-11,29.7,29.81,29.35,29.36,17.8201635523,180800,0.0,1.0
2012-06-12,29.46,29.665,29.42,29.6,17.9658324642,169700,0.0,1.0
2012-06-13,29.5,29.5804,29.36,29.529,17.9227387444,250100,0.0,1.0
2012-06-14,29.535,29.68,29.49,29.646,17.993752339,284600,0.0,1.0
2012-06-15,29.6,29.7,29.53,29.65,17.9961801542,195400,0.0,1.0
2012-06-18,29.68,29.68,29.54,29.63,17.9840410782,99400,0.0,1.0
2012-06-19,29.6,29.84,29.6,29.82,18.0993623001,155100,0.0,1.0
2012-06-20,29.92,29.92,29.71,29.9,18.147918604,64600,0.0,1.0
2012-06-21,30.1,30.1,29.76,29.78,18.0750841481,145100,0.0,1.0
2012-06-22,30.03,30.05,29.79,29.87,18.1297099901,73900,0.0,1.0
2012-06-25,29.9,29.946,29.8,29.8,18.0872232241,45000,0.0,1.0
2012-06-26,29.85,29.96,29.83,29.85,18.1175709141,72600,0.0,1.0
2012-06-27,29.85,29.9,29.83,29.895,18.144883835,56600,0.0,1.0
2012-06-28,29.91,29.93,29.8,29.87,18.1297099901,89000,0.0,1.0
2012-06-29,29.98,30.17,29.9546,30.0999,18.2692486686,138000,0.0,1.0
