date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-06-05,97.5,100.5,96.31,98.69,72.9950236544,148400,0.0,1.0
2000-06-06,98.5,100.3,94.63,94.63,69.9920872269,222800,0.0,1.0
2000-06-07,95.75,97.0,93.19,96.19,71.145924869,215500,0.0,1.0
2000-06-08,98.81,98.88,95.81,96.63,71.4713662552,195200,0.0,1.0
2000-06-09,98.25,99.0,97.06,98.63,72.9506452836,97500,0.0,1.0
2000-06-12,99.25,99.25,94.63,94.81,70.1252223394,56200,0.0,1.0
2000-06-13,95.0,98.81,93.31,98.81,73.0837803961,194500,0.0,1.0
2000-06-14,98.81,98.88,94.56,94.56,69.9403124609,97500,0.0,1.0
2000-06-15,94.75,96.69,93.25,95.38,70.5468168625,108900,0.0,1.0
2000-06-16,95.5,96.94,94.56,96.0,71.0053933613,86900,0.0,1.0
2000-06-19,96.38,102.5,95.63,102.5,75.8130502035,218200,0.0,1.0
2000-06-20,103.5,105.8,103.0,104.0,76.9225094747,248500,0.0,1.0
2000-06-21,102.6,105.2,102.5,104.4,77.2183652804,185800,0.0,1.0
2000-06-22,103.5,103.5,99.0,99.25,73.4092217824,391400,0.0,1.0
2000-06-23,99.38,100.2,97.25,97.5,72.1148526326,342900,0.0,1.0
2000-06-26,98.38,99.38,96.38,97.5,72.1148526326,154000,0.0,1.0
2000-06-27,98.25,98.44,94.38,94.38,69.8071773483,236100,0.0,1.0
2000-06-28,94.63,97.13,94.63,94.88,70.1769971054,228500,0.0,1.0
2000-06-29,93.75,94.38,91.25,92.69,68.5571865694,281800,0.0,1.0
2000-06-30,93.0,94.81,92.31,94.0,69.5261143329,458000,0.0,1.0
2000-07-03,93.88,96.25,93.75,96.13,71.1015464981,52600,0.0,1.0
2000-07-05,90.5,91.56,88.13,88.63,65.5542501418,1362200,0.0,1.0
2000-07-06,89.94,92.75,88.13,92.25,68.2317451831,1393400,0.0,1.0
2000-07-07,94.25,96.75,93.81,95.25,70.4506637257,179900,0.0,1.0
2000-07-10,95.5,96.69,94.5,95.13,70.361906984,93600,0.0,1.0
2000-07-11,95.0,97.13,92.56,93.63,69.2524477127,223200,0.0,1.0
2000-07-12,95.88,97.19,94.44,95.94,70.9610149904,114600,0.0,1.0
2000-07-13,98.0,99.94,97.44,98.38,72.765735405,144100,0.0,1.0
2000-07-14,100.3,101.4,98.75,101.4,74.9994467379,136400,0.0,1.0
2000-07-17,101.4,103.1,100.0,102.9,76.1089060091,165500,0.0,1.0
2000-07-18,101.0,101.3,98.0,98.44,72.8101137759,217400,0.0,1.0
2000-07-19,98.31,98.31,93.75,94.94,70.2213754763,372500,0.0,1.0
2000-07-20,95.44,97.31,92.69,93.44,69.111916205,272200,0.0,1.0
2000-07-21,92.06,92.5,88.75,89.63,66.293889656,625700,0.0,1.0
2000-07-24,89.0,92.75,88.5,89.25,66.0128266406,1236400,0.0,1.0
2000-07-25,92.63,92.94,90.31,92.81,68.6459433111,274300,0.0,1.0
2000-07-26,89.25,90.13,86.56,88.75,65.6430068835,500800,0.0,1.0
2000-07-27,85.38,85.38,82.0,82.69,61.1607914276,526400,0.0,1.0
2000-07-28,83.88,85.0,80.25,81.94,60.6060617919,1352400,0.0,1.0
2000-07-31,82.81,85.38,80.94,84.63,62.5956920851,214800,0.0,1.0
2000-08-01,84.38,84.38,81.38,81.81,60.5099086551,656800,0.0,1.0
2000-08-02,81.81,84.5,80.38,81.0,59.9108006486,302000,0.0,1.0
2000-08-03,75.25,80.88,75.25,80.88,59.8220439069,1421000,0.0,1.0
2000-08-04,82.88,82.88,77.5,78.69,58.2022333708,764800,0.0,1.0
2000-08-07,78.5,81.63,77.69,81.0,59.9108006486,275400,0.0,1.0
2000-08-08,81.25,82.13,80.5,81.06,59.9551790194,206300,0.0,1.0
2000-08-09,84.25,85.13,83.13,83.44,61.7155210632,359900,0.0,1.0
2000-08-10,83.13,83.94,81.13,81.44,60.2362420348,566600,0.0,1.0
2000-08-11,81.38,83.06,78.81,82.69,61.1607914276,316100,0.0,1.0
2000-08-14,84.38,88.0,83.0,87.75,64.9033673693,503000,0.0,1.0
2000-08-15,88.5,91.5,88.5,90.63,67.0335291701,998600,0.0,1.0
2000-08-16,92.5,94.0,92.5,93.88,69.4373575912,748400,0.0,1.0
2000-08-17,93.0,95.75,92.31,95.06,70.310132218,372600,0.0,1.0
2000-08-18,97.5,98.81,96.38,97.44,72.0704742617,525300,0.0,1.0
2000-08-21,98.19,98.75,94.25,95.0,70.2657538471,790600,0.0,1.0
2000-08-22,96.0,97.38,95.19,95.94,70.9610149904,468300,0.0,1.0
2000-08-23,95.0,99.75,94.25,99.75,73.7790415395,444700,0.0,1.0
2000-08-24,99.13,99.94,98.06,99.25,73.4092217824,1495400,0.0,1.0
2000-08-25,99.0,99.88,97.19,98.0,72.4846723896,301300,0.0,1.0
2000-08-28,97.75,99.56,97.44,98.5,72.8544921467,212200,0.0,1.0
2000-08-29,98.13,98.56,97.25,97.75,72.2997625111,608600,0.0,1.0
2000-08-30,97.69,97.69,95.75,96.81,71.6045013678,250100,0.0,1.0
2000-08-31,97.38,99.63,96.63,98.69,72.9950236544,552900,0.0,1.0
2000-09-01,100.4,100.7,97.25,97.88,72.3959156479,819300,0.0,1.0
2000-09-05,96.63,97.0,94.69,95.13,70.361906984,354400,0.0,1.0
2000-09-06,92.75,92.88,89.06,89.06,65.8722951329,476400,0.0,1.0
2000-09-07,90.25,92.75,89.63,92.0,68.0468353046,342500,0.0,1.0
2000-09-08,91.5,91.5,87.63,87.63,64.8146106276,324700,0.0,1.0
2000-09-11,87.0,89.44,85.25,86.25,63.793908098,340600,0.0,1.0
2000-09-12,87.25,88.44,84.0,84.19,62.2702506988,426900,0.0,1.0
2000-09-13,82.38,84.94,82.38,84.88,62.7806019636,866400,0.0,1.0
2000-09-14,87.0,87.5,84.63,84.81,62.7288271976,236600,0.0,1.0
2000-09-15,83.5,84.88,81.88,82.75,61.2051697984,316100,0.0,1.0
2000-09-18,83.5,85.38,80.5,81.0,59.9108006486,150000,0.0,1.0
2000-09-19,82.5,87.13,81.19,87.06,64.3930161045,786800,0.0,1.0
2000-09-20,86.75,88.56,84.38,87.75,64.9033673693,532400,0.0,1.0
2000-09-21,86.94,87.19,83.94,84.25,62.3146290697,299300,0.0,1.0
2000-09-22,75.13,78.38,75.06,78.13,57.7880352429,1000300,0.0,1.0
2000-09-25,80.25,80.25,73.7,74.01,54.7407204445,299600,0.0,1.0
2000-09-26,74.3,75.75,72.45,73.25,54.1785944137,332900,0.0,1.0
2000-09-27,75.2,75.45,71.56,72.5,53.6238647781,816300,0.0,1.0
2000-09-28,73.25,75.2,72.55,74.75,55.288053685,561100,0.0,1.0
2000-09-29,73.8,73.8,70.8,71.1,52.5883694582,355800,0.0,1.0
2000-10-02,72.49,72.7,69.01,69.5,51.4049462355,357000,0.0,1.0
2000-10-03,70.5,71.74,67.87,68.45,50.6283247456,743000,0.0,1.0
2000-10-04,68.85,72.2,68.25,72.0,53.254045021,772600,0.0,1.0
2000-10-05,70.5,72.0,69.25,70.2,51.9226938954,616500,0.0,1.0
2000-10-06,70.25,71.24,66.25,67.7,50.07359511,618700,0.0,1.0
2000-10-09,67.2,67.75,63.3,66.5,49.186027693,685000,0.0,1.0
2000-10-10,63.6,64.0,59.31,60.34,44.6298482856,1233200,0.0,1.0
2000-10-11,57.75,62.7,57.75,59.95,44.3413888751,1540400,0.0,1.0
2000-10-12,62.75,63.0,58.24,58.6,43.342875531,1065200,0.0,1.0
2000-10-13,58.89,64.95,58.75,64.75,47.8916585432,668000,0.0,1.0
2000-10-16,64.19,64.19,60.5,61.05,45.1549923407,667000,0.0,1.0
2000-10-17,60.5,60.6,56.01,57.73,42.6993891536,1129700,0.0,1.0
2000-10-18,55.05,60.5,53.75,56.6,41.8635965026,1048400,0.0,1.0
2000-10-19,64.0,65.99,61.11,65.75,48.6312980573,1437800,0.0,1.0
2000-10-20,64.99,68.5,64.21,66.75,49.3709375715,1503800,0.0,1.0
2000-10-23,67.8,70.35,66.55,68.3,50.5173788185,492500,0.0,1.0
2000-10-24,67.25,67.25,63.01,63.75,47.152019029,565900,0.0,1.0
2000-10-25,59.5,61.5,58.01,58.79,43.4834070386,882700,0.0,1.0
2000-10-26,58.8,62.0,57.31,61.85,45.746703952,947400,0.0,1.0
2000-10-27,63.99,63.99,60.0,61.7,45.6357580249,845400,0.0,1.0
2000-10-30,61.75,63.5,60.26,62.13,45.953803016,805700,0.0,1.0
2000-10-31,63.99,66.99,63.9,65.75,48.6312980573,697900,0.0,1.0
2000-11-01,63.39,65.06,62.15,63.4,46.893145199,478100,0.0,1.0
2000-11-02,65.85,66.28,64.2,65.0,48.0765684217,432500,0.0,1.0
2000-11-03,64.92,65.5,63.8,64.49,47.6993522695,154900,0.0,1.0
2000-11-06,65.4,65.6,64.5,64.5,47.7067486646,170300,0.0,1.0
2000-11-07,62.6,62.86,60.76,61.49,45.4804337269,346200,0.0,1.0
2000-11-08,61.1,61.4,56.31,56.65,41.9005784783,839200,0.0,1.0
2000-11-09,54.01,57.2,53.55,56.5,41.7896325512,384900,0.0,1.0
2000-11-10,54.8,54.8,52.61,53.0,39.2008942515,567600,0.0,1.0
2000-11-13,51.2,57.1,51.2,55.3,40.9020651342,1059000,0.0,1.0
2000-11-14,58.25,58.94,56.0,58.45,43.2319296038,679200,0.0,1.0
2000-11-15,59.0,62.44,59.0,61.1,45.1919743164,521900,0.0,1.0
2000-11-16,60.24,60.7,57.76,57.8,42.7511639196,628100,0.0,1.0
2000-11-17,57.8,59.6,55.31,57.65,42.6402179925,264000,0.0,1.0
2000-11-20,55.6,58.94,55.2,56.9,42.0854883568,1000700,0.0,1.0
2000-11-21,57.0,57.6,55.12,55.69,41.1905245447,522900,0.0,1.0
2000-11-22,56.5,57.6,54.1,54.5,40.3103535228,1572500,0.0,1.0
2000-11-24,56.75,58.49,55.41,58.49,43.2615151844,373900,0.0,1.0
2000-11-27,59.9,59.9,55.01,55.3,40.9020651342,1302400,0.0,1.0
2000-11-28,55.01,55.92,51.26,51.5,38.0914349803,1272600,0.0,1.0
2000-11-29,52.1,53.36,50.2,52.09,38.5278222936,1176700,0.0,1.0
2000-11-30,48.3,49.16,46.28,48.0,35.5026966806,2034300,0.0,1.0
2000-12-01,48.75,50.1,46.5,47.62,35.2216336653,762200,0.0,1.0
2000-12-04,48.5,49.57,46.26,47.96,35.4731111001,497400,0.0,1.0
