date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-05-05,24.88,24.95,24.73,24.79,19.392286066,42900,0.0,1.0
2011-05-06,25.08,25.08,24.87,24.92,19.4939801842,12500,0.0,1.0
2011-05-09,24.9,24.92,24.9,24.92,19.4939801842,600,0.0,1.0
2011-05-10,25.19,25.27,25.1868,25.25,19.7521267917,9700,0.0,1.0
2011-05-11,25.23,25.24,25.06,25.11,19.6426100491,28900,0.0,1.0
2011-05-12,25.16,25.448,25.15,25.448,19.9070147563,8200,0.0,1.0
2011-05-13,25.44,25.44,25.259,25.336,19.8194013622,13100,0.0,1.0
2011-05-16,25.37,25.39,25.28,25.28,19.7755946652,10000,0.0,1.0
2011-05-17,25.24,25.36,25.24,25.36,19.8381756609,16900,0.0,1.0
2011-05-18,25.46,25.46,25.32,25.32,19.806885163,2000,0.0,1.0
2011-05-19,25.58,25.58,25.41,25.4328,19.8951243671,6800,0.0,1.0
2011-05-20,25.55,25.55,25.35,25.44,19.9007566567,15700,0.0,1.0
2011-05-23,25.27,25.27,25.1872,25.1872,19.7030007101,11000,0.0,1.0
2011-05-24,25.34,25.34,25.164,25.2,19.7130136694,10500,0.0,1.0
2011-05-25,25.17,25.17,24.98,25.15,19.673900547,12700,0.0,1.0
2011-05-26,25.12,25.16,24.99,25.13,19.6582552981,9300,0.0,1.0
2011-05-27,25.29,25.29,25.178,25.23,19.7364815428,16600,0.0,1.0
2011-05-31,25.43,25.43,25.307,25.41,19.8772887833,4500,0.0,1.0
2011-06-01,25.42,25.42,25.11,25.11,19.6426100491,33400,0.0,1.0
2011-06-02,25.17,25.17,24.95,24.96,19.525270682,6100,0.0,1.0
2011-06-03,24.75,24.84,24.68,24.72,19.3375276947,11000,0.0,1.0
2011-06-06,24.77,24.77,24.6,24.61,19.2514788255,9300,0.0,1.0
2011-06-07,24.75,24.76,24.66,24.72,19.3375276947,2800,0.0,1.0
2011-06-08,24.7,24.7,24.5601,24.658,19.289027423,900,0.0,1.0
2011-06-09,24.73,24.82,24.62,24.75,19.3609955681,595200,0.0,1.0
2011-06-10,24.75,24.75,24.5,24.5,19.1654299563,104900,0.0,1.0
2011-06-13,24.41,24.64,24.41,24.57,19.2201883276,19400,0.0,1.0
2011-06-14,24.77,24.79,24.627,24.73,19.3453503192,25200,0.0,1.0
2011-06-15,24.55,24.58,24.3001,24.35,19.1126272412,25500,0.0825,1.0
2011-06-16,24.48,24.52,24.39,24.48,19.2146659081,19600,0.0,1.0
2011-06-17,24.76,24.76,24.566,24.61,19.3167045751,44200,0.0,1.0
2011-06-20,24.62,24.78,24.6,24.75,19.4265923704,34600,0.0,1.0
2011-06-21,24.92,24.92,24.7699,24.86,19.5129327809,29900,0.0,1.0
2011-06-22,24.86,24.86,24.7691,24.7764,19.4473140689,197600,0.0,1.0
2011-06-23,24.64,24.64,24.36,24.49,19.2225150364,99600,0.0,1.0
2011-06-24,24.62,24.68,24.475,24.515,19.242137857,17100,0.0,1.0
2011-06-27,24.57,24.68,24.54,24.64,19.3402519598,63900,0.0,1.0
2011-06-28,24.73,24.78,24.7128,24.78,19.4501397551,71900,0.0,1.0
2011-06-29,24.94,24.94,24.8,24.9,19.5443292938,630700,0.0,1.0
2011-06-30,25.0,25.04,24.89,25.03,19.6463679608,198100,0.0,1.0
2011-07-01,25.09,25.32,25.04,25.31,19.8661435513,245200,0.0,1.0
2011-07-05,25.32,25.33,25.19,25.21,19.787652269,461300,0.0,1.0
2011-07-06,25.21,25.3464,25.21,25.33,19.8818418077,261900,0.0,1.0
2011-07-07,25.54,25.54,25.4,25.4436,19.9710079044,106800,0.0,1.0
2011-07-08,25.24,25.33,25.24,25.33,19.8818418077,34200,0.0,1.0
2011-07-11,25.16,25.16,25.04,25.07,19.6777644737,14100,0.0,1.0
2011-07-12,25.03,25.25,25.03,25.12,19.7170101149,19600,0.0,1.0
2011-07-13,25.19,25.27,25.05,25.05,19.6620662173,30800,0.0,1.0
2011-07-14,25.18,25.2,24.95,24.974,19.6024128427,68600,0.0,1.0
2011-07-15,24.93,24.93,24.8,24.8,19.5498158345,9500,0.107,1.0
2011-07-18,24.7001,24.71,24.5801,24.68,19.4552199514,2262700,0.0,1.0
2011-07-19,24.81,24.95,24.76,24.92,19.6444117175,538100,0.0,1.0
2011-07-20,24.97,24.99,24.87,24.91,19.6365287273,60200,0.0,1.0
