date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-11-19,111274.99999999996,129999.99999999996,107412.49999999997,128499.99999999996,125896.064133,2190000,0.0,1.0
2008-11-20,136237.49999999994,158674.99999999994,123199.99999999996,151649.99999999994,148576.950395,2525000,0.0,1.0
2008-11-21,143762.49999999994,164474.99999999994,126812.49999999996,127862.49999999996,125271.482492,2575000,0.0,1.0
2008-11-24,118299.99999999996,123537.49999999996,96074.99999999997,105824.99999999996,103680.552427,2775000,0.0,1.0
2008-11-25,97487.49999999996,108462.49999999996,96249.99999999997,100071.49999999996,98043.6418821,3320000,0.0,1.0
2008-11-26,106124.99999999997,106237.49999999996,88799.99999999997,88862.49999999997,87061.7820933,3175000,0.0,1.0
2008-11-28,90499.99999999997,90774.99999999997,86449.99999999997,86624.99999999997,84869.6229999,782500,0.0,1.0
2008-12-01,93749.99999999997,108862.49999999997,93412.49999999997,108424.99999999996,106227.865787,2587500,0.0,1.0
2008-12-02,102762.49999999996,108374.99999999997,95637.49999999997,96124.99999999997,94177.1141226,4402500,0.0,1.0
2008-12-03,104224.99999999996,104224.99999999996,88262.49999999997,88899.99999999997,87098.5221898,6715000,0.0,1.0
2008-12-04,93499.99999999996,100462.49999999997,87099.99999999997,95862.49999999996,93919.9334468,6392500,0.0,1.0
2008-12-05,101037.49999999996,105962.49999999996,85149.99999999997,85149.99999999997,83424.5125361,6865000,0.0,1.0
2008-12-08,78924.99999999997,80724.99999999997,73499.99999999997,77187.49999999997,75623.3653715,4857500,0.0,1.0
2008-12-09,78962.49999999997,82099.99999999999,74112.49999999997,80699.99999999997,79064.6877471,5867500,0.0,1.0
2008-12-10,78324.99999999997,81749.99999999997,75451.87499999997,77924.99999999997,76345.9206034,4112500,0.0,1.0
2008-12-11,79999.99999999997,85874.99999999997,76312.49999999997,84299.99999999997,82591.7370146,4107500,0.0,1.0
2008-12-12,92174.99999999996,92499.99999999997,81112.49999999997,81999.99999999996,80338.3444271,4172500,0.0,1.0
2008-12-15,80674.99999999999,88712.49999999997,80474.99999999997,85250.74999999996,83523.2209288,2400000,0.0,1.0
2008-12-16,83162.49999999997,83262.49999999997,72187.49999999997,72537.49999999997,71067.5934009,2977500,0.0,1.0
2008-12-17,74999.99999999997,76262.49999999997,70687.49999999997,74312.49999999997,72806.624637,3380000,0.0,1.0
2008-12-18,72812.49999999997,80762.49999999997,72500.12499999997,78337.49999999997,76750.0616653,3502500,0.0,1.0
2008-12-19,73599.99999999997,79299.99999999997,73399.87499999997,78124.99999999997,76541.8677849,3350000,0.0,1.0
2008-12-22,77762.49999999997,86237.49999999996,77699.99999999997,82124.99999999997,80460.8114155,3275000,0.0,1.0
2008-12-23,80762.49999999997,85312.49999999997,79524.99999999997,84074.99999999997,82371.2964354,2702500,0.0,1.0
2008-12-24,83374.99999999997,84999.99999999997,82374.99999999997,82974.99999999997,81293.586937,1045000,0.0,1.0
2008-12-26,81249.99999999997,83362.49999999997,80974.99999999997,81299.99999999999,79652.5292917,725000,0.0,1.0
2008-12-29,81312.49999999997,85787.49999999996,80874.99999999997,82087.49999999997,80424.071319,1772500,0.0,1.0
2008-12-30,80449.99999999997,81874.99999999997,76249.99999999997,76662.49999999997,75109.00402,2230000,0.0,1.0
2008-12-31,76062.49999999997,76424.99999999997,71149.99999999997,72999.99999999997,71520.7212582,1812500,0.0,1.0
2009-01-02,72324.99999999997,73824.87499999997,65399.99999999998,66599.99999999997,65250.4114493,3210000,0.0,1.0
2009-01-05,67124.99999999999,68624.99999999997,64787.49999999997,66676.24999999997,65325.1163123,3320000,0.0,1.0
2009-01-06,64687.49999999998,66649.99999999997,62899.99999999998,64874.99999999998,63560.3670086,3270000,0.0,1.0
2009-01-07,68124.99999999997,71549.99999999997,67312.49999999997,70587.49999999997,69157.108381,4260000,0.0,1.0
2009-01-08,71849.99999999997,72824.99999999997,69487.49999999999,69612.49999999997,68201.8658711,4680000,0.0,1.0
2009-01-09,69074.99999999997,74499.99999999997,68924.99999999997,73662.49999999997,72169.796297,4307500,0.0,1.0
2009-01-12,74887.49999999997,80862.49999999997,74499.99999999997,79374.99999999997,77766.5376695,4660000,0.0,1.0
2009-01-13,80399.99999999996,81474.99999999999,77374.99999999997,78762.49999999997,77166.449426,5337500,0.0,1.0
2009-01-14,83112.49999999996,88137.49999999997,82599.99999999997,86612.49999999997,84857.3763011,6925000,0.0,1.0
2009-01-15,87312.49999999996,94637.49999999996,83299.99999999997,85974.99999999997,84232.79466,8357500,0.0,1.0
2009-01-16,81749.99999999997,90049.99999999997,81249.99999999997,83987.49999999997,82285.5695435,7437500,0.0,1.0
2009-01-20,86374.99999999996,97499.99999999997,85624.99999999997,97349.99999999996,95377.2906094,7332500,0.0,1.0
2009-01-21,92462.49999999997,97812.49999999997,84249.99999999997,85012.49999999997,83289.7988488,7650000,0.0,1.0
2009-01-22,89712.49999999996,93599.99999999996,84874.99999999997,88749.99999999997,86951.5618037,8875000,0.0,1.0
2009-01-23,95049.99999999997,96024.99999999996,84824.99999999997,87499.99999999997,85726.8919191,8597500,0.0,1.0
2009-01-26,86087.49999999997,88587.49999999997,80512.49999999997,86024.99999999996,84281.7814553,6277500,0.0,1.0
2009-01-27,84699.99999999997,86287.74999999996,81662.49999999997,82937.49999999996,81256.8468405,5880000,0.0,1.0
2009-01-28,78049.99999999997,78737.49999999997,73412.49999999997,74774.99999999997,73259.7524943,6415000,0.0,1.0
2009-01-29,78249.99999999997,82199.99999999997,77574.99999999997,81874.99999999997,80215.8774386,5797500,0.0,1.0
2009-01-30,80962.49999999997,88699.99999999996,79862.49999999997,86849.99999999997,85090.0635791,7407500,0.0,1.0
2009-02-02,90987.49999999997,91862.49999999996,85899.99999999997,87537.49999999997,85763.6320157,6460000,0.0,1.0
2009-02-03,86062.49999999996,88899.99999999997,82337.49999999997,83749.99999999997,82052.8822654,6502500,0.0,1.0
2009-02-04,82499.99999999997,86112.49999999997,79462.49999999997,85062.49999999997,83338.7856442,6952500,0.0,1.0
2009-02-05,87499.99999999997,88749.99999999997,79312.49999999997,81237.49999999997,79591.2957975,8837500,0.0,1.0
2009-02-06,80299.99999999997,80724.99999999997,73412.49999999997,74262.49999999997,72757.6378416,8135000,0.0,1.0
2009-02-09,74362.49999999997,75774.99999999997,72212.49999999997,73724.99999999997,72231.0297913,4527500,0.0,1.0
2009-02-10,76024.99999999997,85424.99999999997,73949.99999999997,83824.99999999997,82126.3624585,10837500,0.0,1.0
2009-02-11,82762.49999999996,85999.99999999997,80949.99999999997,82374.99999999997,80705.7453924,8232500,0.0,1.0
2009-02-12,86437.49999999997,89812.49999999996,81562.49999999997,82162.49999999997,80497.551512,11337500,0.0,1.0
2009-02-13,82687.49999999997,84687.49999999997,80499.99999999997,84374.99999999997,82665.2172077,7450000,0.0,1.0
2009-02-17,91974.99999999997,95487.49999999997,91137.49999999996,95487.49999999997,93552.5324814,10265000,0.0,1.0
2009-02-18,92999.99999999997,98824.99999999997,92887.49999999997,96212.49999999996,94262.8410145,11080000,0.0,1.0
2009-02-19,93337.49999999997,99999.99999999997,92124.99999999997,99374.99999999997,97361.2558224,11342500,0.0,1.0
2009-02-20,104987.49999999996,108674.99999999996,98862.49999999997,102999.99999999997,100912.798488,14675000,0.0,1.0
2009-02-23,98799.99999999997,113749.99999999996,98749.99999999997,112674.99999999996,110391.743394,14137500,0.0,1.0
2009-02-24,110462.49999999997,112699.99999999996,98574.99999999996,100112.49999999997,98083.8110543,12517500,0.0,1.0
2009-02-25,101774.99999999997,107399.99999999996,96824.99999999996,102774.99999999996,100692.357908,15757500,0.0,1.0
2009-02-26,99012.49999999996,108162.49999999996,96924.99999999997,107599.99999999996,105419.583663,11675000,0.0,1.0
2009-02-27,114162.49999999996,115249.99999999996,107524.99999999996,113224.99999999996,110930.598143,12037500,0.0,1.0
2009-03-02,120999.99999999996,131362.49999999997,119212.49999999996,129937.49999999996,127304.4345,13220000,0.0,1.0
2009-03-03,124687.49999999996,135837.49999999994,124299.99999999996,133099.99999999997,130402.849308,12847500,0.0,1.0
2009-03-04,126487.49999999996,130912.49999999996,116974.99999999996,123149.99999999996,120654.477027,13180000,0.0,1.0
2009-03-05,131799.99999999994,141874.99999999994,127699.99999999996,137824.99999999994,135032.101471,14755000,0.0,1.0
2009-03-06,134637.49999999994,148749.99999999994,128637.49999999994,137512.49999999997,134725.934,13450000,0.0,1.0
2009-03-09,143962.49999999994,144999.99999999994,131399.99999999997,142224.99999999994,139342.939465,11592500,0.0,1.0
2009-03-10,132974.99999999994,134587.49999999994,115824.99999999996,116249.99999999996,113894.299264,12545000,0.0,1.0
2009-03-11,112049.99999999996,117912.49999999996,108899.99999999997,114837.49999999997,112510.422294,11952500,0.0,1.0
2009-03-12,114737.49999999997,117637.49999999996,99449.99999999997,100887.49999999996,98843.1063827,9132500,0.0,1.0
2009-03-13,98424.99999999996,103699.99999999996,94724.99999999997,97924.99999999997,95940.6387563,10847500,0.0,1.0
2009-03-16,95049.99999999997,99687.49999999997,91474.99999999997,99299.99999999996,97287.7756293,8792500,0.0,1.0
2009-03-17,99224.99999999996,101262.49999999997,90112.49999999997,90474.99999999996,88641.6062444,8577500,0.0,1.0
2009-03-18,91774.99999999997,94087.49999999996,80787.49999999997,84037.49999999997,82334.5563389,10672500,0.0,1.0
2009-03-19,81012.49999999997,87599.99999999997,80749.99999999996,86787.49999999997,85028.8300849,8582500,0.0,1.0
2009-03-20,85612.49999999996,93074.99999999996,85187.49999999997,92287.49999999997,90417.377577,7845000,0.0,1.0
2009-03-23,85212.49999999997,86412.49999999996,72999.99999999997,72999.99999999997,71520.7212582,8632500,0.0,1.0
2009-03-24,75512.49999999997,77149.99999999997,72387.49999999997,76637.49999999997,75084.5106223,7070000,0.0,1.0
2009-03-25,75137.49999999997,81412.49999999997,70974.99999999997,75124.99999999997,73602.660062,9492500,0.0,1.0
2009-03-26,72299.99999999997,74512.49999999997,69412.49999999997,69812.49999999997,68397.8130526,8777500,0.0,1.0
2009-03-27,72362.49999999997,74220.49999999997,71337.49999999997,73487.62499999997,71998.4649802,6902500,0.0,1.0
2009-03-30,78974.99999999997,83449.99999999997,78824.99999999997,80887.49999999996,79248.3882298,5950000,0.0,1.0
2009-03-31,78637.49999999997,80262.49999999996,74224.99999999997,79049.99999999997,77448.1234995,8027500,0.0,1.0
2009-04-01,81899.99999999997,82624.99999999996,73337.49999999997,74199.99999999997,72696.4043474,9280000,0.0,1.0
2009-04-02,68337.49999999997,69474.99999999997,64562.49999999998,67862.49999999997,66487.3280327,10350000,0.0,1.0
2009-04-03,67587.49999999997,69412.49999999997,65274.99999999998,65387.49999999998,64062.4816613,7710000,0.0,1.0
2009-04-06,67574.99999999999,69924.99999999997,66449.99999999997,67049.99999999997,65691.2926077,7052500,0.0,1.0
2009-04-07,70374.99999999997,71999.99999999997,69237.49999999997,71774.99999999997,70320.5447714,6577500,0.0,1.0
2009-04-08,70762.49999999997,71987.49999999997,68449.99999999997,69074.99999999997,67675.2578207,7885000,0.0,1.0
2009-04-09,63962.49999999998,64762.49999999998,60937.49999999998,60962.49999999998,59727.1502699,7762500,0.0,1.0
2009-04-13,62849.99999999998,63587.49999999997,59424.99999999998,60749.99999999998,59518.9563896,6357500,0.0,1.0
2009-04-14,63112.49999999998,64612.49999999997,61112.49999999998,64312.49999999998,63009.2655605,8100000,0.0,1.0
2009-04-15,65312.49999999998,65812.49999999997,61637.49999999998,61799.99999999998,60547.6790926,7925000,0.0,1.0
2009-04-16,60587.49999999998,62912.49999999998,57749.999999999985,58832.249999999985,57640.0678527,8350000,0.0,1.0
2009-04-17,58487.49999999998,59837.49999999998,56749.99999999998,57887.49999999998,56714.4623539,7767500,0.0,1.0
2009-04-20,60824.99999999997,65287.49999999997,60662.49999999998,65074.99999999998,63756.3141901,8495000,0.0,1.0
2009-04-21,66787.49999999997,66974.99999999997,61187.49999999998,61399.99999999997,60155.7847295,10220000,0.0,1.0
2009-04-22,63299.99999999998,63512.49999999998,58312.49999999998,62187.49999999998,60927.3267568,11767500,0.0,1.0
2009-04-23,61712.49999999997,64262.49999999997,60399.99999999998,60624.99999999998,59396.4894011,11307500,0.0,1.0
2009-04-24,59387.49999999998,59973.374999999985,56274.999999999985,57749.999999999985,56579.7486666,11182500,0.0,1.0
2009-04-27,59624.999999999985,59949.99999999998,56949.999999999985,59187.49999999998,57988.1190339,10402500,0.0,1.0
2009-04-28,60949.99999999998,61436.24999999998,57749.999999999985,59599.99999999998,58392.2600958,9272500,0.0,1.0
2009-04-29,57912.49999999998,58286.49999999998,53912.62499999998,55749.99999999998,54620.2768513,10787500,0.0,1.0
2009-04-30,53624.99999999998,56487.49999999998,52599.99999999998,55749.99999999998,54620.2768513,9825000,0.0,1.0
2009-05-01,55537.49999999998,56937.49999999998,54162.49999999998,54662.49999999998,53554.8140518,7782500,0.0,1.0
2009-05-04,53562.499999999985,53799.99999999998,49062.499999999985,49087.499999999985,48092.7863666,10105000,0.0,1.0
2009-05-05,49537.499999999985,50699.999999999985,48899.99999999998,49387.49999999998,48386.7071389,8757500,0.0,1.0
2009-05-06,47812.499999999985,49624.999999999985,46900.124999999985,47224.999999999985,46268.0282386,9730000,0.0,1.0
2009-05-07,45737.499999999985,50099.99999999998,45537.499999999985,49187.499999999985,48190.7599574,11815000,0.0,1.0
2009-05-08,47337.49999999998,48362.49999999998,45312.499999999985,45531.24999999998,44608.6005451,12135000,0.0,1.0
2009-05-11,47499.999999999985,48512.499999999985,46912.499999999985,47949.999999999985,46978.3367717,7580000,0.0,1.0
2009-05-12,47562.49999999998,50537.49999999998,47224.999999999985,48662.499999999985,47676.3986059,11895000,0.0,1.0
2009-05-13,50899.99999999998,52812.49999999998,50399.999999999985,52449.999999999985,51387.1483561,11852500,0.0,1.0
2009-05-14,52487.499999999985,52987.49999999998,49999.999999999985,51212.49999999998,50174.7251704,10800000,0.0,1.0
2009-05-15,51212.49999999998,53349.874999999985,50137.49999999998,52399.999999999985,51338.1615607,11630000,0.0,1.0
2009-05-18,50849.99999999998,51149.999999999985,47537.499999999985,47599.99999999998,46635.429204,10842500,0.0,1.0
2009-05-19,47749.999999999985,48387.499999999985,46474.999999999985,47799.999999999985,46831.3763855,8567500,0.0,1.0
2009-05-20,46562.499999999985,48812.49999999998,45037.499999999985,48662.499999999985,47676.3986059,11082500,0.0,1.0
2009-05-21,50412.49999999998,52312.499999999985,49799.999999999985,50774.99999999998,49746.0907108,10830000,0.0,1.0
2009-05-22,50424.999999999985,51699.99999999998,49437.49999999998,51037.49999999998,50003.2713865,8465000,0.0,1.0
2009-05-26,52199.99999999998,52224.999999999985,46749.99999999998,47162.49999999998,46206.7947444,10272500,0.0,1.0
2009-05-27,46924.999999999985,49773.249999999985,46387.499999999985,49462.499999999985,48460.187332,10030000,0.0,1.0
2009-05-28,48199.999999999985,50562.499999999985,46962.499999999985,47312.499999999985,46353.7551306,12025000,0.0,1.0
2009-05-29,46799.99999999998,47874.99999999998,44637.499999999985,45099.99999999998,44186.0894349,8190000,0.0,1.0
2009-06-01,43362.49999999998,43724.99999999998,41037.499999999985,41649.999999999985,40806.0005535,10485000,0.0,1.0
2009-06-02,42037.499999999985,42424.874999999985,40774.999999999985,41499.999999999985,40659.0401674,8777500,0.0,1.0
2009-06-03,42524.999999999985,44287.499999999985,42399.999999999985,43137.499999999985,42263.3577161,9465000,0.0,1.0
2009-06-04,42674.999999999985,43624.999999999985,41699.999999999985,41849.99999999998,41001.947735,7550000,0.0,1.0
2009-06-05,40487.499999999985,42862.499999999985,40299.999999999985,41874.999999999985,41026.4411327,10450000,0.0,1.0
2009-06-08,42674.999999999985,43874.999999999985,41212.499999999985,42249.99999999998,41393.8420981,8797500,0.0,1.0
2009-06-09,41812.499999999985,42523.749999999985,40999.99999999998,41537.49999999998,40695.7802639,8230000,0.0,1.0
2009-06-10,40512.49999999998,43537.499999999985,40512.49999999998,42037.499999999985,41185.6482177,10230000,0.0,1.0
2009-06-11,41799.999999999985,41799.999999999985,39749.999999999985,41262.499999999985,40426.3528893,10692500,0.0,1.0
2009-06-12,41874.999999999985,42524.999999999985,40987.499999999985,40987.499999999985,40156.9255147,8020000,0.0,1.0
2009-06-15,42537.499999999985,44624.999999999985,42449.999999999985,43962.499999999985,43071.6398399,9335000,0.0,1.0
2009-06-16,43512.499999999985,45912.49999999998,43349.999999999985,45862.49999999998,44933.1380645,10315000,0.0,1.0
2009-06-17,45874.999999999985,47099.999999999985,44824.999999999985,45937.499999999985,45006.6182575,12950000,0.0,1.0
2009-06-18,45774.99999999998,46499.999999999985,44412.499999999985,45187.49999999998,44271.8163268,9582500,0.0,1.0
2009-06-19,43812.49999999998,45274.999999999985,43587.49999999998,44599.999999999985,43696.2214811,8757500,0.0,1.0
