date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-06-25,30711.999999999996,30807.999999999993,29279.999999999996,29316.0,28298.5830667,64000,0.0,1.0
2009-06-26,29627.999999999993,30016.0,29147.999999999996,29531.999999999996,28507.0867487,126000,0.0,1.0
2009-06-29,29279.999999999996,29663.999999999993,28599.999999999996,28651.999999999993,27657.6273034,132000,0.0,1.0
2009-06-30,28683.999999999993,30007.999999999993,28372.0,29351.999999999993,28333.3336804,304000,0.0,1.0
2009-07-01,28999.999999999996,29099.999999999996,28172.0,29043.999999999996,28036.0228745,318000,0.0,1.0
2009-07-02,30167.999999999996,31445.6,30151.999999999993,31359.999999999996,30271.6456874,288000,0.0,1.0
2009-07-06,32311.999999999996,32594.799999999992,31279.999999999996,31287.999999999996,30202.14446,498000,0.0,1.0
2009-07-07,31455.999999999996,33231.99999999999,31427.999999999993,33175.99999999999,32024.6210882,586000,0.0,1.0
2009-07-08,32679.999999999996,34404.0,32403.999999999996,33172.0,32020.7599089,892000,0.0,1.0
2009-07-09,32635.999999999996,33360.0,32303.999999999996,33099.99999999999,31951.2586815,578000,0.0,1.0
2009-07-10,33611.99999999999,33988.159999999996,32755.999999999996,33319.99999999999,32163.6235429,690000,0.0,1.0
2009-07-13,32972.0,33707.99999999999,30824.039999999997,30843.999999999996,29773.5535581,786000,0.0,1.0
2009-07-14,30575.999999999996,31251.96,30283.999999999993,30303.999999999996,29252.294353,802000,0.0,1.0
2009-07-15,29127.999999999993,29272.0,27443.999999999996,27647.999999999996,26688.4712999,1070000,0.0,1.0
2009-07-16,27931.999999999996,28047.999999999996,26575.999999999996,26919.999999999996,25985.7366679,904000,0.0,1.0
2009-07-17,26987.999999999996,27394.719999999998,26751.999999999993,26907.999999999996,25974.15313,732000,0.0,1.0
2009-07-20,26407.999999999996,26839.999999999993,25907.999999999996,26079.999999999996,25174.8890155,1142000,0.0,1.0
2009-07-21,25451.999999999996,26604.599999999995,25407.999999999996,25683.999999999993,24792.6322651,1382000,0.0,1.0
2009-07-22,26172.0,26219.999999999996,25226.159999999996,25660.0,24769.4651894,1436000,0.0,1.0
2009-07-23,25643.999999999996,25675.999999999996,23631.999999999996,23991.999999999996,23159.3534226,2640000,0.0,1.0
2009-07-24,24303.999999999996,24667.999999999996,23612.119999999995,23695.999999999996,22873.6261546,1132000,0.0,1.0
2009-07-27,23743.999999999996,24183.999999999996,23420.039999999997,23463.999999999996,22649.6777554,1640000,0.0,1.0
2009-07-28,23935.999999999996,24383.999999999996,23447.999999999996,23695.999999999996,22873.6261546,2498000,0.0,1.0
2009-07-29,24139.999999999996,24439.999999999996,23763.999999999996,23987.999999999996,23155.4922433,1624000,0.0,1.0
2009-07-30,23083.999999999996,23259.999999999996,22363.999999999996,23135.879999999997,22332.9452177,2040000,0.0,1.0
2009-07-31,23211.999999999996,23399.999999999996,22643.999999999996,23099.999999999996,22298.3104394,1402000,0.0,1.0
2009-08-03,22343.999999999996,22735.999999999996,21903.999999999996,22007.999999999996,21244.2084913,2166000,0.0,1.0
2009-08-04,22236.0,22383.999999999996,21693.279999999995,21799.999999999996,21043.4271679,2062000,0.0,1.0
2009-08-05,21739.999999999996,22503.999999999996,21683.999999999996,22027.999999999996,21263.5143878,2182000,0.0,1.0
2009-08-06,21679.999999999996,22615.999999999996,21575.999999999996,22307.999999999996,21533.7969386,1880000,0.0,1.0
2009-08-07,21591.999999999996,21979.999999999996,20891.999999999996,21439.999999999996,20695.9210312,2058000,0.0,1.0
2009-08-10,21731.999999999996,22015.999999999996,21427.999999999996,21575.999999999996,20827.2011273,1462000,0.0,1.0
2009-08-11,21855.999999999996,22539.999999999996,21825.999999999996,22427.999999999996,21649.6323175,1418000,0.0,1.0
2009-08-12,22455.999999999996,22497.039999999997,21136.0,21651.999999999996,20900.5635339,2512000,0.0,1.0
2009-08-13,21359.999999999996,21999.999999999996,21136.0,21159.999999999996,20425.6384804,1914000,0.0,1.0
2009-08-14,21163.999999999996,22319.959999999995,21155.959999999995,21667.999999999996,20916.0082511,1760000,0.0,1.0
2009-08-17,22903.999999999996,23359.999999999996,22828.239999999998,23283.999999999996,22475.924687,1618000,0.0,1.0
2009-08-18,23083.999999999996,23199.999999999996,22427.999999999996,22627.999999999996,21842.6912823,1620000,0.0,1.0
2009-08-19,23219.999999999996,23239.999999999996,21868.96,22036.0,21271.2367464,2416000,0.0,1.0
2009-08-20,21999.999999999996,22123.999999999996,21258.119999999995,21383.999999999996,20641.864521,1472000,0.0,1.0
2009-08-21,20875.999999999996,20983.999999999996,20023.999999999996,20139.999999999996,19441.0377597,1684000,0.0,1.0
2009-08-24,19883.999999999996,20347.999999999996,19555.999999999996,20143.999999999996,19444.898939,1786000,0.0,1.0
2009-08-25,19908.0,20155.999999999996,19444.039999999997,20055.999999999996,19359.9529945,2062000,0.0,1.0
2009-08-26,20203.999999999996,20403.999999999996,19743.999999999996,20011.999999999996,19317.4800222,1974000,0.0,1.0
2009-08-27,20051.999999999996,20731.999999999996,19689.359999999997,19819.999999999996,19132.1434159,2212000,0.0,1.0
2009-08-28,19391.999999999996,20295.999999999996,19331.999999999996,19915.999999999996,19224.8117191,1878000,0.0,1.0
2009-08-31,20483.999999999996,20799.999999999996,20336.0,20391.999999999996,19684.2920554,2548000,0.0,1.0
2009-09-01,20747.999999999996,21891.999999999996,19947.999999999996,21807.999999999996,21051.1495265,3650000,0.0,1.0
2009-09-02,22059.999999999996,22179.999999999996,21620.359999999997,22015.999999999996,21251.9308499,1826000,0.0,1.0
2009-09-03,21636.0,22159.999999999996,21391.999999999996,21508.0,20761.5610792,1410000,0.0,1.0
2009-09-04,21308.0,21531.999999999996,20559.999999999996,20559.999999999996,19846.4615859,1946000,0.0,1.0
2009-09-08,19980.0,20367.999999999996,19952.0,20031.999999999996,19336.7859187,1472000,0.0,1.0
2009-09-09,19927.999999999996,20108.0,19360.12,19558.0,18879.236172,1436000,0.0,1.0
2009-09-10,19536.0,19859.999999999996,18927.999999999996,18963.999999999996,18305.8510464,1886000,0.0,1.0
2009-09-11,18880.0,19243.999999999996,18700.679999999997,18975.999999999996,18317.4345843,1446000,0.0,1.0
2009-09-14,19459.999999999996,19471.999999999996,18603.999999999996,18663.999999999996,18016.2625992,1444000,0.0,1.0
2009-09-15,18587.999999999996,18959.999999999996,18252.799999999996,18471.999999999996,17830.9259929,1754000,0.0,1.0
2009-09-16,18236.0,18491.999999999996,17603.999999999996,17615.96,17004.5950116,2460000,0.0,1.0
2009-09-17,17691.999999999996,17983.92,17247.999999999996,17696.0,17081.8572093,2556000,0.0,1.0
2009-09-18,17459.999999999996,17836.0,17452.0,17611.999999999996,17000.7724441,2184000,0.0,1.0
2009-09-21,18063.999999999996,18180.0,15999.999999999998,17783.999999999996,17166.8031538,1968000,0.0,1.0
2009-09-22,17459.999999999996,17715.999999999996,17336.0,17471.999999999996,16865.6311687,1788000,0.0,1.0
2009-09-23,17336.0,18008.0,17015.999999999996,17896.0,17274.9161742,2548000,0.0,1.0
2009-09-24,17803.999999999996,18724.0,17680.0,18503.999999999996,17861.8154273,2904000,0.0,1.0
2009-09-25,18631.999999999996,18983.999999999996,18336.0,18791.999999999996,18139.8203367,2358000,0.0,1.0
2009-09-28,18555.999999999996,18595.999999999996,17680.0,17799.999999999996,17182.247871,1644000,0.0,1.0
2009-09-29,17687.999999999996,18059.999999999996,17447.999999999996,17939.999999999996,17317.3891464,1856000,0.0,1.0
2009-09-30,17767.999999999996,18636.0,17727.999999999996,18175.999999999996,17545.1987249,3904000,0.0,1.0
2009-10-01,18308.0,19499.999999999996,18283.999999999996,19487.999999999996,18811.6655343,2892000,0.0,1.0
2009-10-02,20039.999999999996,20083.999999999996,19423.999999999996,19727.999999999996,19043.3362921,3326000,0.0,1.0
2009-10-05,19536.0,19715.999999999996,18724.0,18863.999999999996,18209.321564,1948000,0.0,1.0
2009-10-06,18471.999999999996,18499.999999999996,17759.999999999996,18071.999999999996,17444.8080632,2738000,0.0,1.0
2009-10-07,18215.999999999996,18291.999999999996,17871.999999999996,17924.0,17301.9444292,1744000,0.0,1.0
2009-10-08,17496.0,17755.799999999996,17236.0,17515.999999999996,16908.104141,2054000,0.0,1.0
2009-10-09,17519.999999999996,17624.0,17199.999999999996,17215.999999999996,16618.5156937,1148000,0.0,1.0
2009-10-12,16931.999999999996,17187.799999999996,16803.999999999996,16947.999999999996,16359.8166808,1224000,0.0,1.0
2009-10-13,17139.999999999996,17424.0,17008.0,17080.0,16487.2355976,1514000,0.0,1.0
2009-10-14,16480.0,16715.999999999996,16159.999999999996,16207.999999999998,15645.4985109,2180000,0.0,1.0
2009-10-15,16427.999999999996,16459.999999999996,16039.999999999998,16079.999999999998,15521.9407734,1560000,0.0,1.0
