date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-02-11,32607.999999999993,32615.999999999996,30672.0,30707.999999999993,29872.9439112,16000,0.0,1.0
2010-02-12,31287.999999999996,31407.999999999993,30555.999999999996,30555.999999999996,29725.0773138,12000,0.0,1.0
2010-02-16,29011.999999999996,29443.999999999996,28067.999999999996,28067.999999999996,27304.7345871,4000,0.0,1.0
2010-02-17,27603.999999999996,28031.999999999996,27579.999999999996,27579.999999999996,26830.0049847,12000,0.0,1.0
2010-02-18,27619.999999999996,27647.999999999996,26839.999999999993,26839.999999999993,26110.1281287,16000,0.0,1.0
2010-02-19,27199.999999999996,27247.999999999996,26472.0,26716.0,25989.500115,12000,0.0,1.0
2010-02-22,26231.999999999996,26716.0,26231.999999999996,26363.999999999996,25647.0722051,8000,0.0,1.0
2010-02-23,26635.999999999996,27643.999999999996,26575.999999999996,27443.999999999996,26697.7032923,44000,0.0,1.0
2010-02-24,27147.999999999996,27239.999999999993,26335.999999999996,26947.999999999996,26215.1912374,38000,0.0,1.0
2010-02-25,27791.999999999996,27975.999999999996,26660.0,26775.999999999996,26047.8685088,42000,0.0,1.0
2010-02-26,26611.999999999996,27399.999999999996,26531.999999999996,26951.999999999993,26219.0824637,92000,0.0,1.0
2010-03-01,26316.0,26316.0,25099.999999999996,25179.999999999996,24495.2692355,124000,0.0,1.0
2010-03-02,24875.999999999996,24919.999999999996,24199.999999999996,24555.999999999996,23888.2379407,50000,0.0,1.0
2010-03-03,24227.999999999996,24527.999999999996,23759.999999999996,24275.999999999996,23615.8521033,34000,0.0,1.0
2010-03-04,23979.999999999996,24395.999999999996,23883.999999999996,23935.999999999996,23285.0978722,24000,0.0,1.0
2010-03-05,23499.999999999996,23575.999999999996,22387.999999999996,22511.999999999996,21899.8213276,52000,0.0,1.0
2010-03-08,22495.999999999996,22495.999999999996,22179.999999999996,22303.999999999996,21697.4775627,36000,0.0,1.0
2010-03-09,22523.999999999996,22523.999999999996,21623.999999999996,22123.999999999996,21522.3723815,78000,0.0,1.0
2010-03-10,21919.999999999996,21919.999999999996,21219.999999999996,21539.999999999996,20954.2533492,166000,0.0,1.0
2010-03-11,21879.999999999996,22099.999999999996,21263.999999999996,21327.999999999996,20748.018358,492000,0.0,1.0
2010-03-12,21223.999999999996,21791.999999999996,21223.999999999996,21359.999999999996,20779.148168,90000,0.0,1.0
2010-03-15,21536.0,22019.999999999996,21339.999999999996,21551.999999999996,20965.927028,72000,0.0,1.0
2010-03-16,21275.999999999996,21647.999999999996,21019.999999999996,21019.999999999996,20448.3939369,60000,0.0,1.0
2010-03-17,20847.999999999996,20847.999999999996,20291.999999999996,20636.0,20074.836217,82000,0.0,1.0
2010-03-18,20655.999999999996,20931.999999999996,20391.999999999996,20823.999999999996,20257.7238507,60000,0.0,1.0
2010-03-19,20943.999999999996,21811.92,20943.999999999996,21631.999999999996,21043.7515529,100000,0.0,1.0
2010-03-22,22083.999999999996,22207.999999999996,20636.0,20723.999999999996,20160.4431945,172000,0.0,1.0
2010-03-23,20631.999999999996,20863.999999999996,19899.999999999996,19936.0,19393.8716235,124000,0.0,1.0
2010-03-24,20159.999999999996,20587.999999999996,20036.0,20583.999999999996,20024.2502758,138000,0.0,1.0
2010-03-25,20067.999999999996,21023.999999999996,19631.999999999996,20999.999999999996,20428.9378056,184000,0.0,1.0
2010-03-26,20631.999999999996,21215.999999999996,20363.999999999996,20983.999999999996,20413.3729006,124000,0.0,1.0
2010-03-29,20731.999999999996,20975.999999999996,20551.999999999996,20631.999999999996,20070.9449908,18000,0.0,1.0
2010-03-30,20511.999999999996,20883.999999999996,20175.999999999996,20536.0,19977.5555608,52000,0.0,1.0
2010-03-31,20715.999999999996,20999.999999999996,20099.999999999996,20967.999999999996,20397.8079956,124000,0.0,1.0
2010-04-01,20480.0,21003.999999999996,20183.999999999996,20447.999999999996,19891.9485833,146000,0.0,1.0
2010-04-05,20223.999999999996,20367.999999999996,19247.999999999996,19263.96,18740.1067014,110000,0.0,1.0
2010-04-06,19423.999999999996,19507.199999999997,18775.999999999996,18919.999999999996,18405.5001563,124000,0.0,1.0
2010-04-07,18955.999999999996,19411.999999999996,18775.999999999996,19075.999999999996,18557.25798,174000,0.0,1.0
2010-04-08,19295.999999999996,19675.999999999996,18887.999999999996,19067.999999999996,18549.4755275,50000,0.0,1.0
2010-04-09,19043.999999999996,19287.999999999996,18803.999999999996,18819.999999999996,18308.2195001,58000,0.0,1.0
2010-04-12,18763.999999999996,18875.999999999996,18480.0,18634.879999999997,18128.1335493,40000,0.0,1.0
2010-04-13,18655.999999999996,18971.999999999996,18391.999999999996,18439.999999999996,17938.5530065,64000,0.0,1.0
2010-04-14,18080.0,18096.0,17247.999999999996,17259.999999999996,16790.6412631,72000,0.0,1.0
2010-04-15,17239.999999999996,17303.999999999996,16980.0,17087.999999999996,16623.3185344,98000,0.0,1.0
2010-04-16,17227.999999999996,18108.0,17080.0,17755.999999999996,17273.1533179,218000,0.0,1.0
2010-04-19,18087.999999999996,18755.999999999996,17583.999999999996,18027.999999999996,17537.7567029,278000,0.0,1.0
2010-04-20,17711.999999999996,17924.0,17259.999999999996,17268.0,16798.4237156,190000,0.0,1.0
2010-04-21,17291.999999999996,17355.999999999996,16831.999999999996,16927.999999999996,16467.6694845,104000,0.0,1.0
2010-04-22,17459.999999999996,17683.999999999996,16295.999999999998,16363.999999999996,15919.0065834,196000,0.0,1.0
2010-04-23,16307.999999999998,16547.999999999996,15819.999999999996,15839.999999999998,15409.2559448,172000,0.0,1.0
2010-04-26,15815.999999999998,16039.999999999998,15567.999999999998,16039.999999999998,15603.8172573,122000,0.0,1.0
2010-04-27,16223.999999999998,17219.999999999996,15799.999999999998,17136.0,16670.0132494,294000,0.0,1.0
2010-04-28,16803.999999999996,17236.0,16725.999999999996,17055.999999999996,16592.1887244,212000,0.0,1.0
2010-04-29,16659.999999999996,16903.999999999996,15959.999999999996,15963.999999999996,15529.8839585,154000,0.0,1.0
2010-04-30,15943.999999999998,17375.999999999996,15937.999999999998,17375.999999999996,16903.4868243,148000,0.0,1.0
2010-05-03,17036.0,17043.999999999996,16183.999999999998,16211.999999999998,15771.139986,254000,0.0,1.0
