date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-06-21,17.72,17.9525,17.705,17.875,14.9586602806,277300,0.0,1.0
2006-06-22,17.77,17.77,17.565,17.684975,14.7996382152,136600,0.0,1.0
2006-06-23,17.58,17.845,17.5325,17.6825,14.797567016099999,44600,0.0,1.0
2006-06-26,17.6875,17.7925,17.6275,17.785,14.8833439491,37700,0.0,1.0
2006-06-27,17.8425,17.8425,17.47,17.47,14.619736789000001,114700,0.0,1.0
2006-06-28,17.5225,17.67425,17.425,17.625,14.749448248699998,42600,0.0,1.0
2006-06-29,17.875,18.3725,17.84725,18.3725,15.374992224100001,66800,0.0,1.0
2006-06-30,18.5025,18.525,18.3625,18.3625,15.3666237428,90600,0.0,1.0
2006-07-03,18.4625,18.6125,18.44,18.6125,15.5758357747,28400,0.0,1.0
2006-07-05,18.4125,18.4425,18.2225,18.365,15.3687158631,74000,0.0,1.0
2006-07-06,18.425,18.5525,18.3661,18.4225,15.4168346305,116600,0.0,1.0
2006-07-07,18.2875,18.445,18.12,18.21,15.2390044034,71100,0.0,1.0
2006-07-10,18.3625,18.4325,18.175,18.2425,15.2662019675,72000,0.0,1.0
2006-07-11,18.1625,18.41,18.0175,18.39835,15.396624748199999,192500,0.0,1.0
2006-07-12,18.3775,18.385,17.96,18.035,15.092555980999999,128200,0.0,1.0
2006-07-13,17.7925,17.88,17.4775,17.49,14.6364737515,173800,0.0,1.0
2006-07-14,17.435,17.48755,17.125,17.3325,14.5046701714,151100,0.0,1.0
2006-07-17,17.3575,17.45,17.2,17.315,14.490025329200002,56900,0.0,1.0
2006-07-18,17.4375,17.6625,17.0275,17.342,14.5126202286,204900,0.0,1.0
2006-07-19,17.5,18.05,17.4965,17.9375,15.0109632886,219000,0.0,1.0
2006-07-20,18.1,18.125,17.6875,17.7275,14.8352251818,115300,0.0,1.0
2006-07-21,17.575,17.6525,17.3775,17.447475,14.6008867849,128400,0.0,1.0
2006-07-24,17.6175,18.035,17.6175,18.0,15.0632662966,133400,0.0,1.0
2006-07-25,17.965,18.3225,17.8825,18.2275,15.2536492456,171400,0.0,1.0
2006-07-26,18.11,18.385,18.035,18.2625,15.2829389301,138200,0.0,1.0
2006-07-27,18.3975,18.45,18.015,18.0875,15.1364905077,179000,0.0,1.0
2006-07-28,18.1775,18.564975,18.165025,18.499975,15.481669439200001,112900,0.0,1.0
2006-07-31,18.5,18.5,18.38,18.45,15.439847954000001,56800,0.0,1.0
2006-08-01,18.25,18.3875,18.1125,18.285,15.3017680129,52300,0.0,1.0
2006-08-02,18.4675,18.6375,18.38,18.425,15.418926750799999,73300,0.0,1.0
2006-08-03,18.25,18.655,18.25,18.5175,15.4963352026,90100,0.0,1.0
2006-08-04,18.925,18.9375,18.35,18.5125,15.492150962,172100,0.0,1.0
2006-08-07,18.4,18.4875,18.325,18.409975,15.4063531077,49100,0.0,1.0
2006-08-08,18.549975,18.585,18.18,18.26,15.2808468097,57700,0.0,1.0
2006-08-09,18.4275,18.615,18.1,18.12,15.163688071900001,69700,0.0,1.0
2006-08-10,18.075,18.3125,18.0025,18.28,15.2975837723,161900,0.0,1.0
2006-08-11,18.075,18.25,18.025,18.1475,15.1867013954,121900,0.0,1.0
2006-08-14,18.3725,18.69,18.1575,18.2088,15.238000185599999,96600,0.0,1.0
2006-08-15,18.4925,18.7,18.445,18.6575,15.6134939405,84400,0.0,1.0
2006-08-16,18.7875,19.0025,18.7675,18.97,15.8750089803,112000,0.0,1.0
2006-08-17,18.965,19.1475,18.92,19.0475,15.9398647102,190400,0.0,1.0
2006-08-18,19.11,19.175,18.9225,19.125,16.0047204401,83200,0.0,1.0
2006-08-21,19.0,19.085,18.975,19.035,15.929404108599998,40600,0.0,1.0
2006-08-22,19.015,19.165,18.9375,19.05,15.941956830499999,69600,0.0,1.0
2006-08-23,19.0925,19.15,18.79,18.895,15.8122453708,62300,0.0,1.0
2006-08-24,19.025,19.025,18.845,18.965,15.8708247397,88000,0.0,1.0
2006-08-25,18.935,19.085,18.895,19.0,15.900114424200002,39700,0.0,1.0
2006-08-28,18.98,19.23,18.9275,19.162475,16.0360813237,69400,0.0,1.0
2006-08-29,19.1475,19.2575,18.9675,19.2525,16.111418576400002,59200,0.0,1.0
2006-08-30,19.325,19.325,18.955,19.25,16.1093264561,29400,0.0,1.0
2006-08-31,19.1875,19.275,19.175,19.235,16.0967737341,27800,0.0,1.0
2006-09-01,19.3125,19.45,19.255,19.429075,16.2591850345,56600,0.0,1.0
2006-09-05,19.4175,19.53,19.355,19.465,16.289248803499998,61500,0.0,1.0
2006-09-06,19.3575,19.3575,19.075,19.1245,16.004302016,56400,0.0,1.0
2006-09-07,18.9525,19.1225,18.86,18.9325,15.8436271756,63600,0.0,1.0
2006-09-08,18.9825,19.1025,18.92,19.0675,15.9566016728,56400,0.0,1.0
2006-09-11,18.9525,19.1775,18.82,19.0625,15.9524174321,32800,0.0,1.0
2006-09-12,19.1125,19.468525,19.1125,19.435025,16.264164280899998,67200,0.0,1.0
2006-09-13,19.485,19.655,19.41,19.625,16.4231445039,39800,0.0,1.0
2006-09-14,19.56,19.5775,19.4575,19.53,16.3436439318,50200,0.0,1.0
2006-09-15,19.7875,19.85,19.6225,19.697425,16.4837532295,62400,0.0,1.0
2006-09-18,19.66,19.7975,19.6075,19.695,16.4817238728,34000,0.0,1.0
2006-09-19,19.64,19.702475,19.395,19.5675,16.3750257366,100300,0.0,1.0
2006-09-20,19.81,19.87,19.7,19.805,16.5737771669,77600,0.0,1.0
2006-09-21,19.9,19.9,19.515,19.59,16.3938548194,51600,0.0,1.0
2006-09-22,19.5875,19.5875,19.36,19.4825,16.3038936457,35000,0.0,1.0
2006-09-25,19.655,19.9175,19.41,19.845,16.607251092000002,81800,0.0,1.0
2006-09-26,19.86,20.1207,19.8175,20.10585,16.8255429261,76400,0.0,1.0
2006-09-27,20.1625,20.225,20.045,20.155,16.866674011500002,87200,0.0,1.0
2006-09-28,20.2625,20.365,20.0625,20.22,16.9210691398,89000,0.0,1.0
2006-09-29,20.2125,20.2425,20.115,20.1375,16.8520291693,47200,0.0,1.0
2006-10-02,20.1175,20.1825,19.9375,19.970025,16.7118780291,45000,0.0,1.0
2006-10-03,19.9625,20.1775,19.845,20.0425,16.7725285972,47800,0.0,1.0
2006-10-04,20.05,20.54,19.96,20.535,17.1846763,104600,0.0,1.0
2006-10-05,20.575,20.665,20.4875,20.61,17.2474399096,69000,0.0,1.0
2006-10-06,20.4275,20.56,20.3825,20.55,17.1972290219,163900,0.0,1.0
2006-10-09,20.4875,20.6175,20.43,20.57,17.2139659845,40900,0.0,1.0
2006-10-10,20.565,20.665,20.4975,20.6325,17.2662689924,41300,0.0,1.0
2006-10-11,20.49,20.65,20.3425,20.55,17.1972290219,56200,0.0,1.0
2006-10-12,20.69,20.945,20.6375,20.9175,17.504770708800002,150200,0.0,1.0
2006-10-13,20.875,21.0325,20.8378,21.015,17.5863634013,59400,0.0,1.0
2006-10-16,20.9575,21.125,20.955075,21.08,17.6407585295,61400,0.0,1.0
2006-10-17,20.925,21.0125,20.7125,20.975,17.5528894761,161600,0.0,1.0
2006-10-18,21.195,21.1975,20.8225,20.97,17.548705235499998,149800,0.0,1.0
2006-10-19,20.91,21.0525,20.86715,21.0075,17.5800870403,79700,0.0,1.0
2006-10-20,21.025,21.175,20.8825,21.0375,17.6051924841,52500,0.0,1.0
2006-10-23,20.925,21.3125,20.895,21.2325,17.768377869000002,127600,0.0,1.0
2006-10-24,21.25,21.3275,21.1575,21.3275,17.8478784411,53300,0.0,1.0
2006-10-25,21.3275,21.4975,21.2625,21.4475,17.9483002164,90900,0.0,1.0
2006-10-26,21.605,21.68,21.37,21.6325,18.10311712,134400,0.0,1.0
2006-10-27,21.4425,21.5975,21.25575,21.3475,17.8646154037,107200,0.0,1.0
2006-10-30,21.2375,21.4125,21.185,21.32,17.8416020802,92600,0.0,1.0
2006-10-31,21.4,21.41,21.13,21.25,17.783022711199997,125000,0.0,1.0
2006-11-01,21.4275,21.442475,20.945,20.9975,17.571718559,126400,0.0,1.0
2006-11-02,20.8875,21.02,20.8275,20.98,17.5570737168,111700,0.0,1.0
2006-11-03,21.125,21.125,20.8,20.85,17.4482834602,131100,0.0,1.0
2006-11-06,21.05,21.4225,21.005,21.3575,17.872983884900002,104000,0.0,1.0
2006-11-07,21.3625,21.6625,21.34265,21.47,17.9671292993,114600,0.0,1.0
2006-11-08,21.2875,21.65,21.2125,21.61,18.0842880372,102800,0.0,1.0
2006-11-09,21.6375,21.6575,21.295025,21.3625,17.8771681256,107900,0.0,1.0
2006-11-10,21.3925,21.414025,21.2425,21.4,17.9085499304,56000,0.0,1.0
2006-11-13,21.3375,21.62,21.327525,21.4875,17.9817741415,82000,0.0,1.0
2006-11-14,21.6375,21.8425,21.35,21.7925,18.2370128205,166600,0.0,1.0
2006-11-15,21.7875,22.06,21.7875,21.9475,18.3667242802,180600,0.0,1.0
2006-11-16,22.0275,22.1425,21.97,22.0425,18.4462248523,166800,0.0,1.0
2006-11-17,21.8375,22.045,21.8375,22.0375,18.4420406117,57500,0.0,1.0
2006-11-20,21.9775,22.125,21.9375,22.025,18.4315800101,92300,0.0,1.0
2006-11-21,22.04,22.1,22.002525,22.0925,18.4880672587,42100,0.0,1.0
2006-11-22,22.145,22.2475,22.07,22.1875,18.567567830799998,40700,0.0,1.0
2006-11-24,21.975,22.1525,21.975,22.01,18.4190272882,8400,0.0,1.0
2006-11-27,21.9325,21.967375,21.35,21.425,17.9294711336,277100,0.0,1.0
2006-11-28,21.3275,21.575,21.2625,21.55,18.0340771495,166400,0.0,1.0
2006-11-29,21.75,22.0,21.71,21.945,18.3646321599,53800,0.0,1.0
2006-11-30,22.015,22.125749999999996,21.7671,21.9625,18.3792770021,225100,0.0,1.0
2006-12-01,21.975,22.0375,21.5125,21.8625,18.2955921894,164600,0.0,1.0
2006-12-04,21.9725,22.2825,21.9388,22.2125,18.588489034000002,35600,0.0,1.0
2006-12-05,22.2875,22.4225,22.2125,22.3925,18.739121697,100700,0.0,1.0
2006-12-06,22.3925,22.4375,22.285,22.3275,18.6847265687,53800,0.0,1.0
2006-12-07,22.43,22.5175,22.16,22.165,18.548738747999998,66000,0.0,1.0
2006-12-08,22.125,22.37,22.05,22.2225,18.596857515299998,107900,0.0,1.0
2006-12-11,22.275,22.425,22.225,22.34,18.6951871703,52900,0.0,1.0
2006-12-12,22.325,22.3525,22.0975,22.31,18.6700817265,57600,0.0,1.0
2006-12-13,22.475,22.475,22.277525,22.4,18.745398058,66300,0.0,1.0
2006-12-14,22.365,22.8,22.365,22.7,18.9964524962,129800,0.0,1.0
2006-12-15,22.85,22.925,22.745,22.795,19.0759530684,94300,0.0,1.0
2006-12-18,22.825,22.9275,22.58,22.65,18.9546100899,113300,0.0,1.0
2006-12-19,22.4375,22.8325,22.375,22.7725,19.0571239855,154000,0.0,1.0
