date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-10-04,19.745,21.05,19.65,21.05,21.05,20300,0.0,1.0
2011-10-05,21.765,22.82,21.725,22.695,22.695,8875,0.0,1.0
2011-10-06,22.715,23.165,22.4,23.165,23.165,5545,0.0,1.0
2011-10-07,23.5925,23.5925,22.39,23.345,23.345,18185,0.0,1.0
2011-10-10,23.75,24.3,23.7,24.3,24.3,14940,0.0,1.0
2011-10-11,24.125,24.825,24.12,24.63,24.63,16320,0.0,1.0
2011-10-12,25.58,26.75,25.5,26.345,26.345,13750,0.0,1.0
2011-10-13,26.0,26.135,25.47,26.135,26.135,14530,0.0,1.0
2011-10-14,27.695,27.8912,27.00495,27.875,27.875,13120,0.0,1.0
2011-10-17,27.45,27.455,24.81,24.81,24.81,10600,0.0,1.0
2011-10-18,24.75,26.135,24.145,25.67,25.67,10380,0.0,1.0
2011-10-19,25.89,25.904,23.6065,23.96,23.96,19724,0.0,1.0
2011-10-20,23.825,23.825,22.925,23.755,23.755,10277,0.0,1.0
2011-10-21,24.64,24.925,24.33,24.925,24.925,7474,0.0,1.0
2011-10-24,25.47,26.53,25.47,26.53,26.53,10300,0.0,1.0
2011-10-25,26.115,26.115,24.725,24.73,24.73,18365,0.0,1.0
2011-10-26,25.65,25.755,24.42,25.56005,25.56005,22325,0.0,1.0
2011-10-27,28.35,29.275,27.825,28.03,28.03,32376,0.0,1.0
2011-10-28,28.415,29.39,28.29,29.39,29.39,23100,0.0,1.0
2011-10-31,27.88,28.08,26.22,26.22,26.22,47630,0.0,1.0
2011-11-01,22.2,23.265,21.535,22.315,22.315,135330,0.0,1.0
2011-11-02,23.235,23.24035,22.34,23.05495,23.05495,22103,0.0,1.0
2011-11-03,23.72,24.22,22.315,24.18,24.18,62111,0.0,1.0
2011-11-04,23.525,24.1,22.765,23.705,23.705,53575,0.0,1.0
2011-11-07,23.515,23.8785,23.01,23.86,23.86,20600,0.0,1.0
2011-11-08,24.225,25.005,23.5348,25.005,25.005,36625,0.0,1.0
2011-11-09,23.105,23.3148,20.109,20.2108,20.2108,69215,0.0,1.0
2011-11-10,21.37,21.5,20.36,21.45,21.45,48817,0.0,1.0
2011-11-11,22.3,22.615,22.215,22.375,22.375,73629,0.0,1.0
2011-11-14,22.07,22.07495,21.43,21.82,21.82,25450,0.0,1.0
2011-11-15,21.425,22.22,21.255,22.045,22.045,120710,0.0,1.0
2011-11-16,21.335,22.14,20.8752,20.995,20.995,87381,0.0,1.0
2011-11-17,20.785,20.935,19.585,19.985,19.985,210850,0.0,1.0
2011-11-18,20.5,20.65,19.975,20.625,20.625,195725,0.0,1.0
2011-11-21,19.535,20.515,19.5,20.42,20.42,118698,0.0,1.0
2011-11-22,20.215,20.855,20.12,20.835,20.835,103877,0.0,1.0
2011-11-23,20.38,20.47,19.85,19.89,19.89,145896,0.0,1.0
2011-11-25,19.87,20.2,19.56,19.62495,19.62495,34570,0.0,1.0
2011-11-28,20.915,20.98,20.33,20.505,20.505,73434,0.0,1.0
2011-11-29,20.71,21.035,20.445,20.89,20.89,67873,0.0,1.0
2011-11-30,22.31,22.81,22.15,22.81,22.81,88357,0.0,1.0
2011-12-01,22.77,23.475,22.715,23.275,23.275,112580,0.0,1.0
2011-12-02,23.96,24.345,23.3599,23.38,23.38,93328,0.0,1.0
2011-12-05,24.245,24.305,23.21,23.41,23.41,56880,0.0,1.0
2011-12-06,23.395,23.815,23.305,23.505,23.505,47686,0.0,1.0
2011-12-07,23.23,23.23,22.225,22.78,22.78,80896,0.0,1.0
2011-12-08,22.15,22.34,21.5255,21.74,21.74,92761,0.0,1.0
2011-12-09,21.995,23.26,21.995,23.23,23.23,115728,0.0,1.0
2011-12-12,22.68,23.06,22.215,23.06,23.06,118470,0.0,1.0
2011-12-13,23.735,24.055,22.745,23.1083,23.1083,137012,0.0,1.0
2011-12-14,23.15,23.51,22.665,23.12,23.12,127497,0.0,1.0
2011-12-15,24.0296,24.28,23.72,23.98,23.98,102299,0.0,1.0
2011-12-16,24.785,24.81,23.85,24.175,24.175,78019,0.0,1.0
2011-12-19,24.39,24.89,24.185,24.35,24.35,78425,0.0,1.0
2011-12-20,25.48,25.945,25.28,25.86,25.86,147371,0.0,1.0
2011-12-21,26.22,27.66,25.725,27.62,27.62,130515,0.0,1.0
2011-12-22,28.225,28.75,27.21,27.49,27.49,120248,0.0,1.0
2011-12-23,27.855,27.925,26.65,26.85,26.85,49101,0.0,1.0
2011-12-27,26.815,27.285,26.815,27.0124,27.0124,37799,0.0,1.0
2011-12-28,27.19,27.19,25.86,25.86,25.86,12920,0.0,1.0
2011-12-29,26.305,26.575,26.278,26.515,26.515,8405,0.0,1.0
2011-12-30,26.55,26.64,26.14,26.14,26.14,13132,0.0,1.0
2012-01-03,27.31,27.6,27.185,27.445,27.445,26204,0.0,1.0
2012-01-04,27.145,27.975,26.81,27.955,27.955,21194,0.0,1.0
2012-01-05,27.395,28.615,27.295,28.615,28.615,17144,0.0,1.0
2012-01-06,28.835,29.33,28.2962,29.08,29.08,19150,0.0,1.0
2012-01-09,29.31495,29.57,29.11,29.48,29.48,7092,0.0,1.0
2012-01-10,30.32,30.595,30.005,30.05,30.05,14750,0.0,1.0
2012-01-11,29.75495,29.835,29.495,29.54,29.54,17314,0.0,1.0
2012-01-12,29.685,30.015,28.64,29.95,29.95,13300,0.0,1.0
2012-01-13,29.175,29.24,28.285,29.19,29.19,28043,0.0,1.0
2012-01-17,30.195,30.641,29.3,29.435,29.435,61340,0.0,1.0
2012-01-18,29.58,30.5184,29.355,30.49,30.49,29437,0.0,1.0
2012-01-19,30.97,31.325,30.69,31.325,31.325,26226,0.0,1.0
2012-01-20,31.135,32.27005,31.08,32.265,32.265,30998,0.0,1.0
2012-01-23,32.305,33.245,32.285,33.07,33.07,146185,0.0,1.0
2012-01-24,32.22,33.095,32.135,32.905,32.905,94619,0.0,1.0
2012-01-25,32.89,34.455,32.63,34.39,34.39,44730,0.0,1.0
2012-01-26,35.165,35.165,33.83005,34.25,34.25,19194,0.0,1.0
2012-01-27,33.82,35.115,33.82,35.11,35.11,4300,0.0,1.0
2012-01-30,33.61495,34.36,33.555,34.0,34.0,66386,0.0,1.0
2012-01-31,34.835,34.9495,33.66,34.06,34.06,17200,0.0,1.0
2012-02-01,34.725,35.235,34.545,34.925,34.925,12267,0.0,1.0
2012-02-02,35.53,35.98,35.42,35.98,35.98,8565,0.0,1.0
