date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-05-22,280.72,286.84,280.44,283.56,273.73162922,160400,0.0,1.0
2008-05-23,281.2,281.56,278.28,280.4,270.681156839,125600,0.0,1.0
2008-05-27,284.0,285.2,282.4,284.5204,274.658741142,110400,0.0,1.0
2008-05-28,289.4,291.12,287.76,290.8,280.720686194,160000,0.0,1.0
2008-05-29,293.36,298.32,292.0004,294.36,284.157294319,326400,0.0,1.0
2008-05-30,291.28,291.96,288.9204,290.88,280.797913343,170000,0.0,1.0
2008-06-02,290.0,300.0,285.56,287.64,277.670213813,125600,0.0,1.0
2008-06-03,289.68,292.88,281.2,283.64,273.808856369,137600,0.0,1.0
2008-06-04,281.8,290.0,280.56,288.6,278.5969396,105600,0.0,1.0
2008-06-05,290.24,293.1432,289.56,292.2512,282.121586675,106000,0.0,1.0
2008-06-06,287.16,287.68,282.64,284.4,274.542514283,148800,0.0,1.0
2008-06-09,287.2,288.28,281.2,285.0,275.1217179,128800,0.0,1.0
2008-06-10,286.72,291.84,285.2,289.6,279.562278961,124400,0.0,1.0
2008-06-11,289.4,292.0,285.344,289.72,279.678119684,173200,0.0,1.0
2008-06-12,293.92,297.6,290.48,295.9328,285.675580066,330400,0.0,1.0
2008-06-13,297.2,298.4,293.382,298.04,287.709743168,154400,0.0,1.0
2008-06-16,297.0,299.12,296.0,297.36,287.053312402,144800,0.0,1.0
2008-06-17,296.52,298.92,294.8016,295.96,285.701837297,63600,0.0,1.0
2008-06-18,295.8,295.8,290.0,290.72,280.643459045,132000,0.0,1.0
2008-06-19,293.08,296.2792,291.92,295.12,284.890952234,142400,0.0,1.0
2008-06-20,289.8,291.68,288.76,290.88,280.797913343,132000,0.0,1.0
2008-06-23,289.64,290.6,287.28,289.8,279.755346833,89200,0.0,1.0
2008-06-24,287.4,288.46,284.8,285.2,275.314785772,300400,0.0,1.0
2008-06-25,286.04,290.8,285.4,285.84,275.932602963,157600,0.0,1.0
2008-06-26,284.8,285.28,280.6,282.16,272.380154114,199600,0.0,1.0
2008-06-27,279.2,280.68,274.2,274.92,265.39109714,408000,0.0,1.0
2008-06-30,275.88,276.2008,272.96,274.28,264.773279949,223200,0.0,1.0
2008-07-01,271.12,277.44,270.56,276.64,267.051480841,192800,0.0,1.0
2008-07-02,275.68,275.84,272.44,273.96,264.464371354,105600,0.0,1.0
2008-07-03,278.0,278.04,273.76,275.12,265.584165013,86800,0.0,1.0
2008-07-07,275.6,277.56,268.72,272.8,263.344577695,188800,0.0,1.0
2008-07-08,272.5,272.5,268.68,269.12,259.792128846,202800,0.0,1.0
2008-07-09,269.96,269.96,266.0,266.0,256.78027004,188800,0.0,1.0
2008-07-10,266.92,269.52,265.04,266.52,257.282246508,319200,0.0,1.0
2008-07-11,266.48,276.12,265.4,274.4,264.889120673,376000,0.0,1.0
2008-07-14,273.08,275.32,267.8,269.0,259.676288123,342800,0.0,1.0
2008-07-15,268.7816,271.04,266.6,269.44,260.101037442,242400,0.0,1.0
2008-07-16,275.2,279.8,273.84,279.2,269.522749606,242400,0.0,1.0
2008-07-17,279.48,284.0,278.0,282.8,272.997971306,342400,0.0,1.0
2008-07-18,283.6,284.96,280.04,284.92,275.044490751,162000,0.0,1.0
2008-07-21,284.16,286.48,282.08,282.08,272.302926966,182000,0.0,1.0
2008-07-22,283.6,287.0,283.04,285.64,275.739535091,269600,0.0,1.0
2008-07-23,285.36,289.16,285.36,286.88,276.936555899,258800,0.0,1.0
2008-07-24,284.732,284.732,278.92,280.64,270.912838286,253200,0.0,1.0
2008-07-25,284.0,287.2,282.0,286.12,276.202897984,150800,0.0,1.0
2008-07-28,281.92,282.7192,278.0,280.64,270.912838286,166400,0.0,1.0
2008-07-29,283.36,285.12,281.0,283.12,273.306879901,80400,0.0,1.0
2008-07-30,286.12,287.2,279.32,281.96,272.187086242,97600,0.0,1.0
2008-07-31,276.88,279.0,275.96,276.228,266.653761025,140000,0.0,1.0
2008-08-01,278.4,278.6392,275.6,275.64,266.08614148,138400,0.0,1.0
2008-08-04,278.04,278.5192,274.8,277.0,267.399003011,73600,0.0,1.0
2008-08-05,276.2,281.88,274.72,281.88,272.109859093,134000,0.0,1.0
2008-08-06,282.68,285.9672,282.28,283.584,273.754797365,135200,0.0,1.0
2008-08-07,281.2,282.36,273.0,274.12,264.618825652,264800,0.0,1.0
2008-08-08,272.72,275.28,272.04,272.56,263.112896248,168800,0.0,1.0
2008-08-11,274.44,280.84,274.4,277.96,268.325728798,220800,0.0,1.0
2008-08-12,273.6,274.04,271.96,272.6,263.151509823,126000,0.0,1.0
2008-08-13,271.32,275.4,270.08,274.48,264.966347822,206000,0.0,1.0
2008-08-14,270.96,272.12,268.68,270.468,261.093406305,268400,0.0,1.0
2008-08-15,268.48,272.0,266.2,266.6,257.359473657,241600,0.0,1.0
