date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-12-09,1.500625,2.334375,1.5,2.12125,2.08334351391,5602500,0.0,1.0
2003-12-10,2.140625,2.15625,1.86,2.031875,1.99556563457,1713600,0.0,1.0
2003-12-11,2.021875,2.125,1.95,2.10625,2.06861156213,768600,0.0,1.0
2003-12-12,2.10625,2.505625,2.046875,2.455625,2.41174327229,1324600,0.0,1.0
2003-12-15,2.604375,2.690625,2.1025,2.15625,2.11771806806,1355800,0.0,1.0
2003-12-16,2.1625,2.1625,1.95125,2.066875,2.02994018871,885300,0.0,1.0
2003-12-17,2.09375,2.165625,1.9694375,2.003125,1.96732939366,596400,0.0,1.0
2003-12-18,2.0025,2.06875,1.860625,1.88125,1.84763228546,412000,0.0,1.0
2003-12-19,1.855625,1.8625,1.749375,1.78125,1.74941927361,714000,0.0,1.0
2003-12-22,1.79375,2.046875,1.79375,2.024375,1.98819965868,501500,0.0,1.0
2003-12-23,1.999375,2.16875,1.94375,2.036625,2.00023075263,522400,0.0,1.0
2003-12-24,2.04375,2.113125,2.006875,2.0618125,2.02496815499,102000,0.0,1.0
2003-12-26,2.07125,2.18125,2.0625,2.11875,2.08088818861,233500,0.0,1.0
2003-12-29,2.15125,2.151875,1.969375,2.01125,1.97530920087,542700,0.0,1.0
2003-12-30,2.025,2.115625,2.0,2.05875,2.0219603815,245600,0.0,1.0
2003-12-31,2.0625,2.13125,2.025,2.125625,2.08764033318,144100,0.0,1.0
2004-01-02,2.116875,2.463125,2.11375,2.375,2.33255903148,545000,0.0,1.0
2004-01-05,2.39625,2.6025,2.35875,2.45125,2.40744645302,327000,0.0,1.0
2004-01-06,2.473125,2.489375,2.250625,2.3375,2.29572915204,242900,0.0,1.0
2004-01-07,2.361875,2.403125,2.285,2.3625625,2.32034378813,114900,0.0,1.0
2004-01-08,2.335,2.3875,2.225,2.2930625,2.2520857449,226200,0.0,1.0
2004-01-09,2.266875,2.301875,2.185,2.201875,2.16252775471,128000,0.0,1.0
2004-01-12,2.234375,2.28,2.094375,2.140625,2.10237228495,170800,0.0,1.0
2004-01-13,2.17375,2.23,2.08125,2.166875,2.12815320057,255600,0.0,1.0
2004-01-14,2.21875,2.26875,2.175,2.198125,2.15884476677,187200,0.0,1.0
2004-01-15,2.228125,2.25625,2.15625,2.16875,2.12999469454,98100,0.0,1.0
2004-01-16,2.1875,2.21875,2.07875,2.1275,2.08948182715,68700,0.0,1.0
2004-01-20,2.171875,2.25,2.159375,2.186875,2.14779580294,257900,0.0,1.0
2004-01-21,2.218125,2.218125,2.03375,2.061875,2.02502953812,419800,0.0,1.0
2004-01-22,2.119375,2.125,1.9875,2.020625,1.98451667073,184000,0.0,1.0
2004-01-23,2.051875,2.09625,1.990625,2.03125,1.99495180324,68200,0.0,1.0
2004-01-26,2.03125,2.09375,2.0,2.07375,2.03669233328,100400,0.0,1.0
2004-01-27,2.0875,2.0875,1.98125,1.991875,1.95628042982,95700,0.0,1.0
2004-01-28,2.0,2.003125,1.76875,1.7925,1.76046823745,427900,0.0,1.0
2004-01-29,1.8375,1.871875,1.753125,1.818125,1.78563532173,164600,0.0,1.0
2004-01-30,1.8,1.818125,1.75625,1.8125,1.78011083982,90400,0.0,1.0
2004-02-02,1.78125,1.825,1.7625,1.810625,1.77826934584,97800,0.0,1.0
2004-02-03,1.78125,1.8125,1.69375,1.76875,1.73714264713,172600,0.0,1.0
