date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-11-19,7.7675,7.9975,6.0,6.0575,5.1338918752,2738900,0.0,1.0
2008-11-20,5.835,6.275,4.75,4.785,4.05541438264,4992100,0.0,1.0
2008-11-21,5.5475,5.6175,4.2675,5.5275,4.68470282132,4753600,0.0,1.0
2008-11-24,5.8725,6.93,5.6,6.68,5.66147713188,3507600,0.0,1.0
2008-11-25,7.01,7.11,6.2775,7.0025,5.93480443353,2860300,0.0,1.0
2008-11-26,6.57,8.3175,6.5175,8.2475,6.98997494688,3563100,0.0,1.0
2008-11-28,7.9925,8.665,7.88,8.665,7.34381726762,995400,0.0,1.0
2008-12-01,7.8275,7.9325,5.375,5.62,4.76309902412,3726700,0.0,1.0
2008-12-02,5.9725,6.525,5.6084,6.46,5.47502129819,3829700,0.0,1.0
2008-12-03,6.0125,7.2425,5.9575,7.08,6.00048773858,6930600,0.0,1.0
2008-12-04,6.7375,7.4875,6.0175,6.4075,5.43052615606,5870400,0.0,1.0
2008-12-05,6.1075,7.2925,5.6525,7.21,6.11066618575,9258200,0.0,1.0
2008-12-08,7.79,8.3875,7.645,8.155,6.91157874408,7052900,0.0,1.0
2008-12-09,7.9225,8.81,7.2325,7.461,6.32339534146,7066600,0.0,1.0
2008-12-10,7.7,8.3075,7.5175,7.96,6.74631107331,5981500,0.0,1.0
2008-12-11,7.72,8.0625,6.5075,6.7675,5.73563570209,4951500,0.0,1.0
2008-12-12,6.2175,7.4975,6.1775,7.4175,6.28652793798,10027900,0.0,1.0
2008-12-15,7.6075,7.685,6.3985,6.7375,5.71020990659,6430400,0.0,1.0
2008-12-16,7.1225,8.06,7.0775,7.96,6.74631107331,6839600,0.0,1.0
2008-12-17,7.845,8.645,7.65,8.2725,7.01998374202,6811700,0.0416,1.0
2008-12-18,8.265,8.7,7.5329,8.0675,6.84602222288,5701300,0.0,1.0
2008-12-19,8.8225,8.86,7.9975,8.2495,7.00046610817,7056200,0.0,1.0
2008-12-22,8.335,8.3625,6.9275,7.7,6.53416437758,6251200,0.0,1.0
2008-12-23,7.875,8.0,7.1925,7.3225,6.21382060453,6536300,0.0,1.0
2008-12-24,7.3875,7.55,7.125,7.4375,6.3114087738,2385100,0.0,1.0
2008-12-26,7.675,7.7475,7.3575,7.6875,6.52355696788,2156400,0.0,1.0
2008-12-29,7.655,7.7525,6.984,7.27,6.16926948377,4229100,0.0,1.0
2008-12-30,7.495,7.9725,7.3505,7.9275,6.72721923419,4709500,0.0,1.0
2008-12-31,8.0075,9.042475,7.9675,8.5225,7.2321319361,6788700,0.0,1.0
2009-01-02,8.7575,9.245,8.455,8.9775,7.61824164932,7261600,0.0,1.0
2009-01-05,9.1375,9.339975,8.575,9.15,7.76462390323,6381200,0.0,1.0
2009-01-06,9.3575,9.9075,9.1775,9.5975,8.14436917063,7974600,0.0,1.0
2009-01-07,9.0075,9.1425,8.3425,8.72,7.39972900942,6985200,0.0,1.0
2009-01-08,8.5375,8.935025,8.4375,8.895,7.54823274527,7878800,0.0,1.0
2009-01-09,8.9075,8.9325,7.75,7.875,6.68266811344,9944900,0.0,1.0
2009-01-12,7.7675,7.8525,7.0775,7.1675,6.0822887242,6059800,0.0,1.0
2009-01-13,7.1175,7.575,7.0175,7.4525,6.32413766545,7196800,0.0,1.0
2009-01-14,6.9725,7.1325,6.4325,6.47375,5.49357748563,10037900,0.0,1.0
2009-01-15,6.51,7.0175,5.875,6.8425,5.8064960719,14339700,0.0,1.0
2009-01-16,7.2348,7.2475,6.355025,6.9925,5.93378498834,12168700,0.0,1.0
2009-01-20,6.7375,6.8775,5.6,5.6075,4.75848399316,11572400,0.0,1.0
2009-01-21,5.8625,6.4975,5.485,6.395,5.4267508045,10248300,0.0,1.0
2009-01-22,6.005,6.37,5.545,5.865,4.97699663306,14472400,0.0,1.0
2009-01-23,5.425,6.22,5.3475,5.9675,5.06397739263,12205300,0.0,1.0
2009-01-26,5.95,6.55,5.875,6.13,5.20187371878,12107000,0.0,1.0
2009-01-27,6.2275,6.5325,6.0875,6.3475,5.38644264763,9506800,0.0,1.0
2009-01-28,6.7375,7.22,6.69,7.0775,6.00591537433,11237100,0.0,1.0
2009-01-29,6.8125,6.8725,6.255,6.3025,5.34825597269,9480700,0.0,1.0
2009-01-30,6.47,6.5625,5.7925,5.9175,5.02154775381,10150200,0.0,1.0
2009-02-02,5.62,6.2,5.61,6.085,5.16368704384,6945600,0.0,1.0
2009-02-03,6.255,6.3625,5.9275,6.19,5.25278928536,8338900,0.0,1.0
2009-02-04,6.225,6.5775,5.9425,6.0525,5.13610777861,11323400,0.0,1.0
2009-02-05,5.915,6.535,5.815,6.2375,5.29309744223,10986800,0.0,1.0
2009-02-06,6.305,7.0125,6.2275,6.9225,5.874383494,12235600,0.0,1.0
2009-02-09,6.8775,7.0325,6.6325,6.8525,5.81498199966,7857500,0.0,1.0
2009-02-10,6.73,7.0225,5.8725,5.9775,5.07246332039,12730800,0.0,1.0
2009-02-11,6.0325,6.1665,5.7375,5.9975,5.08943517592,7583100,0.0,1.0
2009-02-12,5.7325,6.1675,5.49,6.13,5.20187371878,9968900,0.0,1.0
2009-02-13,6.1325,6.3675,5.925,5.9325,5.03427664546,8344400,0.0,1.0
2009-02-17,5.29,5.5275,5.2175,5.265,4.46784096727,10433100,0.0,1.0
