date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-06-29,3.8000000000000003,5.0,3.508,4.7780000000000005,4.778,18766300,0.0,1.0
2010-06-30,5.158,6.08384,4.66,4.766,4.766,17187100,0.0,1.0
2010-07-01,5.0,5.184000000000001,4.054,4.392,4.392,8218800,0.0,1.0
2010-07-02,4.6000000000000005,4.62,3.7420000000000004,3.84,3.84,5139800,0.0,1.0
2010-07-06,4.0,4.0,3.1660000000000004,3.222,3.222,6866900,0.0,1.0
2010-07-07,3.28,3.326,2.9960000000000004,3.16,3.16,6921700,0.0,1.0
2010-07-08,3.228,3.504,3.1140000000000003,3.4920000000000004,3.492,7711400,0.0,1.0
2010-07-09,3.516,3.58,3.3100000000000005,3.48,3.48,4050600,0.0,1.0
2010-07-12,3.59,3.6140000000000003,3.4000000000000004,3.41,3.41,2202500,0.0,1.0
2010-07-13,3.47876,3.728,3.38,3.628,3.628,2680100,0.0,1.0
2010-07-14,3.5880000000000005,4.03,3.5520200000000006,3.968,3.968,4195200,0.0,1.0
2010-07-15,3.9880000000000004,4.3,3.8000000000000003,3.978,3.978,3739800,0.0,1.0
2010-07-16,4.14,4.260000000000001,4.010000000000001,4.128,4.128,2621300,0.0,1.0
2010-07-19,4.274,4.45,4.184,4.382000000000001,4.382,2486500,0.0,1.0
2010-07-20,4.37,4.37,4.010000000000001,4.0600000000000005,4.06,1825300,0.0,1.0
2010-07-21,4.132000000000001,4.18,3.9000000000000004,4.044,4.044,1252500,0.0,1.0
2010-07-22,4.1000000000000005,4.25,4.074000000000001,4.2,4.2,957800,0.0,1.0
2010-07-23,4.238,4.312,4.212,4.258,4.258,653600,0.0,1.0
2010-07-26,4.3,4.3,4.0600000000000005,4.19,4.19,922200,0.0,1.0
2010-07-27,4.182,4.236,4.0520000000000005,4.11,4.11,619700,0.0,1.0
2010-07-28,4.11,4.18,4.102,4.144,4.144,467200,0.0,1.0
2010-07-29,4.154,4.176,4.0,4.07,4.07,616000,0.0,1.0
2010-07-30,4.04,4.088,3.91,3.9880000000000004,3.988,426900,0.0,1.0
2010-08-02,4.1000000000000005,4.194,4.0666,4.184,4.184,718100,0.0,1.0
2010-08-03,4.2,4.39,4.164000000000001,4.39,4.39,1230500,0.0,1.0
2010-08-04,4.39,4.436,4.170000000000001,4.252000000000001,4.252,913000,0.0,1.0
