date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-11-18,3.875,3.875,3.04875,3.1625,3.1625,17963300,0.0,1.0
2005-11-21,3.25375,3.36875,3.1875,3.26875,3.26875,4209600,0.0,1.0
2005-11-22,3.1875,3.23125,2.84375,2.9375,2.9375,3219400,0.0,1.0
2005-11-23,2.9925,3.0125,2.93875,2.975,2.975,1031700,0.0,1.0
2005-11-25,2.978125,3.0,2.9375,2.96,2.96,291300,0.0,1.0
2005-11-28,2.96,3.025,2.9475,2.9625,2.9625,810600,0.0,1.0
2005-11-29,2.945,2.95625,2.635,2.66875,2.66875,2030200,0.0,1.0
2005-11-30,2.66625,2.83875,2.65875,2.81375,2.81375,804100,0.0,1.0
2005-12-01,2.855625,2.96625,2.825,2.89375,2.89375,729600,0.0,1.0
2005-12-02,2.96375,3.125,2.906375,3.0825,3.0825,1179300,0.0,1.0
2005-12-05,3.14,3.2375,3.06875,3.2075,3.2075,706700,0.0,1.0
2005-12-06,3.2575,3.27,3.065,3.0875,3.0875,577200,0.0,1.0
2005-12-07,3.11375,3.20625,3.11375,3.20625,3.20625,440400,0.0,1.0
2005-12-08,3.1875,3.235,3.1625,3.1875,3.1875,249100,0.0,1.0
2005-12-09,3.2,3.23,3.1,3.125,3.125,199900,0.0,1.0
2005-12-12,3.125,3.1975,3.09375,3.18625,3.18625,327800,0.0,1.0
2005-12-13,3.22,3.2375,3.15625,3.19875,3.19875,266100,0.0,1.0
2005-12-14,3.25,3.40625,3.23375,3.375,3.375,1031100,0.0,1.0
2005-12-15,3.375,3.45625,3.35,3.42375,3.42375,531300,0.0,1.0
2005-12-16,3.4225,3.455,3.31375,3.455,3.455,1004600,0.0,1.0
2005-12-19,3.44875,3.45,3.14375,3.31125,3.31125,892700,0.0,1.0
2005-12-20,3.4425,3.53625,3.35625,3.50875,3.50875,1447600,0.0,1.0
2005-12-21,3.518125,3.6,3.48625,3.56875,3.56875,1235600,0.0,1.0
2005-12-22,3.5725,3.604125,3.49875,3.5875,3.5875,535700,0.0,1.0
2005-12-23,3.5875,3.9655,3.56875,3.9025,3.9025,1889200,0.0,1.0
2005-12-27,3.9875,4.365,3.94,4.1575,4.1575,4149200,0.0,1.0
2005-12-28,4.25125,4.5925,4.2125,4.54375,4.54375,3663800,0.0,1.0
2005-12-29,4.86875,5.0,4.785,4.9825,4.9825,4522200,0.0,1.0
2005-12-30,4.95375,4.9675,4.65125,4.78875,4.78875,3669400,0.0,1.0
2006-01-03,4.64875,4.67375,4.1475,4.17,4.17,4082600,0.0,1.0
2006-01-04,4.0925,4.14875,3.91,3.95,3.95,3764200,0.0,1.0
2006-01-05,4.065,4.4625,4.02125,4.45375,4.45375,3573300,0.0,1.0
2006-01-06,4.3725,4.54625,4.20625,4.43375,4.43375,2776100,0.0,1.0
2006-01-09,4.49125,4.49625,4.34625,4.47875,4.47875,1061800,0.0,1.0
2006-01-10,4.5225,4.81125,4.4425,4.6875,4.6875,2962300,0.0,1.0
2006-01-11,4.785,4.81875,4.5625,4.71125,4.71125,1295200,0.0,1.0
2006-01-12,4.6425,4.925,4.6425,4.81375,4.81375,1549100,0.0,1.0
2006-01-13,4.85125,5.0425,4.81375,4.8775,4.8775,1080900,0.0,1.0
2006-01-17,4.895,4.92625,4.63125,4.77125,4.77125,931100,0.0,1.0
2006-01-18,4.5825,4.94375,4.5625,4.81875,4.81875,1007700,0.0,1.0
2006-01-19,4.7875,4.9625,4.775,4.8475,4.8475,625700,0.0,1.0
2006-01-20,4.86875,4.90625,4.6875,4.785,4.785,669900,0.0,1.0
2006-01-23,4.775,4.8125,4.56125,4.665,4.665,948200,0.0,1.0
2006-01-24,4.66625,4.73125,4.56875,4.5875,4.5875,742400,0.0,1.0
2006-01-25,4.575,4.71875,4.3475,4.6075,4.6075,818200,0.0,1.0
2006-01-26,4.6075,4.83125,4.6075,4.69375,4.69375,644500,0.0,1.0
2006-01-27,4.73125,4.875,4.6625,4.795,4.795,409700,0.0,1.0
2006-01-30,4.80875,5.2375,4.73875,5.0375,5.0375,2263500,0.0,1.0
2006-01-31,5.11875,5.13625,4.95,4.99875,4.99875,677200,0.0,1.0
2006-02-01,4.96875,5.093625,4.7825,4.87875,4.87875,621900,0.0,1.0
2006-02-02,4.975,5.0,4.7525,4.9275,4.9275,501700,0.0,1.0
2006-02-03,4.94375,4.99625,4.725,4.855,4.855,480400,0.0,1.0
2006-02-06,4.92125,4.95625,4.69375,4.9,4.9,1146400,0.0,1.0
2006-02-07,4.15625,4.25,3.82875,3.8675,3.8675,7298300,0.0,1.0
2006-02-08,3.875,3.875,3.5625,3.68125,3.68125,3177500,0.0,1.0
2006-02-09,3.82875,3.83125,3.65,3.68625,3.68625,936200,0.0,1.0
2006-02-10,3.68875,3.8025,3.6875,3.74125,3.74125,492600,0.0,1.0
2006-02-13,3.77875,3.84125,3.72125,3.78125,3.78125,686700,0.0,1.0
2006-02-14,3.78125,3.85375,3.7575,3.78625,3.78625,350000,0.0,1.0
2006-02-15,3.775,3.80375,3.61,3.63375,3.63375,749800,0.0,1.0
2006-02-16,3.6025,3.64075,3.38125,3.59625,3.59625,1590300,0.0,1.0
2006-02-17,3.59,3.65625,3.48875,3.615,3.615,496600,0.0,1.0
2006-02-21,3.5625,3.5875,3.415,3.425,3.425,706900,0.0,1.0
2006-02-22,3.4,3.545,3.39375,3.525,3.525,692200,0.0,1.0
2006-02-23,3.525,3.685,3.45,3.64375,3.64375,521300,0.0,1.0
2006-02-24,3.6125,3.64625,3.55875,3.6,3.6,358400,0.0,1.0
2006-02-27,3.59875,3.605,3.5625,3.57125,3.57125,272400,0.0,1.0
2006-02-28,3.55375,3.56875,3.4975,3.52375,3.52375,326000,0.0,1.0
2006-03-01,3.5,3.61875,3.5,3.58125,3.58125,329000,0.0,1.0
2006-03-02,3.6,3.67375,3.53125,3.65375,3.65375,353400,0.0,1.0
2006-03-03,3.6875,3.6875,3.56875,3.60875,3.60875,202500,0.0,1.0
2006-03-06,3.595,3.61375,3.535,3.575,3.575,327800,0.0,1.0
2006-03-07,3.53875,3.65625,3.48125,3.54375,3.54375,439400,0.0,1.0
2006-03-08,3.53125,3.53125,3.34375,3.36625,3.36625,508100,0.0,1.0
2006-03-09,3.35,3.42125,3.35,3.375,3.375,388700,0.0,1.0
2006-03-10,3.36875,3.36875,3.23125,3.31875,3.31875,567200,0.0,1.0
2006-03-13,3.425,3.465,3.27125,3.4275,3.4275,345200,0.0,1.0
2006-03-14,3.7675,3.8125,3.6375,3.7,3.7,1970800,0.0,1.0
2006-03-15,3.7125,3.73625,3.64125,3.725,3.725,271500,0.0,1.0
2006-03-16,3.725,3.8275,3.725,3.78375,3.78375,599900,0.0,1.0
2006-03-17,3.79875,3.81625,3.75,3.75875,3.75875,265500,0.0,1.0
2006-03-20,3.75625,3.9375,3.73875,3.88125,3.88125,533100,0.0,1.0
2006-03-21,3.875,3.8775,3.78875,3.8625,3.8625,397100,0.0,1.0
2006-03-22,3.875,3.9025,3.75,3.8975,3.8975,326400,0.0,1.0
2006-03-23,3.90375,4.03125,3.88125,3.94125,3.94125,715000,0.0,1.0
2006-03-24,3.94125,4.14375,3.935,4.125,4.125,586100,0.0,1.0
2006-03-27,4.13375,4.3925,4.10625,4.275,4.275,1155000,0.0,1.0
2006-03-28,4.26,4.3625,4.0925,4.11375,4.11375,821100,0.0,1.0
2006-03-29,4.14875,4.3,4.09375,4.25,4.25,588100,0.0,1.0
2006-03-30,4.2325,4.28,4.10625,4.10875,4.10875,313100,0.0,1.0
2006-03-31,4.10625,4.1125,4.03125,4.05,4.05,313000,0.0,1.0
2006-04-03,4.0875,4.1787375,4.0625,4.06625,4.06625,347900,0.0,1.0
2006-04-04,4.0625,4.1625,4.0625,4.1125,4.1125,301300,0.0,1.0
2006-04-05,4.1875,4.2375,4.105,4.12,4.12,326900,0.0,1.0
2006-04-06,4.12625,4.1875,4.0775,4.09,4.09,242500,0.0,1.0
2006-04-07,4.08625,4.125,4.05,4.05375,4.05375,204800,0.0,1.0
2006-04-10,4.0925,4.10625,3.95625,3.975,3.975,267700,0.0,1.0
2006-04-11,3.97,3.98125,3.85,3.9,3.9,321800,0.0,1.0
2006-04-12,3.8875,3.92625,3.84375,3.8925,3.8925,239700,0.0,1.0
2006-04-13,3.87875,3.94375,3.85625,3.9375,3.9375,216800,0.0,1.0
2006-04-17,3.94375,4.03375,3.94,4.025,4.025,290600,0.0,1.0
2006-04-18,4.0375,4.0625,4.01375,4.04625,4.04625,187800,0.0,1.0
2006-04-19,4.06125,4.1875,4.04375,4.125,4.125,289200,0.0,1.0
2006-04-20,4.125,4.225,4.11875,4.1225,4.1225,197900,0.0,1.0
2006-04-21,4.20125,4.20625,4.08625,4.11125,4.11125,242700,0.0,1.0
2006-04-24,4.1225,4.21625,4.11125,4.1725,4.1725,299300,0.0,1.0
2006-04-25,4.1875,4.23125,4.0625,4.08875,4.08875,352900,0.0,1.0
2006-04-26,5.0025,5.06265,4.5975,4.625,4.625,6698200,0.0,1.0
2006-04-27,4.72625,4.8725,4.60625,4.72875,4.72875,878900,0.0,1.0
2006-04-28,4.70875,4.775,4.59375,4.5975,4.5975,428300,0.0,1.0
2006-05-01,4.59875,4.6925,4.51375,4.59125,4.59125,473300,0.0,1.0
2006-05-02,4.61625,4.6625,4.4825,4.51375,4.51375,297900,0.0,1.0
2006-05-03,4.51875,4.58875,4.42625,4.4625,4.4625,321500,0.0,1.0
2006-05-04,4.48625,4.58375,4.44625,4.5825,4.5825,257400,0.0,1.0
2006-05-05,4.6,4.6775,4.575,4.6,4.6,287500,0.0,1.0
2006-05-08,4.6,4.64125,4.515,4.5325,4.5325,218900,0.0,1.0
2006-05-09,4.53875,4.7625,4.53875,4.68875,4.68875,763700,0.0,1.0
2006-05-10,4.51625,4.65,4.40125,4.6125,4.6125,460000,0.0,1.0
2006-05-11,4.53125,4.6875,4.53125,4.59625,4.59625,456700,0.0,1.0
2006-05-12,4.56375,4.604875,4.39375,4.42125,4.42125,340000,0.0,1.0
2006-05-15,4.43125,4.55625,4.3125,4.445,4.445,264500,0.0,1.0
2006-05-16,4.49375,4.49875,4.42625,4.475,4.475,156100,0.0,1.0
2006-05-17,4.4875,4.4875,4.36375,4.40375,4.40375,423700,0.0,1.0
2006-05-18,4.39625,4.4375,4.105,4.12625,4.12625,1125100,0.0,1.0
2006-05-19,4.14,4.33,4.03125,4.3025,4.3025,743500,0.0,1.0
2006-05-22,4.3,4.4075,4.21875,4.3325,4.3325,501600,0.0,1.0
2006-05-23,4.3875,4.4825,4.3625,4.40625,4.40625,602100,0.0,1.0
2006-05-24,4.43375,4.505,4.31625,4.405,4.405,942300,0.0,1.0
2006-05-25,4.45,4.5,4.12625,4.2725,4.2725,785000,0.0,1.0
2006-05-26,4.2925,4.3625,4.22875,4.3,4.3,3439200,0.0,1.0
2006-05-30,4.318125,4.34125,4.26625,4.31375,4.31375,652500,0.0,1.0
2006-05-31,4.325,4.5,4.26375,4.4625,4.4625,1109000,0.0,1.0
2006-06-01,4.49375,4.67,4.47625,4.65625,4.65625,1055200,0.0,1.0
2006-06-02,4.675,4.7058125,4.60375,4.64,4.64,442300,0.0,1.0
2006-06-05,4.675,4.74,4.5075,4.545,4.545,677100,0.0,1.0
2006-06-06,4.57625,4.64375,4.35625,4.4875,4.4875,749100,0.0,1.0
2006-06-07,4.5125,4.5387375,4.34375,4.375,4.375,503100,0.0,1.0
2006-06-08,4.29,4.3575,4.19125,4.3325,4.3325,660600,0.0,1.0
2006-06-09,4.41,4.49875,4.375,4.39375,4.39375,402200,0.0,1.0
2006-06-12,4.37625,4.46875,4.33375,4.365,4.365,501500,0.0,1.0
2006-06-13,4.35125,4.57375,4.35125,4.4675,4.4675,1067800,0.0,1.0
2006-06-14,4.51625,4.625,4.48125,4.625,4.625,619900,0.0,1.0
2006-06-15,4.6525,4.74375,4.56375,4.6375,4.6375,843900,0.0,1.0
2006-06-16,4.64875,4.89,4.64375,4.8325,4.8325,1445000,0.0,1.0
2006-06-19,4.94625,5.18,4.8125,4.93125,4.93125,2621700,0.0,1.0
2006-06-20,4.98125,4.98125,4.65625,4.70375,4.70375,1358800,0.0,1.0
2006-06-21,4.6875,4.74375,4.59625,4.72,4.72,835500,0.0,1.0
2006-06-22,4.72,4.8025,4.61,4.62125,4.62125,595000,0.0,1.0
2006-06-23,4.60625,4.85375,4.48375,4.68875,4.68875,681100,0.0,1.0
2006-06-26,4.71875,4.74875,4.61875,4.6675,4.6675,299100,0.0,1.0
2006-06-27,4.6675,4.73125,4.53375,4.61125,4.61125,513600,0.0,1.0
2006-06-28,4.6425,4.81875,4.60625,4.79625,4.79625,544400,0.0,1.0
2006-06-29,4.77875,5.10375,4.77875,5.0875,5.0875,1145500,0.0,1.0
2006-06-30,5.1675,5.4375,5.10375,5.3275,5.3275,3609800,0.0,1.0
2006-07-03,5.345,5.38125,5.29375,5.35375,5.35375,439400,0.0,1.0
2006-07-05,5.28625,5.36875,5.2,5.36375,5.36375,885900,0.0,1.0
2006-07-06,5.36375,5.43375,5.22125,5.32125,5.32125,762700,0.0,1.0
2006-07-07,5.24375,5.3625,4.80875,4.84375,4.84375,2473800,0.0,1.0
2006-07-10,4.8425,5.03875,4.84125,4.91,4.91,1070300,0.0,1.0
2006-07-11,4.92375,5.125,4.69875,5.12125,5.12125,928400,0.0,1.0
2006-07-12,5.06625,5.1475,5.01875,5.045,5.045,490800,0.0,1.0
2006-07-13,5.00125,5.0025,4.76,4.94625,4.94625,1009200,0.0,1.0
2006-07-14,4.84625,5.07375,4.80125,4.89,4.89,900600,0.0,1.0
2006-07-17,4.8775,4.965,4.7703875,4.89625,4.89625,473800,0.0,1.0
2006-07-18,4.91,5.05375,4.75125,4.80625,4.80625,455500,0.0,1.0
2006-07-19,4.80625,5.18375,4.7925,5.14125,5.14125,812400,0.0,1.0
2006-07-20,5.175,5.3425,5.1325,5.24625,5.24625,975300,0.0,1.0
2006-07-21,5.24625,5.25875,4.99375,5.075,5.075,614400,0.0,1.0
2006-07-24,5.13125,5.39375,5.07375,5.3175,5.3175,1160900,0.0,1.0
2006-07-25,5.31875,5.4375,5.166875,5.18375,5.18375,1096600,0.0,1.0
2006-07-26,4.9475,5.1175,4.77875,5.08375,5.08375,4120400,0.0,1.0
2006-07-27,5.125,5.20625,4.88125,4.9575,4.9575,1405700,0.0,1.0
2006-07-28,4.89,5.13625,4.89,5.1,5.1,689600,0.0,1.0
2006-07-31,5.075,5.1375,4.99,5.01875,5.01875,643600,0.0,1.0
2006-08-01,4.995,5.0625,4.82125,4.875,4.875,637000,0.0,1.0
2006-08-02,4.675,4.7725,4.5625,4.62375,4.62375,1695800,0.0,1.0
2006-08-03,4.56625,4.68625,4.47125,4.6775,4.6775,1256300,0.0,1.0
2006-08-04,4.70875,4.7875,4.63375,4.66125,4.66125,737200,0.0,1.0
2006-08-07,4.60625,4.80375,4.52375,4.56375,4.56375,1582900,0.0,1.0
