date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-04-18,1612.8,1629.44,1600.96,1624.64,1624.64,41800,0.0,1.0
2007-04-19,1609.6,1628.48,1603.2,1617.92,1617.92,95000,0.0,1.0
2007-04-20,1602.88,1602.88,1584.0,1585.28,1585.28,67100,0.0,1.0
2007-04-23,1586.24,1638.4,1574.4,1632.0,1632.0,136529,0.0,1.0
2007-04-24,1657.6,1657.6,1615.04,1634.88,1634.88,127650,0.0,1.0
2007-04-25,1647.68,1651.52,1624.32,1649.92,1649.92,101659,0.0,1.0
2007-04-26,1636.8,1636.8,1601.28,1613.12,1613.12,139500,0.0,1.0
2007-04-27,1604.8,1674.56,1599.04,1665.28,1665.28,170000,0.0,1.0
2007-04-30,1644.16,1676.48,1639.36,1664.32,1664.32,98600,0.0,1.0
2007-05-01,1651.84,1664.64,1632.0,1638.4,1638.4,131709,0.0,1.0
2007-05-02,1647.68,1652.48,1633.92,1640.0,1640.0,67700,0.0,1.0
2007-05-03,1635.2,1694.72,1602.88,1684.16,1684.16,363761,0.0,1.0
2007-05-04,1675.4048,1718.4,1664.0,1674.24,1674.24,192951,0.0,1.0
2007-05-07,1656.0,1666.88,1647.68,1652.8,1652.8,101400,0.0,1.0
2007-05-08,1637.44,1637.44,1616.0,1625.92,1625.92,99200,0.0,1.0
2007-05-09,1627.2,1647.04,1620.8,1647.04,1647.04,215500,0.0,1.0
2007-05-10,1646.4,1653.12,1624.0,1641.6,1641.6,99100,0.0,1.0
2007-05-11,1631.68,1685.76,1627.2,1680.0,1680.0,114800,0.0,1.0
2007-05-14,1686.4,1722.56,1683.84,1689.2768,1689.2768,112200,0.0,1.0
2007-05-15,1688.0,1688.0,1666.88,1669.44,1669.44,52000,0.0,1.0
2007-05-16,1649.6,1686.4,1649.6,1683.2,1683.2,44400,0.0,1.0
2007-05-17,1679.68,1722.56,1672.0,1716.8,1716.8,148000,0.0,1.0
2007-05-18,1734.4,1749.76,1682.56,1685.76,1685.76,142000,0.0,1.0
2007-05-21,1681.6,1693.44,1665.6,1688.64,1688.64,128117,0.0,1.0
2007-05-22,1679.36,1680.96,1664.0,1668.48,1668.48,106454,0.0,1.0
2007-05-23,1664.0,1676.48,1652.8,1653.44,1653.44,98450,0.0,1.0
2007-05-24,1660.8,1660.8,1631.68,1640.32,1640.32,51250,0.0,1.0
2007-05-25,1641.28,1641.28,1601.92,1621.632,1621.632,100400,0.0,1.0
2007-05-29,1618.24,1621.44,1592.0,1616.32,1616.32,114566,0.0,1.0
2007-05-30,1638.72,1664.0,1632.64,1658.88,1658.88,102150,0.0,1.0
2007-05-31,1652.16,1661.76,1629.76,1655.68,1655.68,124000,0.0,1.0
2007-06-01,1647.36,1653.76,1626.24,1643.52,1643.52,138900,0.0,1.0
2007-06-04,1660.8,1727.68,1660.8,1704.96,1704.96,136450,0.0,1.0
2007-06-05,1698.88,1702.08,1673.6,1678.4512,1678.4512,246200,0.0,1.0
2007-06-06,1699.84,1701.76,1670.72,1692.8,1692.8,145200,0.0,1.0
2007-06-07,1682.56,1693.968,1625.92,1628.8,1628.8,357236,0.0,1.0
2007-06-08,1616.64,1622.08,1597.76,1602.56,1602.56,124500,0.0,1.0
2007-06-11,1600.0,1608.0,1586.88,1592.0,1592.0,205500,0.0,1.0
2007-06-12,1596.16,1608.64,1590.08,1608.32,1608.32,112100,0.0,1.0
2007-06-13,1615.68,1617.152,1581.12,1590.4,1590.4,115000,0.0,1.0
2007-06-14,1599.68,1632.0,1588.16,1625.92,1625.92,117900,0.0,1.0
2007-06-15,1625.92,1670.4,1625.92,1651.84,1651.84,99750,0.0,1.0
2007-06-18,1648.0,1651.84,1600.32,1600.32,1600.32,139100,0.0,1.0
2007-06-19,1597.44,1599.04,1568.0,1576.0,1576.0,183050,0.0,1.0
2007-06-20,1571.52,1576.96,1529.92,1538.88,1538.88,198600,0.0,1.0
2007-06-21,1542.72,1562.88,1529.6,1536.64,1536.64,258100,0.0,1.0
2007-06-22,1518.72,1518.72,1473.28,1483.2,1483.2,272200,0.0,1.0
2007-06-25,1454.72,1472.32,1450.56,1453.76,1453.76,134650,0.0,1.0
2007-06-26,1465.28,1465.28,1432.32,1437.12,1437.12,114000,0.0,1.0
2007-06-27,1427.2,1458.24,1426.56,1454.4,1454.4,133000,0.0,1.0
2007-06-28,1454.72,1454.72,1345.6,1373.44,1373.44,926915,0.0,1.0
2007-06-29,1385.6,1416.0,1366.72,1416.0,1416.0,272452,0.0,1.0
2007-07-02,1363.2,1396.48,1347.84,1390.3968,1390.3968,301279,0.0,1.0
2007-07-03,1396.8,1400.96,1375.36,1379.52,1379.52,216576,0.0,1.0
2007-07-05,1373.12,1383.0368,1348.48,1358.72,1358.72,190325,0.0,1.0
2007-07-06,1356.48,1359.04,1308.16,1330.24,1330.24,494496,0.0,1.0
2007-07-09,1354.88,1360.64,1315.2,1319.68,1319.68,316767,0.0,1.0
2007-07-10,1337.6,1387.2,1330.24,1373.44,1373.44,422549,0.0,1.0
2007-07-11,1390.4,1406.4,1354.56,1355.2,1355.2,705861,0.0,1.0
2007-07-12,1337.28,1345.6,1296.96,1343.68,1343.68,799014,0.0,1.0
2007-07-13,1349.12,1384.96,1345.92,1372.48,1372.48,439971,0.0,1.0
2007-07-16,1331.2,1331.2,1300.8,1320.64,1320.64,769700,0.0,1.0
2007-07-17,1335.04,1350.4,1284.48,1307.52,1307.52,470400,0.0,1.0
2007-07-18,1302.72,1345.6,1300.48,1338.88,1338.88,368555,0.0,1.0
2007-07-19,1345.28,1381.76,1345.28,1381.12,1381.12,454706,0.0,1.0
2007-07-20,1351.68,1362.88,1313.6,1315.2,1315.2,545391,0.0,1.0
2007-07-23,1251.2,1266.88,1235.84,1243.2,1243.2,1392092,0.0,1.0
2007-07-24,1211.2,1220.8,1194.88,1206.08,1206.08,691347,0.0,1.0
2007-07-25,1212.16,1244.544,1203.84,1241.28,1241.28,433090,0.0,1.0
2007-07-26,1243.52,1249.92,1218.88,1240.0,1240.0,917320,0.0,1.0
2007-07-27,1247.36,1274.88,1230.72,1269.12,1269.12,452521,0.0,1.0
2007-07-30,1303.68,1328.64,1296.0,1325.76,1325.76,625495,0.0,1.0
2007-07-31,1323.84,1329.28,1253.44,1259.52,1259.52,885704,0.0,1.0
2007-08-01,1290.56,1318.4,1282.88,1297.92,1297.92,853099,0.0,1.0
2007-08-02,1303.36,1303.36,1234.8768,1250.56,1250.56,560864,0.0,1.0
2007-08-03,1266.88,1271.68,1225.92,1248.0,1248.0,388300,0.0,1.0
2007-08-06,1224.96,1270.08,1218.88,1270.08,1270.08,367905,0.0,1.0
2007-08-07,1291.2,1292.16,1255.04,1264.96,1264.96,321800,0.0,1.0
2007-08-08,1269.76,1275.84,1256.0,1270.08,1270.08,286300,0.0,1.0
2007-08-09,1281.28,1348.8,1281.28,1335.68,1335.68,788485,0.0,1.0
2007-08-10,1335.04,1412.8,1329.92,1392.0,1392.0,1337514,0.0,1.0
2007-08-13,1420.8,1447.68,1369.6,1386.56,1386.56,742600,0.0,1.0
2007-08-14,1372.48,1434.24,1366.4,1417.92,1417.92,495090,0.0,1.0
2007-08-15,1442.88,1458.88,1372.8,1395.2,1395.2,1124500,0.0,1.0
2007-08-16,1392.64,1418.1472,1330.4192,1398.72,1398.72,772950,0.0,1.0
2007-08-17,1421.76,1444.8,1396.48,1413.12,1413.12,505700,0.0,1.0
2007-08-20,1308.16,1326.08,1232.0,1238.4,1238.4,2927800,0.0,1.0
2007-08-21,1208.0,1215.04,1187.52,1210.88,1210.88,2495540,0.0,1.0
2007-08-22,1191.36,1207.36,1147.2,1161.6,1161.6,2785848,0.0,1.0
2007-08-23,1170.88,1184.64,1144.0,1181.44,1181.44,2390187,0.0,1.0
2007-08-24,1168.0,1176.96,1129.6,1135.68,1135.68,2029524,0.0,1.0
2007-08-27,1097.6,1121.6,1083.2,1119.36,1119.36,2721035,0.0,1.0
2007-08-28,1128.0,1169.92,1110.4,1163.52,1163.52,2711400,0.0,1.0
2007-08-29,1145.28,1154.88,1104.0,1113.28,1113.28,2385200,0.0,1.0
2007-08-30,1112.32,1149.76,1107.2,1131.2,1131.2,2104700,0.0,1.0
2007-08-31,1141.12,1147.2,1080.0,1086.4,1086.4,2561500,0.0,1.0
2007-09-04,1073.28,1130.24,1063.36,1128.64,1128.64,3012178,0.0,1.0
2007-09-05,1143.36,1165.76,1110.4,1160.96,1160.96,1487585,0.0,1.0
2007-09-06,1179.2,1196.8,1112.96,1116.16,1116.16,2613040,0.0,1.0
2007-09-07,1097.28,1112.0,1082.24,1098.88,1098.88,1914993,0.0,1.0
2007-09-10,1112.0,1188.48,1097.856,1184.0,1184.0,2884467,0.0,1.0
2007-09-11,1181.12,1193.28,1155.84,1183.36,1183.36,1814600,0.0,1.0
2007-09-12,1219.2,1288.9568,1216.32,1278.4,1278.4,4416716,0.0,1.0
2007-09-13,1248.0,1257.28,1202.24,1212.8,1212.8,2665972,0.0,1.0
2007-09-14,1257.6,1283.2,1241.6,1256.0,1256.0,2371200,0.0,1.0
2007-09-17,1265.28,1304.6368,1258.88,1294.72,1294.72,1167352,0.0,1.0
2007-09-18,1247.68,1297.92,1226.56,1278.08,1278.08,2576034,0.0,1.0
2007-09-19,1249.6,1268.16,1224.0,1233.6,1233.6,2069273,0.0,1.0
2007-09-20,1215.68,1252.16,1210.56,1251.2,1251.2,1725608,0.0,1.0
2007-09-21,1242.88,1280.64,1230.08,1233.6,1233.6,1351728,0.0,1.0
2007-09-24,1245.76,1278.4,1242.24,1278.4,1278.4,1434297,0.0,1.0
2007-09-25,1280.0,1282.24,1251.2,1262.4,1262.4,1118013,0.0,1.0
2007-09-26,1263.36,1270.944,1235.52,1256.96,1256.96,1123867,0.0,1.0
2007-09-27,1241.6,1247.04,1203.2,1230.4,1230.4,2409843,0.0,1.0
2007-09-28,1232.0,1238.72,1216.0,1224.0,1224.0,1191320,0.0,1.0
2007-10-01,1225.6,1263.04,1222.4,1257.92,1257.92,1490077,0.0,1.0
2007-10-02,1280.0,1322.56,1277.76,1319.68,1319.68,2265404,0.0,1.0
2007-10-03,1301.76,1311.68,1282.56,1286.72,1286.72,1068178,0.0,1.0
2007-10-04,1278.08,1322.56,1277.44,1313.28,1313.28,1407431,0.0,1.0
2007-10-05,1293.12,1302.08,1251.84,1251.84,1251.84,1563151,0.0,1.0
