date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,32.69,32.75,30.94,31.38,18.7215883251,984900,0.0,1.0
1999-11-02,31.13,34.5,30.63,34.0,20.2847037301,1937500,0.0,1.0
1999-11-03,33.25,33.5,31.0,32.56,19.5135866839,1824800,0.1475,1.0
1999-11-04,33.13,34.0,32.81,33.06,19.8132424991,1444700,0.0,1.0
1999-11-05,34.0,34.31,33.75,34.19,20.4904646414,1062300,0.0,1.0
1999-11-08,34.06,34.44,33.88,34.19,20.4904646414,709600,0.0,1.0
1999-11-09,34.19,34.31,33.13,33.44,20.0409809186,484300,0.0,1.0
1999-11-10,33.25,33.88,33.0,33.06,19.8132424991,525000,0.0,1.0
1999-11-11,33.31,33.5,33.25,33.38,20.0050222208,268700,0.0,1.0
1999-11-12,33.5,33.63,33.25,33.56,20.1128983143,376200,0.0,1.0
1999-11-15,33.5,34.88,33.44,34.81,20.8620378522,537900,0.0,1.0
1999-11-16,34.94,35.5,34.88,35.44,21.2396041793,575900,0.0,1.0
1999-11-17,35.06,35.38,34.31,34.44,20.640292549,623900,0.0,1.0
1999-11-18,34.31,34.69,34.31,34.5,20.6762512468,377000,0.0,1.0
1999-11-19,35.19,36.06,34.81,35.75,21.4253907847,1079200,0.0,1.0
1999-11-22,36.0,36.19,33.75,33.75,20.226767524,821100,0.0,1.0
1999-11-23,33.75,35.06,33.38,33.94,20.3406367338,1457200,0.0,1.0
1999-11-24,34.0,34.13,33.31,33.38,20.0050222208,510700,0.0,1.0
1999-11-26,33.13,33.5,33.0,33.5,20.0769396165,258100,0.0,1.0
1999-11-29,33.0,33.25,32.06,32.38,19.4057105905,727300,0.0,1.0
1999-11-30,32.06,32.69,32.06,32.56,19.5135866839,600500,0.0,1.0
1999-12-01,32.19,32.94,32.0,32.25,19.3278000785,480000,0.0,1.0
1999-12-02,32.0,32.63,31.94,32.09,19.2319102177,703400,0.0,1.0
1999-12-03,32.38,32.56,32.06,32.25,19.3278000785,1074700,0.0,1.0
1999-12-06,31.88,31.94,30.5,31.06,18.6146192384,649900,0.0,1.0
1999-12-07,31.19,31.38,30.25,30.31,18.1651355157,684500,0.0,1.0
