date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-10-20,25.31,25.36,25.1,25.36,20.8688879817,4200,0.0,1.0
2011-10-21,25.67,25.67,25.67,25.67,21.1239887417,100,0.0,1.0
2011-10-24,25.67,25.67,25.67,25.67,21.1239887417,0,0.0,1.0
2011-10-25,25.8,25.8,25.58,25.58,21.0499272307,4000,0.0,1.0
2011-10-26,25.73,25.73,25.46,25.69,21.1404468553,4200,0.0,1.0
2011-10-27,26.03,26.03,26.03,26.03,21.4202347856,100,0.0,1.0
2011-10-28,26.07,26.07,26.02,26.02,21.4120057288,400,0.0,1.0
2011-10-31,26.01,26.01,25.96,25.96,21.3626313882,500,0.0,1.0
2011-11-01,25.96,25.96,25.96,25.96,21.3626313882,0,0.0,1.0
2011-11-02,25.96,25.96,25.96,25.96,21.3626313882,0,0.0,1.0
2011-11-03,25.96,25.96,25.96,25.96,21.3626313882,0,0.0,1.0
2011-11-04,25.79,25.8,25.79,25.8,21.2309664798,2000,0.0,1.0
2011-11-07,25.7,25.7,25.7,25.7,21.148675912,100,0.0,1.0
2011-11-08,26.08,26.1,26.08,26.1,21.477838183,1300,0.0,1.0
2011-11-09,25.77,25.83,25.6,25.61,21.0746144011,3200,0.0,1.0
2011-11-10,26.49,26.49,25.6699,25.74,21.1815921391,2900,0.0,1.0
2011-11-11,26.13,26.25,26.13,26.2,21.5601287508,2400,0.0,1.0
2011-11-14,26.03,26.03,26.03,26.03,21.4202347856,100,0.0,1.0
2011-11-15,25.9,26.24,25.9,26.03,21.4202347856,23600,0.0,1.0
2011-11-16,25.9799,25.9948,25.84,25.84,21.2638827069,1000,0.0,1.0
2011-11-17,25.65,25.65,25.3845,25.3845,20.8890491708,1300,0.0,1.0
2011-11-18,25.5385,25.5385,25.5299,25.5299,21.0086996563,1100,0.0,1.0
2011-11-21,25.17,25.25,25.05,25.14,20.6878487326,5000,0.0,1.0
2011-11-22,25.14,25.14,25.14,25.14,20.6878487326,0,0.0,1.0
2011-11-23,24.8,24.89,24.71,24.8,20.4080608023,9600,0.0,1.0
2011-11-25,24.44,24.7899,24.44,24.7899,20.3997494549,1500,0.0,1.0
2011-11-28,25.23,25.31,25.23,25.31,20.8277426978,2500,0.0,1.0
2011-11-29,25.34,25.34,25.34,25.34,20.8524298681,200,0.0,1.0
2011-11-30,26.45,26.45,25.8,26.0,21.3955476153,4800,0.0,1.0
2011-12-01,26.76,26.76,26.07,26.2,21.5601287508,1900,0.0,1.0
2011-12-02,26.18,26.1801,26.12,26.12,21.4942962966,700,0.0,1.0
2011-12-05,26.2265,26.339,26.065,26.065,21.4490364843,5100,0.0,1.0
2011-12-06,26.2,26.29,26.2,26.29,21.6341902618,3500,0.0,1.0
2011-12-07,26.15,26.29,26.15,26.29,21.6341902618,3000,0.0,1.0
2011-12-08,26.25,26.4649,25.98,26.4649,21.7781164648,3500,0.0,1.0
2011-12-09,26.23,26.31,26.23,26.31,21.6506483753,1200,0.0,1.0
2011-12-12,28.77,28.77,25.88,25.94,21.3461732746,3800,0.0,1.0
2011-12-13,26.99,26.99,25.85,25.88,21.296798934,27800,0.0,1.0
2011-12-14,25.8,25.88,25.76,25.79,21.222737423,123700,0.0,1.0
2011-12-15,25.94,25.94,25.9,25.9,21.3132570475,3100,0.0,1.0
2011-12-16,25.89,25.93,25.89,25.91,21.3214861043,14300,0.0,1.0
2011-12-19,25.91,25.91,25.91,25.91,21.3214861043,0,0.0,1.0
2011-12-20,25.91,25.91,25.91,25.91,21.3214861043,0,0.0,1.0
2011-12-21,26.36,26.47,26.35,26.45,21.7658551702,5300,0.0,1.0
2011-12-22,26.58,26.58,26.4,26.46,21.8386271879,1800,0.0784,1.0
2011-12-23,26.72,26.72,26.58,26.67,22.0119496259,4100,0.0,1.0
2011-12-27,26.7398,26.84,26.7398,26.84,22.1522582662,6300,0.0,1.0
2011-12-28,26.68,26.68,26.5972,26.64,21.9871892777,3400,0.0,1.0
2011-12-29,26.69,26.77,26.68,26.75,22.0779772214,7200,0.0,1.0
2011-12-30,26.84,26.84,26.7,26.72,22.0532168731,3200,0.0,1.0
2012-01-03,26.96,26.97,26.71,26.71,22.0449634237,12000,0.0,1.0
2012-01-04,26.6714,26.7,26.5825,26.6,21.9541754799,23000,0.0,1.0
2012-01-05,26.5,26.69,26.5,26.6,21.9541754799,10300,0.0,1.0
2012-01-06,27.16,27.16,26.6899,26.6899,22.0283739903,1500,0.0,1.0
2012-01-09,26.59,26.68,26.59,26.68,22.0202030754,2500,0.0,1.0
2012-01-10,27.12,27.12,26.808,26.83,22.1440048168,9200,0.0,1.0
2012-01-11,27.24,27.24,26.79,26.82,22.1357513674,4300,0.0,1.0
2012-01-12,26.82,26.9199,26.8049,26.9199,22.2182033272,2000,0.0,1.0
2012-01-13,26.68,26.7999,26.68,26.7999,22.119161934,10000,0.0,1.0
2012-01-17,27.2,27.2,26.91,26.9599,22.2512171249,26100,0.0,1.0
