date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-04-10,546.0,547.9992,541.36,544.16,544.16,3877800,0.0,1.0
2006-04-11,546.56,547.12,538.4,545.6,545.6,1296200,0.0,1.0
2006-04-12,545.2,550.4792,542.48,542.72,542.72,1248000,0.0,1.0
2006-04-13,542.0,551.92,539.2,550.56,550.56,560500,0.0,1.0
2006-04-17,553.6,559.2,549.44,558.32,558.32,916900,0.0,1.0
2006-04-18,560.8,568.4,556.56,566.0,566.0,922700,0.0,1.0
2006-04-19,564.64,577.28,563.92,574.8,574.8,789800,0.0,1.0
2006-04-20,574.0,577.28,564.08,568.72,568.72,843100,0.0,1.0
2006-04-21,568.48,585.84,566.4,582.48,582.48,1061000,0.0,1.0
2006-04-24,579.6,579.6,566.32,568.08,568.08,1042300,0.0,1.0
2006-04-25,571.52,574.48,556.96,565.12,565.12,2853900,0.0,1.0
2006-04-26,562.16,566.8,555.6,556.32,556.32,897300,0.0,1.0
2006-04-27,553.36,556.64,548.56,549.6,549.6,635600,0.0,1.0
2006-04-28,554.08,564.0,551.92,556.96,556.96,868100,0.0,1.0
2006-05-01,560.72,573.2,560.0,572.0,572.0,555500,0.0,1.0
2006-05-02,573.28,581.52,570.72,578.72,578.72,871000,0.0,1.0
2006-05-03,578.8,579.84,560.0,561.76,561.76,1009800,0.0,1.0
2006-05-04,554.96,558.16,538.24,546.56,546.56,1556000,0.0,1.0
2006-05-05,546.4,547.76,541.44,544.0,544.0,671200,0.0,1.0
2006-05-08,540.0,543.92,530.4352,543.04,543.04,1312300,0.0,1.0
2006-05-09,545.2,553.44,542.08,547.2,547.2,782500,0.0,1.0
2006-05-10,545.36,558.16,539.84,558.16,558.16,704500,0.0,1.0
2006-05-11,561.04,568.4,559.36,562.4,562.4,1028700,0.0,1.0
2006-05-12,560.08,563.52,552.32,552.88,552.88,574200,0.0,1.0
2006-05-15,539.76,542.16,531.6,533.04,533.04,669900,0.0,1.0
2006-05-16,536.56,543.2,530.48,533.6,533.6,802000,0.0,1.0
2006-05-17,533.36,534.0,523.12,525.6,525.6,822700,0.0,1.0
2006-05-18,524.56,534.32,520.8,533.92,533.92,656700,0.0,1.0
2006-05-19,526.8,531.6944,521.2,524.56,524.56,812100,0.0,1.0
2006-05-22,520.0,532.56,519.12,530.24,530.24,769700,0.0,1.0
2006-05-23,537.68,547.36,537.68,542.16,542.16,630900,0.0,1.0
2006-05-24,538.08,543.44,528.4,528.8,528.8,400700,0.0,1.0
2006-05-25,532.32,543.04,530.48,542.4,542.4,300300,0.0,1.0
2006-05-26,539.68,545.84,538.64,542.0,542.0,269500,0.0,1.0
2006-05-30,549.76,552.64,545.76,546.56,546.56,489400,0.0,1.0
2006-05-31,541.12,543.28,532.64,541.84,541.84,471700,0.0,1.0
2006-06-01,537.04,546.0,532.08,534.56,534.56,922800,0.0,1.0
2006-06-02,540.48,553.2,540.4,551.2,551.2,443500,0.0,1.0
2006-06-05,557.52,558.24,547.52,549.92,549.92,393200,0.0,1.0
2006-06-06,548.32,551.6,542.4,550.08,550.08,179800,0.0,1.0
2006-06-07,546.16,546.64,536.72,538.4,538.4,308400,0.0,1.0
2006-06-08,533.68,536.96,526.48,536.96,536.96,308300,0.0,1.0
2006-06-09,539.84,545.6,539.84,544.48,544.48,257000,0.0,1.0
2006-06-12,546.8,547.12,534.88,536.64,536.64,213200,0.0,1.0
2006-06-13,529.52,529.84,521.04,521.44,521.44,602700,0.0,1.0
