date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-11-23,75.04,75.16,75.04,75.16,49.152184949,2300,0.0,1.0
2009-11-24,75.43,75.5,75.3,75.5,49.3745338432,5000,0.0,1.0
2009-11-25,75.472,75.74,75.361,75.6,49.4399305767,6000,0.0,1.0
2009-11-27,76.44,76.44,75.6803,75.73,49.5249463304,1900,0.0,1.0
2009-11-30,75.71,75.94,75.71,75.94,49.6622794709,8400,0.0,1.0
2009-12-01,75.88,75.968,75.67,75.67,49.4857082902,9700,0.0,1.0
2009-12-02,75.68,75.688,75.6,75.6,49.4399305767,1900,0.0,1.0
2009-12-03,75.6,75.69,75.472,75.69,49.498787637,51100,0.0,1.0
2009-12-04,75.42,75.466,75.29,75.4,49.3091371096,9200,0.0,1.0
2009-12-07,75.5,75.56,75.49,75.55,49.40723221,6100,0.0,1.0
2009-12-08,75.87,76.0,75.66,75.766,49.5484891545,28500,0.0,1.0
2009-12-09,75.96,75.96,75.61,75.7,49.5053273103,6300,0.0,1.0
2009-12-10,75.565,75.78,75.5,75.76,49.5445653505,5200,0.0,1.0
2009-12-11,75.67,75.78,75.38,75.56,49.4137718833,7300,0.0,1.0
2009-12-14,75.58,75.73,75.54,75.646,49.4700130742,11600,0.0,1.0
2009-12-15,75.61,75.7,75.45,75.64,49.4660892702,28600,0.0,1.0
2009-12-16,76.22,76.22,75.7,75.87,49.6165017574,29800,0.0,1.0
2009-12-17,76.41,76.41,75.78,76.02,49.7145968577,10100,0.0,1.0
2009-12-18,76.06,76.1,75.93,75.95,49.6688191442,6500,0.0,1.0
2009-12-21,75.9199,75.92,75.458,75.527,49.3921909612,16700,0.0,1.0
2009-12-22,75.32,75.38,75.317,75.37,49.2895180895,7400,0.0,1.0
2009-12-23,75.58,75.6,75.35,75.43,49.3287561297,5400,0.0,1.0
2009-12-24,75.0,75.06,74.914,74.914,49.2587816248,7100,0.409,1.0
2009-12-28,74.84,74.84,74.54,74.54,49.0128625131,14700,0.0,1.0
2009-12-29,74.795,74.8,74.1,74.78,49.1706715687,17100,0.0,1.0
2009-12-30,74.99,75.0,74.76,74.88,49.2364253419,21800,0.0,1.0
2009-12-31,74.73,74.92,74.625,74.89,49.2430007192,107800,0.0,1.0
2010-01-04,75.21,75.21,74.9,75.16,49.4205359067,83000,0.0,1.0
2010-01-05,75.38,75.675,75.35,75.66,49.7493047725,58300,0.0,1.0
2010-01-06,75.8,75.82,75.5001,75.5001,49.6441644893,15100,0.0,1.0
2010-01-07,75.8,75.855,75.57,75.74,49.8019077911,8900,0.0,1.0
2010-01-08,75.76,75.955,75.6,75.82,49.8545108096,28400,0.0,1.0
2010-01-11,75.94,75.95,75.71,75.795,49.8380723663,22800,0.0,1.0
2010-01-12,76.56,76.56,76.05,76.1699,50.0845832619,8900,0.0,1.0
2010-01-13,76.2,76.26,75.911,75.94,49.9334153374,35000,0.0,1.0
2010-01-14,76.01,76.13,75.93,76.1,50.0386213744,37400,0.0,1.0
2010-01-15,76.2,76.29,76.19,76.21,50.1109505249,45500,0.0,1.0
2010-01-19,76.48,76.48,75.869,76.04,49.9991691105,87200,0.0,1.0
2010-01-20,76.48,76.48,76.026,76.08,50.0254706198,20900,0.0,1.0
2010-01-21,76.07,76.5699,76.07,76.32,50.1832796754,15300,0.0,1.0
2010-01-22,76.27,76.42,76.25,76.41,50.2424580712,17800,0.0,1.0
2010-01-25,76.2,76.3,76.2,76.25,50.1372520342,21800,0.0,1.0
2010-01-26,76.22,76.24,75.8,76.1,50.0386213744,33700,0.0,1.0
2010-01-27,76.27,80.6,75.9199,75.93,49.9268399601,27500,0.0,1.0
2010-01-28,75.8,76.135,75.777,75.87,49.8873876962,37600,0.0,1.0
2010-01-29,76.13,76.13,75.65,75.96,50.0820188647,11600,0.206,1.0
2010-02-01,76.06,76.06,75.8594,75.89,50.0358663987,12700,0.0,1.0
2010-02-02,75.9,75.95,75.8101,75.93,50.0622392364,23000,0.0,1.0
2010-02-03,75.83,75.85,75.5,75.708,49.915869987,17300,0.0,1.0
2010-02-04,75.82,76.04,75.61,76.04,50.1347645402,20900,0.0,1.0
2010-02-05,76.19,76.19,75.928,76.02,50.1215781213,18700,0.0,1.0
2010-02-08,76.14,76.14,75.728,75.99,50.101798493,147900,0.0,1.0
2010-02-09,75.95,76.14,75.81,75.83,49.9963071421,65300,0.0,1.0
2010-02-10,75.74,75.8,75.41,75.44,49.7391719741,26800,0.0,1.0
2010-02-11,75.47,75.56,75.12,75.37,49.6930195081,29400,0.0,1.0
2010-02-12,76.08,76.08,75.385,75.42,49.7259855553,10300,0.0,1.0
2010-02-16,75.29,75.6,75.29,75.58,49.8314769062,25900,0.0,1.0
2010-02-17,75.29,75.37,75.07,75.29,49.6402738326,25600,0.0,1.0
2010-02-18,75.41,75.41,75.06,75.1,49.5150028533,40000,0.0,1.0
2010-02-19,75.27,75.4244,75.06,75.28,49.6336806232,18600,0.0,1.0
2010-02-22,75.51,75.53,75.4,75.41,49.7193923458,21300,0.0,1.0
2010-02-23,75.67,75.91,75.4,75.9,50.0424596081,13700,0.0,1.0
2010-02-24,75.93,76.06,75.7923,75.96,50.0820188647,11700,0.0,1.0
2010-02-25,75.83,76.15,75.83,76.05,50.1413577496,26500,0.0,1.0
2010-02-26,76.18,76.2,75.83,76.08,50.3088252693,25100,0.224,1.0
2010-03-01,76.14,76.19,76.0,76.14,50.348500999,23800,0.0,1.0
2010-03-02,75.91,76.27,75.91,76.25,50.4212398368,13500,0.0,1.0
2010-03-03,76.29,76.33,76.2,76.33,50.4741408097,29700,0.0,1.0
2010-03-04,76.32,76.46,76.21,76.43,50.5402670259,30200,0.0,1.0
2010-03-05,76.47,76.47,76.17,76.235,50.4113209043,20200,0.0,1.0
2010-03-08,76.46,76.46,76.15,76.32,50.4675281881,16400,0.0,1.0
2010-03-09,76.52,76.52,76.27,76.475,50.5700238232,23100,0.0,1.0
2010-03-10,76.38,76.53,76.357,76.53,50.6063932421,31800,0.0,1.0
2010-03-11,76.59,76.59,76.23,76.35,50.487366053,39000,0.0,1.0
2010-03-12,76.48,76.64,76.3,76.58,50.6394563502,11700,0.0,1.0
2010-03-15,76.54,76.64,76.396,76.58,50.6394563502,32600,0.0,1.0
2010-03-16,76.75,77.028,76.71,76.85,50.8179971338,29300,0.0,1.0
2010-03-17,77.06,77.199,76.936,77.09,50.9767000527,12500,0.0,1.0
2010-03-18,77.0,77.1499,76.925,77.01,50.9237990797,22900,0.0,1.0
2010-03-19,76.9,77.04,76.76,76.88,50.8378349987,11200,0.0,1.0
2010-03-22,77.19,77.21,76.86,76.98,50.9039612149,50100,0.0,1.0
2010-03-23,77.24,77.24,76.9999,76.9999,50.9171203319,26400,0.0,1.0
2010-03-24,76.78,76.78,76.3285,76.35,50.487366053,36800,0.0,1.0
2010-03-25,76.34,76.38,75.74,76.2,50.3881767287,33200,0.0,1.0
2010-03-26,76.2,76.42,76.2,76.4,50.520429161,29700,0.0,1.0
2010-03-29,76.4,76.5,76.25,76.38,50.5072039178,60900,0.0,1.0
2010-03-30,76.32,76.39,76.04,76.346,50.4847210043,19500,0.0,1.0
2010-03-31,76.37,76.37,76.01,76.25,50.6110220772,24100,0.287,1.0
2010-04-01,76.19,76.279,76.104,76.21,50.5844720328,17600,0.0,1.0
2010-04-05,75.86,75.86,75.51,75.64,50.2061339006,45500,0.0,1.0
2010-04-06,75.48,75.95,75.48,75.92,50.3919842112,34700,0.0,1.0
2010-04-07,76.0,76.41,75.795,76.4099,50.7171558796,12900,0.0,1.0
2010-04-08,76.53,76.53,76.027,76.26,50.6176595883,17900,0.0,1.0
2010-04-09,76.2,76.33,75.94,76.16,50.5512844774,22500,0.0,1.0
2010-04-12,76.54,76.59,76.175,76.57,50.8234224322,15800,0.0,1.0
2010-04-13,76.83,76.83,76.524,76.65,50.8765225209,25900,0.0,1.0
2010-04-14,76.95,76.95,76.5301,76.63,50.8632474987,29700,0.0,1.0
2010-04-15,76.3,76.9,76.3,76.89,51.0358227871,37000,0.0,1.0
2010-04-16,76.97,77.1625,76.858,77.0,51.1088354091,25700,0.0,1.0
2010-04-19,77.05,77.0999,76.9,76.96,51.0822853647,22500,0.0,1.0
2010-04-20,77.0,77.05,76.896,77.05,51.1420229646,27400,0.0,1.0
2010-04-21,76.91,77.3,76.91,77.28,51.2946857197,18300,0.0,1.0
2010-04-22,77.61,77.61,77.0,77.12,51.1884855422,45100,0.0,1.0
2010-04-23,77.06,77.06,76.723,77.03,51.1287479424,33700,0.0,1.0
2010-04-26,77.23,77.23,76.94,77.01,51.1154729202,35800,0.0,1.0
2010-04-27,77.39,77.39,76.9809,77.34,51.3345107862,10700,0.0,1.0
2010-04-28,77.19,77.385,77.018,77.078,51.1606079956,11900,0.0,1.0
2010-04-29,77.17,77.25,77.04,77.2,51.241585631,33900,0.0,1.0
2010-04-30,77.09,77.23,76.911,77.22,51.4254446882,21700,0.257,1.0
2010-05-03,77.21,77.24,76.861,77.06,51.3188910603,25700,0.0,1.0
2010-05-04,77.4,77.48,77.17,77.45,51.5786155284,41700,0.0,1.0
2010-05-05,77.62,77.62,76.762,77.11,51.352189069,51800,0.0,1.0
2010-05-06,77.32,77.395,76.6401,76.6401,51.0392543829,23900,0.0,1.0
2010-05-07,77.56,77.76,76.644,76.9,51.2123374323,39400,0.0,1.0
