date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-03-10,50.9,51.2,50.75,50.9,28.3822039956,67500,0.0,1.0
2005-03-11,51.1,51.25,50.9,50.9,28.3822039956,25200,0.0,1.0
2005-03-14,50.75,50.85,50.65,50.85,28.354323638,26600,0.0,1.0
2005-03-15,50.95,50.95,50.7,50.7,28.270682565300003,34900,0.0,1.0
2005-03-16,50.9,50.9,50.5,50.5,28.159161135100003,9700,0.0,1.0
2005-03-17,50.5,50.6,50.45,50.5,28.159161135100003,12500,0.0,1.0
2005-03-18,50.42,50.42,50.2,50.2,27.991878989699998,9700,0.0,1.0
2005-03-21,50.05,50.05,49.6,49.85,27.796716486799998,20100,0.0,1.0
2005-03-22,49.78,50.0,49.2,49.38,27.5346411258,25100,0.0,1.0
2005-03-23,48.8,49.05,48.8,49.05,27.3506307659,7300,0.0,1.0
2005-03-24,49.05,49.43,49.05,49.25,27.4621521961,18300,0.0,1.0
2005-03-28,49.0,49.25,49.0,49.15,27.406391481,121100,0.0,1.0
2005-03-29,49.15,49.25,49.05,49.1485,27.405555070300004,3000,0.0,1.0
2005-03-30,48.95,49.48,48.95,49.48,27.5904018409,12700,0.0,1.0
2005-03-31,49.55,49.55,49.2,49.25,27.4621521961,12600,0.0,1.0
2005-04-01,49.6,49.65,48.81,48.9,27.266989693200003,54600,0.0,1.0
2005-04-04,48.7,49.05,48.5,49.05,27.3506307659,6800,0.0,1.0
2005-04-05,49.1985,49.27,49.07,49.12,27.3896632664,18600,0.0,1.0
2005-04-06,49.36,49.56,49.1,49.51,27.6071300554,87600,0.0,1.0
2005-04-07,49.68,49.95,49.6,49.7,27.713075414099997,58500,0.0,1.0
2005-04-08,49.65,49.9,49.5,49.65,27.685195056599998,79800,0.0,1.0
2005-04-11,50.0,50.2,49.75,50.18,27.9807268467,59200,0.0,1.0
2005-04-12,49.64,50.19,49.5,50.19,27.986302918200003,21400,0.0,1.0
2005-04-13,49.75,49.9,49.35,49.35,27.5179129112,123200,0.0,1.0
2005-04-14,49.39,49.4,49.0,49.0,27.3227504083,61600,0.0,1.0
2005-04-15,49.05,49.3,48.5,48.68,27.144316119899997,61600,0.0,1.0
2005-04-18,48.45,48.69,48.45,48.69,27.1498921914,15300,0.0,1.0
2005-04-19,48.9,49.15,48.9,49.15,27.406391481,20900,0.0,1.0
2005-04-20,48.74,48.9,48.44,48.45,27.0160664752,13700,0.0,1.0
2005-04-21,49.99,49.99,48.8,49.15,27.406391481,15100,0.0,1.0
2005-04-22,49.15,49.2,48.75,48.75,27.183348620500002,60600,0.0,1.0
2005-04-25,49.03,49.14,48.75,49.14,27.400815409499998,5800,0.0,1.0
2005-04-26,48.8,48.9,48.65,48.65,27.1275879054,22400,0.0,1.0
2005-04-27,48.2,48.44,48.1,48.4,26.9881861176,6800,0.0,1.0
2005-04-28,48.0,48.0,47.68,47.68,26.586708968699998,8900,0.0,1.0
2005-04-29,48.2,48.2,47.89,48.19,26.871088615799998,12600,0.0,1.0
2005-05-02,48.19,48.25,48.05,48.2,26.876664687399998,23700,0.0,1.0
2005-05-03,48.35,48.6,48.31,48.5,27.0439468327,156700,0.0,1.0
2005-05-04,48.74,49.29,48.73,49.29,27.4844564822,63900,0.0,1.0
2005-05-05,49.32,49.34,49.0,49.09,27.3729350519,88900,0.0,1.0
2005-05-06,49.0,49.09,48.72,48.72,27.166620406,6500,0.0,1.0
2005-05-09,48.85,49.1,48.75,49.1,27.378511123400003,52700,0.0,1.0
2005-05-10,48.58,48.7,48.25,48.25,26.904545044899997,7100,0.0,1.0
2005-05-11,48.45,48.58,48.45,48.58,27.0885554048,21600,0.0,1.0
2005-05-12,48.45,48.46,47.86,48.0,26.7651432571,35700,0.0,1.0
2005-05-13,47.95,48.0,47.72,47.84,26.6759261129,8600,0.0,1.0
2005-05-16,47.75,48.14,47.7,47.98,26.7539911141,3100,0.0,1.0
2005-05-17,47.89,48.19,47.88,48.19,26.871088615799998,10400,0.0,1.0
2005-05-18,48.34,48.9,48.34,48.9,27.266989693200003,31100,0.0,1.0
2005-05-19,48.65,48.84,48.65,48.84,27.2335332641,3100,0.0,1.0
2005-05-20,48.55,48.78,48.37,48.7,27.1554682629,15600,0.0,1.0
2005-05-23,48.8,49.1,48.62,49.1,27.378511123400003,24100,0.0,1.0
2005-05-24,48.86,48.88,48.5,48.75,27.183348620500002,86800,0.0,1.0
2005-05-25,48.79,48.8,48.6,48.75,27.183348620500002,29800,0.0,1.0
2005-05-26,48.85,48.9,48.85,48.9,27.266989693200003,5300,0.0,1.0
2005-05-27,48.85,49.0,48.7,49.0,27.3227504083,9900,0.0,1.0
2005-05-31,48.58,48.6,48.32,48.32,26.943577545500002,42800,0.0,1.0
2005-06-01,48.34,48.7,48.34,48.5,27.0439468327,270700,0.0,1.0
2005-06-02,48.65,48.92,48.5,48.92,27.2781418362,11400,0.0,1.0
2005-06-03,48.65,48.8,48.35,48.5,27.0439468327,11900,0.0,1.0
2005-06-06,48.55,48.8,48.42,48.8,27.2112289781,8200,0.0,1.0
2005-06-07,48.85,49.2,48.8,48.95,27.294870050700002,57700,0.0,1.0
2005-06-08,49.15,49.25,48.75,48.85,27.2391093356,18800,0.0,1.0
2005-06-09,48.7,49.2,48.67,49.06,27.3562068374,45800,0.0,1.0
2005-06-10,49.05,49.05,48.4,48.85,27.2391093356,73400,0.0,1.0
2005-06-13,48.55,48.8,48.36,48.69,27.1498921914,21200,0.0,1.0
2005-06-14,48.7,48.84,48.53,48.55,27.071827190300002,22100,0.0,1.0
2005-06-15,48.7,48.9,48.61,48.9,27.266989693200003,9500,0.0,1.0
2005-06-16,48.91,48.99,48.8985,48.99,27.317174336799997,7300,0.0,1.0
2005-06-17,49.6,49.98,49.4,49.8,27.7688361293,57300,0.0,1.0
2005-06-20,49.35,49.42,49.15,49.42,27.556945411799997,51400,0.0,1.0
2005-06-21,49.25,49.55,49.16,49.55,27.6294343415,21600,0.0,1.0
2005-06-22,49.54,49.54,49.4,49.48,27.5904018409,12300,0.0,1.0
2005-06-23,49.35,49.5,48.8,48.8,27.2112289781,20800,0.0,1.0
2005-06-24,49.1,49.11,48.91,49.0,27.3227504083,10500,0.0,1.0
2005-06-27,48.9,48.9,48.72,48.9,27.266989693200003,13000,0.0,1.0
2005-06-28,48.66,49.13,48.66,49.13,27.395239338000003,3900,0.0,1.0
2005-06-29,49.02,49.25,48.9,49.1,27.378511123400003,19200,0.0,1.0
2005-06-30,48.95,49.1,48.84,48.97,27.3060221938,70000,0.0,1.0
