date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-08-15,52.11,59.87,51.5,57.71,40.121368773,10678500,0.0,1.0
2007-08-16,60.99,61.49,52.71,56.99,39.6208075962,6919500,0.0,1.0
2007-08-17,59.0,59.0,54.45,55.55,38.6196852425,3086100,0.0,1.0
2007-08-20,56.05,57.5,55.61,57.33,39.8571837075,2140900,0.0,1.0
2007-08-21,57.25,66.59,56.5,65.99,45.8778223069,7369700,0.0,1.0
2007-08-22,70.18,73.95,66.56,66.85,46.4757148237,10144400,0.0,1.0
2007-08-23,68.07,70.88,65.01,70.2,48.8047147439,4347000,0.0,1.0
2007-08-24,70.2,72.65,69.45,71.3,49.5694609863,3812400,0.0,1.0
2007-08-27,71.73,73.35,71.01,72.3,50.264684843,2393300,0.0,1.0
2007-08-28,71.9,72.1,66.5,69.78,48.512720724,3664100,0.0,1.0
2007-08-29,72.0,72.48,67.15,68.2,47.4142670304,3580700,0.0,1.0
2007-08-30,67.58,70.0,66.25,68.46,47.5950252331,1731300,0.0,1.0
2007-08-31,69.82,70.11,68.54,68.89,47.8939714915,921700,0.0,1.0
2007-09-04,69.06,69.13,67.25,67.45,46.8928491378,1353800,0.0,1.0
2007-09-05,66.55,66.59,63.65,64.21,44.6403238419,2245400,0.0,1.0
2007-09-06,64.6,70.1,64.09,69.79,48.5196729626,2599400,0.0,1.0
2007-09-07,67.01,71.3,66.8,69.5,48.3180580441,2668300,0.0,1.0
2007-09-10,71.99,79.15,68.85,76.76,53.3653832441,6667400,0.0,1.0
2007-09-11,78.7,82.75,76.5,76.65,53.2889086199,10613600,0.0,1.0
2007-09-12,78.44,80.65,77.06,78.3,54.4360279835,6005300,0.0,1.0
2007-09-13,79.55,80.55,76.53,77.79,54.0814638166,3253800,0.0,1.0
2007-09-14,77.22,79.55,76.55,77.92,54.171842918,3093300,0.0,1.0
2007-09-17,76.15,77.6,73.19,73.7,51.2379982425,4773600,0.0,1.0
2007-09-18,75.35,75.75,72.8,73.9,51.3770430138,2931900,0.0,1.0
2007-09-19,75.3,78.83,74.86,77.6,53.9493712838,4228400,0.0,1.0
2007-09-20,77.66,79.27,76.17,76.65,53.2889086199,2464600,0.0,1.0
2007-09-21,77.35,79.31,76.6,79.31,55.1382040789,4114400,0.0,1.0
2007-09-24,81.0,85.17,80.32,83.83,58.2806159114,5649300,0.0,1.0
2007-09-25,82.31,85.0,82.0,83.23,57.8634815973,2964600,0.0,1.0
2007-09-26,83.99,84.4,82.11,82.36,57.2586368419,1539200,0.0,1.0
2007-09-27,83.05,84.05,82.05,83.12,57.7870069731,1855400,0.0,1.0
2007-09-28,83.89,85.52,82.5,85.0,59.0940278238,3419300,0.0,1.0
2007-10-01,84.75,89.23,83.62,88.62,61.6107381852,3845800,0.0,1.0
2007-10-02,88.97,92.52,88.36,92.42,64.2525888408,2869600,0.0,1.0
2007-10-03,92.43,93.98,87.5,88.25,61.3535053582,3965800,0.0,1.0
2007-10-04,89.15,90.5,88.0,89.57,62.2712008491,1754900,0.0,1.0
2007-10-05,92.15,92.15,89.22,91.13,63.3557500656,1881600,0.0,1.0
2007-10-08,91.21,95.9,91.15,95.09,66.1088365384,3030600,0.0,1.0
2007-10-09,97.22,101.89,96.11,101.61,70.6416960844,5864000,0.0,1.0
2007-10-10,102.51,107.49,101.61,107.04,74.4167616265,4765700,0.0,1.0
2007-10-11,109.98,114.88,99.06,102.69,71.3925378497,11110400,0.0,1.0
2007-10-12,103.13,107.37,98.05,102.98,71.5941527681,6356900,0.0,1.0
2007-10-15,104.49,105.5,96.29,98.76,68.6603080926,4837100,0.0,1.0
2007-10-16,97.1,101.18,95.02,99.9,69.4528632893,4283100,0.0,1.0
2007-10-17,103.04,105.4,101.51,103.95,72.2685199092,4329700,0.0,1.0
2007-10-18,102.0,103.6,100.24,101.55,70.599982653,1942000,0.0,1.0
2007-10-19,100.72,101.94,97.05,97.74,67.9511797588,3486900,0.0,1.0
2007-10-22,95.2,102.5,91.55,102.38,71.1770184541,4348700,0.0,1.0
2007-10-23,105.99,107.51,103.1,106.15,73.798012394,4440100,0.0,1.0
2007-10-24,108.77,111.0,102.26,103.52,71.9695736508,9660600,0.0,1.0
2007-10-25,111.7,115.95,106.5,114.0,79.2555196695,9962300,0.0,1.0
2007-10-26,115.99,116.4,109.7,112.09,77.9276421031,4344500,0.0,1.0
2007-10-29,114.6,121.42,113.59,120.78,83.9691374183,5741600,0.0,1.0
2007-10-30,120.0,123.46,117.0,120.35,83.6701911599,3496300,0.0,1.0
2007-10-31,122.85,125.25,120.0,124.83,86.7847940381,3693200,0.0,1.0
2007-11-01,123.0,124.98,121.51,122.25,84.9911164877,2535100,0.0,1.0
2007-11-02,123.82,123.95,114.55,117.12,81.4246181026,4368700,0.0,1.0
2007-11-05,114.0,115.0,109.5,112.55,78.2474450772,3831500,0.0,1.0
2007-11-06,114.79,115.95,109.61,110.94,77.1281346679,3342600,0.0,1.0
2007-11-07,107.53,108.5,102.12,102.5,71.2604453169,5051700,0.0,1.0
2007-11-08,102.92,103.0,87.81,91.88,63.8771679582,12203000,0.0,1.0
2007-11-09,88.5,92.25,84.6,87.74,60.9989411913,8034800,0.0,1.0
2007-11-12,86.5,92.54,76.55,80.36,55.8681891284,9036600,0.0,1.0
2007-11-13,84.23,92.79,82.3,90.68,63.0428993301,7504300,0.0,1.0
2007-11-14,97.72,97.72,86.62,87.17,60.6026635929,5853900,0.0,1.0
2007-11-15,87.45,89.65,81.4,82.3,57.2169234105,4615400,0.0,1.0
2007-11-16,84.5,85.92,81.71,85.25,59.2678337879,2920000,0.0,1.0
2007-11-19,84.2,89.37,80.5,81.97,56.9874995378,3233600,0.0,1.0
2007-11-20,83.0,86.0,79.25,82.62,57.4393950447,4635100,0.0,1.0
2007-11-21,80.8,82.4,79.06,80.68,56.0906607626,3236900,0.0,1.0
2007-11-23,82.61,82.61,78.82,78.84,54.8114488662,1106100,0.0,1.0
2007-11-26,78.38,78.41,71.0,71.44,49.6667923262,7413900,0.0,1.0
2007-11-27,73.5,78.25,72.89,77.58,53.9354668067,5420700,0.0,1.0
2007-11-28,80.57,88.49,80.57,87.69,60.9641799984,8016100,0.0,1.0
2007-11-29,90.91,93.2,89.5,90.85,63.1610873857,5700700,0.0,1.0
2007-11-30,95.39,95.6,89.85,91.37,63.5226037913,4845000,0.0,1.0
2007-12-03,89.87,96.0,88.7,94.97,66.0254096756,4409600,0.0,1.0
2007-12-04,92.26,97.1,92.05,95.08,66.1018842998,2907100,0.0,1.0
2007-12-05,98.0,98.0,88.7,90.44,62.8760456045,3978600,0.0,1.0
2007-12-06,91.7,91.92,86.5,89.7,62.3615799505,3095500,0.0,1.0
2007-12-07,90.68,90.68,87.11,88.88,61.791496388,1261700,0.0,1.0
2007-12-10,89.99,93.58,87.75,93.45,64.9686694133,1883300,0.0,1.0
2007-12-11,95.0,99.99,93.64,95.29,66.2478813097,4849500,0.0,1.0
2007-12-12,99.75,102.74,95.14,99.23,68.9870633053,5628900,0.0,1.0
2007-12-13,97.13,99.23,92.3,96.0,66.741490248,3904500,0.0,1.0
2007-12-14,93.04,98.46,92.25,95.7,66.532923091,2449800,0.0,1.0
2007-12-17,94.85,95.13,89.0,89.85,62.465863529,2134500,0.0,1.0
2007-12-18,92.97,92.97,85.0,88.83,61.7567351951,2375400,0.0,1.0
2007-12-19,88.06,91.79,88.01,90.53,62.9386157516,1161900,0.0,1.0
2007-12-20,92.99,93.0,89.02,91.14,63.3627023042,1178300,0.0,1.0
2007-12-21,93.17,93.2,89.34,89.64,62.3198665191,1526600,0.0,1.0
2007-12-24,89.64,91.27,88.0,88.71,61.6733083323,595400,0.0,1.0
2007-12-26,88.99,89.03,87.03,87.63,60.922466567,1022800,0.0,1.0
2007-12-27,87.61,87.61,84.74,84.97,59.0731711081,1344400,0.0,1.0
2007-12-28,85.15,86.4,82.35,83.6,58.1207144243,1129900,0.0,1.0
2007-12-31,83.05,85.52,83.05,84.99,59.0870755852,1175400,0.0,1.0
2008-01-02,85.49,85.98,83.11,84.6,58.8159382811,1001800,0.0,1.0
2008-01-03,84.9,86.93,82.5,83.95,58.3640427742,2115300,0.0,1.0
2008-01-04,82.0,82.89,79.53,80.49,55.9585682298,1680300,0.0,1.0
2008-01-07,81.25,81.64,71.66,72.99,50.7443893042,4609300,0.0,1.0
2008-01-08,74.01,79.5,73.59,74.5,51.7941773279,2644200,0.0,1.0
2008-01-09,76.44,80.0,76.02,79.89,55.5414339158,2959100,0.0,1.0
2008-01-10,79.2,82.43,77.64,80.3,55.826475697,1800700,0.0,1.0
2008-01-11,78.38,79.8,75.83,77.53,53.9007056138,2109900,0.0,1.0
2008-01-14,79.99,83.26,78.34,82.24,57.1752099791,1923500,0.0,1.0
2008-01-15,81.53,84.4,78.85,79.93,55.56924287,2408500,0.0,1.0
2008-01-16,78.34,83.7,77.0,83.5,58.0511920386,2611600,0.0,1.0
2008-01-17,84.45,85.84,79.78,80.74,56.132374194,2676800,0.0,1.0
2008-01-18,81.6,82.75,78.1,81.27,56.5008428381,2203800,0.0,1.0
2008-01-22,72.56,81.13,72.5,80.45,55.9307592755,3600500,0.0,1.0
2008-01-23,76.83,79.0,75.15,77.51,53.8868011367,3288700,0.0,1.0
2008-01-24,78.95,81.0,76.3,80.2,55.7569533114,2497400,0.0,1.0
2008-01-25,83.94,83.94,79.58,80.55,56.0002816612,2155500,0.0,1.0
2008-01-28,82.0,83.0,78.15,83.0,57.7035801103,6138700,0.0,1.0
2008-01-29,58.05,59.8,54.51,54.87,38.1469330199,21715900,0.0,1.0
2008-01-30,54.49,57.17,53.57,56.42,39.2245299978,6063100,0.0,1.0
2008-01-31,55.6,57.35,55.52,56.67,39.398335962,2607800,0.0,1.0
2008-02-01,56.98,58.14,55.06,57.85,40.218700113,2489400,0.0,1.0
2008-02-04,58.0,60.47,56.91,58.05,40.3577448843,1840300,0.0,1.0
2008-02-05,57.6,59.3,57.17,59.3,41.2267747053,1711700,0.0,1.0
2008-02-06,60.32,62.0,59.5,61.52,42.7701716673,2209700,0.0,1.0
2008-02-07,60.5,62.75,59.56,60.8,42.2696104904,1521700,0.0,1.0
2008-02-08,60.9,61.39,60.07,60.27,41.9011418463,956400,0.0,1.0
2008-02-11,61.22,62.24,60.9,61.42,42.7006492816,1132600,0.0,1.0
2008-02-12,62.0,63.0,61.56,62.26,43.2846373213,989000,0.0,1.0
2008-02-13,63.0,63.5,62.18,62.93,43.7504373053,919500,0.0,1.0
2008-02-14,63.1,63.33,61.25,62.1,43.1734015042,1333000,0.0,1.0
2008-02-15,61.2,62.57,59.25,59.81,41.5813388722,1598200,0.0,1.0
2008-02-19,60.99,61.5,56.5,57.38,39.8919449003,1685900,0.0,1.0
2008-02-20,56.23,59.83,56.23,59.45,41.3310582838,913600,0.0,1.0
2008-02-21,59.46,60.0,57.5,57.91,40.2604135444,1124000,0.0,1.0
2008-02-22,58.0,58.48,55.0,56.55,39.3149090992,1449100,0.0,1.0
2008-02-25,56.55,58.6,56.01,58.29,40.52459861,907900,0.0,1.0
2008-02-26,59.3,60.7,57.43,60.18,41.8385716992,2050400,0.0,1.0
2008-02-27,60.0,60.5,58.42,59.86,41.6161000651,1285200,0.0,1.0
2008-02-28,59.79,60.96,59.16,59.95,41.6786702122,984500,0.0,1.0
2008-02-29,59.26,59.95,58.32,58.67,40.7887836755,842200,0.0,1.0
2008-03-03,58.24,58.53,55.16,55.81,38.8004434452,1135300,0.0,1.0
2008-03-04,55.1,56.19,52.5,53.76,37.3752345389,2195300,0.0,1.0
2008-03-05,54.0,54.9,53.0,54.57,37.9383658629,1840700,0.0,1.0
2008-03-06,53.6,55.3,52.99,53.1,36.9163867934,1303800,0.0,1.0
