date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-09-29,49.85,49.99,49.84,49.85,23.979392275100004,205800,0.0,1.0
2004-09-30,50.0,50.33,49.99,50.25,24.1718046505,27900,0.0,1.0
2004-10-01,50.35,51.25,50.25,51.18,24.619163423099998,129800,0.0,1.0
2004-10-04,51.39,51.55,51.39,51.4,24.724990229499998,8100,0.0,1.0
2004-10-05,51.4,51.5,51.35,51.39,24.7201799201,11900,0.0,1.0
2004-10-06,51.5,51.63,51.49,51.63,24.8356273453,9300,0.0,1.0
2004-10-07,51.65,51.65,51.1,51.1,24.580680948,7900,0.0,1.0
2004-10-08,51.57,51.57,51.25,51.35,24.700938682600004,16400,0.0,1.0
2004-10-11,51.5,51.5,51.1,51.15,24.6047324949,4500,0.0,1.0
2004-10-12,51.2,51.32,51.0,51.32,24.6865077545,3600,0.0,1.0
2004-10-13,51.55,51.58,51.45,51.45,24.7490417764,2500,0.0,1.0
2004-10-14,51.45,51.86,51.45,51.85,24.9414541518,19200,0.0,1.0
2004-10-15,52.1,52.38,52.08,52.38,25.196400549099998,9800,0.0,1.0
2004-10-18,52.35,52.8,52.29,52.66,25.3310892118,4000,0.0,1.0
2004-10-19,52.8,53.0,52.38,52.38,25.196400549099998,6200,0.0,1.0
2004-10-20,52.3,52.3,51.64,52.13,25.0761428145,5500,0.0,1.0
2004-10-21,52.03,52.66,52.03,52.66,25.3310892118,7400,0.0,1.0
2004-10-22,52.65,52.9,52.24,52.24,25.1290562177,69900,0.0,1.0
2004-10-25,52.2,52.2,51.81,51.99,25.008798483099998,14000,0.0,1.0
2004-10-26,52.13,52.48,52.02,52.48,25.2445036429,9000,0.0,1.0
2004-10-27,52.86,53.1,52.74,53.1,25.5427428247,9100,0.0,1.0
2004-10-28,53.01,53.25,52.97,53.13,25.5571737528,12800,0.0,1.0
2004-10-29,53.43,53.43,52.98,53.1,25.5427428247,50200,0.0,1.0
2004-11-01,53.2,53.62,53.18,53.62,25.792878912600003,5400,0.0,1.0
2004-11-02,53.72,53.72,53.1,53.1,25.5427428247,14100,0.0,1.0
2004-11-03,53.89,53.89,53.56,53.64,25.8024995314,12800,0.0,1.0
2004-11-04,53.6,54.45,53.6,54.45,26.1921345914,5200,0.0,1.0
2004-11-05,54.29,54.29,52.9,52.98,25.4850191121,51900,0.0,1.0
2004-11-08,53.15,53.21,52.89,53.12,25.5523634434,31600,0.0,1.0
2004-11-09,53.13,53.32,53.04,53.32,25.648569631100003,22300,0.0,1.0
2004-11-10,53.4,53.84,53.26,53.7,25.8313613876,13600,0.0,1.0
2004-11-11,53.73,54.1385,53.7,54.1385,26.042293454099998,13600,0.0,1.0
2004-11-12,54.27,55.2,54.19,55.2,26.5529077951,14900,0.0,1.0
2004-11-15,55.53,55.96,55.45,55.9,26.8896294519,39900,0.0,1.0
2004-11-16,56.22,56.22,55.56,55.56,26.7260789329,26000,0.0,1.0
2004-11-17,55.75,55.8,54.08,54.27,26.1055490225,21500,0.0,1.0
2004-11-18,54.79,54.79,53.73,54.18,26.062256238000003,80200,0.0,1.0
2004-11-19,54.27,54.44,53.62,53.62,25.792878912600003,74800,0.0,1.0
2004-11-22,53.84,54.02,53.5,53.99,25.9708603598,84200,0.0,1.0
2004-11-23,53.95,54.41,53.77,54.22,26.0814974756,9100,0.0,1.0
2004-11-24,54.75,55.3,54.75,55.16,26.533666557600004,10600,0.0,1.0
2004-11-26,55.4,55.49,55.05,55.1,26.5048047013,11800,0.0,1.0
2004-11-29,55.25,55.25,54.64,54.9,26.4085985136,86900,0.0,1.0
2004-11-30,55.1,55.2,54.72,55.2,26.5529077951,32800,0.0,1.0
2004-12-01,55.35,56.37,55.33,56.27,27.0676108991,23600,0.0,1.0
2004-12-02,56.27,56.27,55.54,55.79,26.836716048699998,36900,0.0,1.0
2004-12-03,56.0,56.56,56.0,56.54,27.1974892525,35800,0.0,1.0
2004-12-06,56.65,57.06,56.46,56.81,27.3273676058,53800,0.0,1.0
2004-12-07,56.93,56.93,56.01,56.09,26.9810253302,47900,0.0,1.0
2004-12-08,56.21,56.5,56.0,56.24,27.053179971,76000,0.0,1.0
2004-12-09,56.29,56.65,55.94,56.65,27.2504026557,24900,0.0,1.0
2004-12-10,56.6,57.13,56.58,57.13,27.481297506100002,13700,0.0,1.0
2004-12-13,57.3,57.3,56.91,56.97,27.4043325559,14900,0.0,1.0
2004-12-14,56.9,56.99,56.62,56.92,27.380281009,12800,0.0,1.0
2004-12-15,57.16,57.18,56.69,57.03,27.4331944122,21700,0.0,1.0
2004-12-16,57.12,57.12,56.51,56.51,27.1830583243,11000,0.0,1.0
2004-12-17,56.65,57.15,56.0515,57.15,27.4909181248,28300,0.0,1.0
2004-12-20,57.1,57.1,56.71,56.95,27.394711937199997,10500,0.0,1.0
2004-12-21,57.15,57.6,57.15,57.6,27.7073820471,12500,0.0,1.0
2004-12-22,56.4,56.75,56.3,56.75,27.9094150412,21200,1.27,1.0
2004-12-23,56.55,56.7,56.1,56.32,27.6979428215,27100,0.0,1.0
2004-12-27,56.32,56.35,55.75,55.9,27.4913885604,24900,0.0,1.0
2004-12-28,56.0,56.21,55.99,56.11,27.5946656909,14800,0.0,1.0
2004-12-29,56.25,56.45,56.2,56.43,27.7520403661,29400,0.0,1.0
2004-12-30,56.59,56.74,56.35,56.7,27.884825248200002,33700,0.0,1.0
2004-12-31,56.87,56.92,56.55,56.55,27.8110558692,36500,0.0,1.0
2005-01-03,56.75,56.75,55.5,55.89,27.486470601799997,31900,0.0,1.0
2005-01-04,55.89,56.28,55.05,55.05,27.0733620796,52500,0.0,1.0
2005-01-05,55.17,55.17,52.83,53.22,26.173375656199998,77300,0.0,1.0
2005-01-06,53.15,53.82,53.15,53.63,26.3750119587,42200,0.0,1.0
2005-01-07,53.87,53.88,53.27,53.51,26.3159964556,24200,0.0,1.0
2005-01-10,53.45,53.65,53.2,53.34,26.232391159400002,12500,0.0,1.0
2005-01-11,53.37,53.4,52.65,52.8,25.966821395100002,25300,0.0,1.0
2005-01-12,52.9,52.9,51.74,52.55,25.8438724302,82800,0.0,1.0
2005-01-13,52.54,53.4,52.47,52.55,25.8438724302,34200,0.0,1.0
2005-01-14,53.04,53.25,52.8,53.2,26.163539739,219900,0.0,1.0
2005-01-18,53.15,53.78,52.99,53.72,26.4192735861,26000,0.0,1.0
2005-01-19,53.9,54.49,53.63,53.77,26.443863379099998,29600,0.0,1.0
2005-01-20,53.85,54.01,53.39,53.6,26.3602580829,32500,0.0,1.0
2005-01-21,53.55,54.02,53.36,53.65,26.3848478759,61200,0.0,1.0
2005-01-24,53.75,53.8,53.2,53.22,26.173375656199998,18100,0.0,1.0
2005-01-25,53.5,53.5,52.21,52.22,25.6815797965,31000,0.0,1.0
2005-01-26,52.43,52.43,51.91,52.06,25.602892458899998,26400,0.0,1.0
2005-01-27,52.24,52.24,51.39,51.69,25.4209279908,17200,0.0,1.0
2005-01-28,51.85,52.01,51.55,51.77,25.4602716596,65900,0.0,1.0
2005-01-31,52.16,52.25,51.27,51.71,25.430763908000003,40500,0.0,1.0
2005-02-01,51.9,52.17,51.7,52.09,25.617646334699998,25600,0.0,1.0
2005-02-02,52.3,52.67,52.08,52.67,25.902887933400002,24500,0.0,1.0
2005-02-03,52.75,53.0,52.68,52.83,25.981575270900002,13900,0.0,1.0
