date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-03-10,51.0,51.2,50.9,51.05,33.1047914056,63100,0.0,1.0
2005-03-11,51.2,51.4,51.1,51.1,33.1372152953,25700,0.0,1.0
2005-03-14,50.75,50.85,50.6,50.85,32.9750958467,33700,0.0,1.0
2005-03-15,50.85,50.85,50.55,50.55,32.7805525084,19000,0.0,1.0
2005-03-16,50.65,50.85,50.5,50.58,32.8000068422,61600,0.0,1.0
2005-03-17,50.7,50.78,50.5,50.65,32.8454002878,21900,0.0,1.0
2005-03-18,50.8685,50.9,50.75,50.8,32.942671957,11800,0.0,1.0
2005-03-21,50.75,50.75,50.55,50.7,32.8778241775,28500,0.0,1.0
2005-03-22,50.67,50.9,50.25,50.25,32.58600917,22300,0.0,1.0
2005-03-23,49.88,49.88,49.75,49.87,32.3395876082,6200,0.0,1.0
2005-03-24,49.45,49.55,49.35,49.55,32.1320747139,16600,0.0,1.0
2005-03-28,49.55,49.7,49.35,49.65,32.1969224934,6200,0.0,1.0
2005-03-29,48.9,49.04,48.45,48.6,31.5160208092,14600,0.0,1.0
2005-03-30,48.5,48.88,48.5,48.88,31.6975945917,9700,0.0,1.0
2005-03-31,49.25,49.25,48.83,48.9,31.7105641476,19000,0.0,1.0
2005-04-01,49.4,49.4,48.72,48.72,31.5938381446,57800,0.0,1.0
2005-04-04,48.65,48.8,48.35,48.8,31.6457163681,7600,0.0,1.0
2005-04-05,48.9,49.1,48.85,49.05,31.8078358167,8700,0.0,1.0
2005-04-06,49.1,49.16,49.0,49.0,31.775411927,2100,0.0,1.0
2005-04-07,49.35,49.4,49.25,49.3,31.9699552653,7800,0.0,1.0
2005-04-08,49.35,49.4,49.0,49.0,31.775411927,42600,0.0,1.0
2005-04-11,49.4,49.4,49.05,49.35,32.0023791551,5200,0.0,1.0
2005-04-12,48.74,49.17,48.61,49.17,31.8856531521,5900,0.0,1.0
2005-04-13,49.05,49.15,48.65,48.85,31.6781402578,58400,0.0,1.0
2005-04-14,48.44,48.44,47.81,47.81,31.0037233516,64100,0.0,1.0
2005-04-15,47.64,47.75,47.39,47.39,30.731362678,5600,0.0,1.0
2005-04-18,46.45,46.79,46.45,46.74,30.3098521116,16700,0.0,1.0
2005-04-19,46.84,47.44,46.84,47.44,30.7637865677,22800,0.0,1.0
2005-04-20,47.19,47.19,46.75,46.8,30.3487607793,161800,0.0,1.0
2005-04-21,47.5,47.69,47.5,47.69,30.9259060163,3400,0.0,1.0
2005-04-22,47.8,48.19,47.46,47.46,30.7767561236,63500,0.0,1.0
2005-04-25,47.99,48.19,47.7,48.14,31.2177210238,12700,0.0,1.0
2005-04-26,47.75,47.75,47.45,47.45,30.7702713456,9900,0.0,1.0
2005-04-27,47.3,47.84,47.3,47.8,30.9972385737,56500,0.0,1.0
2005-04-28,47.65,47.65,47.25,47.3,30.6729996765,126300,0.0,1.0
2005-04-29,47.8,48.05,47.65,47.98,31.1139645767,205900,0.0,1.0
2005-05-02,48.2,48.2,48.05,48.17,31.2371753576,58300,0.0,1.0
2005-05-03,48.0,48.3,48.0,48.25,31.2890535812,35200,0.0,1.0
2005-05-04,48.35,48.7,48.35,48.6,31.5160208092,4400,0.0,1.0
2005-05-05,48.73,48.74,48.55,48.74,31.6068077005,78000,0.0,1.0
2005-05-06,48.9,48.9,48.72,48.72,31.5938381446,4000,0.0,1.0
2005-05-09,48.6,48.84,48.55,48.84,31.6716554799,21500,0.0,1.0
2005-05-10,48.55,48.55,48.3,48.3,31.3214774709,5800,0.0,1.0
2005-05-11,48.4,48.4,48.4,48.4,31.3863252504,500,0.0,1.0
2005-05-12,48.01,48.1,47.8,47.8,30.9972385737,26400,0.0,1.0
2005-05-13,47.6,47.61,47.4,47.4,30.7378474559,10400,0.0,1.0
2005-05-16,47.0985,47.24,47.0,47.24,30.6340910088,2400,0.0,1.0
2005-05-17,46.77,46.98,46.77,46.98,30.4654867823,6500,0.0,1.0
2005-05-18,46.87,47.49,46.85,47.49,30.7962104574,19000,0.0,1.0
2005-05-19,47.5,47.65,47.4,47.47,30.7832409015,9300,0.0,1.0
2005-05-20,47.33,47.35,47.18,47.3,30.6729996765,13600,0.0,1.0
2005-05-23,47.65,47.86,47.6,47.78,30.9842690178,31400,0.0,1.0
2005-05-24,47.72,47.9,47.47,47.7,30.9323907943,40600,0.0,1.0
2005-05-25,47.5,47.52,47.2,47.27,30.6535453426,29400,0.0,1.0
2005-05-26,47.3,47.4,47.25,47.4,30.7378474559,8800,0.0,1.0
2005-05-27,47.5,47.59,47.47,47.55,30.8351191251,12500,0.0,1.0
2005-05-31,47.65,47.65,47.5,47.65,30.8999669045,20300,0.0,1.0
2005-06-01,47.77,48.2,47.77,48.15,31.2242058017,121200,0.0,1.0
2005-06-02,48.15,48.15,48.1,48.1,31.191781912,7000,0.0,1.0
2005-06-03,48.2,48.2,48.0,48.01,31.1334189105,7100,0.0,1.0
2005-06-06,48.55,48.65,48.42,48.65,31.548444699,11100,0.0,1.0
2005-06-07,48.6,48.9,48.5985,48.67,31.5614142548,10800,0.0,1.0
2005-06-08,48.75,48.95,48.62,48.7,31.5808685887,15900,0.0,1.0
2005-06-09,48.25,48.45,48.2,48.45,31.4187491401,6800,0.0,1.0
2005-06-10,48.3,48.3,48.0,48.1,31.191781912,10500,0.0,1.0
2005-06-13,47.95,48.1,47.83,48.0,31.1269341326,15000,0.0,1.0
2005-06-14,48.0,48.09,47.83,48.0,31.1269341326,6200,0.0,1.0
2005-06-15,48.25,48.25,48.25,48.25,31.2890535812,900,0.0,1.0
2005-06-16,48.58,48.79,48.32,48.79,31.6392315902,15500,0.0,1.0
2005-06-17,49.3,49.39,49.2,49.39,32.0283182668,29100,0.0,1.0
2005-06-20,49.0,49.05,48.8,48.99,31.7689271491,17500,0.0,1.0
2005-06-21,49.15,49.2985,49.1,49.25,31.9375313756,29900,0.0,1.0
2005-06-22,49.3,49.3,49.1,49.19,31.8986227079,7100,0.0,1.0
2005-06-23,49.15,49.16,48.9,48.97,31.7559575932,10300,0.0,1.0
2005-06-24,48.85,48.9,48.66,48.84,31.6716554799,15800,0.0,1.0
2005-06-27,48.64,48.72,48.45,48.55,31.4835969195,5700,0.0,1.0
2005-06-28,48.65,48.78,48.46,48.78,31.6327468122,1300,0.0,1.0
2005-06-29,48.65,48.74,48.42,48.43,31.4057795842,22300,0.0,1.0
2005-06-30,48.6,48.65,48.41,48.56,31.4900816975,17600,0.0,1.0
2005-07-01,48.55,48.55,48.37,48.48,31.4382034739,17500,0.0,1.0
2005-07-05,48.3,48.45,48.14,48.45,31.4187491401,10500,0.0,1.0
2005-07-06,48.3,48.3,47.8,48.14,31.2177210238,25300,0.0,1.0
2005-07-07,47.5,47.78,47.5,47.75,30.964814684,14400,0.0,1.0
2005-07-08,48.0,48.29,48.0,48.29,31.314992693,6700,0.0,1.0
2005-07-11,48.29,48.52,48.28,48.52,31.4641425857,9400,0.0,1.0
2005-07-12,48.74,49.01,48.6,49.01,31.781896705,36300,0.0,1.0
2005-07-13,48.5,48.65,48.35,48.45,31.4187491401,8000,0.0,1.0
2005-07-14,48.8,48.85,48.78,48.79,31.6392315902,3400,0.0,1.0
2005-07-15,48.61,48.85,48.61,48.85,31.6781402578,9500,0.0,1.0
2005-07-18,48.84,49.16,48.51,48.51,31.4576578077,17800,0.0,1.0
2005-07-19,48.62,48.84,48.42,48.84,31.6716554799,13800,0.0,1.0
2005-07-20,48.75,48.94,48.53,48.91,31.7170489255,9200,0.0,1.0
2005-07-21,49.28,49.53,49.1,49.51,32.1061356022,26200,0.0,1.0
2005-07-22,49.5,49.59,49.2315,49.49,32.0931660463,11800,0.0,1.0
2005-07-25,49.3,49.5,49.08,49.08,31.8272901506,16300,0.0,1.0
2005-07-26,48.9,49.06,48.72,48.81,31.6522011461,20200,0.0,1.0
2005-07-27,48.35,49.26,48.35,49.25,31.9375313756,5800,0.0,1.0
2005-07-28,49.3,49.4,49.15,49.4,32.0348030448,3800,0.0,1.0
2005-07-29,49.4485,49.45,49.35,49.38,32.0218334889,3800,0.0,1.0
2005-08-01,49.82,49.85,49.66,49.85,32.3266180523,3300,0.0,1.0
2005-08-02,49.94,50.24,49.91,50.24,32.5795243921,4000,0.0,1.0
2005-08-03,50.19,50.22,50.0,50.22,32.5665548362,12400,0.0,1.0
2005-08-04,50.1,50.1,49.71,49.89,32.352557164,8500,0.0,1.0
2005-08-05,49.44,49.44,48.99,49.19,31.8986227079,15800,0.0,1.0
2005-08-08,49.42,49.49,49.11,49.11,31.8467444844,5000,0.0,1.0
2005-08-09,49.85,49.97,49.68,49.93,32.3784962758,19200,0.0,1.0
2005-08-10,50.76,51.28,50.76,50.96,33.0464284041,67000,0.0,1.0
2005-08-11,51.75,51.99,51.7,51.99,33.7143605323,17700,0.0,1.0
2005-08-12,51.9,51.98,51.71,51.98,33.7078757544,25600,0.0,1.0
2005-08-15,52.04,52.5,52.0,52.5,34.0450842075,12900,0.0,1.0
2005-08-16,52.3,52.3,51.97,52.17,33.8310865353,25000,0.0,1.0
2005-08-17,51.95,52.03,51.8915,51.8915,33.6504854696,9900,0.0,1.0
2005-08-18,51.6,51.72,51.45,51.72,33.5392715279,12100,0.0,1.0
2005-08-19,51.82,51.83,51.75,51.83,33.6106040852,19600,0.0,1.0
2005-08-22,52.04,52.8,52.04,52.8,34.2396275458,21200,0.0,1.0
2005-08-23,52.5,52.6,52.3,52.4585,34.018172379,11100,0.0,1.0
2005-08-24,52.35,52.4,52.0,52.08,33.7727235338,19800,0.0,1.0
2005-08-25,52.25,52.5,52.17,52.5,34.0450842075,11800,0.0,1.0
2005-08-26,52.55,52.55,52.25,52.25,33.8829647589,13900,0.0,1.0
2005-08-29,52.01,52.14,51.93,52.14,33.8116322015,18100,0.0,1.0
2005-08-30,51.95,51.95,51.52,51.53,33.4160607469,6800,0.0,1.0
2005-08-31,51.9,52.4,51.72,52.33,33.9348429825,31100,0.0,1.0
2005-09-01,52.69,53.09,52.69,53.09,34.4276861062,17000,0.0,1.0
2005-09-02,53.04,53.3,52.98,53.19,34.4925338857,19100,0.0,1.0
2005-09-06,53.55,53.85,53.4,53.65,34.7908336711,12900,0.0,1.0
2005-09-07,53.42,53.45,53.25,53.27,34.5444121092,35100,0.0,1.0
2005-09-08,53.05,53.25,52.93,52.93,34.3239296591,12500,0.0,1.0
2005-09-09,53.9,54.12,53.7,54.03,35.037255233,15900,0.0,1.0
2005-09-12,54.18,54.5,54.0,54.21,35.153981236,42600,0.0,1.0
2005-09-13,54.08,54.1,53.83,53.86,34.9270140079,23200,0.0,1.0
2005-09-14,54.08,54.22,53.76,53.76,34.8621662285,22200,0.0,1.0
2005-09-15,54.68,54.78,54.01,54.28,35.1993746816,23100,0.0,1.0
2005-09-16,54.8,54.81,54.52,54.67,35.4522810214,25800,0.0,1.0
2005-09-19,54.6,54.68,54.47,54.5,35.3420397964,31000,0.0,1.0
2005-09-20,55.2,55.69,54.9,54.9,35.6014309141,29700,0.0,1.0
2005-09-21,55.35,55.59,54.5,55.47,35.971063257,23400,0.0,1.0
2005-09-22,55.26,55.4,54.86,55.19,35.7894894745,41500,0.0,1.0
2005-09-23,55.0,55.4,54.82,55.13,35.7505808069,24600,0.0,1.0
2005-09-26,55.85,56.0,55.65,55.78,36.1720913732,25500,0.0,1.0
2005-09-27,55.5,55.5,55.24,55.47,35.971063257,29100,0.0,1.0
2005-09-28,56.45,56.59,56.28,56.45,36.6065714955,29300,0.0,1.0
2005-09-29,57.35,58.03,57.14,57.99,37.6052272989,53600,0.0,1.0
2005-09-30,57.1,57.31,56.9,57.1085,37.0335941231,62700,0.0,1.0
2005-10-03,57.01,57.08,56.45,56.6,36.7038431647,48700,0.0,1.0
2005-10-04,56.85,57.05,56.55,56.55,36.6714192749,47400,0.0,1.0
2005-10-05,56.2,56.2,55.08,55.24,35.8219133642,47300,0.0,1.0
2005-10-06,55.04,55.08,54.18,54.55,35.3744636861,55300,0.0,1.0
2005-10-07,55.0,55.33,54.79,54.8,35.5365831347,32300,0.0,1.0
2005-10-10,54.9,54.93,54.55,54.7,35.4717353553,38900,0.0,1.0
