date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-30,9.7,9.9,9.7,9.85,9.84108450393,329758,0.0,1.0
2018-07-31,9.85,9.85,9.85,9.85,9.84108450393,8781,0.0,1.0
2018-08-01,10.0,10.0,9.96,9.98,9.97096683748,80400,0.0,1.0
2018-08-02,9.98,9.99,9.98,9.99,9.98095778622,21000,0.0,1.0
2018-08-03,9.99,9.99,9.99,9.99,9.98095778622,0,0.0,1.0
2018-08-06,10.09,10.09,9.95,9.96,9.95098494001,6600,0.0,1.0
2018-08-07,9.95,9.95,9.95,9.95,9.94099399128,500,0.0,1.0
2018-08-08,9.95,9.95,9.95,9.95,9.94099399128,40,0.0,1.0
2018-08-09,9.9,9.9,9.9,9.9,9.8910392476,500,0.0,1.0
2018-08-10,9.9,10.36,9.85,9.85,9.84108450393,4060,0.0,1.0
2018-08-13,9.85,9.905,9.8,9.81,9.80112070899,710771,0.0,1.0
2018-08-14,10.75,10.77,9.8,9.8,9.79112976025,50082,0.0,1.0
2018-08-15,9.85,9.88,9.84,9.85,9.84108450393,524698,0.0,1.0
2018-08-16,9.85,9.86,9.85,9.86,9.85107545266,22925,0.0,1.0
2018-08-17,9.82,9.83,9.8,9.83,9.82110260646,402100,0.0,1.0
2018-08-20,9.83,9.83,9.83,9.83,9.82110260646,0,0.0,1.0
2018-08-21,9.8,9.8,9.8,9.8,9.79112976025,2100,0.0,1.0
2018-08-22,9.835,9.835,9.8,9.8,9.79112976025,24825,0.0,1.0
2018-08-23,9.81,9.85,9.75,9.81,9.80112070899,334302,0.0,1.0
2018-08-24,9.8,9.8,9.8,9.8,9.79112976025,100000,0.0,1.0
2018-08-27,9.8,9.8,9.75,9.75,9.74117501658,2381009,0.0,1.0
2018-08-28,9.76,9.76,9.72,9.75,9.74117501658,685101,0.0,1.0
2018-08-29,9.7972,9.8,9.77,9.8,9.79112976025,52564,0.0,1.0
2018-08-30,9.8,9.8,9.8,9.8,9.79112976025,300,0.0,1.0
2018-08-31,9.75,9.8,9.73,9.73,9.72119311911,10605,0.0,1.0
2018-09-04,9.79,9.79,9.79,9.79,9.78113881152,105,0.0,1.0
2018-09-05,9.75,9.8,9.75,9.8,9.79112976025,2145,0.0,1.0
2018-09-06,9.8,9.8,9.8,9.8,9.79112976025,3800,0.0,1.0
2018-09-07,9.78,9.78,9.78,9.78,9.77114786278,4300,0.0,1.0
2018-09-10,9.75,9.87,9.75,9.87,9.8610664014,125104,0.0,1.0
2018-09-11,9.75,9.75,9.74,9.75,9.74117501658,179750,0.0,1.0
2018-09-12,9.75,9.8,9.75,9.8,9.79112976025,483000,0.0,1.0
2018-09-13,9.8,9.8,9.8,9.8,9.79112976025,10,0.0,1.0
2018-09-14,9.7346,9.8,9.7346,9.8,9.79112976025,600,0.0,1.0
2018-09-17,9.84,9.84,9.75,9.75,9.74117501658,264619,0.0,1.0
2018-09-18,9.77,9.77,9.75,9.77,9.76115691405,7207,0.0,1.0
2018-09-19,9.78,9.84,9.77,9.78,9.77114786278,280828,0.0,1.0
2018-09-20,9.75,9.78,9.73,9.73,9.72119311911,47902,0.0,1.0
2018-09-21,9.75,9.77,9.75,9.75,9.74117501658,74312,0.0,1.0
2018-09-24,9.78,9.78,9.77,9.77,9.76115691405,371,0.0,1.0
2018-09-25,9.7413,9.77,9.7413,9.77,9.76115691405,47289,0.0,1.0
2018-09-26,9.75,9.75,9.7494,9.7494,9.74057555966,2289,0.0,1.0
2018-09-27,9.75,9.77,9.75,9.75,9.74117501658,8971,0.0,1.0
2018-09-28,9.75,9.77,9.73,9.75,9.74117501658,65418,0.0,1.0
2018-10-01,9.749,9.75,9.715,9.75,9.74117501658,8200,0.0,1.0
2018-10-02,9.73,9.76,9.72,9.73,9.72119311911,359575,0.0,1.0
2018-10-03,9.7333,9.7333,9.7333,9.7333,9.72449013219,840,0.0,1.0
2018-10-04,9.74,9.76,9.72,9.76,9.75116596531,62808,0.0,1.0
2018-10-05,9.76,9.76,9.72,9.72,9.71120217037,41310,0.0,1.0
2018-10-08,9.72,9.75,9.72,9.75,9.74117501658,1984,0.0,1.0
2018-10-09,9.78,9.78,9.72,9.72,9.71120217037,3300,0.0,1.0
2018-10-10,9.72,9.74,9.7,9.74,9.73118406784,391323,0.0,1.0
2018-10-11,9.74,9.74,9.705,9.74,9.73118406784,15941,0.0,1.0
2018-10-12,9.73,9.75,9.73,9.75,9.74117501658,284376,0.0,1.0
2018-10-15,9.7,9.75,9.7,9.73,9.72119311911,6246,0.0,1.0
2018-10-16,9.75,9.75,9.7,9.74,9.73118406784,10080,0.0,1.0
2018-10-17,9.73,9.75,9.73,9.75,9.74117501658,19001,0.0,1.0
2018-10-18,9.7573,9.76,9.7573,9.76,9.75116596531,438,0.0,1.0
2018-10-19,9.77,9.82,9.74,9.82,9.81111165772,2624,0.0,1.0
2018-10-22,9.8,9.8,9.75,9.75,9.74117501658,4914,0.0,1.0
2018-10-23,9.76,9.76,9.7027,9.76,9.75116596531,1303,0.0,1.0
2018-10-24,9.75,9.75,9.7,9.7,9.6912202729,2585,0.0,1.0
2018-10-25,9.7,9.76,9.7,9.76,9.75116596531,733,0.0,1.0
2018-10-26,9.75,9.75,9.7,9.7,9.6912202729,5293,0.0,1.0
2018-10-29,9.75,9.75,9.75,9.75,9.74117501658,1000,0.0,1.0
2018-10-30,9.7666,9.7666,9.74,9.74,9.73118406784,8915,0.0,1.0
2018-10-31,9.76,9.76,9.71,9.71,9.70121122164,1026,0.0,1.0
2018-11-01,9.71,9.71,9.71,9.71,9.70121122164,43,0.0,1.0
2018-11-02,9.76,9.76,9.71,9.75,9.74117501658,1161,0.0,1.0
2018-11-05,9.85,9.85,9.72,9.72,9.71120217037,13757,0.0,1.0
2018-11-06,9.77,9.77,9.7,9.77,9.76115691405,4079,0.0,1.0
2018-11-07,9.78,9.82,9.7,9.7,9.6912202729,69331,0.0,1.0
2018-11-08,9.75,9.85,9.7,9.7,9.6912202729,279742,0.0,1.0
2018-11-09,9.7,9.85,9.7,9.84,9.83109355519,15273,0.0,1.0
2018-11-12,9.8381,9.85,9.83,9.83,9.82110260646,3166,0.0,1.0
2018-11-13,9.84,9.84,9.75,9.75,9.74117501658,460,0.0,1.0
2018-11-14,9.83,9.85,9.8,9.8,9.79112976025,63946,0.0,1.0
2018-11-15,9.8,9.85,9.8,9.8,9.79112976025,1178,0.0,1.0
2018-11-16,9.85,9.85,9.85,9.85,9.84108450393,316,0.0,1.0
2018-11-19,9.8225,9.84,9.75,9.75,9.74117501658,119373,0.0,1.0
2018-11-20,9.84,9.84,9.81,9.81,9.80112070899,7580,0.0,1.0
2018-11-21,9.83,9.83,9.75,9.75,9.74117501658,8795,0.0,1.0
2018-11-23,9.83,9.83,9.81,9.83,9.82110260646,885,0.0,1.0
2018-11-26,9.83,9.83,9.75,9.75,9.74117501658,15735,0.0,1.0
2018-11-27,9.83,10.06,9.83,10.06,10.0508944274,11321,0.0,1.0
2018-11-28,9.85,9.86,9.81,9.81,9.80112070899,2048,0.0,1.0
2018-11-29,10.0,10.0,9.81,9.87,9.8610664014,4258,0.0,1.0
2018-11-30,9.87,9.87,9.85,9.85,9.84108450393,2144,0.0,1.0
2018-12-03,9.88,9.9,9.82,9.82,9.81111165772,19678,0.0,1.0
2018-12-04,9.98,10.0,9.82,9.82,9.81111165772,1124,0.0,1.0
2018-12-06,9.95,9.95,9.84,9.85,9.84108450393,50500,0.0,1.0
