date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-01-30,49.51,49.56,49.5,49.56,40.4969478266,21900,0.0,1.0
2004-02-02,49.7,49.94,49.65,49.65,40.5704894994,2200,0.0,1.0
2004-02-03,49.82,49.88,49.7,49.87,40.7502580329,5600,0.0,1.0
2004-02-04,49.5,49.75,49.35,49.46,40.4152348568,1600,0.0,1.0
2004-02-05,49.33,49.54,49.33,49.5,40.4479200447,3300,0.0,1.0
2004-02-06,49.65,50.12,49.65,50.12,40.9545404574,400,0.0,1.0
2004-02-09,50.19,50.33,50.09,50.09,40.930026566500004,3400,0.0,1.0
2004-02-10,50.3,50.3,50.27,50.3,41.101623803,3000,0.0,1.0
2004-02-11,50.29,50.75,50.21,50.75,41.4693321671,1400,0.0,1.0
2004-02-12,50.75,50.75,50.75,50.75,41.4693321671,0,0.0,1.0
2004-02-13,50.7,50.7,50.19,50.19,41.0117395363,4300,0.0,1.0
2004-02-17,50.54,50.75,50.53,50.75,41.4693321671,1500,0.0,1.0
2004-02-18,50.54,50.54,50.53,50.53,41.2895636335,600,0.0,1.0
2004-02-19,50.77,50.87,50.68,50.68,41.4121330882,3900,0.0,1.0
2004-02-20,50.3,50.3,49.8,49.85,40.733915439,1200,0.0,1.0
2004-02-23,50.0,50.0,49.68,49.68,40.5950033903,900,0.0,1.0
2004-02-24,49.58,49.82,49.58,49.82,40.709401548,700,0.0,1.0
2004-02-25,49.92,49.92,49.92,49.92,40.791114517800004,400,0.0,1.0
2004-02-26,49.98,49.99,49.98,49.99,40.8483135967,21000,0.0,1.0
2004-02-27,49.92,50.11,49.92,50.04,40.8891700816,8700,0.0,1.0
2004-03-01,50.4,50.4,50.1,50.36,41.1506515849,400,0.0,1.0
2004-03-02,50.52,50.52,50.43,50.5,41.265049742600006,1600,0.0,1.0
2004-03-03,49.9,49.94,49.9,49.94,40.8074571118,500,0.0,1.0
2004-03-04,50.21,50.33,50.21,50.33,41.126137694,1100,0.0,1.0
2004-03-05,50.38,50.42,50.27,50.39,41.1751654758,7400,0.0,1.0
2004-03-08,50.39,50.39,50.39,50.39,41.1751654758,500,0.0,1.0
2004-03-09,49.8,49.8,49.37,49.37,40.341693184,200,0.0,1.0
2004-03-10,49.4,49.4,48.96,48.96,40.0066700079,9000,0.0,1.0
2004-03-11,48.74,48.85,48.55,48.55,39.6716468317,2900,0.0,1.0
2004-03-12,48.7,48.78,48.55,48.67,39.769702395500005,2400,0.0,1.0
2004-03-15,48.37,48.41,48.3,48.41,39.557248674,23000,0.0,1.0
2004-03-16,48.52,48.52,48.52,48.52,39.6471329408,100,0.0,1.0
2004-03-17,48.83,49.05,48.77,49.05,40.0802116807,4900,0.0,1.0
2004-03-18,48.61,48.86,48.53,48.86,39.9249570381,600,0.0,1.0
2004-03-19,48.67,48.67,48.36,48.36,39.516392189099996,600,0.0,1.0
2004-03-22,48.0,48.0,47.47,47.48,38.797318055,8700,0.0,1.0
2004-03-23,47.84,47.84,47.61,47.73,39.0016004795,500,0.0,1.0
2004-03-24,47.73,47.73,47.73,47.73,39.0016004795,0,0.0,1.0
2004-03-25,48.04,48.04,47.97,47.97,39.197711606999995,2000,0.0,1.0
2004-03-26,48.49,48.49,48.39,48.39,39.5409060801,1600,0.0,1.0
2004-03-29,48.63,49.08,48.63,49.08,40.1782672444,1600,0.09,1.0
2004-03-30,49.03,49.03,48.9,48.9,40.0309141861,22000,0.0,1.0
