date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-03-10,25.15,25.25,24.975,25.08,16.73716599,54100,0.0,1.0
2005-03-11,25.19,25.31425,25.045,25.05,16.7171454565,92200,0.0,1.0
2005-03-14,24.98,25.055,24.8,24.9,16.6170427891,56400,0.0,1.0
2005-03-15,24.625,24.68,24.35,24.36,16.2566731865,63900,0.0,1.0
2005-03-16,24.315,24.385,24.125,24.15,16.1165294521,98200,0.0,1.0
2005-03-17,24.125,24.46,24.12,24.345,16.2466629197,121900,0.0,1.0
2005-03-18,24.45,24.45,24.25,24.38,16.2700202088,37700,0.0,1.0
2005-03-21,24.155,24.155,23.96,24.075,16.0664781184,40500,0.0,1.0
2005-03-22,24.155,24.235,23.625,23.69,15.8095479387,34000,0.0,1.0
2005-03-23,23.54,23.64425,23.445,23.475,15.6660674488,27000,0.0,1.0
2005-03-24,23.405,23.55,23.395,23.4,15.6160161151,56800,0.0,1.0
2005-03-28,23.5,23.575,23.375,23.48,15.6694042044,33000,0.0,1.0
2005-03-29,23.25,23.305,22.91,22.97,15.3290551352,25700,0.0,1.0
2005-03-30,23.195,23.47,23.095,23.47,15.6627306932,88500,0.0,1.0
2005-03-31,23.76,23.805,23.5,23.6,15.7494863383,90400,0.0,1.0
2005-04-01,24.06,24.06,23.55,23.625,15.7661701162,71100,0.0,1.0
2005-04-04,23.775,23.78,23.59,23.755,15.8529257613,21900,0.0,1.0
2005-04-05,23.775,23.905,23.635,23.7,15.8162214499,35100,0.0,1.0
2005-04-06,23.915,24.04,23.875,23.92,15.9630386954,48000,0.0,1.0
2005-04-07,23.9,24.08,23.79,24.02,16.029773807,24300,0.0,1.0
2005-04-08,24.0,24.025,23.825,23.825,15.8996403394,31100,0.0,1.0
2005-04-11,24.0,24.0,23.875,23.915,15.9597019398,44500,0.0,1.0
2005-04-12,23.86,23.95,23.595,23.95,15.9830592289,126000,0.0,1.0
2005-04-13,23.97,24.0,23.71,23.755,15.8529257613,29400,0.0,1.0
2005-04-14,23.515,23.515,23.15,23.15,15.4491783361,48700,0.0,1.0
2005-04-15,23.075,23.075,22.635,22.76,15.1889114008,112300,0.0,1.0
2005-04-18,22.7,22.76,22.575,22.7,15.1488703339,43100,0.0,1.0
2005-04-19,23.0,23.165,23.0,23.155,15.4525150917,53600,0.0,1.0
2005-04-20,23.09,23.115,22.775,22.78925,15.208431421,30400,0.0,1.0
2005-04-21,23.125,23.275,23.0,23.275,15.5325972256,77100,0.0,1.0
2005-04-22,23.28,23.3,23.05,23.14,15.4425048249,17800,0.0,1.0
2005-04-25,23.175,23.355,23.095,23.355,15.5859853149,33900,0.0,1.0
2005-04-26,23.27,23.4,23.2,23.21,15.489219403,61900,0.0,1.0
2005-04-27,23.18,23.2,23.0,23.1,15.4158107803,38600,0.0,1.0
2005-04-28,23.04,23.04,22.625,22.625,15.0988190002,31200,0.0,1.0
2005-04-29,22.995,23.05,22.71,23.05,15.3824432245,20400,0.0,1.0
2005-05-02,23.1,23.16425,23.005,23.155,15.4525150917,30600,0.0,1.0
2005-05-03,23.0,23.14,22.995,22.995,15.3457389131,58800,0.0,1.0
2005-05-04,23.275,23.815,23.275,23.795,15.8796198059,311100,0.0,1.0
2005-05-05,23.87,24.005,23.645,23.81,15.8896300727,111000,0.0,1.0
2005-05-06,23.86,24.095,23.83,23.925,15.966375451,125500,0.0,1.0
2005-05-09,23.82,24.05,23.65,24.005,16.0197635403,124200,0.0,1.0
2005-05-10,23.715,23.8,23.5,23.51,15.6894247378,74000,0.0,1.0
2005-05-11,23.575,23.65,23.405,23.645,15.7795171385,20600,0.0,1.0
2005-05-12,23.6,23.68,23.155,23.225,15.4992296698,53000,0.0,1.0
2005-05-13,23.295,23.325,23.005,23.17,15.4625253584,41900,0.0,1.0
2005-05-16,23.145,23.38,23.09,23.325,15.5659647814,21300,0.0,1.0
2005-05-17,23.26,23.41,23.15,23.355,15.5859853149,69600,0.0,1.0
2005-05-18,23.46,24.03,23.46,23.925,15.966375451,259400,0.0,1.0
2005-05-19,23.855,23.905,23.735,23.825,15.8996403394,27200,0.0,1.0
2005-05-20,23.665,23.705,23.525,23.6,15.7494863383,35400,0.0,1.0
2005-05-23,23.56,23.685,23.46,23.625,15.7661701162,28000,0.0,1.0
2005-05-24,23.6,23.63,23.45,23.62,15.7628333606,24600,0.0,1.0
2005-05-25,23.625,23.625,23.38,23.53,15.7027717602,32100,0.0,1.0
2005-05-26,23.635,23.73,23.55075,23.625,15.7661701162,22800,0.0,1.0
2005-05-27,23.83,23.945,23.78,23.93,15.9697122066,34500,0.0,1.0
2005-05-31,23.875,23.88,23.65,23.72,15.8295684722,65100,0.0,1.0
2005-06-01,23.5,23.885,23.45,23.85,15.9163241173,97400,0.0,1.0
2005-06-02,23.92,24.06,23.865,24.06,16.0564678517,135700,0.0,1.0
2005-06-03,24.06,24.25,23.94,24.0,16.0164267847,23000,0.0,1.0
2005-06-06,24.15,24.23,24.04,24.21,16.1565705191,45900,0.0,1.0
2005-06-07,24.165,24.275,24.07,24.085,16.0731516296,114100,0.0,1.0
2005-06-08,24.17,24.205,23.975,23.98,16.0030797624,26000,0.0,1.0
2005-06-09,24.04,24.18,23.95,24.15,16.1165294521,40800,0.0,1.0
2005-06-10,24.315,24.325,24.05,24.165,16.1265397188,34800,0.0,1.0
2005-06-13,24.135,24.235,24.05,24.15075,16.1170299654,56300,0.0,1.0
2005-06-14,24.16,24.245,24.125,24.24,16.1765910525,22900,0.0,1.0
2005-06-15,24.485,24.585,24.335,24.585,16.4068271876,29600,0.0,1.0
2005-06-16,24.63,24.995,24.63,24.955,16.6537471005,44300,0.0,1.0
2005-06-17,24.94,25.045,24.85,25.035,16.7071351898,30700,0.0,1.0
2005-06-20,24.95,25.045,24.79575,24.95,16.6504103449,166500,0.0,1.0
2005-06-21,24.875,24.875,24.775,24.805,16.5536444331,60300,0.0,1.0
2005-06-22,25.04,25.04,24.89,25.005,16.6871146563,31900,0.0,1.0
2005-06-23,25.01,25.03,24.505,24.635,16.4401947434,64700,0.0,1.0
2005-06-24,24.685,24.72,24.5,24.5,16.3501023427,24500,0.0,1.0
2005-06-27,24.59,24.705,24.5,24.6,16.4168374543,62200,0.0,1.0
2005-06-28,24.69,24.845,24.64,24.8,16.5503076775,17800,0.0,1.0
2005-06-29,24.665,24.72,24.565,24.72,16.4969195882,68200,0.0,1.0
2005-06-30,24.745,24.75,24.5,24.54,16.3767963874,43800,0.0,1.0
2005-07-01,24.775,24.795,24.58,24.765,16.5269503885,11600,0.0,1.0
2005-07-05,24.45,24.805,24.31,24.805,16.5536444331,116700,0.0,1.0
2005-07-06,24.575,24.705,24.55,24.615,16.4268477211,87100,0.0,1.0
2005-07-07,24.39,24.61,24.255,24.6,16.4168374543,35800,0.0,1.0
2005-07-08,24.6,24.78,24.55,24.75,16.5169401217,17700,0.0,1.0
2005-07-11,24.9,25.24,24.9,25.15,16.7838805681,48100,0.0,1.0
2005-07-12,25.275,25.5,25.275,25.455,16.9874226585,28600,0.0,1.0
2005-07-13,25.435,25.475,25.375,25.45,16.9840859029,21100,0.0,1.0
