date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-01-30,409927.68,430120.96,408453.12,428236.8,428236.8,211200,0.0,1.0
2009-02-02,442777.6,442777.6,425738.24,427008.0,427008.0,307200,0.0,1.0
2009-02-03,426557.44,426557.44,406773.76,407019.52,407019.52,172800,0.0,1.0
2009-02-04,402432.0,411197.44,397312.0,408535.04,408535.04,153600,0.0,1.0
2009-02-05,416153.6,425123.84,402022.4,406036.48,406036.48,243200,0.0,1.0
2009-02-06,405504.0,405585.92,389365.76,400179.2,400179.2,147200,0.0,1.0
2009-02-09,402759.68,410910.72,400875.52,406855.68,406855.68,121600,0.0,1.0
2009-02-10,413696.0,432783.36,404602.88,428441.6,428441.6,256000,0.0,1.0
2009-02-11,426188.8,429383.68,418201.6,422174.72,422174.72,83200,0.0,1.0
2009-02-12,431104.0,442368.0,420904.96,420904.96,420904.96,96000,0.0,1.0
2009-02-13,422871.04,422871.04,413696.0,417751.04,417751.04,108800,0.0,1.0
2009-02-17,438272.0,453754.88,434176.0,438640.64,438640.64,83200,0.0,1.0
2009-02-18,430080.0,449249.28,430080.0,443269.12,443269.12,76800,0.0,1.0
2009-02-19,442490.88,446668.8,432087.04,443514.88,443514.88,44800,0.0,1.0
2009-02-20,458301.44,476774.4,456458.24,464158.72,464158.72,153600,0.0,1.0
2009-02-23,454656.0,489553.92,454656.0,488980.48,488980.48,89600,0.0,1.0
2009-02-24,491520.0,491520.0,441139.2,442695.68,442695.68,134400,0.0,1.0
2009-02-25,447569.92,463011.84,430653.44,440115.2,440115.2,160000,0.0,1.0
2009-02-26,434094.08,448143.36,421724.16,444497.92,444497.92,76800,0.0,1.0
2009-02-27,465756.16,465756.16,434012.16,445112.32,445112.32,108800,0.0,1.0
2009-03-02,454737.92,483409.92,454737.92,476733.44,476733.44,160000,0.0,1.0
2009-03-03,463052.8,485580.8,463052.8,474726.4,474726.4,147200,0.0,1.0
2009-03-04,470999.04,470999.04,429219.84,441589.76,441589.76,153600,0.0,1.0
2009-03-05,453017.6,470999.04,444456.96,468172.8,468172.8,185600,0.0,1.0
2009-03-06,470958.08,473538.56,453427.2,464404.48,464404.48,224000,0.0,1.0
2009-03-09,465100.8,468992.0,451624.96,466206.72,466206.72,128000,0.0,1.0
2009-03-10,462848.0,462848.0,428687.36,431472.64,431472.64,172800,0.0,1.0
2009-03-11,425984.0,434995.2,418447.36,428277.76,428277.76,332800,0.0,1.0
2009-03-12,427417.6,432947.2,417505.28,420823.04,420823.04,480000,0.0,1.0
2009-03-13,418611.2,432087.04,417669.12,427008.0,427008.0,505600,0.0,1.0
2009-03-16,425984.0,442449.92,424386.56,442040.32,442040.32,531200,0.0,1.0
2009-03-17,446382.08,447692.8,425861.12,426721.28,426721.28,537600,0.0,1.0
2009-03-18,430489.6,434626.56,418201.6,427786.24,427786.24,704000,0.0,1.0
2009-03-19,429670.4,447856.64,417792.0,447856.64,447856.64,576000,0.0,1.0
2009-03-20,444497.92,478658.56,444416.0,474972.5696,474972.5696,723200,0.0,1.0
2009-03-23,462848.0,470016.0,443637.76,444907.52,444907.52,672000,0.0,1.0
2009-03-24,448552.96,454389.3504,436346.88,452198.4,452198.4,524800,0.0,1.0
2009-03-25,442572.8,457277.44,430694.4,444989.44,444989.44,659200,0.0,1.0
2009-03-26,437002.24,437043.2,422625.28,427458.56,427458.56,595200,0.0,1.0
2009-03-27,427909.12,439951.36,427909.12,439541.76,439541.76,473600,0.0,1.0
2009-03-30,458752.0,476979.2,455311.36,472227.84,472227.84,768000,0.0,1.0
2009-03-31,468582.4,470957.6704,455884.8,463708.16,463708.16,595200,0.0,1.0
2009-04-01,479354.88,487383.04,453017.6,455352.32,455352.32,627200,0.0,1.0
2009-04-02,442368.0,454492.16,436183.04,447897.6,447897.6,787200,0.0,1.0
2009-04-03,467148.8,467148.8,437616.64,439992.32,439992.32,422400,0.0,1.0
2009-04-06,443965.44,449904.64,441753.6,442449.92,442449.92,550400,0.0,1.0
2009-04-07,446013.44,450560.0,438394.88,442408.96,442408.96,563200,0.0,1.0
2009-04-08,433192.96,443555.84,432537.6,433274.88,433274.88,454400,0.0,1.0
2009-04-09,421888.0,422912.0,412631.04,417218.56,417218.56,454400,0.0,1.0
2009-04-13,419921.92,423993.344,409436.16,411115.52,411115.52,300800,0.0,1.0
2009-04-14,416890.88,418324.48,409354.24,411402.24,411402.24,531200,0.0,1.0
2009-04-15,413777.92,413777.92,400834.56,401408.0,401408.0,332800,0.0,1.0
2009-04-16,397312.0,399482.88,383918.08,388751.36,388751.36,390400,0.0,1.0
2009-04-17,389079.04,395673.6,379125.76,379822.08,379822.08,499200,0.0,1.0
2009-04-20,387440.64,410091.52,384368.64,407920.64,407920.64,646400,0.0,1.0
2009-04-21,411279.36,413982.72,391618.56,393502.72,393502.72,294400,0.0,1.0
2009-04-22,398131.2,398131.2,378101.76,394321.92,394321.92,307200,0.0,1.0
2009-04-23,392847.36,399769.6,388546.56,392519.68,392519.68,332800,0.0,1.0
2009-04-24,390799.36,395550.72,386211.84,391618.56,391618.56,262400,0.0,1.0
2009-04-27,393175.04,404561.5104,392355.84,402718.72,402718.72,390400,0.0,1.0
2009-04-28,406814.72,408944.64,393052.16,397762.56,397762.56,332800,0.0,1.0
2009-04-29,396533.76,396533.76,373968.896,381009.92,381009.92,288000,0.0,1.0
2009-04-30,380231.68,386093.4656,369500.16,384040.96,384040.96,326400,0.0,1.0
2009-05-01,383221.76,388833.28,376012.8,379125.76,379125.76,134400,0.0,1.0
2009-05-04,372531.2,376668.16,357826.56,358932.48,358932.48,460800,0.0,1.0
2009-05-05,359874.56,366960.64,359874.56,362004.48,362004.48,326400,0.0,1.0
2009-05-06,359342.08,359342.08,347996.16,349552.64,349552.64,192000,0.0,1.0
2009-05-07,346112.0,358645.76,341893.12,354590.72,354590.72,262400,0.0,1.0
2009-05-08,353402.88,353402.88,333783.04,338534.4,338534.4,294400,0.0,1.0
2009-05-11,342630.4,350986.24,338083.84,341565.44,341565.44,275200,0.0,1.0
2009-05-12,339066.88,348979.2,337305.6,339804.16,339804.16,326400,0.0,1.0
2009-05-13,352419.84,353198.08,343162.88,350330.88,350330.88,332800,0.0,1.0
2009-05-14,357580.8,357580.8,333864.96,335544.32,335544.32,384000,0.0,1.0
2009-05-15,333824.0,345661.44,328744.96,341729.28,341729.28,204800,0.0,1.0
2009-05-18,341975.04,341975.04,317399.04,318996.48,318996.48,377600,0.0,1.0
2009-05-19,315064.32,321576.96,308101.12,312811.52,312811.52,243200,0.0,1.0
2009-05-20,310476.8,317521.92,294748.16,316948.48,316948.48,825600,0.0,1.0
2009-05-21,321495.04,341852.16,318095.36,334643.2,334643.2,1088000,0.0,1.0
2009-05-22,333619.2,343285.76,327761.92,343285.76,343285.76,428800,0.0,1.0
2009-05-26,343285.76,343285.76,313425.92,321986.56,321986.56,563200,0.0,1.0
2009-05-27,320512.0,332554.24,311910.4,331120.64,331120.64,467200,0.0,1.0
2009-05-28,329113.6,335421.44,320184.32,326369.28,326369.28,422400,0.0,1.0
2009-05-29,318791.68,327720.96,318382.08,319201.28,319201.28,217600,0.0,1.0
2009-06-01,314900.48,315105.28,299950.08,304742.4,304742.4,409600,0.0,1.0
2009-06-02,307036.16,312074.24,297861.12,308879.36,308879.36,300800,0.0,1.0
2009-06-03,312033.28,328867.84,310681.6,323788.8,323788.8,352000,0.0,1.0
2009-06-04,322437.12,324362.24,314531.84,317562.88,317562.88,262400,0.0,1.0
2009-06-05,317726.72,323993.6,310149.12,316825.6,316825.6,332800,0.0,1.0
2009-06-08,319651.84,327720.96,313384.96,318423.04,318423.04,230400,0.0,1.0
2009-06-09,317030.4,317030.4,302653.44,304168.96,304168.96,352000,0.0,1.0
2009-06-10,299909.12,317480.96,299089.92,307200.0,307200.0,428800,0.0,1.0
2009-06-11,305643.52,305643.52,292782.08,300277.76,300277.76,428800,0.0,1.0
2009-06-12,302735.36,303472.64,293969.92,294502.4,294502.4,281600,0.0,1.0
2009-06-15,298598.4,308224.0,297717.76,307568.64,307568.64,377600,0.0,1.0
2009-06-16,309329.92,322437.12,303800.32,318668.8,318668.8,588800,0.0,1.0
2009-06-17,319651.84,328785.92,317768.0896,323379.2,323379.2,492800,0.0,1.0
2009-06-18,322723.84,326409.8304,315146.24,320266.24,320266.24,416000,0.0,1.0
2009-06-19,320593.92,320593.92,309248.0,311377.92,311377.92,275200,0.0,1.0
2009-06-22,319365.12,327434.24,314286.08,323829.76,323829.76,377600,0.0,1.0
2009-06-23,323051.52,327229.0304,316088.32,316211.2,316211.2,499200,0.0,1.0
2009-06-24,316170.24,316170.24,302211.072,304824.7296,304824.7296,460800,0.0,1.0
2009-06-25,308756.48,308756.48,288727.04,290447.36,290447.36,691200,0.0,1.0
2009-06-26,293478.4,294584.32,283729.92,285900.8,285900.8,403200,0.0,1.0
2009-06-29,286474.24,287907.84,273531.2896,274268.16,274268.16,640000,0.0,1.0
2009-06-30,274391.04,282746.88,269803.52,278978.56,278978.56,921600,0.0,1.0
2009-07-01,275865.6,278200.32,270663.68,277872.64,277872.64,588800,0.0,1.0
2009-07-02,282091.52,293601.28,281763.84,293191.68,293191.68,1030400,0.0,1.0
2009-07-06,296837.12,299335.68,289095.68,289464.32,289464.32,403200,0.0,1.0
2009-07-07,293314.56,300851.2,290037.76,298352.64,298352.64,320000,0.0,1.0
2009-07-08,301015.04,316620.8,296878.08,304742.4,304742.4,716800,0.0,1.0
2009-07-09,301056.0,303841.28,294502.4,299745.28,299745.28,505600,0.0,1.0
2009-07-10,301424.64,306094.08,298434.56,299622.4,299622.4,390400,0.0,1.0
2009-07-13,300974.08,301957.12,286310.4,289587.2,289587.2,825600,0.0,1.0
2009-07-14,287703.04,289955.84,281313.28,283197.44,283197.44,627200,0.0,1.0
2009-07-15,277463.04,279470.08,270295.04,276193.28,276193.28,1536000,0.0,1.0
2009-07-16,277995.52,278077.44,270008.32,271605.76,271605.76,1120000,0.0,1.0
2009-07-17,272384.0,273162.24,269312.0,271687.68,271687.68,627200,0.0,1.0
2009-07-20,270295.04,272711.68,265338.88,266403.84,266403.84,870400,0.0,1.0
2009-07-21,264151.04,267755.52,261693.44,262553.6,262553.6,960000,0.0,1.0
2009-07-22,265379.84,266362.88,248995.84,251412.48,251412.48,1792000,0.0,1.0
2009-07-23,252477.44,252887.04,243015.68,244203.52,244203.52,1536000,0.0,1.0
2009-07-24,245841.92,247357.44,243015.68,243179.52,243179.52,608000,0.0,1.0
2009-07-27,246702.08,248545.28,243138.56,245760.0,245760.0,736000,0.0,1.0
2009-07-28,249815.04,257924.7104,245841.92,256204.8,256204.8,1312000,0.0,1.0
2009-07-29,257310.72,261857.28,254156.8,258949.12,258949.12,588800,0.0,1.0
2009-07-30,254730.24,255385.6,248954.88,252313.6,252313.6,544000,0.0,1.0
2009-07-31,253460.48,254361.6,248872.96,253829.12,253829.12,486400,0.0,1.0
2009-08-03,251248.64,253050.88,247685.12,249323.52,249323.52,640000,0.0,1.0
2009-08-04,251207.68,252272.64,245841.92,246579.2,246579.2,608000,0.0,1.0
2009-08-05,247889.92,250388.48,244981.76,245555.2,245555.2,729600,0.0,1.0
2009-08-06,245719.04,250634.24,241991.68,248791.04,248791.04,787200,0.0,1.0
2009-08-07,245923.84,248832.0,235560.96,238673.92,238673.92,704000,0.0,1.0
2009-08-10,240844.8,244326.4,238673.92,239001.6,239001.6,492800,0.0,1.0
2009-08-11,241582.08,251985.92,241172.48,245760.0,245760.0,844800,0.0,1.0
2009-08-12,246333.44,247070.72,237772.8,240066.56,240066.56,646400,0.0,1.0
2009-08-13,240189.44,243630.08,234045.44,234536.96,234536.96,883200,0.0,1.0
2009-08-14,235438.08,243875.4304,235438.08,241131.52,241131.52,588800,0.0,1.0
2009-08-17,247644.16,255303.68,247316.48,254238.72,254238.72,1056000,0.0,1.0
2009-08-18,253460.48,254525.44,247562.6496,249241.6,249241.6,704000,0.0,1.0
2009-08-19,252682.24,253870.08,238878.72,241213.44,241213.44,1081600,0.0,1.0
2009-08-20,240394.24,241172.48,235397.12,236707.84,236707.84,531200,0.0,1.0
2009-08-21,234496.0,234823.68,231219.2,232407.04,232407.04,1177600,0.0,1.0
2009-08-24,231669.76,234455.04,229662.72,233308.16,233308.16,704000,0.0,1.0
2009-08-25,232857.6,240107.52,230809.6,238632.96,238632.96,940800,0.0,1.0
2009-08-26,237568.0,241950.72,236396.544,241459.2,241459.2,1145600,0.0,1.0
2009-08-27,241500.16,244736.0,235110.4,235560.96,235560.96,896000,0.0,1.0
2009-08-28,232448.0,239779.84,232087.9616,239656.96,239656.96,736000,0.0,1.0
2009-08-31,242032.64,245637.12,241664.0,242360.32,242360.32,582400,0.0,1.0
2009-09-01,244817.92,255877.12,239339.1104,255426.56,255426.56,1433600,0.0,1.0
2009-09-02,256163.84,256983.04,252928.0,256778.24,256778.24,780800,0.0,1.0
2009-09-03,256081.92,256450.56,243875.84,244572.16,244572.16,908800,0.0,1.0
2009-09-04,245923.84,246169.6,237568.0,237609.3696,237609.3696,972800,0.0,1.0
2009-09-08,235560.96,235683.84,229376.0,229662.72,229662.72,1299200,0.0,1.0
2009-09-09,229335.04,230195.2,222003.2,222248.96,222248.96,1299200,0.0,1.0
2009-09-10,221880.32,223313.92,213032.96,213442.56,213442.56,1747200,0.0,1.0
2009-09-11,212664.32,217415.68,209551.36,216227.84,216227.84,1715200,0.0,1.0
2009-09-14,217088.0,219627.52,209674.24,210083.84,210083.84,1030400,0.0,1.0
2009-09-15,210329.6,212787.2,207994.88,208896.0,208896.0,1152000,0.0,1.0
2009-09-16,208896.0,209633.28,201154.56,202833.92,202833.92,1792000,0.0,1.0
2009-09-17,202260.48,205864.96,200294.4,203816.96,203816.96,1862400,0.0,1.0
