date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,25.31,25.38,24.69,25.0,18.8222791044,294800,0.0,1.0
1999-11-02,25.25,25.88,25.06,25.88,19.4848233289,313700,0.0,1.0
1999-11-03,25.88,25.88,25.38,25.62,19.2890716262,520900,0.0,1.0
1999-11-04,24.38,25.75,24.0,25.56,19.2438981564,471500,0.0,1.0
1999-11-05,25.81,25.94,24.94,25.0,18.8222791044,497200,0.0,1.0
1999-11-08,25.12,25.12,24.5,24.69,18.5888828435,305500,0.0,1.0
1999-11-09,24.94,24.94,24.56,24.62,18.536180462,345200,0.0,1.0
1999-11-10,24.38,24.62,24.12,24.38,18.3554865826,244200,0.0,1.0
1999-11-11,24.38,24.69,24.25,24.25,18.2576107313,185500,0.0,1.0
1999-11-12,24.31,24.56,24.12,24.44,18.4006600525,167100,0.0,1.0
1999-11-15,24.19,25.12,24.12,24.94,18.9653284256,485500,0.25,1.0
1999-11-16,24.94,25.0,24.25,24.38,18.5394830399,538500,0.0,1.0
1999-11-17,24.12,25.12,24.06,24.62,18.7219882052,843200,0.0,1.0
1999-11-18,24.81,25.5,24.69,25.0,19.0109547169,1100100,0.0,1.0
1999-11-19,25.19,25.19,24.38,24.81,18.8664714611,721400,0.0,1.0
1999-11-22,24.62,25.19,24.56,25.0,19.0109547169,773400,0.0,1.0
1999-11-23,25.12,25.25,24.69,24.94,18.9653284256,611900,0.0,1.0
1999-11-24,25.12,25.12,24.62,24.75,18.8208451698,528100,0.0,1.0
1999-11-26,24.5,24.75,24.38,24.62,18.7219882052,195000,0.0,1.0
1999-11-29,24.69,24.75,24.56,24.69,18.7752188784,610000,0.0,1.0
1999-11-30,24.75,25.69,24.56,25.31,19.2466905554,931100,0.0,1.0
1999-12-01,25.06,25.44,24.62,25.25,19.2010642641,542600,0.0,1.0
1999-12-02,25.25,27.56,25.25,27.44,20.8664238973,1541600,0.0,1.0
1999-12-03,27.69,29.38,27.69,29.25,22.2428170188,2188200,0.0,1.0
1999-12-06,29.25,29.25,27.31,27.44,20.8664238973,1421200,0.0,1.0
1999-12-07,27.75,28.12,27.0,27.69,21.0565334445,1681900,0.0,1.0
1999-12-08,27.75,29.0,27.0,28.12,21.3835218656,840500,0.0,1.0
1999-12-09,28.25,28.88,28.0,28.25,21.4823788301,564100,0.0,1.0
1999-12-10,28.5,29.94,28.44,29.5,22.432926566,862900,0.0,1.0
1999-12-13,30.0,30.75,29.88,30.12,22.904398243,1144800,0.0,1.0
1999-12-14,29.88,30.56,29.81,30.06,22.8587719516,626400,0.0,1.0
1999-12-15,29.81,30.56,29.81,30.33,23.0640902626,798100,0.0,1.0
1999-12-16,30.25,30.5,29.12,29.81,22.6686624045,691400,0.0,1.0
1999-12-17,29.81,31.12,29.12,30.69,23.3378480105,1214600,0.0,1.0
1999-12-20,30.31,30.38,29.38,29.69,22.5774098218,1160100,0.0,1.0
1999-12-21,29.44,30.62,29.38,30.44,23.1477384633,1034100,0.0,1.0
1999-12-22,30.38,30.62,30.0,30.38,23.102112172,888400,0.0,1.0
1999-12-23,30.31,31.25,30.31,31.06,23.6192101403,519500,0.0,1.0
1999-12-27,30.88,31.62,30.75,31.5,23.9538029433,491200,0.0,1.0
1999-12-28,31.25,31.94,31.25,31.81,24.1895387818,528500,0.0,1.0
1999-12-29,31.81,32.44,31.5,31.94,24.2883957463,736800,0.0,1.0
1999-12-30,31.94,32.12,31.75,32.0,24.3340220377,343500,0.0,1.0
