date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,24.41,24.44,24.0,24.03,14.5664152079,4500,0.0,1.0
1999-11-02,24.0,24.33,24.0,24.25,14.6997739822,21200,0.0,1.0
1999-11-03,24.38,24.38,24.22,24.22,14.6815886948,8600,0.0,1.0
1999-11-04,24.66,24.67,24.42,24.53,14.869503331199999,14800,0.0,1.0
1999-11-05,24.78,24.81,24.48,24.48,14.839194518900001,75900,0.0,1.0
1999-11-08,24.39,24.39,24.0,24.25,14.6997739822,161800,0.0,1.0
1999-11-09,24.3,24.63,24.3,24.34,14.7543298444,18900,0.0,1.0
1999-11-10,24.3,24.59,24.22,24.41,14.7967621816,17600,0.0,1.0
1999-11-11,24.58,24.66,24.16,24.27,14.7118975071,15600,0.0,1.0
1999-11-12,24.41,24.5,24.22,24.34,14.7543298444,51600,0.0,1.0
1999-11-15,24.27,25.0,24.23,24.97,15.1362208798,84400,0.0,1.0
1999-11-16,25.0,25.08,24.83,25.06,15.190776742,125900,0.0,1.0
1999-11-17,25.0,25.11,24.88,24.97,15.1362208798,15000,0.0,1.0
1999-11-18,24.73,25.02,24.63,24.81,15.0392326803,8300,0.0,1.0
1999-11-19,24.56,24.8,24.56,24.7,14.972553293199999,61600,0.0,1.0
1999-11-22,24.5,24.55,24.28,24.42,14.8028239441,9700,0.0,1.0
1999-11-23,24.2,24.45,24.13,24.2,14.6694651698,130200,0.0,1.0
1999-11-24,24.08,24.38,24.08,24.23,14.6876504572,13500,0.0,1.0
1999-11-26,24.2,24.36,24.16,24.17,14.6512798824,7900,0.0,1.0
1999-11-29,24.0,24.0,23.59,23.63,14.323944709200001,33500,0.0,1.0
1999-11-30,23.92,24.17,23.8,23.92,14.4997358208,7100,0.0,1.0
1999-12-01,24.03,24.03,23.83,23.98,14.5361063956,47300,0.0,1.0
1999-12-02,24.03,24.56,23.88,24.48,14.839194518900001,18700,0.0,1.0
1999-12-03,24.47,24.88,24.47,24.64,14.9361827184,96600,0.0,1.0
1999-12-06,24.58,24.98,24.58,24.66,14.9483062433,68700,0.0,1.0
1999-12-07,24.63,24.8,24.38,24.38,14.7785768942,85600,0.0,1.0
1999-12-08,24.45,24.66,24.38,24.58,14.899812143599998,58400,0.0,1.0
1999-12-09,24.34,24.58,24.25,24.48,14.839194518900001,14500,0.0,1.0
1999-12-10,24.7,24.98,24.38,24.78,15.0210473929,10200,0.0,1.0
1999-12-13,24.58,24.91,24.58,24.81,15.0392326803,15900,0.0,1.0
1999-12-14,24.72,25.36,24.64,25.06,15.190776742,120200,0.0,1.0
1999-12-15,25.27,25.83,25.27,25.77,15.6211618771,120000,0.0,1.0
1999-12-16,25.78,25.78,25.17,25.31,15.342320803699998,17500,0.0,1.0
1999-12-17,25.88,26.31,25.69,26.2,15.9823283528,325800,0.1658,1.0
1999-12-20,25.98,25.98,24.88,25.02,15.2625135644,384600,0.0,1.0
1999-12-21,25.06,25.13,24.86,25.0,15.250313313800001,507400,0.0,1.0
1999-12-22,25.0,25.06,24.8,25.03,15.2686136898,395500,0.0,1.0
1999-12-23,24.95,25.44,24.95,25.39,15.4882182015,483800,0.0,1.0
1999-12-27,25.7,25.75,25.41,25.5,15.555319580099999,673200,0.0,1.0
1999-12-28,25.34,26.09,25.34,26.02,15.872526097,172100,0.0,1.0
1999-12-29,25.98,26.67,25.98,26.53,16.1836324886,348700,0.0,1.0
1999-12-30,26.53,26.53,26.08,26.08,15.909126848900002,43800,0.0,1.0
1999-12-31,26.0,26.67,26.0,26.58,16.2141331152,123600,0.0,1.0
2000-01-03,26.67,26.69,25.94,25.97,15.8420254704,140500,0.0,1.0
