date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-06-19,49.7,50.06,49.58,49.96,48.6381506694,16588,0.0,1.0
2018-06-20,50.45,50.889,50.45,50.58,49.2417466145,189989,0.0,1.0
2018-06-21,50.77,50.85,50.2,50.27,48.939948642,428740,0.0,1.0
2018-06-22,50.59,50.61,50.19,50.49,49.1541278483,181638,0.0,1.0
2018-06-25,50.23,50.23,49.015,49.45,48.1416443275,2509603,0.0,1.0
2018-06-26,49.72,49.78,49.35,49.532,48.221474759,104005,0.0,1.0
2018-06-27,49.82,50.0,49.1,49.1,47.8009046811,144883,0.0,1.0
2018-06-28,49.1,49.79,48.97,49.59,48.2779401861,336481,0.0,1.0
2018-06-29,49.8,49.84,49.42,49.53,48.2195276753,152346,0.0,1.0
2018-07-02,49.11,49.84,48.94,49.84,48.5213256478,321297,0.0,1.0
2018-07-03,50.0,50.0,49.189,49.23,47.9274651212,97459,0.0,1.0
2018-07-05,49.59,50.0,49.33,49.9799,48.6575241522,324879,0.0,1.0
2018-07-06,50.14,50.816,49.93,50.77,49.4267195654,199770,0.0,1.0
2018-07-09,51.2,51.2,50.65,51.06,49.709046701,118112,0.0,1.0
2018-07-10,51.21,51.21,50.87,51.039,49.6886023222,1153296,0.0,1.0
2018-07-11,50.7,51.23,50.65,50.97,49.6214279348,227517,0.0,1.0
2018-07-12,51.3,51.77,51.14,51.77,50.4002614123,361366,0.0,1.0
2018-07-13,51.78,51.8,51.449,51.69,50.3223780645,80077,0.0,1.0
2018-07-16,51.78,51.78,51.45,51.54,50.1763467875,200891,0.0,1.0
2018-07-17,50.81,51.68,50.72,51.55,50.1860822059,172559,0.0,1.0
2018-07-18,51.59,51.6,51.23,51.4,50.0400509289,147833,0.0,1.0
2018-07-19,51.43,51.47,51.006,51.04,49.689575864,258442,0.0,1.0
2018-07-20,51.05,51.186,50.84,50.87,49.5240737501,158390,0.0,1.0
2018-07-23,50.93,51.1,50.65,51.08,49.7285175379,94753,0.0,1.0
2018-07-24,52.11,52.11,51.16,51.44,50.0789926028,211201,0.0,1.0
2018-07-25,51.53,51.875,51.38,51.81,50.4392030861,612027,0.0,1.0
2018-07-26,49.75,50.02,49.57,49.856,48.5369023174,833638,0.0,1.0
2018-07-27,49.77,49.83,48.638,48.91,47.6159317302,1111208,0.0,1.0
2018-07-30,49.02,49.02,47.869,48.14,46.8663045081,251253,0.0,1.0
2018-07-31,48.37,48.77,48.14,48.46,47.1778378991,1211405,0.0,1.0
2018-08-01,48.56,48.779,48.119,48.26,46.9831295298,1250389,0.0,1.0
2018-08-02,48.09,48.66,47.9,48.58,47.2946629208,190710,0.0,1.0
2018-08-03,48.09,48.93,48.09,48.91,47.6159317302,117156,0.0,1.0
2018-08-06,48.91,49.41,48.82,49.4,48.0929672352,110254,0.0,1.0
2018-08-07,49.68,49.799,49.42,49.46,48.151379746,128846,0.0,1.0
2018-08-08,49.55,49.6,49.358,49.42,48.1124380721,114201,0.0,1.0
2018-08-09,49.46,49.885,49.46,49.69,48.3752943708,306361,0.0,1.0
2018-08-10,49.53,49.53,49.15,49.27,47.9664067951,177577,0.0,1.0
2018-08-13,49.33,49.61,49.17,49.2,47.8982588658,261036,0.0,1.0
2018-08-14,49.44,49.63,49.11,49.55,48.2389985122,189801,0.0,1.0
2018-08-15,49.24,49.3,48.49,48.86,47.5672546379,555147,0.0,1.0
2018-08-16,49.19,49.235,48.76,48.84,47.5477838009,177579,0.0,1.0
2018-08-17,48.66,48.81,48.4,48.61,47.3238691762,226924,0.0,1.0
2018-08-20,48.85,48.85,48.371,48.69,47.4017525239,145778,0.0,1.0
2018-08-21,48.95,49.23,48.81,48.99,47.693815078,384889,0.0,1.0
2018-08-22,48.85,49.03,48.75,48.93,47.6354025672,501855,0.0,1.0
2018-08-23,48.88,49.17,48.72,48.73,47.4406941978,283725,0.0,1.0
2018-08-24,48.96,49.44,48.88,49.44,48.1319089091,330882,0.0,1.0
2018-08-27,49.75,50.019,49.661,49.92,48.5992089956,299237,0.0,1.0
2018-08-28,50.06,50.06,49.631,49.7,48.3850297892,150238,0.0,1.0
2018-08-29,49.83,50.02,49.67,49.98,48.6576215064,270866,0.0,1.0
2018-08-30,49.81,50.035,49.48,49.67,48.3558235338,344409,0.0,1.0
2018-08-31,49.62,49.62,49.042,49.18,47.8787880289,234969,0.0,1.0
2018-09-04,49.05,49.05,48.4,48.57,47.2849275023,343694,0.0,1.0
2018-09-05,48.52,48.52,47.76,47.94,46.6715961388,773599,0.0,1.0
2018-09-06,47.91,47.98,47.17,47.58,46.3211210739,599592,0.0,1.0
2018-09-07,47.28,47.95,47.23,47.68,46.4184752586,755726,0.0,1.0
2018-09-10,47.98,47.98,47.559,47.78,46.5158294433,310874,0.0,1.0
2018-09-11,47.72,48.36,47.66,48.26,46.9831295298,615753,0.0,1.0
2018-09-12,48.13,48.25,47.85,48.12,46.8468336712,713288,0.0,1.0
2018-09-13,48.31,48.52,48.21,48.46,47.1778378991,754494,0.0,1.0
2018-09-14,48.64,48.64,48.25,48.37,47.0902191329,1190839,0.0,1.0
2018-09-17,48.42,48.42,47.86,47.9,46.6326544649,810780,0.0,1.0
2018-09-18,47.95,48.41,47.9,48.24,46.9636586928,430348,0.0,1.0
2018-09-19,48.29,48.42,47.99,48.37,47.0902191329,2385315,0.0,1.0
2018-09-20,48.77,48.95,48.52,48.9,47.6061963118,4554248,0.0,1.0
2018-09-21,49.02,49.04,48.42,48.55,47.3936721266,7974618,0.1317,1.0
2018-09-24,48.21,48.62,48.01,48.55,47.3936721266,6769350,0.0,1.0
2018-09-25,48.54,48.65,48.25,48.57,47.4131957814,3994751,0.0,1.0
2018-09-26,48.65,49.25,48.6,48.76,47.5986705024,5688601,0.0,1.0
2018-09-27,49.06,49.53,48.89,49.18,48.0086672541,3649353,0.0,1.0
2018-09-28,49.07,49.12,48.798,49.0,47.8329543605,2306627,0.0,1.0
2018-10-01,49.17,49.22,48.57,48.8,47.6377178121,7636941,0.0,1.0
2018-10-02,48.77,48.963,48.58,48.76,47.5986705024,5823514,0.0,1.0
2018-10-03,49.03,49.19,48.85,48.98,47.8134307057,5146373,0.0,1.0
2018-10-04,48.93,48.93,47.87,48.28,47.1301027862,5292234,0.0,1.0
2018-10-05,48.35,48.53,47.48,47.82,46.6810587249,2648640,0.0,1.0
2018-10-08,47.6,47.83,47.01,47.66,46.5248694862,2170015,0.0,1.0
2018-10-09,47.66,48.12,47.57,47.63,46.4955840039,1991429,0.0,1.0
