date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,27.06,27.19,26.94,27.02,16.3806681159,230400,0.0,1.0
1999-11-02,26.81,27.0,26.72,26.77,16.2291075301,44000,0.0,1.0
1999-11-03,26.77,26.78,26.5,26.63,16.144233602,320200,0.0,1.0
1999-11-04,26.59,26.73,26.08,26.2,15.883549394400001,24100,0.0,1.0
1999-11-05,26.28,26.34,25.38,25.56,15.4955542947,116000,0.0,1.0
1999-11-08,25.78,26.55,25.78,26.53,16.0836093677,46700,0.0,1.0
1999-11-09,27.0,27.11,26.86,27.09,16.4231050799,115300,0.0,1.0
1999-11-10,27.34,27.7,27.34,27.69,16.7868504859,258700,0.0,1.0
1999-11-11,27.72,27.72,27.52,27.69,16.7868504859,217600,0.0,1.0
1999-11-12,27.31,28.0,27.31,27.88,16.9020365311,137100,0.0,1.0
1999-11-15,27.98,28.06,27.88,28.03,16.9929728826,26700,0.0,1.0
1999-11-16,28.31,28.5,28.16,28.5,17.277906784000002,78100,0.0,1.0
1999-11-17,28.59,29.19,28.59,29.0,17.5810279556,56900,0.0,1.0
1999-11-18,29.13,29.16,28.77,29.0,17.5810279556,66500,0.0,1.0
1999-11-19,28.66,28.75,28.34,28.34,17.180908009,179400,0.0,1.0
1999-11-22,28.48,28.56,27.89,27.89,16.9080989545,359900,0.0,1.0
1999-11-23,28.0,28.03,27.25,27.31,16.5564783954,359300,0.0,1.0
1999-11-24,27.28,27.66,27.22,27.66,16.7686632156,23500,0.0,1.0
1999-11-26,27.44,27.56,27.25,27.25,16.5201038548,7400,0.0,1.0
1999-11-29,27.11,27.13,26.95,27.03,16.3867305393,29500,0.0,1.0
1999-11-30,27.02,27.25,26.92,26.98,16.3564184221,14300,0.0,1.0
1999-12-01,26.94,27.52,26.94,27.52,16.6837892875,21700,0.0,1.0
1999-12-02,27.5,27.5,27.13,27.25,16.5201038548,53800,0.0,1.0
1999-12-03,27.25,27.52,27.09,27.13,16.447354773599997,248500,0.0,1.0
1999-12-06,27.19,27.31,26.94,27.11,16.4352299268,148600,0.0,1.0
1999-12-07,26.94,27.06,26.59,26.59,16.1199839083,126000,0.0,1.0
1999-12-08,26.34,26.88,26.16,26.88,16.2957941878,67900,0.0,1.0
1999-12-09,27.03,27.19,26.78,27.09,16.4231050799,49100,0.0,1.0
1999-12-10,27.0,27.0,26.31,26.31,15.950236052100001,49000,0.0,1.0
1999-12-13,26.31,26.75,26.19,26.47,16.0472348271,44900,0.0,1.0
1999-12-14,26.28,26.63,26.22,26.41,16.0108602865,507300,0.0,1.0
1999-12-15,26.66,27.25,26.66,26.94,16.3321687284,218100,0.0,1.0
1999-12-16,27.03,27.38,27.02,27.2,16.4897917377,62100,0.0,1.0
1999-12-17,27.19,27.25,26.75,27.0,16.4171335928,955900,0.0801,1.0
1999-12-20,26.88,27.03,26.38,26.41,16.0583888217,781300,0.0,1.0
1999-12-21,26.56,26.81,26.47,26.48,16.1009517607,725800,0.0,1.0
1999-12-22,26.41,26.56,26.31,26.34,16.015825882799998,605300,0.0,1.0
1999-12-23,26.53,27.09,26.53,27.09,16.4718573715,144400,0.0,1.0
1999-12-27,27.25,28.0,26.91,26.91,16.3624098142,1251200,0.0,1.0
1999-12-28,26.72,27.19,26.72,26.94,16.380651073699998,56100,0.0,1.0
1999-12-29,27.03,27.41,26.92,27.22,16.5509028295,47400,0.0,1.0
1999-12-30,27.06,27.13,26.88,27.0,16.4171335928,58200,0.0,1.0
1999-12-31,27.0,27.25,26.81,27.09,16.4718573715,34800,0.0,1.0
2000-01-03,27.31,27.31,26.38,26.56,16.1495951195,380300,0.0,1.0
2000-01-04,26.31,26.31,25.88,26.06,15.845574127,722200,0.0,1.0
2000-01-05,26.13,26.75,26.0,26.44,16.0766300813,337800,0.0,1.0
2000-01-06,26.75,27.84,26.75,27.78,16.891406341099998,133100,0.0,1.0
2000-01-07,27.69,28.41,27.69,28.08,17.0738189365,468000,0.0,1.0
2000-01-10,28.08,28.08,27.63,27.84,16.9278888602,122100,0.0,1.0
2000-01-11,27.84,28.06,27.56,27.88,16.9522105396,144800,0.0,1.0
2000-01-12,27.84,27.84,27.56,27.75,16.8731650815,57300,0.0,1.0
2000-01-13,27.94,28.31,27.72,28.23,17.1650252343,149200,0.0,1.0
2000-01-14,28.09,28.09,27.69,28.06,17.061658096800002,35700,0.0,1.0
2000-01-18,27.88,28.56,27.88,28.41,17.2744727916,110500,0.0,1.0
2000-01-19,28.31,28.63,28.28,28.31,17.2136685931,190300,0.0,1.0
2000-01-20,28.41,28.41,27.94,28.31,17.2136685931,344300,0.0,1.0
2000-01-21,28.94,29.23,28.78,29.09,17.6879413413,483300,0.0,1.0
2000-01-24,29.28,29.38,28.03,28.06,17.061658096800002,296500,0.0,1.0
2000-01-25,28.13,29.47,27.81,28.0,17.0251755778,57800,0.0,1.0
2000-01-26,27.81,28.28,27.56,27.56,16.7576371044,46900,0.0,1.0
2000-01-27,27.66,27.88,26.64,27.0,16.4171335928,1688800,0.0,1.0
2000-01-28,26.94,26.97,26.5,26.69,16.2286405775,33100,0.0,1.0
2000-01-31,26.19,27.31,26.13,27.31,16.605626608199998,101600,0.0,1.0
2000-02-01,27.31,27.31,27.0,27.25,16.5691440891,114200,0.0,1.0
2000-02-02,27.31,27.61,27.25,27.42,16.6725112265,29400,0.0,1.0
2000-02-03,27.38,27.38,26.72,27.09,16.4718573715,96800,0.0,1.0
2000-02-04,26.84,27.0,26.16,26.31,15.9975846232,65600,0.0,1.0
2000-02-07,26.31,26.72,26.31,26.61,16.1799972187,55300,0.0,1.0
2000-02-08,26.75,27.06,26.38,26.38,16.0401475622,99400,0.0,1.0
2000-02-09,26.13,26.13,25.5,25.5,15.5050706155,86200,0.0,1.0
2000-02-10,25.75,26.44,25.72,26.03,15.8273328675,615000,0.0,1.0
2000-02-11,26.28,26.44,25.31,25.72,15.6388398521,207800,0.0,1.0
2000-02-14,25.88,26.25,25.59,26.13,15.888137065999999,523000,0.0,1.0
2000-02-15,26.63,27.22,26.44,27.22,16.5509028295,300700,0.0,1.0
2000-02-16,27.16,27.5,27.16,27.34,16.6238678677,123900,0.0,1.0
2000-02-17,27.41,27.48,26.94,27.31,16.605626608199998,88000,0.0,1.0
2000-02-18,27.19,27.19,26.45,26.52,16.1252734401,141700,0.0,1.0
2000-02-22,26.63,26.63,26.0,26.28,15.979343363699998,74600,0.0,1.0
2000-02-23,26.06,26.06,25.41,25.59,15.5597943941,76200,0.0,1.0
2000-02-24,25.25,25.44,24.94,25.31,15.3895426383,316000,0.0,1.0
2000-02-25,25.16,25.53,24.69,24.81,15.085521645899998,662800,0.0,1.0
2000-02-28,25.06,25.84,24.63,25.56,15.5415531345,456100,0.0,1.0
2000-02-29,25.63,26.34,25.63,26.16,15.906378325499999,80300,0.0,1.0
2000-03-01,26.02,26.91,25.94,26.81,16.301605615699998,880600,0.0,1.0
2000-03-02,26.89,27.41,26.88,27.31,16.605626608199998,392700,0.0,1.0
2000-03-03,27.25,27.25,26.59,26.88,16.3441685546,611700,0.0,1.0
2000-03-06,26.69,27.0,26.53,26.72,16.246881837100002,279800,0.0,1.0
2000-03-07,26.66,28.56,26.66,28.56,17.365679089300002,499500,0.0,1.0
2000-03-08,27.75,28.84,27.75,28.09,17.079899356400002,1089400,0.0,1.0
2000-03-09,27.69,28.16,27.38,28.13,17.1042210358,358400,0.0,1.0
2000-03-10,28.0,28.69,27.72,27.75,16.8731650815,663100,0.0,1.0
2000-03-13,27.75,28.22,27.22,27.34,16.6238678677,350600,0.0,1.0
2000-03-14,27.19,27.72,27.11,27.69,16.8366825624,360400,0.0,1.0
2000-03-15,27.39,27.75,27.16,27.56,16.7576371044,419500,0.0,1.0
