date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,25.5,25.67,25.19,25.25,13.164280444,374100,0.0,1.0
1999-11-02,25.19,25.75,25.14,25.22,13.1486397147,428500,0.0,1.0
1999-11-03,25.25,25.41,25.03,25.11,13.0912903742,52000,0.0,1.0
1999-11-04,25.56,25.7,25.33,25.41,13.2476976666,549200,0.0,1.0
1999-11-05,26.09,26.38,25.91,26.03,13.5709394042,332600,0.0,1.0
1999-11-08,25.97,26.0,25.75,25.89,13.4979493344,583300,0.0,1.0
1999-11-09,26.0,26.0,25.25,25.39,13.2372705138,111900,0.0,1.0
1999-11-10,25.08,25.33,24.95,25.0,13.0339410336,90100,0.0,1.0
1999-11-11,24.78,24.97,24.64,24.86,12.9609509638,173900,0.0,1.0
1999-11-12,25.41,25.97,24.72,25.94,13.5240172165,520600,0.0,1.0
1999-11-15,25.88,26.0,25.73,25.92,13.5135900637,146200,0.0,1.0
1999-11-16,26.11,26.78,26.08,26.63,13.883753989,513900,0.0,1.0
1999-11-17,26.44,26.52,25.94,26.06,13.5865801335,343500,0.0,1.0
1999-11-18,26.2,26.2,25.66,25.98,13.5448715222,160500,0.0,1.0
1999-11-19,25.98,26.0,25.56,25.59,13.341542042,195000,0.0,1.0
1999-11-22,25.5,25.5,25.28,25.5,13.2946198543,176000,0.0,1.0
1999-11-23,25.31,25.31,24.81,25.09,13.0808632214,172200,0.0,1.0
1999-11-24,24.81,24.88,24.64,24.8,12.9296695054,103800,0.0,1.0
1999-11-26,24.97,24.97,24.63,24.63,12.8410387063,73800,0.0,1.0
1999-11-29,24.28,24.31,24.03,24.03,12.5282241215,777200,0.0,1.0
1999-11-30,24.03,24.75,24.03,24.44,12.7419807545,115300,0.0,1.0
1999-12-01,24.19,24.56,24.19,24.25,12.6429228026,515800,0.0,1.0
1999-12-02,24.48,24.56,24.13,24.36,12.7002721432,99300,0.0,1.0
1999-12-03,25.03,25.41,24.94,24.94,13.0026595752,1195300,0.0,1.0
1999-12-06,24.81,24.81,24.16,24.27,12.6533499555,230500,0.0,1.0
1999-12-07,24.19,24.22,23.94,24.22,12.6272820734,1032400,0.0,1.0
1999-12-08,24.16,24.16,23.64,23.64,12.3248946414,594900,0.0,1.0
1999-12-09,23.91,24.03,23.61,23.98,12.5021562395,116700,0.0,1.0
1999-12-10,24.34,24.55,24.14,24.41,12.7263400252,600700,0.0,1.0
1999-12-13,24.09,24.28,23.98,24.13,12.5803598857,298600,0.0,1.0
1999-12-14,23.78,24.0,23.52,23.55,12.2779724537,357900,0.0,1.0
1999-12-15,23.52,23.63,23.38,23.48,12.2414774188,363700,0.0,1.0
1999-12-16,23.22,23.34,22.81,22.97,11.9755850217,397500,0.0,1.0
1999-12-17,22.94,23.27,22.94,23.06,12.0662193981,1315400,0.0838,1.0
1999-12-20,23.16,23.23,22.72,22.88,11.9720338174,972700,0.0,1.0
1999-12-21,22.88,23.66,22.81,23.31,12.1970327047,1278200,0.0,1.0
1999-12-22,23.41,23.47,23.16,23.31,12.1970327047,1113600,0.0,1.0
1999-12-23,23.31,23.75,23.31,23.69,12.3958689307,458500,0.0,1.0
1999-12-27,23.91,23.97,23.5,23.5,12.2964508177,2770300,0.0,1.0
1999-12-28,23.5,23.53,23.34,23.41,12.2493580273,110700,0.0,1.0
1999-12-29,23.34,23.8,23.34,23.64,12.3697062694,102200,0.0,1.0
1999-12-30,23.75,24.0,23.59,23.75,12.4272641243,232300,0.0,1.0
1999-12-31,24.0,24.0,23.66,23.77,12.4377291888,558100,0.0,1.0
2000-01-03,23.72,23.72,22.72,22.88,11.9720338174,963200,0.0,1.0
2000-01-04,22.38,22.41,21.67,21.88,11.4487805911,719500,0.0,1.0
2000-01-05,21.88,22.11,21.47,21.89,11.4540131234,582600,0.0,1.0
2000-01-06,21.77,22.8,21.77,22.66,11.8569181076,337800,0.0,1.0
2000-01-07,22.81,23.06,22.5,23.03,12.0505218014,380300,0.0,1.0
2000-01-10,23.22,23.22,22.56,22.63,11.8412205108,374200,0.0,1.0
2000-01-11,22.41,22.69,22.25,22.25,11.6423842849,386800,0.0,1.0
2000-01-12,22.42,22.81,22.42,22.69,11.8726157044,116400,0.0,1.0
2000-01-13,23.09,23.48,22.97,23.38,12.2336604306,897300,0.0,1.0
2000-01-14,23.66,24.08,23.64,23.92,12.5162171728,594300,0.0,1.0
2000-01-18,23.84,23.84,23.13,23.13,12.102847124,378700,0.0,1.0
2000-01-19,23.14,23.59,23.0,23.05,12.0609868659,275800,0.0,1.0
2000-01-20,23.22,23.22,22.5,22.63,11.8412205108,477800,0.0,1.0
2000-01-21,22.75,22.75,22.22,22.34,11.6894770752,404800,0.0,1.0
2000-01-24,22.56,22.56,21.75,21.94,11.4801757847,281700,0.0,1.0
2000-01-25,21.94,22.34,21.91,22.17,11.6005240268,188200,0.0,1.0
2000-01-26,22.34,23.03,22.31,23.0,12.0348242046,512200,0.0,1.0
2000-01-27,23.11,23.39,22.88,23.25,12.1656375111,213300,0.0,1.0
2000-01-28,22.63,22.88,22.25,22.44,11.7418023979,138900,0.0,1.0
2000-01-31,22.19,23.06,22.19,23.06,12.0662193981,440100,0.0,1.0
2000-02-01,23.19,23.23,22.84,23.19,12.1342423176,269700,0.0,1.0
2000-02-02,23.13,23.16,22.81,22.95,12.0086615433,324800,0.0,1.0
2000-02-03,22.94,23.06,22.39,22.81,11.9354060916,284500,0.0,1.0
2000-02-04,22.89,23.0,22.44,22.58,11.8150578495,175900,0.0,1.0
2000-02-07,22.41,22.53,22.19,22.34,11.6894770752,74400,0.0,1.0
2000-02-08,22.63,22.75,22.47,22.59,11.8202903818,494300,0.0,1.0
2000-02-09,22.59,22.59,21.91,22.06,11.5429661719,181600,0.0,1.0
2000-02-10,22.09,22.09,21.25,21.45,11.2237817038,521100,0.0,1.0
2000-02-11,21.75,22.0,21.31,21.5,11.2499443651,478200,0.0,1.0
2000-02-14,21.53,21.69,21.08,21.69,11.3493624781,824300,0.0,1.0
2000-02-15,21.28,21.8,21.13,21.72,11.3650600749,303400,0.0,1.0
2000-02-16,21.66,21.75,21.14,21.27,11.1295961231,305700,0.0,1.0
2000-02-17,21.63,21.63,20.78,21.0,10.988317752,497000,0.0,1.0
2000-02-18,20.91,20.91,20.06,20.25,10.5958778323,716300,0.0,1.0
2000-02-22,20.47,20.59,20.0,20.44,10.6952959453,458600,0.0,1.0
2000-02-23,20.5,20.61,20.16,20.36,10.6534356872,318800,0.0,1.0
2000-02-24,20.16,20.31,19.72,19.94,10.4336693321,354000,0.0,1.0
2000-02-25,20.09,20.47,19.66,19.81,10.3656464127,494000,0.0,1.0
2000-02-28,20.31,20.64,20.0,20.45,10.7005284775,995400,0.0,1.0
2000-02-29,20.7,20.73,20.25,20.59,10.7737839292,353500,0.0,1.0
2000-03-01,20.63,21.06,20.5,20.88,10.9255273648,1282400,0.0,1.0
2000-03-02,20.75,20.91,20.39,20.75,10.8575044454,487700,0.0,1.0
2000-03-03,21.19,21.19,20.75,20.94,10.9569225584,339900,0.0,1.0
2000-03-06,20.83,21.05,20.53,20.73,10.8470393809,1525800,0.0,1.0
2000-03-07,20.5,20.69,19.88,20.11,10.5226223806,1018100,0.0,1.0
2000-03-08,19.78,20.0,19.5,19.88,10.4022741386,527400,0.0,1.0
2000-03-09,19.64,20.09,19.56,19.98,10.4545994612,312900,0.0,1.0
2000-03-10,19.94,20.25,19.94,20.05,10.491227187,149000,0.0,1.0
2000-03-13,19.47,20.47,19.47,20.25,10.5958778323,334400,0.0,1.0
2000-03-14,20.16,20.55,20.13,20.17,10.5540175742,232500,0.0,1.0
2000-03-15,20.28,21.5,20.0,21.41,11.2028515748,980200,0.0,1.0
2000-03-16,21.98,23.25,21.83,23.23,12.1551724466,1739800,0.0,1.0
2000-03-17,23.19,23.69,23.03,23.17,12.1681370918,873900,0.0848,1.0
2000-03-20,23.23,23.25,22.48,22.73,11.9370632756,343000,0.0,1.0
2000-03-21,22.48,23.59,22.47,23.56,12.3729525198,757400,0.0,1.0
