date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,28.02,28.02,27.41,27.41,18.1382880784,3100,0.0,1.0
1999-11-02,27.69,28.03,27.66,27.75,18.3632796124,25700,0.0,1.0
1999-11-03,27.75,27.75,27.56,27.56,18.2375490493,8400,0.0,1.0
1999-11-04,27.75,27.91,27.36,27.48,18.1846098648,17800,0.0,1.0
1999-11-05,27.63,27.86,27.56,27.63,18.2838708357,88600,0.0,1.0
1999-11-08,27.48,27.67,27.48,27.67,18.3103404279,4000,0.0,1.0
1999-11-09,27.67,27.69,27.56,27.69,18.3235752241,4500,0.0,1.0
1999-11-10,27.45,27.64,27.45,27.58,18.2507838454,5900,0.0,1.0
1999-11-11,27.63,27.83,27.59,27.69,18.3235752241,23800,0.0,1.0
1999-11-12,27.91,27.91,27.59,27.88,18.4493057872,41400,0.0,1.0
1999-11-15,28.0,28.25,28.0,28.03,18.5485667581,14300,0.0,1.0
1999-11-16,28.27,28.69,28.27,28.69,18.9853150299,9900,0.0,1.0
1999-11-17,28.86,28.94,28.73,28.88,19.111045593,8500,0.0,1.0
1999-11-18,28.86,29.06,28.81,28.97,19.1706021756,38300,0.0,1.0
1999-11-19,28.81,28.86,28.59,28.63,18.9456106416,5000,0.0,1.0
1999-11-22,28.2,28.5,28.2,28.5,18.8595844668,24600,0.0,1.0
1999-11-23,28.33,28.33,28.13,28.22,18.6742973212,27700,0.0,1.0
1999-11-24,28.09,28.28,28.09,28.23,18.6809147192,3900,0.0,1.0
1999-11-26,28.06,28.2,28.06,28.09,18.5882711464,14800,0.0,1.0
1999-11-29,27.61,27.78,27.53,27.63,18.2838708357,231100,0.0,1.0
1999-11-30,27.59,27.75,27.48,27.5,18.1978446609,14100,0.0,1.0
1999-12-01,27.56,27.94,27.56,27.72,18.3434274182,41800,0.0,1.0
1999-12-02,27.91,28.03,27.66,27.66,18.3037230299,219000,0.0,1.0
1999-12-03,28.05,28.34,28.05,28.11,18.6015059425,24100,0.0,1.0
1999-12-06,28.03,28.05,27.84,28.03,18.5485667581,17300,0.0,1.0
1999-12-07,28.02,28.03,27.5,27.5,18.1978446609,8000,0.0,1.0
1999-12-08,27.66,28.08,27.66,27.98,18.5154797678,210500,0.0,1.0
1999-12-09,27.44,27.63,27.14,27.23,18.0191749134,12700,0.0,1.0
1999-12-10,27.66,27.75,27.5,27.73,18.3500448163,37100,0.0,1.0
1999-12-13,27.72,28.02,27.72,27.89,18.4559231852,22600,0.0,1.0
1999-12-14,27.98,28.11,27.88,27.89,18.4559231852,9400,0.0,1.0
1999-12-15,27.95,27.95,27.59,27.63,18.2838708357,18800,0.0,1.0
1999-12-16,27.66,27.91,27.66,27.88,18.4493057872,17100,0.0,1.0
1999-12-17,28.19,28.53,28.0,28.53,19.0083257082,788400,0.1948,1.0
1999-12-20,28.31,28.31,27.63,27.67,18.4353442813,459700,0.0,1.0
1999-12-21,27.48,28.11,27.48,28.06,18.6951846958,519300,0.0,1.0
1999-12-22,28.02,28.09,27.84,27.94,18.615233799,511700,0.0,1.0
1999-12-23,28.25,28.45,28.2,28.31,18.8617490641,152100,0.0,1.0
1999-12-27,28.88,28.88,28.42,28.59,19.0483011566,1067100,0.0,1.0
1999-12-28,28.69,29.19,28.69,28.89,19.2481783985,34900,0.0,1.0
1999-12-29,29.02,29.14,28.95,29.11,19.3947550426,9000,0.0,1.0
1999-12-30,29.25,29.34,29.17,29.17,19.434730491,10200,0.0,1.0
1999-12-31,29.28,29.61,29.25,29.61,19.7278837792,4700,0.0,1.0
2000-01-03,29.48,29.48,28.69,28.84,19.2148655249,82800,0.0,1.0
2000-01-04,28.47,28.61,27.94,28.05,18.6885221211,146900,0.0,1.0
2000-01-05,28.0,28.06,27.75,27.97,18.6352215232,129200,0.0,1.0
2000-01-06,27.92,28.38,27.81,28.3,18.8550864894,54000,0.0,1.0
2000-01-07,28.63,29.38,28.63,29.38,19.5746445603,32900,0.0,1.0
2000-01-10,29.53,29.63,29.28,29.38,19.5746445603,122500,0.0,1.0
2000-01-11,29.47,29.47,29.0,29.0,19.3214667205,109800,0.0,1.0
2000-01-12,28.92,28.92,28.66,28.66,19.0949391797,39900,0.0,1.0
2000-01-13,29.06,29.27,28.84,29.2,19.4547182152,189700,0.0,1.0
2000-01-14,29.28,29.3,28.89,29.0,19.3214667205,5700,0.0,1.0
2000-01-18,28.78,29.09,28.77,28.97,19.3014789964,83600,0.0,1.0
2000-01-19,29.0,29.03,28.88,28.88,19.2415158238,62800,0.0,1.0
2000-01-20,29.0,29.0,28.38,28.69,19.1149269039,49600,0.0,1.0
2000-01-21,28.66,28.77,28.33,28.33,18.8750742136,45700,0.0,1.0
2000-01-24,28.52,28.55,27.5,27.52,18.3354056603,51600,0.0,1.0
2000-01-25,27.16,27.39,26.81,27.36,18.2288044646,89700,0.0,1.0
2000-01-26,27.27,27.75,26.27,27.58,18.3753811087,93400,0.0,1.0
2000-01-27,27.64,28.28,27.64,27.73,18.4753197297,156000,0.0,1.0
2000-01-28,27.63,27.73,27.0,27.0,17.9889517743,17600,0.0,1.0
2000-01-31,26.86,27.3,26.86,27.19,18.1155406942,45700,0.0,1.0
2000-02-01,27.16,27.16,26.91,27.0,17.9889517743,5500,0.0,1.0
2000-02-02,27.23,27.23,26.88,27.02,18.0022769238,3500,0.0,1.0
2000-02-03,27.13,27.16,26.75,27.0,17.9889517743,107900,0.0,1.0
2000-02-04,27.3,27.3,27.06,27.11,18.0622400963,31400,0.0,1.0
2000-02-07,26.94,26.94,26.5,26.64,17.749099084,43800,0.0,1.0
2000-02-08,27.09,27.09,26.7,26.75,17.822387406,119600,0.0,1.0
2000-02-09,26.73,26.73,26.38,26.47,17.6358353136,58400,0.0,1.0
2000-02-10,26.31,26.38,26.0,26.02,17.3360194506,65200,0.0,1.0
2000-02-11,26.06,26.06,25.33,25.47,16.9695778404,50400,0.0,1.0
2000-02-14,25.5,25.91,25.45,25.88,17.2427434044,4900,0.0,1.0
2000-02-15,25.92,26.58,25.81,26.33,17.5425592673,21200,0.0,1.0
2000-02-16,26.42,26.45,26.16,26.27,17.5025838189,77400,0.0,1.0
2000-02-17,26.38,26.44,26.14,26.38,17.575872141,16400,0.0,1.0
2000-02-18,26.48,26.5,25.7,25.8,17.1894428066,115300,0.0,1.0
2000-02-22,26.25,26.25,25.8,26.22,17.4692709453,46900,0.0,1.0
2000-02-23,26.39,26.39,26.02,26.02,17.3360194506,63100,0.0,1.0
2000-02-24,26.0,26.0,25.42,25.78,17.1761176571,19500,0.0,1.0
2000-02-25,25.72,25.83,25.3,25.33,16.8763017942,26700,0.0,1.0
2000-02-28,25.42,25.81,25.0,25.41,16.929602392,463900,0.0,1.0
2000-02-29,25.63,25.75,25.58,25.69,17.1161544845,9100,0.0,1.0
2000-03-01,25.7,25.91,25.5,25.55,17.0228784383,2408000,0.0,1.0
2000-03-02,25.78,25.81,25.41,25.64,17.0828416109,421400,0.0,1.0
2000-03-03,26.03,26.61,26.02,26.34,17.549221842,41200,0.0,1.0
2000-03-06,26.25,26.48,26.02,26.23,17.47593352,292100,0.0,1.0
2000-03-07,26.45,26.45,25.19,25.19,16.783025748,50300,0.0,1.0
2000-03-08,25.14,25.45,25.0,25.45,16.956252691,350700,0.0,1.0
