date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,42.63,42.97,42.41,42.44,32.7373245198,230800,0.0,1.0
1999-11-02,42.44,42.94,42.14,42.25,32.5907625109,156300,0.0,1.0
1999-11-03,42.88,43.13,42.63,42.88,33.0767312773,209200,0.0,1.0
1999-11-04,43.44,43.47,42.91,43.2,33.3235725555,409100,0.0,1.0
1999-11-05,44.25,44.25,43.47,43.67,33.6861206828,898000,0.0,1.0
1999-11-08,43.19,44.3,43.19,44.11,34.0255274404,377100,0.0,1.0
1999-11-09,44.48,44.5,43.5,43.63,33.6552655231,981500,0.0,1.0
1999-11-10,43.5,44.73,43.5,44.39,34.2415135588,583900,0.0,1.0
1999-11-11,44.72,45.25,44.67,45.0,34.7120547453,295500,0.0,1.0
1999-11-12,45.61,45.63,44.03,45.25,34.9048994939,439300,0.0,1.0
1999-11-15,45.34,45.34,44.86,45.05,34.750623695,187300,0.0,1.0
1999-11-16,45.41,46.0,45.03,46.0,35.4834337397,255600,0.0,1.0
1999-11-17,46.19,46.38,45.5,45.56,35.1440269821,515600,0.0,1.0
1999-11-18,46.25,47.11,45.91,47.11,36.3396644234,752800,0.0,1.0
1999-11-19,47.16,47.63,46.75,47.55,36.6790711809,445300,0.0,1.0
1999-11-22,47.44,48.0,47.38,47.84,36.9027710892,436200,0.0,1.0
1999-11-23,48.23,48.23,46.78,47.42,36.5787919116,585000,0.0,1.0
1999-11-24,47.28,48.33,47.02,48.16,37.149612367399996,626700,0.0,1.0
1999-11-26,48.39,49.0,48.39,48.53,37.435022595300005,425900,0.0,1.0
1999-11-29,48.38,48.81,48.08,48.11,37.1110434177,353200,0.0,1.0
1999-11-30,47.88,48.11,46.47,46.67,36.0002576659,436200,0.0,1.0
1999-12-01,46.5,47.47,46.5,47.13,36.3550920033,900500,0.0,1.0
1999-12-02,47.63,48.53,47.63,48.25,37.2190364769,208600,0.0,1.0
1999-12-03,49.63,50.13,49.34,49.63,38.2835394891,623100,0.0,1.0
1999-12-06,49.47,50.34,49.31,49.97,38.5458083472,347400,0.0,1.0
1999-12-07,50.31,50.31,49.53,50.09,38.6383738265,204500,0.0,1.0
1999-12-08,49.56,50.13,49.5,49.56,38.2295429595,407900,0.0,1.0
1999-12-09,50.06,50.25,48.59,49.44,38.1369774802,1187500,0.0,1.0
1999-12-10,49.81,50.0,48.81,49.69,38.3298222288,226600,0.0,1.0
1999-12-13,49.67,50.44,49.31,50.02,38.5843772969,377000,0.0,1.0
1999-12-14,50.19,50.19,48.81,49.06,37.8438534623,716100,0.0,1.0
1999-12-15,48.94,50.06,48.13,50.06,38.6152324567,1248400,0.0,1.0
1999-12-16,50.44,51.13,50.31,51.0,39.3403287114,419400,0.0,1.0
1999-12-17,51.56,51.84,51.19,51.56,39.773321482600004,397700,0.0013,1.0
1999-12-20,51.75,52.25,51.38,52.06,40.1590208763,289200,0.0,1.0
1999-12-21,52.19,53.22,51.81,53.06,40.9304196638,381800,0.0,1.0
1999-12-22,53.5,53.69,52.36,53.06,40.9304196638,307700,0.0,1.0
1999-12-23,53.56,54.0,53.28,53.34,41.1464113243,359200,0.0,1.0
1999-12-27,53.94,53.94,52.63,53.75,41.4626848272,626000,0.0,1.0
1999-12-28,53.63,53.94,53.13,53.25,41.076985433400004,700400,0.0,1.0
1999-12-29,53.38,54.25,53.38,54.11,41.740388390700005,583500,0.0,1.0
1999-12-30,55.0,55.0,53.94,54.06,41.7018184513,1689800,0.0,1.0
1999-12-31,54.16,54.44,53.81,53.88,41.5629666696,755300,0.0,1.0
2000-01-03,55.63,55.63,55.13,55.44,42.766348778,938100,0.0,1.0
2000-01-04,54.0,54.75,52.31,52.63,40.5987181852,545500,0.0,1.0
2000-01-05,51.75,52.88,50.13,52.66,40.6218601488,1906000,0.0,1.0
2000-01-06,51.25,52.09,49.63,50.13,38.6702212165,1670000,0.0,1.0
2000-01-07,49.63,51.0,49.13,51.0,39.3413381616,686000,0.0,1.0
2000-01-10,53.0,53.44,52.06,52.94,40.8378518093,1020500,0.0,1.0
2000-01-11,53.0,53.47,51.19,51.44,39.6807536281,1411300,0.0,1.0
2000-01-12,52.38,52.38,50.63,51.22,39.5110458949,1983200,0.0,1.0
2000-01-13,51.88,52.0,50.88,51.69,39.873603325,1193000,0.0,1.0
2000-01-14,53.25,53.72,52.78,52.88,40.7915678821,1383900,0.0,1.0
2000-01-18,52.75,53.72,52.61,53.16,41.0075595426,550800,0.0,1.0
2000-01-19,52.94,53.47,52.56,53.25,41.076985433400004,790400,0.0,1.0
2000-01-20,54.25,54.44,53.13,53.56,41.316119057600005,1095600,0.0,1.0
2000-01-21,53.88,53.88,53.14,53.63,41.370116972699996,1434700,0.0,1.0
2000-01-24,53.94,54.34,51.59,51.88,40.0201690946,568900,0.0,1.0
2000-01-25,51.77,53.03,51.06,52.98,40.8687077608,2982400,0.0,1.0
2000-01-26,52.69,52.75,50.94,51.25,39.5341878585,839300,0.0,1.0
2000-01-27,51.88,52.13,49.72,50.75,39.148488464699994,1238100,0.0,1.0
2000-01-28,50.13,51.13,48.13,48.94,37.752256659400004,2457000,0.0,1.0
2000-01-31,48.94,50.56,47.88,50.56,39.0019226951,1312300,0.0,1.0
2000-02-01,50.52,51.75,50.03,51.63,39.8273193977,474900,0.0,1.0
2000-02-02,51.44,52.66,51.44,52.0,40.1127369491,534700,0.0,1.0
2000-02-03,52.25,53.5,51.77,53.5,41.2698351303,1244600,0.0,1.0
2000-02-04,53.75,54.62,53.62,54.12,41.7481023786,691700,0.0,1.0
2000-02-07,54.25,54.88,53.81,54.75,42.2340836147,655300,0.0,1.0
2000-02-08,55.19,55.75,55.08,55.25,42.6197830084,886000,0.0,1.0
2000-02-09,55.75,56.13,54.25,54.56,42.087517845,1623300,0.0,1.0
2000-02-10,54.69,55.88,54.5,55.86,43.0903362688,1157600,0.0,1.0
2000-02-11,55.86,55.88,53.88,54.38,41.948666063299996,1002100,0.0,1.0
2000-02-14,54.75,54.75,53.75,54.41,41.9718080269,351500,0.0,1.0
2000-02-15,54.33,54.94,52.97,54.56,42.087517845,300600,0.0,1.0
2000-02-16,54.38,55.0,54.19,54.28,41.8715261846,172100,0.0,1.0
2000-02-17,54.98,55.63,54.19,55.5,42.812632705300004,231200,0.0,1.0
2000-02-18,55.56,55.56,53.5,53.63,41.370116972699996,362700,0.0,1.0
2000-02-22,53.38,54.0,52.0,53.5,41.2698351303,1233900,0.0,1.0
2000-02-23,53.63,55.5,53.48,55.13,42.5272151539,183300,0.0,1.0
2000-02-24,55.48,56.06,54.5,55.81,43.051766329399996,319900,0.0,1.0
