date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,25.06,25.19,24.78,24.88,14.9454486975,116900,0.0,1.0
1999-11-02,24.64,25.08,24.39,24.39,14.6511050536,276500,0.0,1.0
1999-11-03,24.66,25.02,24.66,25.02,15.0295468815,92300,0.0,1.0
1999-11-04,25.31,25.31,24.8,24.91,14.963469737,36700,0.0,1.0
1999-11-05,25.16,25.23,24.91,25.09,15.0715959735,55900,0.0,1.0
1999-11-08,24.91,25.06,24.81,25.06,15.0535749341,22300,0.0,1.0
1999-11-09,25.17,25.17,24.52,24.63,14.795273369,37900,0.0,1.0
1999-11-10,24.42,24.75,24.42,24.64,14.8012803821,33400,0.0,1.0
1999-11-11,24.64,24.89,24.55,24.64,14.8012803821,26600,0.0,1.0
1999-11-12,24.64,24.86,24.44,24.81,14.9033996055,31500,0.0,1.0
1999-11-15,24.7,24.88,24.59,24.7,14.837322461,119600,0.0,1.0
1999-11-16,24.81,25.17,24.81,25.17,15.1196520787,41100,0.0,1.0
1999-11-17,25.0,25.25,25.0,25.05,15.047567921,45300,0.0,1.0
1999-11-18,24.98,25.27,24.86,25.17,15.1196520787,99900,0.0,1.0
1999-11-19,25.11,25.19,24.83,25.0,15.0175328552,20800,0.0,1.0
1999-11-22,24.95,25.38,24.94,25.27,15.1797222101,39600,0.0,1.0
1999-11-23,25.31,25.45,25.11,25.2,15.1376731181,33000,0.0,1.0
1999-11-24,25.38,25.5,25.16,25.5,15.3178835123,41400,0.0,1.0
1999-11-26,25.64,25.64,25.25,25.25,15.1677081838,17200,0.0,1.0
1999-11-29,25.06,25.36,24.97,25.23,15.1556941575,34200,0.0,1.0
1999-11-30,25.3,25.3,24.91,24.91,14.963469737,23500,0.0,1.0
1999-12-01,24.73,24.95,24.59,24.81,14.9033996055,37500,0.0,1.0
1999-12-02,24.72,24.94,24.63,24.94,14.9814907764,64600,0.0,1.0
1999-12-03,24.8,25.36,24.8,25.11,15.0836099998,93100,0.0,1.0
1999-12-06,24.88,24.92,24.31,24.39,14.6511050536,44700,0.0,1.0
1999-12-07,24.47,24.47,23.75,24.0,14.416831541,44600,0.0,1.0
1999-12-08,23.83,23.94,23.5,23.63,14.1945720548,34600,0.0,1.0
1999-12-09,23.56,23.8,23.28,23.59,14.1705440022,50700,0.0,1.0
1999-12-10,23.78,23.78,23.47,23.72,14.2486351731,56700,0.0,1.0
1999-12-13,23.34,23.55,23.03,23.22,13.9482845159,58800,0.0,1.0
1999-12-14,22.88,23.38,22.86,23.19,13.9302634765,81200,0.0,1.0
1999-12-15,23.34,23.63,23.08,23.59,14.1705440022,88600,0.0,1.0
1999-12-16,23.36,23.36,22.91,23.0,13.8161302268,64100,0.0,1.0
1999-12-17,23.0,23.22,22.88,23.0,13.8562210325,1213100,0.0667,1.0
1999-12-20,22.77,22.95,22.5,22.7,13.6754877147,905900,0.0,1.0
1999-12-21,22.77,22.77,22.39,22.48,13.5429499483,1212300,0.0,1.0
1999-12-22,22.7,23.09,22.63,22.92,13.8080254811,750600,0.0,1.0
1999-12-23,23.13,23.47,23.13,23.31,14.0429787943,431000,0.0,1.0
1999-12-27,23.53,23.75,23.17,23.47,14.1393698971,2693700,0.0,1.0
1999-12-28,23.42,23.56,23.17,23.28,14.0249054625,75700,0.0,1.0
1999-12-29,23.25,23.42,22.94,23.0,13.8562210325,62800,0.0,1.0
1999-12-30,23.05,23.25,22.97,23.02,13.8682699204,63400,0.0,1.0
1999-12-31,23.02,23.19,22.89,23.03,13.8742943643,35400,0.0,1.0
2000-01-03,23.12,23.12,22.47,22.75,13.7056099344,634300,0.0,1.0
2000-01-04,22.31,22.66,22.08,22.11,13.320045523,172000,0.0,1.0
2000-01-05,22.27,22.61,22.09,22.44,13.5188521726,343600,0.0,1.0
2000-01-06,22.66,23.0,22.48,22.92,13.8080254811,420800,0.0,1.0
2000-01-07,23.33,24.42,23.27,24.38,14.6875942945,337100,0.0,1.0
2000-01-10,24.13,24.3,23.73,23.83,14.3562498785,451700,0.0,1.0
2000-01-11,23.94,24.13,23.77,23.83,14.3562498785,142900,0.0,1.0
2000-01-12,24.0,24.19,23.88,23.95,14.4285432056,84300,0.0,1.0
2000-01-13,24.09,24.28,23.77,24.08,14.5068609767,233800,0.0,1.0
2000-01-14,24.47,24.48,23.88,24.16,14.5550565281,76100,0.0,1.0
2000-01-18,23.89,24.05,23.66,23.75,14.3080543271,218300,0.0,1.0
2000-01-19,23.86,24.03,23.7,23.92,14.4104698738,137800,0.0,1.0
2000-01-20,24.05,24.05,23.39,23.59,14.2116632242,425500,0.0,1.0
2000-01-21,23.73,23.73,23.13,23.33,14.0550276821,345000,0.0,1.0
2000-01-24,23.52,23.52,22.27,22.66,13.651389939,278200,0.0,1.0
2000-01-25,22.58,22.66,22.33,22.38,13.482705509,85000,0.0,1.0
2000-01-26,22.52,22.78,22.42,22.58,13.6031943876,385500,0.0,1.0
2000-01-27,22.58,23.03,22.39,23.0,13.8562210325,67800,0.0,1.0
2000-01-28,22.55,23.03,22.55,22.81,13.7417565979,37100,0.0,1.0
2000-01-31,22.47,23.23,22.25,23.23,13.9947832429,195800,0.0,1.0
2000-02-01,23.05,23.09,22.64,23.0,13.8562210325,104000,0.0,1.0
2000-02-02,23.11,23.17,22.88,23.05,13.8863432522,72700,0.0,1.0
2000-02-03,22.86,23.03,22.63,22.73,13.6935610465,87900,0.0,1.0
2000-02-04,23.11,23.11,22.61,22.84,13.7598299297,137500,0.0,1.0
2000-02-07,22.63,22.81,22.53,22.69,13.6694632708,31600,0.0,1.0
2000-02-08,23.0,23.16,22.84,22.97,13.8381477008,314700,0.0,1.0
2000-02-09,22.98,23.0,22.52,22.77,13.7176588222,90900,0.0,1.0
2000-02-10,22.67,22.67,22.0,22.0,13.2537766398,149100,0.0,1.0
2000-02-11,22.23,22.23,21.52,21.58,13.0007499949,166800,0.0,1.0
2000-02-14,21.64,21.86,21.52,21.69,13.0670188781,209200,0.0,1.0
2000-02-15,21.86,22.19,21.66,22.17,13.3561921866,54500,0.0,1.0
2000-02-16,22.13,22.14,21.69,21.86,13.1694344248,315500,0.0,1.0
2000-02-17,21.88,22.06,21.53,21.53,12.9706277752,113700,0.0,1.0
2000-02-18,21.59,21.63,21.13,21.28,12.8200166771,191300,0.0,1.0
2000-02-22,21.47,21.72,21.11,21.63,13.0308722145,266600,0.0,1.0
2000-02-23,21.63,21.64,21.11,21.16,12.7477233499,103200,0.0,1.0
2000-02-24,21.17,21.17,20.45,20.72,12.4826478171,166100,0.0,1.0
2000-02-25,20.58,20.8,20.09,20.2,12.1693767329,258800,0.0,1.0
2000-02-28,20.45,20.73,20.11,20.59,12.4043300461,222000,0.0,1.0
2000-02-29,20.73,20.81,20.5,20.52,12.3621589386,131300,0.0,1.0
2000-03-01,20.42,20.63,20.25,20.33,12.247694504,295500,0.0,1.0
2000-03-02,20.17,20.47,20.17,20.38,12.2778167236,1447500,0.0,1.0
2000-03-03,20.44,20.5,20.19,20.27,12.2115478404,220900,0.0,1.0
2000-03-06,20.08,20.31,19.78,19.78,11.916350088,315100,0.0,1.0
2000-03-07,19.2,19.2,18.34,18.72,11.2777590317,224100,0.0,1.0
2000-03-08,18.94,19.5,18.61,19.3,11.6271767795,309900,0.0,1.0
2000-03-09,19.36,19.97,19.25,19.81,11.9344234198,1267300,0.0,1.0
2000-03-10,19.81,20.0,19.44,19.58,11.7958612094,1967700,0.0,1.0
2000-03-13,19.16,19.58,19.13,19.27,11.6091034477,1061900,0.0,1.0
2000-03-14,19.5,19.5,19.0,19.16,11.5428345645,552800,0.0,1.0
2000-03-15,19.17,20.47,19.03,20.38,12.2778167236,1582200,0.0,1.0
2000-03-16,21.0,21.63,20.75,21.5,12.9525544435,580200,0.0,1.0
2000-03-17,21.63,21.64,20.92,21.09,12.7467178702,116000,0.0683,1.0
2000-03-20,21.2,21.2,20.66,20.91,12.6379265371,563400,0.0,1.0
2000-03-21,20.95,21.3,20.77,21.3,12.8736410923,32600,0.0,1.0
2000-03-22,21.05,21.19,20.8,21.13,12.7708937221,132900,0.0,1.0
2000-03-23,21.11,21.34,20.84,20.95,12.6621023889,126400,0.0,1.0
2000-03-24,21.0,21.16,20.52,20.58,12.4384757596,231100,0.0,1.0
2000-03-27,20.78,20.78,20.3,20.31,12.2752887598,52200,0.0,1.0
2000-03-28,20.3,20.66,20.25,20.55,12.4203438707,71600,0.0,1.0
2000-03-29,20.69,21.13,20.56,21.05,12.7225420184,36200,0.0,1.0
2000-03-30,20.97,21.5,20.97,21.33,12.8917729811,62200,0.0,1.0
2000-03-31,21.0,21.5,20.94,21.22,12.8252893886,439800,0.0,1.0
2000-04-03,21.63,22.19,21.36,22.19,13.4115537952,76600,0.0,1.0
2000-04-04,22.06,23.0,21.92,22.81,13.7862794983,823600,0.0,1.0
2000-04-05,22.75,22.75,22.38,22.5,13.5989166468,38800,0.0,1.0
2000-04-06,22.25,22.44,21.83,22.09,13.3511141656,55100,0.0,1.0
2000-04-07,22.28,22.31,21.75,21.81,13.1818832029,169700,0.0,1.0
2000-04-10,22.03,22.45,21.88,22.36,13.5143011654,55200,0.0,1.0
2000-04-11,22.56,22.88,22.34,22.75,13.7500157206,60900,0.0,1.0
2000-04-12,22.86,23.47,22.67,23.02,13.9132027204,76500,0.0,1.0
2000-04-13,22.5,23.0,22.45,22.86,13.8164993131,506700,0.0,1.0
2000-04-14,22.19,22.56,21.55,21.73,13.1335314993,62900,0.0,1.0
2000-04-17,22.33,22.36,21.72,22.36,13.5143011654,139500,0.0,1.0
2000-04-18,22.0,22.5,22.0,22.5,13.5989166468,129000,0.0,1.0
2000-04-19,22.61,23.0,22.25,22.77,13.7621036465,39500,0.0,1.0
2000-04-20,22.7,22.92,22.59,22.75,13.7500157206,14300,0.0,1.0
2000-04-24,22.75,23.47,22.75,23.38,14.1307853867,75300,0.0,1.0
2000-04-25,23.38,23.44,23.0,23.27,14.0643017942,51400,0.0,1.0
2000-04-26,23.31,23.31,22.8,23.0,13.9011147945,39100,0.0,1.0
2000-04-27,22.7,23.0,22.67,23.0,13.9011147945,27900,0.0,1.0
2000-04-28,22.94,22.94,22.28,22.34,13.5022132395,56400,0.0,1.0
2000-05-01,22.5,22.81,22.16,22.63,13.6774881652,21200,0.0,1.0
2000-05-02,22.59,22.78,22.39,22.69,13.7137519429,19000,0.0,1.0
