date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-10-08,30.01,30.21,30.01,30.21,25.0460965399,2000,0.0,1.0
2015-10-09,30.2,30.2,30.06,30.16,25.0046432189,4335,0.0,1.0
2015-10-12,30.4199,30.42,30.27,30.3499,25.1620829321,2250,0.0,1.0
2015-10-13,30.16,30.16,30.16,30.16,25.0046432189,508,0.0,1.0
2015-10-14,30.16,30.16,30.16,30.16,25.0046432189,0,0.0,1.0
2015-10-15,30.03,30.07,30.03,30.07,24.930027241199998,2515,0.0,1.0
2015-10-16,30.5958,30.66,30.5958,30.642,25.4042532333,400,0.0,1.0
2015-10-19,30.7,31.01,30.7,30.9999,25.700976104899997,2001,0.0,1.0
2015-10-20,31.36,31.36,30.99,31.03,25.725931004099998,3240,0.0,1.0
2015-10-21,31.055,31.055,31.055,31.055,25.7466576646,400,0.0,1.0
2015-10-22,31.18,31.4625,31.177,31.4475,26.0720662343,2180,0.0,1.0
2015-10-23,31.0526,31.07,30.94,31.07,25.759093660900003,3548,0.0,1.0
2015-10-26,31.028000000000002,31.12,31.028000000000002,31.11,25.7922563177,576,0.0,1.0
2015-10-27,31.06,31.12,31.0,31.1183,25.799137569000003,3350,0.0,1.0
2015-10-28,31.24,31.33,31.005,31.005,25.705204343600002,3210,0.0,1.0
2015-10-29,31.03,31.146,31.01,31.146,25.822102708800003,3906,0.0,1.0
2015-10-30,30.95,30.95,30.95,30.95,25.6596056905,211,0.0,1.0
2015-11-02,30.95,30.95,30.95,30.95,25.6596056905,35,0.0,1.0
2015-11-03,31.6,31.6,31.32,31.35,25.9912322584,520,0.0,1.0
2015-11-04,31.52,31.52,31.22,31.22,25.8834536239,1850,0.0,1.0
2015-11-05,31.28,31.28,30.95,31.1,25.783965653499997,23810,0.0,1.0
2015-11-06,30.38,30.38,29.95,29.95,24.8305392708,9031,0.0,1.0
2015-11-09,30.0601,30.1036,29.6,29.71,24.6315633301,45453,0.0,1.0
2015-11-10,30.11,30.11,29.85,30.03,24.8968645844,27240,0.0,1.0
2015-11-11,30.105,30.26,29.99,30.1339,24.9830045854,27147,0.0,1.0
2015-11-12,29.86,30.08,29.86,29.95,24.8305392708,63887,0.0,1.0
2015-11-13,29.82,29.87,29.555999999999997,29.56,24.5072033671,47674,0.0,1.0
2015-11-16,29.53,29.62,29.53,29.53,24.4823313745,4200,0.0,1.0
2015-11-17,30.0,30.18,29.93,29.99,24.8637019276,25680,0.0,1.0
2015-11-18,29.64,30.3448,26.7,30.3448,25.1578546933,28556,0.0,1.0
2015-11-19,30.41,30.55,30.41,30.51,25.294816465900002,3517,0.0,1.0
2015-11-20,30.71,30.77,30.71,30.76,25.502083070799998,597,0.0,1.0
2015-11-23,30.97,31.011999999999997,30.92,30.92,25.6347336979,2392,0.0,1.0
2015-11-24,31.02,31.02,30.45,30.45,25.245072480700003,2524,0.0,1.0
2015-11-25,30.45,30.45,30.45,30.45,25.245072480700003,33,0.0,1.0
2015-11-27,30.45,30.45,30.45,30.45,25.245072480700003,0,0.0,1.0
2015-11-30,31.0,31.0,30.7223,30.75,25.493792406599997,1627,0.0,1.0
2015-12-01,30.98,31.2586,30.98,31.2586,25.9154555877,5557,0.0,1.0
2015-12-02,31.11,31.22,30.62,30.62,25.386013772,4397,0.0,1.0
2015-12-03,30.37,30.37,30.01,30.01,24.880283256,776,0.0,1.0
2015-12-04,30.31,30.83,30.31,30.62,25.386013772,4378,0.0,1.0
2015-12-07,30.62,30.62,30.62,30.62,25.386013772,25,0.0,1.0
2015-12-08,30.28,30.76,29.92,30.72,25.468920414,4645,0.0,1.0
2015-12-09,30.51,30.55,30.51,30.55,25.327979122600002,643,0.0,1.0
2015-12-10,30.3,30.3,30.3,30.3,25.1207125177,660,0.0,1.0
2015-12-11,30.18,30.18,30.1382,30.1382,24.986569571,330,0.0,1.0
2015-12-14,30.1,30.27,30.09,30.2312,25.063672748000002,628,0.0,1.0
2015-12-15,30.723000000000003,30.79,30.58,30.58,25.3528511152,4147,0.0,1.0
2015-12-16,30.86,31.13,30.86,31.13,25.808837646100002,1618,0.0,1.0
2015-12-17,31.46,31.46,31.0578,31.09,25.775674989299997,2420,0.0,1.0
2015-12-18,30.5626,30.59,30.35,30.35,25.4440890457,1372,0.34,1.0
2015-12-21,30.456,30.456,30.4,30.4,25.48600682,485,0.0,1.0
2015-12-22,30.68,30.68,30.68,30.68,25.7207463565,201,0.0,1.0
2015-12-23,30.75,30.98,30.75,30.98,25.972253002800002,4493,0.0,1.0
2015-12-24,30.8557,31.01,30.8557,31.01,25.997403667399997,330,0.0,1.0
2015-12-28,31.03,31.03,30.92,30.9272,25.927987833000003,2126,0.0,1.0
2015-12-29,31.25,31.49,31.25,31.44,26.357896526999998,3457,0.0,1.0
2015-12-30,31.57,31.59,31.4399,31.4399,26.3578126915,2037,0.0,1.0
2015-12-31,31.32,31.39,31.184,31.184,26.1432775222,36795,0.0,1.0
2016-01-04,30.98,30.98,30.3612,30.46,25.536308149299998,1937,0.0,1.0
2016-01-05,30.93,31.383000000000003,30.93,31.383000000000003,26.310110264200002,1518,0.0,1.0
2016-01-06,30.82,31.1849,30.82,31.08,26.0560885515,3724,0.0,1.0
2016-01-07,30.7208,30.7495,30.506999999999998,30.51,25.5782259237,1547,0.0,1.0
2016-01-08,30.51,30.519000000000002,30.08,30.11,25.242883728699997,3993,0.0,1.0
2016-01-11,30.2899,30.2899,30.2899,30.2899,25.393703880900002,477,0.0,1.0
2016-01-12,30.04,30.11,29.96,29.96,25.117130405500003,2269,0.0,1.0
2016-01-13,30.24,30.29,29.65,29.65,24.8572402044,3338,0.0,1.0
2016-01-14,29.8284,29.8284,29.5001,29.75,24.941075753200003,3706,0.0,1.0
2016-01-15,29.146,29.3,29.146,29.25,24.5218980094,1414,0.0,1.0
2016-01-19,29.5099,29.5099,29.355,29.45,24.689569106900002,4705,0.0,1.0
2016-01-20,28.66,28.89,28.1199,28.66,24.027268271799997,4609,0.0,1.0
2016-01-21,28.88,28.88,28.88,28.88,24.211706479,101,0.0,1.0
2016-01-22,29.465,29.48,29.4574,29.48,24.7147197715,330,0.0,1.0
2016-01-25,29.48,29.48,29.48,29.48,24.7147197715,153,0.0,1.0
2016-01-26,29.59,29.8559,29.59,29.7422,24.9345365804,529,0.0,1.0
2016-01-27,29.48,29.48,29.48,29.48,24.7147197715,930,0.0,1.0
2016-01-28,29.48,29.4899,29.16,29.16,24.4464460155,1652,0.0,1.0
2016-01-29,29.01,29.2,29.01,29.19,24.4715966802,553,0.0,1.0
2016-02-01,29.607,29.8101,29.607,29.81,24.991377082399996,744,0.0,1.0
2016-02-02,29.68,29.68,29.43,29.43,24.672801997199997,1094,0.0,1.0
2016-02-03,29.68,29.68,29.0465,29.46,24.6979526618,3781,0.0,1.0
2016-02-04,29.4439,29.645,29.4439,29.6365,24.8459224053,1506,0.0,1.0
2016-02-05,29.21,29.21,29.098000000000003,29.098000000000003,24.394467975300003,221,0.0,1.0
2016-02-08,28.1,28.1,27.555999999999997,27.555999999999997,23.1017238136,718,0.0,1.0
2016-02-09,27.42,27.55,27.0707,27.34,22.9206390283,1359,0.0,1.0
2016-02-10,27.92,27.92,27.92,27.92,23.406885211,293,0.0,1.0
2016-02-11,27.2999,27.2999,27.22,27.22,22.8200363698,810,0.0,1.0
2016-02-12,27.22,27.5079,27.22,27.49,23.046392351399998,1823,0.0,1.0
2016-02-16,27.49,27.49,27.49,27.49,23.046392351399998,17,0.0,1.0
2016-02-17,28.4,28.45,28.328000000000003,28.35,23.7673780707,2640,0.0,1.0
2016-02-18,28.4808,28.7,28.4808,28.7,24.060802491300002,3898,0.0,1.0
2016-02-19,28.66,28.66,28.66,28.66,24.027268271799997,200,0.0,1.0
2016-02-22,29.1,29.1552,29.075,29.1,24.3961446863,827,0.0,1.0
2016-02-23,28.95,28.95,28.95,28.95,24.2703913632,328,0.0,1.0
2016-02-24,28.919,28.974,28.91,28.974,24.290511894899996,751,0.0,1.0
2016-02-25,29.16,29.16,29.16,29.16,24.4464460155,125,0.0,1.0
2016-02-26,29.5,29.505,29.37,29.37,24.6225006679,2504,0.0,1.0
2016-02-29,29.627,29.65,29.33,29.33,24.5889664484,732,0.0,1.0
2016-03-01,29.8,30.04,29.79,30.03,25.175815289699997,951,0.0,1.0
2016-03-02,30.23,30.36,30.19,30.36,25.452472600500002,1305,0.0,1.0
2016-03-03,30.3639,30.4184,30.3639,30.401999999999997,25.487683531,1080,0.0,1.0
2016-03-04,30.5,30.53,30.4404,30.49,25.5614588139,1703,0.0,1.0
2016-03-07,30.61,30.63,30.47,30.47,25.5446917042,1542,0.0,1.0
2016-03-08,30.445,30.445,30.424,30.424,25.506127351700002,611,0.0,1.0
2016-03-09,30.45,30.517,30.2501,30.3312,25.4283279625,3688,0.0,1.0
2016-03-10,30.6499,30.6499,30.1884,30.1884,25.3086107989,1001,0.0,1.0
2016-03-11,30.78,30.89,30.78,30.89,25.8968010089,410,0.0,1.0
2016-03-14,31.039,31.098000000000003,30.9901,30.9901,25.980720393200002,3010,0.0,1.0
2016-03-15,31.0,31.195,31.0,31.195,26.152499432600003,2258,0.0,1.0
2016-03-16,31.2,31.205,30.9601,30.9601,25.9555697286,1537,0.0,1.0
2016-03-17,31.99,32.046,31.9799,31.9956,26.823686835900002,1050,0.0,1.0
2016-03-18,31.6899,31.78,31.43,31.47,26.637098246799997,136356,0.303,1.0
2016-03-21,31.62,31.62,31.255,31.31,26.5016697206,3413,0.0,1.0
2016-03-22,31.22,31.41,31.2138,31.2552,26.455285450399998,1576,0.0,1.0
2016-03-23,31.265,31.3365,31.14,31.14,26.3577769115,2642,0.0,1.0
2016-03-24,31.01,31.19,30.9767,31.19,26.400098326,2197,0.0,1.0
2016-03-28,31.01,31.4699,31.01,31.39,26.5693839837,2583,0.0,1.0
2016-03-29,31.72,32.07,31.51,32.07,27.1449552201,17268,0.0,1.0
2016-03-30,32.33,32.33,31.995,32.0,27.0857052398,4165,0.0,1.0
2016-03-31,32.0,32.16,32.0,32.16,27.221133765999998,11342,0.0,1.0
2016-04-01,32.0228,32.227,32.0228,32.227,27.277844461399997,658,0.0,1.0
2016-04-04,32.2715,32.2715,32.1,32.1799,27.237977689,5325,0.0,1.0
2016-04-05,31.9,31.9,31.8756,31.8916,26.9939524133,310,0.0,1.0
2016-04-06,31.93,31.98,31.85,31.98,27.068776674099997,588,0.0,1.0
2016-04-07,32.0328,32.0328,31.7202,31.7202,26.848874604699997,2124,0.0,1.0
2016-04-08,32.19,32.2499,32.02,32.02,27.1026338056,1897,0.0,1.0
2016-04-11,32.0561,32.204,31.9936,32.0,27.0857052398,3141,0.0,1.0
2016-04-12,32.0894,32.1899,32.0894,32.14,27.204205200300002,1322,0.0,1.0
2016-04-13,32.14,32.16,31.9488,32.0165,27.099671306599998,2847,0.0,1.0
2016-04-14,31.97,31.97,31.8447,31.89,26.9925981281,3616,0.0,1.0
2016-04-15,31.89,32.11,31.89,32.11,27.178812351599998,731,0.0,1.0
2016-04-18,32.13,32.23,31.8501,32.23,27.2803837463,959,0.0,1.0
2016-04-19,32.41,32.41,32.045,32.12,27.187276634499998,32759,0.0,1.0
2016-04-20,32.0099,32.02,31.76,31.8,26.9164195821,1880,0.0,1.0
2016-04-21,31.63,31.6562,31.0101,31.0636,26.2931097903,1293,0.0,1.0
2016-04-22,31.39,31.6,31.32,31.4601,26.6287186068,2431,0.0,1.0
2016-04-25,31.505,31.6807,31.505,31.6807,26.8154406873,2284,0.0,1.0
2016-04-26,31.9764,31.9764,31.77,31.77,26.8910267334,2547,0.0,1.0
2016-04-27,31.62,31.6499,31.5059,31.6499,26.789370696,1161,0.0,1.0
2016-04-28,33.1499,33.1499,31.6824,31.6824,26.816879615300003,1111,0.0,1.0
2016-04-29,31.65,31.65,31.0895,31.38,26.5609197008,20059,0.0,1.0
2016-05-02,31.19,31.8088,31.19,31.71,26.8402410361,3766,0.0,1.0
2016-05-03,31.605,31.8699,31.605,31.8699,26.975584919499997,4691,0.0,1.0
2016-05-04,31.6747,32.33,31.6747,32.3299,27.3649419323,1663,0.0,1.0
2016-05-05,32.34,32.37,32.3047,32.3599,27.390334781,2650,0.0,1.0
2016-05-06,32.256,32.668,32.2348,32.53,27.5343122329,3761,0.0,1.0
2016-05-09,32.78,32.9012,32.75,32.858000000000004,27.8119407116,5211,0.0,1.0
2016-05-10,33.19,33.19,32.9132,32.9799,27.91512032,7663,0.0,1.0
2016-05-11,33.09,33.09,32.2401,32.38,27.4073479896,7140,0.0,1.0
2016-05-12,32.47,32.605,32.1799,32.4899,27.500370458499997,3557,0.0,1.0
2016-05-13,32.43,32.995,31.91,32.021,27.103480233899997,3660,0.0,1.0
2016-05-16,32.12,32.4999,32.12,32.4575,27.472946181999998,6986,0.0,1.0
2016-05-17,32.0,32.1,31.92,31.92,27.017990976799997,2381,0.0,1.0
