date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,30.0,30.22,29.97,30.22,13.6190742832,25900,0.0,1.0
1999-11-02,30.02,30.39,29.91,29.94,13.4928882872,88300,0.0,1.0
1999-11-03,29.8,29.8,29.5,29.59,13.3351557922,4400,0.0,1.0
1999-11-04,29.78,29.78,29.31,29.44,13.2675561515,10700,0.0,1.0
1999-11-05,29.84,29.91,29.58,29.69,13.3802222193,76800,0.0,1.0
1999-11-08,29.69,29.88,29.63,29.88,13.4658484309,15400,0.0,1.0
1999-11-09,29.67,29.67,29.39,29.44,13.2675561515,3900,0.0,1.0
1999-11-10,29.34,29.59,29.34,29.56,13.321635864,23300,0.0,1.0
1999-11-11,29.53,29.61,29.41,29.47,13.2810760796,5700,0.0,1.0
1999-11-12,29.72,29.72,29.39,29.56,13.321635864,3800,0.0,1.0
1999-11-15,29.45,29.5,29.31,29.42,13.258542866,14800,0.0,1.0
1999-11-16,29.53,29.53,29.36,29.36,13.2315030097,7300,0.0,1.0
1999-11-17,29.42,29.8,29.42,29.58,13.3306491495,13500,0.0,1.0
1999-11-18,29.61,29.66,29.36,29.36,13.2315030097,10700,0.0,1.0
1999-11-19,29.13,29.38,29.13,29.38,13.2405162952,13100,0.0,1.0
1999-11-22,29.2,29.28,28.98,29.05,13.0917970856,35300,0.0,1.0
1999-11-23,28.88,28.94,28.73,28.75,12.9565978042,32400,0.0,1.0
1999-11-24,28.7,28.7,28.55,28.59,12.8844915207,18800,0.0,1.0
1999-11-26,28.75,29.06,28.75,28.92,13.0332107303,2500,0.0,1.0
1999-11-29,28.66,28.69,28.5,28.59,12.8844915207,26100,0.0,1.0
1999-11-30,28.84,29.31,28.81,28.95,13.0467306584,20700,0.0,1.0
1999-12-01,28.91,29.17,28.91,29.09,13.1098236565,4800,0.0,1.0
1999-12-02,29.06,29.14,28.92,28.92,13.0332107303,17700,0.0,1.0
1999-12-03,29.39,29.84,29.39,29.48,13.2855827223,12900,0.0,1.0
1999-12-06,29.64,29.64,29.2,29.28,13.195449868,9900,0.0,1.0
1999-12-07,29.22,29.69,29.22,29.5,13.2945960077,109500,0.0,1.0
1999-12-08,29.34,29.5,29.22,29.27,13.1909432253,10000,0.0,1.0
1999-12-09,29.42,29.56,29.19,29.3,13.2044631535,8300,0.0,1.0
1999-12-10,29.3,29.33,29.08,29.08,13.1053170137,8000,0.0,1.0
1999-12-13,29.0,29.16,28.81,29.06,13.0963037283,13900,0.0,1.0
1999-12-14,29.11,29.3,29.0,29.05,13.0917970856,10200,0.0,1.0
1999-12-15,29.06,29.3,28.95,29.17,13.1458767982,12900,0.0,1.0
1999-12-16,28.84,28.91,28.72,28.88,13.0151841594,11200,0.0,1.0
1999-12-17,28.94,29.06,28.69,29.06,13.2608786589,474100,0.3652,1.0
1999-12-20,28.94,28.94,28.39,28.39,12.9551391992,186800,0.0,1.0
1999-12-21,28.63,29.09,28.47,28.77,13.1285436689,277500,0.0,1.0
1999-12-22,28.91,28.98,28.63,28.69,13.0920374647,84600,0.0,1.0
1999-12-23,28.73,28.95,28.61,28.83,13.155923322,297500,0.0,1.0
1999-12-27,28.88,28.88,27.83,28.06,12.804551107,912300,0.0,1.0
1999-12-28,28.09,28.38,28.09,28.31,12.918632995,99200,0.0,1.0
1999-12-29,28.31,28.31,27.89,27.89,12.7269754232,27900,0.0,1.0
1999-12-30,27.89,28.06,27.89,27.89,12.7269754232,6800,0.0,1.0
1999-12-31,28.11,28.17,28.0,28.14,12.8410573112,38100,0.0,1.0
2000-01-03,28.94,28.94,27.22,27.45,12.5261913003,176700,0.0,1.0
2000-01-04,27.47,27.47,26.63,26.63,12.1520027078,93500,0.0,1.0
2000-01-05,27.22,27.42,26.86,27.2,12.4121094124,273400,0.0,1.0
2000-01-06,27.25,27.25,26.94,27.25,12.43492579,34500,0.0,1.0
2000-01-07,27.3,27.48,27.17,27.48,12.5398811269,46200,0.0,1.0
2000-01-10,27.47,27.66,27.42,27.58,12.5855138821,15500,0.0,1.0
2000-01-11,27.45,27.45,27.08,27.28,12.4486156165,25700,0.0,1.0
2000-01-12,26.86,27.22,26.86,27.0,12.320843902,36700,0.0,1.0
2000-01-13,27.25,27.25,26.73,26.75,12.206762014,139600,0.0,1.0
2000-01-14,26.78,26.97,26.66,26.97,12.3071540754,45700,0.0,1.0
2000-01-18,26.94,27.28,26.86,26.86,12.2569580447,46000,0.0,1.0
2000-01-19,26.78,27.05,26.78,26.88,12.2660845958,26000,0.0,1.0
2000-01-20,26.92,27.16,26.86,27.0,12.320843902,112500,0.0,1.0
2000-01-21,27.56,27.91,27.38,27.88,12.7224121477,201100,0.0,1.0
2000-01-24,27.94,27.94,27.5,27.5,12.5490076779,64300,0.0,1.0
2000-01-25,27.16,27.47,26.63,26.86,12.2569580447,56900,0.0,1.0
2000-01-26,26.8,26.95,26.66,26.73,12.197635463,31400,0.0,1.0
2000-01-27,26.81,26.94,26.56,26.56,12.1200597791,18700,0.0,1.0
2000-01-28,26.53,26.63,26.23,26.42,12.0561739219,28400,0.0,1.0
2000-01-31,26.27,27.64,26.23,27.64,12.6128935352,414800,0.0,1.0
2000-02-01,27.59,27.59,27.31,27.44,12.5216280248,23200,0.0,1.0
2000-02-02,27.5,27.55,27.3,27.3,12.4577421676,14500,0.0,1.0
2000-02-03,27.33,27.61,27.19,27.25,12.43492579,96100,0.0,1.0
2000-02-04,27.5,27.5,27.11,27.11,12.3710399327,19300,0.0,1.0
2000-02-07,26.98,27.13,26.91,27.03,12.3345337285,23000,0.0,1.0
2000-02-08,27.36,27.5,27.09,27.09,12.3619133817,32600,0.0,1.0
2000-02-09,27.16,27.25,26.97,27.09,12.3619133817,16300,0.0,1.0
2000-02-10,26.78,27.05,26.69,26.7,12.1839456364,83200,0.0,1.0
2000-02-11,26.72,26.72,26.11,26.23,11.969471687,92500,0.0,1.0
2000-02-14,26.23,26.42,26.13,26.27,11.9877247891,11600,0.0,1.0
2000-02-15,26.22,26.31,26.09,26.2,11.9557818604,26100,0.0,1.0
2000-02-16,26.14,26.27,25.95,26.09,11.9055858297,154000,0.0,1.0
2000-02-17,26.08,26.08,25.88,25.94,11.8371366969,10700,0.0,1.0
2000-02-18,25.69,25.69,24.97,25.0,11.4081887981,14900,0.0,1.0
2000-02-22,25.06,25.08,24.77,24.89,11.3579927674,32000,0.0,1.0
2000-02-23,24.94,24.94,24.27,24.38,11.1252657159,51900,0.0,1.0
2000-02-24,24.55,25.5,23.38,23.56,10.7510771234,104700,0.0,1.0
2000-02-25,23.64,23.94,23.44,23.44,10.6963178171,7400,0.0,1.0
2000-02-28,23.52,24.33,23.38,24.11,11.0020572769,195500,0.0,1.0
2000-02-29,24.14,24.31,24.03,24.28,11.0796329607,9100,0.0,1.0
2000-03-01,25.16,25.42,25.14,25.34,11.5633401658,46100,0.0,1.0
2000-03-02,25.59,26.13,25.59,26.0,11.8645163501,105600,0.0,1.0
2000-03-03,26.52,26.61,26.23,26.23,11.969471687,45600,0.0,1.0
2000-03-06,25.91,25.91,25.5,25.5,11.6363525741,79200,0.0,1.0
2000-03-07,25.91,26.05,25.05,25.2,11.4994543085,81900,0.0,1.0
2000-03-08,24.92,25.92,24.92,25.38,11.5815932679,24900,0.0,1.0
2000-03-09,25.14,25.67,25.14,25.58,11.6728587782,156700,0.0,1.0
2000-03-10,25.55,25.86,25.38,25.58,11.6728587782,22600,0.0,1.0
2000-03-13,25.16,25.75,25.16,25.66,11.7093649824,186200,0.0,1.0
2000-03-14,25.42,25.63,25.25,25.48,11.6272260231,170000,0.0,1.0
2000-03-15,25.25,25.95,25.22,25.63,11.6956751558,213500,0.0,1.0
2000-03-16,26.09,27.09,26.05,26.84,12.2478314937,53000,0.0,1.0
2000-03-17,26.66,27.09,26.56,26.64,12.2464054701,62800,0.1969,1.0
2000-03-20,26.75,26.81,26.38,26.53,12.1958384805,61300,0.0,1.0
2000-03-21,26.31,26.59,26.2,26.36,12.1176894967,89700,0.0,1.0
2000-03-22,26.13,26.31,25.66,25.75,11.8372725546,48500,0.0,1.0
2000-03-23,25.94,26.28,25.7,26.19,12.0395405128,7100,0.0,1.0
2000-03-24,26.39,26.39,25.88,25.94,11.9246155366,24300,0.0,1.0
2000-03-27,26.09,26.34,26.09,26.3,12.0901075024,33000,0.0,1.0
2000-03-28,26.34,26.36,26.08,26.17,12.0303465147,17600,0.0,1.0
2000-03-29,26.5,26.8,26.38,26.64,12.2464054701,12900,0.0,1.0
2000-03-30,26.63,26.86,26.55,26.58,12.2188234758,33600,0.0,1.0
2000-03-31,26.78,26.81,26.34,26.73,12.2877784615,59400,0.0,1.0
2000-04-03,26.64,26.97,26.42,26.91,12.3705244444,80900,0.0,1.0
2000-04-04,27.55,28.06,27.06,27.28,12.5406134093,64500,0.0,1.0
2000-04-05,27.94,28.14,27.64,27.64,12.7061053751,11000,0.0,1.0
2000-04-06,27.89,28.0,27.66,27.81,12.784254359,129200,0.0,1.0
2000-04-07,27.92,27.92,27.52,27.73,12.7474783666,169700,0.0,1.0
2000-04-10,27.55,28.0,27.55,27.67,12.7198963723,26600,0.0,1.0
2000-04-11,27.91,28.52,27.91,28.39,13.0508803039,28300,0.0,1.0
2000-04-12,28.66,29.0,28.53,28.64,13.1658052801,76000,0.0,1.0
2000-04-13,28.66,28.72,28.45,28.67,13.1795962773,25000,0.0,1.0
2000-04-14,28.7,28.73,27.36,27.63,12.7015083761,138300,0.0,1.0
2000-04-17,27.67,27.67,26.0,27.2,12.5038374169,117800,0.0,1.0
2000-04-18,27.25,27.59,27.25,27.28,12.5406134093,47600,0.0,1.0
2000-04-19,27.39,27.53,27.28,27.53,12.6555383856,7200,0.0,1.0
2000-04-20,27.73,27.75,27.63,27.63,12.7015083761,8000,0.0,1.0
2000-04-24,27.78,28.45,27.78,28.38,13.0462833048,16700,0.0,1.0
2000-04-25,28.59,29.31,28.39,29.22,13.4324312251,18300,0.0,1.0
2000-04-26,29.23,29.38,29.05,29.16,13.4048492308,23400,0.0,1.0
2000-04-27,28.88,29.09,28.5,28.5,13.1014472934,11100,0.0,1.0
2000-04-28,28.5,28.66,28.31,28.48,13.0922532953,9700,0.0,1.0
2000-05-01,28.23,28.58,28.23,28.48,13.0922532953,27500,0.0,1.0
2000-05-02,28.3,28.44,27.38,27.45,12.6187623932,24200,0.0,1.0
2000-05-03,27.5,28.5,27.36,27.55,12.6647323837,183600,0.0,1.0
2000-05-04,27.19,27.61,27.08,27.5,12.6417473884,28000,0.0,1.0
2000-05-05,27.33,27.56,27.31,27.56,12.6693293827,14900,0.0,1.0
2000-05-08,27.25,28.06,27.25,27.75,12.7566723647,32300,0.0,1.0
2000-05-09,27.59,27.78,27.5,27.66,12.7152993732,10300,0.0,1.0
2000-05-10,27.78,28.36,27.72,28.19,12.9589403229,38200,0.0,1.0
2000-05-11,28.27,28.66,28.27,28.61,13.152014283,47900,0.0,1.0
2000-05-12,28.55,28.55,28.06,28.16,12.9451493257,12000,0.0,1.0
2000-05-15,28.03,28.86,28.03,28.7,13.1933872744,919300,0.0,1.0
2000-05-16,28.63,28.81,28.34,28.58,13.1382232858,906400,0.0,1.0
2000-05-17,28.34,28.34,28.02,28.14,12.9359553276,6600,0.0,1.0
2000-05-18,28.38,28.66,28.23,28.38,13.0462833048,12000,0.0,1.0
2000-05-19,27.81,28.0,27.52,27.84,12.7980453561,7400,0.0,1.0
2000-05-22,28.03,28.08,27.73,28.03,12.8853883381,14800,0.0,1.0
2000-05-23,27.97,27.97,27.52,27.52,12.6509413865,15100,0.0,1.0
2000-05-24,27.83,28.17,27.8,27.98,12.8624033428,14700,0.0,1.0
2000-05-25,28.06,28.06,27.52,27.52,12.6509413865,25000,0.0,1.0
2000-05-26,27.97,28.22,27.72,28.06,12.8991793352,114600,0.0,1.0
2000-05-30,28.28,28.28,27.94,28.27,12.9957163153,28400,0.0,1.0
2000-05-31,28.13,28.47,28.13,28.42,13.064671301,9300,0.0,1.0
2000-06-01,28.33,28.63,28.27,28.63,13.1612082811,6800,0.0,1.0
2000-06-02,28.52,28.69,28.39,28.53,13.1152382906,50800,0.0,1.0
2000-06-05,28.16,28.16,27.88,27.88,12.8164333523,16800,0.0,1.0
2000-06-06,28.06,28.61,28.06,28.53,13.1152382906,46200,0.0,1.0
2000-06-07,28.31,28.73,28.31,28.64,13.1658052801,32400,0.0,1.0
2000-06-08,28.63,28.86,28.5,28.81,13.243954264,8100,0.0,1.0
2000-06-09,28.83,29.22,28.83,29.17,13.4094462298,134300,0.0,1.0
2000-06-12,29.28,29.28,28.97,29.05,13.3542822412,44800,0.0,1.0
2000-06-13,29.22,29.77,29.22,29.67,13.6392961823,31200,0.0,1.0
2000-06-14,29.84,29.84,29.36,29.55,13.5841321937,37800,0.0,1.0
2000-06-15,29.55,29.91,29.39,29.39,13.5105802089,227100,0.0,1.0
2000-06-16,29.16,29.5,28.84,28.84,13.3594520263,236000,0.2212,1.0
2000-06-19,29.25,29.52,29.17,29.31,13.5771684775,91800,0.0,1.0
2000-06-20,29.08,29.14,28.8,29.0,13.433568265,240200,0.0,1.0
2000-06-21,28.81,29.34,28.81,29.09,13.4752586493,175800,0.0,1.0
2000-06-22,28.95,29.05,28.91,28.91,13.3918778808,15400,0.0,1.0
2000-06-23,28.97,29.22,28.97,29.0,13.433568265,39200,0.0,1.0
2000-06-26,29.22,29.25,28.91,28.91,13.3918778808,14300,0.0,1.0
2000-06-27,28.81,28.97,28.13,28.13,13.0305612171,3486300,0.0,1.0
2000-06-28,28.11,28.36,27.61,28.36,13.1371033102,1770500,0.0,1.0
2000-06-29,27.86,28.03,27.63,27.91,12.9286513889,11500,0.0,1.0
2000-06-30,27.84,28.22,27.16,27.25,12.6229219042,4043900,0.0,1.0
2000-07-03,27.91,28.13,27.81,28.06,12.9981353627,255100,0.0,1.0
2000-07-05,27.23,28.81,27.23,28.31,13.1139419856,2175000,0.0,1.0
2000-07-06,28.33,28.63,28.31,28.34,13.1278387804,366400,0.0,1.0
2000-07-07,28.25,28.73,28.25,28.64,13.266806728,38000,0.0,1.0
2000-07-10,28.88,29.02,28.59,28.64,13.266806728,68100,0.0,1.0
2000-07-11,28.63,28.63,28.38,28.38,13.1463678401,6800,0.0,1.0
2000-07-12,28.53,28.63,28.45,28.5,13.2019550191,6100,0.0,1.0
2000-07-13,28.56,28.63,28.34,28.63,13.262174463,5200,0.0,1.0
2000-07-14,28.56,28.56,28.02,28.23,13.0768838663,62000,0.0,1.0
2000-07-17,28.08,28.25,27.89,28.0,12.9703417731,149200,0.0,1.0
2000-07-18,28.06,28.25,27.83,27.89,12.919386859,172300,0.0,1.0
2000-07-19,28.31,28.36,27.95,28.17,13.0490902768,171000,0.0,1.0
2000-07-20,28.08,28.11,27.5,27.72,12.8406383554,92600,0.0,1.0
2000-07-21,27.95,28.25,27.73,28.0,12.9703417731,11800,0.0,1.0
2000-07-24,27.88,28.13,27.77,27.91,12.9286513889,87400,0.0,1.0
2000-07-25,28.31,28.34,28.08,28.14,13.035193482,133100,0.0,1.0
2000-07-26,28.28,28.28,27.88,27.88,12.9147545941,4900,0.0,1.0
2000-07-27,28.06,28.06,27.73,27.77,12.86379968,4400,0.0,1.0
2000-07-28,27.94,27.94,27.59,27.59,12.7804189115,11500,0.0,1.0
2000-07-31,27.88,27.97,27.67,27.67,12.8174770308,54000,0.0,1.0
2000-08-01,27.86,28.31,27.81,28.28,13.1000451909,9500,0.0,1.0
2000-08-02,28.34,28.75,28.34,28.75,13.3177616421,29700,0.0,1.0
2000-08-03,28.75,29.05,28.75,28.8,13.3409229667,59500,0.0,1.0
2000-08-04,28.47,28.81,28.23,28.64,13.266806728,17600,0.0,1.0
2000-08-07,28.56,29.31,28.56,29.2,13.5262135634,36900,0.0,1.0
2000-08-08,28.66,28.66,28.38,28.44,13.1741614296,53600,0.0,1.0
2000-08-09,28.38,28.44,27.88,27.98,12.9610772433,75400,0.0,1.0
2000-08-10,28.0,28.06,27.78,27.98,12.9610772433,4600,0.0,1.0
2000-08-11,28.11,28.59,28.11,28.3,13.1093097207,11900,0.0,1.0
2000-08-14,27.97,28.56,27.97,28.47,13.1880582243,12500,0.0,1.0
2000-08-15,28.47,28.75,28.34,28.66,13.2760712578,7100,0.0,1.0
2000-08-16,28.5,28.59,28.31,28.34,13.1278387804,16900,0.0,1.0
2000-08-17,28.19,28.28,27.88,27.88,12.9147545941,12500,0.0,1.0
2000-08-18,27.81,28.25,27.81,28.03,12.9842385679,10400,0.0,1.0
2000-08-21,28.2,28.25,28.06,28.22,13.0722516014,5600,0.0,1.0
2000-08-22,28.25,28.25,27.88,27.88,12.9147545941,12200,0.0,1.0
2000-08-23,27.88,28.13,27.78,28.09,13.0120321574,98700,0.0,1.0
2000-08-24,28.19,28.19,27.88,28.03,12.9842385679,11200,0.0,1.0
2000-08-25,27.92,28.09,27.91,28.0,12.9703417731,159900,0.0,1.0
2000-08-28,28.13,28.7,28.13,28.5,13.2019550191,11900,0.0,1.0
2000-08-29,28.44,28.44,28.22,28.25,13.0861483961,10400,0.0,1.0
2000-08-30,28.25,28.59,28.25,28.53,13.2158518138,7300,0.0,1.0
2000-08-31,28.75,29.03,28.75,28.75,13.3177616421,6000,0.0,1.0
2000-09-01,28.98,29.09,28.78,29.09,13.4752586493,242300,0.0,1.0
2000-09-05,29.25,29.38,29.13,29.2,13.5262135634,156400,0.0,1.0
2000-09-06,29.52,29.63,29.41,29.56,13.6929751005,136900,0.0,1.0
2000-09-07,29.59,29.75,29.44,29.56,13.6929751005,35200,0.0,1.0
2000-09-08,29.75,30.56,29.72,30.5,14.1284080029,960400,0.0,1.0
2000-09-11,30.69,31.36,30.69,31.2,14.4526665472,563900,0.0,1.0
2000-09-12,31.16,31.25,30.81,31.13,14.4202406928,690300,0.0,1.0
2000-09-13,31.13,31.31,30.88,30.91,14.3183308646,101900,0.0,1.0
2000-09-14,30.88,30.88,30.34,30.5,14.1284080029,60500,0.0,1.0
2000-09-15,30.31,30.72,30.31,30.53,14.2587668861,54200,0.2514,1.0
2000-09-18,30.5,30.56,30.31,30.34,14.170029064,61200,0.0,1.0
2000-09-19,30.44,30.44,29.84,29.84,13.9365084796,50200,0.0,1.0
2000-09-20,29.75,29.75,29.19,29.31,13.6889766601,96300,0.0,1.0
2000-09-21,29.5,29.53,29.16,29.53,13.7917257172,146900,0.0,1.0
2000-09-22,29.84,30.28,29.78,30.28,14.1420065939,25300,0.0,1.0
2000-09-25,30.31,30.5,30.25,30.5,14.244755651,57000,0.0,1.0
2000-09-26,30.63,31.13,30.63,30.94,14.4502537653,16700,0.0,1.0
2000-09-27,30.81,31.05,30.56,30.81,14.3895384134,51800,0.0,1.0
2000-09-28,31.0,31.83,30.95,31.81,14.8565795823,112500,0.0,1.0
2000-09-29,31.88,32.56,31.84,32.28,15.0760889317,59400,0.0,1.0
2000-10-02,31.98,32.47,31.81,32.47,15.1648267537,22700,0.0,1.0
2000-10-03,32.23,32.81,32.06,32.06,14.9733398745,91700,0.0,1.0
2000-10-04,32.28,32.56,31.78,32.06,14.9733398745,58500,0.0,1.0
2000-10-05,32.55,32.55,32.25,32.34,15.1041114018,199200,0.0,1.0
2000-10-06,32.25,32.56,32.08,32.19,15.0340552265,20400,0.0,1.0
2000-10-09,32.45,32.63,32.13,32.19,15.0340552265,40400,0.0,1.0
2000-10-10,32.47,32.67,32.06,32.13,15.0060327563,14900,0.0,1.0
2000-10-11,32.31,32.31,31.34,31.63,14.7725121719,40900,0.0,1.0
2000-10-12,31.31,31.77,30.81,31.19,14.5670140576,62500,0.0,1.0
2000-10-13,31.31,31.66,31.28,31.66,14.7865234069,58400,0.0,1.0
2000-10-16,31.84,32.06,31.78,31.84,14.8705908173,78700,0.0,1.0
2000-10-17,32.13,32.41,32.03,32.27,15.07141852,34100,0.0,1.0
2000-10-18,32.09,32.23,31.81,32.0,14.9453174044,135000,0.0,1.0
2000-10-19,31.63,32.11,31.63,31.84,14.8705908173,38500,0.0,1.0
2000-10-20,31.63,31.83,30.92,31.67,14.7911938186,81100,0.0,1.0
2000-10-23,31.77,32.47,31.77,32.34,15.1041114018,24400,0.0,1.0
2000-10-24,32.69,32.69,32.06,32.2,15.0387256381,11000,0.0,1.0
2000-10-25,32.28,32.55,31.94,32.0,14.9453174044,76500,0.0,1.0
2000-10-26,32.0,32.09,31.72,31.89,14.8939428758,29600,0.0,1.0
2000-10-27,32.09,32.63,31.94,32.63,15.2395533408,27300,0.0,1.0
2000-10-30,33.28,33.95,33.28,33.89,15.8280252136,52200,0.0,1.0
2000-10-31,33.81,34.16,33.75,34.16,15.9541263292,27100,0.0,1.0
2000-11-01,34.28,34.38,33.78,33.95,15.8560476837,40300,0.0,1.0
2000-11-02,34.03,34.03,33.5,33.97,15.8653885071,5900,0.0,1.0
2000-11-03,33.83,34.16,33.7,33.81,15.7906619201,9800,0.0,1.0
2000-11-06,34.0,34.06,33.66,33.66,15.7206057447,13300,0.0,1.0
2000-11-07,33.72,33.72,33.44,33.7,15.7392873915,14400,0.0,1.0
2000-11-08,33.75,33.88,33.48,33.88,15.8233548019,18600,0.0,1.0
2000-11-09,33.94,34.16,33.59,34.06,15.9074222123,12700,0.0,1.0
2000-11-10,34.31,34.41,34.03,34.13,15.9401150941,12900,0.0,1.0
2000-11-13,34.31,34.55,34.09,34.28,16.0101712694,25600,0.0,1.0
2000-11-14,33.91,34.06,33.58,33.69,15.7346169798,16300,0.0,1.0
2000-11-15,33.66,33.97,33.36,33.66,15.7206057447,19700,0.0,1.0
2000-11-16,34.09,34.23,33.94,34.05,15.9027518006,21000,0.0,1.0
2000-11-17,33.59,33.75,33.34,33.53,15.6598903928,8800,0.0,1.0
2000-11-20,33.94,33.97,33.81,33.86,15.8140139785,11300,0.0,1.0
2000-11-21,33.56,33.81,33.45,33.53,15.6598903928,4800,0.0,1.0
2000-11-22,33.78,33.97,33.67,33.78,15.776650685,25300,0.0,1.0
2000-11-24,33.94,33.94,33.69,33.72,15.7486282149,6700,0.0,1.0
2000-11-27,33.5,33.69,33.47,33.48,15.6365383343,35300,0.0,1.0
2000-11-28,33.53,34.05,33.53,33.97,15.8653885071,101400,0.0,1.0
2000-11-29,33.97,34.25,33.97,34.19,15.9681375642,41300,0.0,1.0
2000-11-30,34.3,34.38,33.69,34.14,15.9447855058,22200,0.0,1.0
2000-12-01,34.0,34.08,33.3,33.48,15.6365383343,13500,0.0,1.0
2000-12-04,33.59,34.19,33.59,33.84,15.8046731551,20000,0.0,1.0
2000-12-05,33.94,34.06,33.77,34.06,15.9074222123,23300,0.0,1.0
2000-12-06,34.25,34.3,33.94,34.19,15.9681375642,45300,0.0,1.0
2000-12-07,34.38,34.42,34.13,34.17,15.9587967409,20100,0.0,1.0
2000-12-08,33.73,33.91,33.34,33.34,15.5711525707,44200,0.0,1.0
2000-12-11,33.22,33.47,33.06,33.44,15.6178566876,18600,0.0,1.0
2000-12-12,33.56,33.88,33.42,33.53,15.6598903928,17200,0.0,1.0
2000-12-13,33.94,34.41,33.88,34.36,16.0475345629,33500,0.0,1.0
2000-12-14,34.23,34.34,33.86,34.16,15.9541263292,30800,0.0,1.0
2000-12-15,33.95,33.98,33.53,33.63,15.9363647535,28800,0.492,1.0
2000-12-18,33.59,33.59,33.2,33.31,15.9048569066,12800,0.2535,1.0
2000-12-19,32.44,33.13,32.06,32.16,15.3557549719,25600,0.0,1.0
2000-12-20,32.09,32.31,31.72,31.86,15.212510989,24700,0.0,1.0
2000-12-21,31.61,31.88,31.41,31.67,15.1217897998,33400,0.0,1.0
2000-12-22,31.84,32.17,31.61,32.17,15.3605297714,39300,0.0,1.0
2000-12-26,32.31,33.16,32.31,33.08,15.7950365196,7500,0.0,1.0
2000-12-27,33.03,33.34,32.88,33.08,15.7950365196,17800,0.0,1.0
2000-12-28,33.16,33.22,32.81,32.81,15.666116935,12200,0.0,1.0
2000-12-29,32.77,33.41,32.72,33.19,15.8475593134,18600,0.0,1.0
2001-01-02,32.94,33.0,32.64,32.69,15.6088193418,7400,0.0,1.0
2001-01-03,33.44,33.92,32.0,32.0,15.279358181,77900,0.0,1.0
2001-01-04,32.0,32.0,31.0,31.5,15.0406182095,48400,0.0,1.0
2001-01-05,31.33,31.94,31.19,31.19,14.8925994271,35200,0.0,1.0
2001-01-08,31.55,31.72,31.22,31.66,15.1170150004,363900,0.0,1.0
2001-01-09,31.44,32.08,31.44,31.8,15.1838621924,52000,0.0,1.0
2001-01-10,31.66,32.09,31.55,31.72,15.145663797,19600,0.0,1.0
2001-01-11,31.53,31.63,30.88,30.98,14.792328639,30100,0.0,1.0
2001-01-12,31.0,31.28,30.56,31.22,14.9069238254,46900,0.0,1.0
2001-01-16,30.72,30.78,30.06,30.72,14.6681838538,43600,0.0,1.0
2001-01-17,30.66,31.0,30.56,30.8,14.7063822492,28700,0.0,1.0
2001-01-18,30.94,31.52,30.7,31.34,14.9642214186,17700,0.0,1.0
2001-01-19,30.97,31.41,30.91,31.25,14.9212482237,10300,0.0,1.0
2001-01-22,31.25,31.47,30.94,31.19,14.8925994271,19800,0.0,1.0
2001-01-23,31.42,31.61,31.13,31.16,14.8782750288,41600,0.0,1.0
2001-01-24,31.22,31.48,30.98,31.2,14.8973742265,17900,0.0,1.0
2001-01-25,31.47,31.52,31.0,31.42,15.002419814,16300,0.0,1.0
2001-01-26,31.47,31.47,30.41,31.13,14.8639506305,25700,0.0,1.0
2001-01-29,31.5,31.75,31.33,31.61,15.0931410032,52800,0.0,1.0
2001-01-30,31.25,31.61,31.23,31.61,15.0931410032,8900,0.0,1.0
2001-01-31,31.25,31.34,31.13,31.32,14.9546718197,8400,0.0,1.0
2001-02-01,31.45,31.7,31.28,31.7,15.1361141981,14800,0.0,1.0
