date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,28.3,28.3,28.13,28.19,20.5182437873,22400,0.0,1.0
1999-11-02,28.28,28.33,27.8,27.83,20.2562158426,19900,0.0,1.0
1999-11-03,28.03,28.03,27.73,27.95,20.3435584908,7400,0.0,1.0
1999-11-04,28.13,28.38,28.13,28.27,20.5764722195,8800,0.0,1.0
1999-11-05,28.66,28.66,28.14,28.14,20.4818510172,23600,0.0,1.0
1999-11-08,28.0,28.25,28.0,28.19,20.5182437873,16600,0.0,1.0
1999-11-09,28.31,28.33,27.94,28.0,20.3799512609,10000,0.0,1.0
1999-11-10,27.67,28.19,27.67,28.17,20.5036866793,21300,0.0,1.0
1999-11-11,28.42,28.59,28.34,28.5,20.743878962,8000,0.0,1.0
1999-11-12,28.89,29.13,28.53,29.06,21.1514779872,33500,0.0,1.0
1999-11-15,29.0,29.34,29.0,29.19,21.2460991895,15700,0.0,1.0
1999-11-16,29.25,29.61,29.25,29.56,21.5154056883,17700,0.0,1.0
1999-11-17,29.5,29.5,29.25,29.27,21.3043276217,3300,0.0,1.0
1999-11-18,29.28,29.66,29.28,29.45,21.435341594100002,8200,0.0,1.0
1999-11-19,29.47,29.47,29.27,29.31,21.3334418378,8700,0.0,1.0
1999-11-22,29.0,29.09,28.88,29.0,21.1078066631,15700,0.0,1.0
1999-11-23,28.91,28.91,28.47,28.52,20.7584360701,7000,0.0,1.0
1999-11-24,28.44,28.92,28.44,28.92,21.0495782309,21400,0.0,1.0
1999-11-26,28.81,28.81,28.69,28.69,20.882171488399997,9400,0.0,1.0
1999-11-29,28.52,28.72,28.52,28.52,20.7584360701,31700,0.0,1.0
1999-11-30,28.56,28.81,28.41,28.5,20.743878962,7500,0.0,1.0
1999-12-01,28.47,28.59,28.38,28.44,20.7002076379,40700,0.0,1.0
1999-12-02,28.5,28.69,28.5,28.69,20.882171488399997,20800,0.0,1.0
1999-12-03,28.94,29.66,28.94,29.25,21.2897705136,24600,0.0,1.0
1999-12-06,29.36,29.44,29.25,29.42,21.413505932,40700,0.0,1.0
1999-12-07,29.44,29.56,29.34,29.34,21.3552774998,11500,0.0,1.0
1999-12-08,29.41,29.73,29.41,29.63,21.5663555665,38900,0.0,1.0
1999-12-09,29.83,30.13,29.83,30.08,21.893890497399997,12100,0.0,1.0
1999-12-10,30.25,30.25,29.77,29.89,21.755597971,18800,0.0,1.0
1999-12-13,29.69,29.95,29.69,29.69,21.6100268906,10700,0.0,1.0
1999-12-14,29.53,29.83,29.53,29.75,21.653698214699997,16000,0.0,1.0
1999-12-15,29.56,29.91,29.45,29.5,21.4717343642,8400,0.0,1.0
1999-12-16,29.63,29.73,29.38,29.73,21.639141106700002,9500,0.0,1.0
1999-12-17,29.97,30.25,29.81,30.25,22.0176259158,485300,0.0,1.0
1999-12-20,30.16,30.41,29.97,29.97,21.9420526894,301300,0.1762,1.0
1999-12-21,29.81,30.06,29.72,29.78,21.8029472503,558700,0.0,1.0
1999-12-22,29.86,30.0,29.78,29.81,21.824911266999997,153500,0.0,1.0
1999-12-23,30.0,30.53,30.0,30.44,22.286155617800002,445400,0.0,1.0
1999-12-27,30.75,30.75,30.44,30.44,22.286155617800002,500800,0.0,1.0
1999-12-28,30.41,30.67,30.41,30.5,22.3300836512,112800,0.0,1.0
1999-12-29,30.31,30.48,30.31,30.48,22.3154409734,27900,0.0,1.0
1999-12-30,30.41,30.75,30.41,30.59,22.3959757013,7300,0.0,1.0
1999-12-31,30.59,30.89,30.59,30.89,22.615615868400003,7200,0.0,1.0
2000-01-03,31.0,31.0,30.06,30.3,22.1836568732,246700,0.0,1.0
2000-01-04,30.19,30.2,29.53,29.61,21.678484488899997,35300,0.0,1.0
2000-01-05,29.78,29.78,29.22,29.53,21.6199137777,137600,0.0,1.0
2000-01-06,29.31,29.56,29.16,29.44,21.554021727600002,50000,0.0,1.0
2000-01-07,29.47,29.8,29.36,29.8,21.8175899281,22100,0.0,1.0
2000-01-10,32.25,32.94,31.63,32.84,24.043276954299998,31800,0.0,1.0
2000-01-11,32.53,32.53,31.97,31.97,23.4063204698,17900,0.0,1.0
2000-01-12,32.22,32.22,31.31,31.44,23.018289508000002,12400,0.0,1.0
2000-01-13,31.72,32.44,31.59,32.38,23.7064953648,600000,0.0,1.0
2000-01-14,32.59,32.59,31.91,32.09,23.494176536599998,23600,0.0,1.0
2000-01-18,31.88,31.88,31.47,31.5,23.0622175414,417300,0.0,1.0
2000-01-19,31.59,32.25,31.5,32.25,23.6113179591,10400,0.0,1.0
2000-01-20,32.41,32.5,31.88,32.0,23.4282844865,64200,0.0,1.0
2000-01-21,31.88,32.05,31.69,31.94,23.3843564531,37300,0.0,1.0
2000-01-24,32.03,32.19,30.98,30.98,22.6815079185,72100,0.0,1.0
2000-01-25,31.25,31.44,31.0,31.2,22.8425773744,24400,0.0,1.0
2000-01-26,31.19,31.3,31.0,31.06,22.740078629699997,10500,0.0,1.0
2000-01-27,31.2,31.39,30.88,30.88,22.608294529499997,10700,0.0,1.0
2000-01-28,30.94,31.03,30.25,30.25,22.1470501787,18100,0.0,1.0
2000-01-31,30.38,30.38,29.86,30.11,22.044551434000002,27500,0.0,1.0
2000-02-01,30.22,30.53,30.16,30.5,22.3300836512,161600,0.0,1.0
2000-02-02,30.72,31.25,30.72,31.25,22.8791840689,7700,0.0,1.0
2000-02-03,31.2,31.61,31.02,31.53,23.0841815581,31500,0.0,1.0
2000-02-04,31.73,31.81,31.56,31.64,23.164716286100003,11300,0.0,1.0
2000-02-07,31.63,31.63,30.98,31.13,22.791328001999997,36400,0.0,1.0
2000-02-08,31.19,31.53,31.19,31.47,23.0402535247,265000,0.0,1.0
2000-02-09,31.44,31.44,30.77,30.91,22.6302585462,19000,0.0,1.0
2000-02-10,30.88,31.06,30.63,30.64,22.4325823958,5000,0.0,1.0
2000-02-11,30.64,30.88,30.58,30.66,22.4472250737,9200,0.0,1.0
2000-02-14,30.31,30.47,29.91,30.09,22.029908756199998,14900,0.0,1.0
2000-02-15,30.03,30.03,29.63,29.86,21.861517961500002,23100,0.0,1.0
2000-02-16,29.63,29.75,29.0,29.02,21.2465254937,35000,0.0,1.0
2000-02-17,29.16,29.3,28.88,29.0,21.2318828159,15300,0.0,1.0
2000-02-18,28.94,28.98,28.2,28.2,20.6461757037,109900,0.0,1.0
2000-02-22,28.45,28.45,27.84,28.0,20.4997489257,35300,0.0,1.0
2000-02-23,27.94,28.63,27.94,28.44,20.8218878374,17500,0.0,1.0
2000-02-24,28.47,28.59,27.75,28.22,20.660818381600002,172800,0.0,1.0
2000-02-25,28.16,28.19,27.0,27.34,20.0165405582,21200,0.0,1.0
2000-02-28,27.47,27.83,27.28,27.83,20.375286164400002,103600,0.0,1.0
2000-02-29,27.94,28.36,27.83,28.14,20.6022476703,15500,0.0,1.0
2000-03-01,28.27,28.53,28.03,28.38,20.777959804,26700,0.0,1.0
2000-03-02,28.34,28.44,28.16,28.25,20.6827823983,47600,0.0,1.0
2000-03-03,28.47,28.7,28.34,28.64,20.9683146154,372700,0.0,1.0
2000-03-06,28.45,28.61,28.08,28.08,20.558319636900002,316300,0.0,1.0
2000-03-07,28.09,28.25,27.5,27.56,20.177610014000003,635200,0.0,1.0
2000-03-08,27.31,27.69,27.31,27.42,20.0751112694,184000,0.0,1.0
2000-03-09,27.47,28.16,27.38,28.06,20.5436769591,15400,0.0,1.0
2000-03-10,28.0,28.2,27.81,27.83,20.375286164400002,165300,0.0,1.0
2000-03-13,27.22,27.84,27.22,27.63,20.2288593863,64200,0.0,1.0
2000-03-14,27.81,28.09,27.7,27.7,20.280108758599997,36200,0.0,1.0
2000-03-15,27.84,28.06,27.56,27.84,20.3826075033,42200,0.0,1.0
2000-03-16,28.13,29.28,28.13,29.28,21.4368803052,168500,0.0,1.0
2000-03-17,29.16,29.59,29.06,29.31,21.4588443219,62000,0.0,1.0
2000-03-20,29.81,30.0,29.7,29.88,21.876160639299997,8200,0.0,1.0
2000-03-21,30.0,30.13,29.72,30.06,22.007944739499997,18100,0.0,1.0
2000-03-22,30.31,31.05,30.31,30.83,22.571687835,29900,0.0,1.0
2000-03-23,30.63,31.16,30.63,30.95,22.6595439018,24900,0.0,1.0
2000-03-24,31.0,31.36,31.0,31.22,22.8572200522,9200,0.0,1.0
2000-03-27,31.05,31.36,31.0,31.0,22.6961505963,14400,0.0,1.0
2000-03-28,31.0,31.17,30.88,31.03,22.718114613,13700,0.0,1.0
2000-03-29,30.78,30.83,30.41,30.56,22.3740116846,6800,0.0,1.0
2000-03-30,30.5,30.63,29.98,30.13,22.059194111799997,14000,0.0,1.0
2000-03-31,30.34,30.67,30.06,30.67,22.454546412600003,14400,0.0,1.0
2000-04-03,30.92,30.92,30.66,30.66,22.4472250737,11200,0.0,1.0
2000-04-04,30.83,31.13,29.44,30.31,22.1909782121,7600,0.0,1.0
2000-04-05,30.0,30.34,29.92,30.11,22.044551434000002,7100,0.0,1.0
2000-04-06,30.28,30.84,30.28,30.69,22.4691890904,29000,0.0,1.0
2000-04-07,30.81,30.91,30.55,30.77,22.5277598016,6000,0.0,1.0
2000-04-10,30.81,30.86,30.56,30.56,22.3740116846,16000,0.0,1.0
2000-04-11,30.5,30.83,30.48,30.83,22.571687835,10100,0.0,1.0
2000-04-12,30.88,30.94,30.27,30.27,22.1616928565,13100,0.0,1.0
2000-04-13,30.02,30.06,29.38,29.5,21.597949761,17500,0.0,1.0
2000-04-14,28.47,28.59,27.72,27.72,20.2947514365,9800,0.0,1.0
2000-04-17,27.78,28.06,27.14,27.95,20.4631422312,16900,0.0,1.0
2000-04-18,27.89,28.72,27.89,28.72,21.0268853267,50900,0.0,1.0
2000-04-19,29.19,29.5,29.09,29.47,21.5759857443,7200,0.0,1.0
2000-04-20,29.47,29.59,29.25,29.59,21.663841811100003,4000,0.0,1.0
2000-04-24,29.0,29.31,28.88,29.17,21.3563455772,18000,0.0,1.0
2000-04-25,29.31,29.91,29.31,29.91,21.898124656,3600,0.0,1.0
2000-04-26,30.0,30.47,30.0,30.22,22.125086162,15500,0.0,1.0
2000-04-27,29.63,30.19,29.63,30.03,21.9859807228,5200,0.0,1.0
2000-04-28,30.58,30.58,30.19,30.31,22.1909782121,4900,0.0,1.0
2000-05-01,30.41,30.56,30.28,30.41,22.264191601100002,3500,0.0,1.0
2000-05-02,29.94,29.94,29.64,29.8,21.8175899281,3800,0.0,1.0
2000-05-03,29.31,29.41,28.69,28.97,21.2099187992,10600,0.0,1.0
2000-05-04,28.88,29.06,28.77,28.88,21.1440267491,18600,0.0,1.0
2000-05-05,28.78,29.03,28.78,28.84,21.114741393499997,4700,0.0,1.0
2000-05-08,28.67,28.91,28.58,28.91,21.1659907658,5800,0.0,1.0
2000-05-09,28.94,28.94,28.66,28.7,21.012242648900003,6200,0.0,1.0
2000-05-10,28.94,29.09,28.47,28.66,20.9829572932,9100,0.0,1.0
2000-05-11,28.66,28.75,28.56,28.63,20.9609932765,3800,0.0,1.0
2000-05-12,28.88,29.22,28.84,29.13,21.3270602216,5100,0.0,1.0
2000-05-15,29.0,29.63,29.0,29.61,21.678484488899997,8000,0.0,1.0
2000-05-16,29.84,30.16,29.84,30.0,21.9640167061,11200,0.0,1.0
2000-05-17,29.66,29.91,29.59,29.66,21.715091183400002,6600,0.0,1.0
2000-05-18,29.81,29.81,29.56,29.63,21.693127166700002,2200,0.0,1.0
2000-05-19,29.16,29.16,28.81,28.84,21.114741393499997,5500,0.0,1.0
2000-05-22,28.81,28.81,28.38,28.52,20.8804585486,47300,0.0,1.0
2000-05-23,28.56,28.66,28.28,28.28,20.704746415,6600,0.0,1.0
2000-05-24,28.81,28.81,28.08,28.47,20.843851854100002,7800,0.0,1.0
2000-05-25,28.5,28.69,28.25,28.25,20.6827823983,112100,0.0,1.0
2000-05-26,28.5,28.5,27.97,28.03,20.5217129424,139600,0.0,1.0
2000-05-30,28.28,29.25,28.28,29.19,21.3709882551,52200,0.0,1.0
2000-05-31,29.25,29.5,29.13,29.5,21.597949761,41100,0.0,1.0
2000-06-01,29.56,29.66,29.25,29.31,21.4588443219,19300,0.0,1.0
2000-06-02,29.84,30.25,29.81,30.03,21.9859807228,26900,0.0,1.0
2000-06-05,30.16,30.2,29.88,29.94,21.9200886727,8100,0.0,1.0
2000-06-06,29.88,29.97,29.59,29.69,21.7370552002,22800,0.0,1.0
2000-06-07,29.59,29.81,29.41,29.61,21.678484488899997,9400,0.0,1.0
2000-06-08,29.75,29.75,29.38,29.38,21.510093694200002,9500,0.0,1.0
2000-06-09,29.59,29.97,29.59,29.81,21.824911266999997,14300,0.0,1.0
2000-06-12,29.75,29.75,29.38,29.53,21.6199137777,17200,0.0,1.0
2000-06-13,29.28,29.41,29.13,29.13,21.3270602216,4100,0.0,1.0
2000-06-14,29.69,29.84,29.47,29.63,21.693127166700002,10100,0.0,1.0
2000-06-15,30.0,30.47,30.0,30.47,22.3081196345,57000,0.0,1.0
2000-06-16,30.31,30.5,30.06,30.13,22.059194111799997,1318500,0.0,1.0
2000-06-19,30.31,30.41,30.16,30.31,22.1909782121,21100,0.0,1.0
2000-06-20,30.06,30.38,29.94,30.27,22.1616928565,5300,0.0,1.0
2000-06-21,30.03,30.25,30.0,30.13,22.059194111799997,134600,0.0,1.0
2000-06-22,30.0,30.22,30.0,30.06,22.007944739499997,25200,0.0,1.0
2000-06-23,30.06,30.06,29.31,29.5,21.597949761,2900,0.0,1.0
2000-06-26,29.5,29.5,29.13,29.22,21.392952271800002,6600,0.0,1.0
2000-06-27,29.16,29.38,29.06,29.16,21.3490242383,59200,0.0,1.0
2000-06-28,29.34,29.48,29.03,29.03,21.2538468326,42100,0.0,1.0
2000-06-29,29.0,29.47,28.91,29.47,21.5759857443,31900,0.0,1.0
2000-06-30,29.38,29.56,29.33,29.56,21.6418777944,16600,0.0,1.0
2000-07-03,29.25,29.5,29.25,29.5,21.597949761,2400,0.0,1.0
2000-07-05,29.56,29.78,29.41,29.69,21.7370552002,83100,0.0,1.0
2000-07-06,29.72,29.84,29.41,29.63,21.693127166700002,12400,0.0,1.0
2000-07-07,29.5,29.91,29.5,29.88,21.876160639299997,14400,0.0,1.0
2000-07-10,29.84,29.84,29.41,29.63,21.693127166700002,23200,0.0,1.0
2000-07-11,29.28,29.5,29.22,29.3,21.451522983,6400,0.0,1.0
2000-07-12,29.73,30.0,29.56,29.84,21.846875283699998,98400,0.0,1.0
2000-07-13,29.66,30.06,29.66,29.94,21.9200886727,5600,0.0,1.0
2000-07-14,30.16,30.41,29.97,30.41,22.264191601100002,4000,0.0,1.0
2000-07-17,30.44,30.44,30.0,30.03,21.9859807228,26200,0.0,1.0
2000-07-18,29.78,29.91,29.55,29.56,21.6418777944,56600,0.0,1.0
2000-07-19,29.69,29.97,29.63,29.75,21.7809832336,7600,0.0,1.0
2000-07-20,29.91,30.28,29.91,30.22,22.125086162,2000,0.0,1.0
