date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,28.5,28.63,28.19,28.19,21.688287835700002,12700,0.0,1.0
1999-11-02,28.05,28.55,27.98,27.98,21.526722016399997,3300,0.0,1.0
1999-11-03,28.06,28.09,27.75,27.75,21.349768976300002,3100,0.0,1.0
1999-11-04,27.94,28.13,27.94,28.09,21.6113517313,18600,0.0,1.0
1999-11-05,28.36,28.5,28.2,28.28,21.757530329699996,7000,0.0,1.0
1999-11-08,28.22,28.38,28.19,28.19,21.688287835700002,2500,0.0,1.0
1999-11-09,28.06,28.06,27.78,27.89,21.4574795224,11900,0.0,1.0
1999-11-10,28.08,28.2,28.0,28.0,21.5421092373,7500,0.0,1.0
1999-11-11,28.06,28.22,28.03,28.06,21.588270899999998,5700,0.0,1.0
1999-11-12,28.56,28.72,28.22,28.72,22.096049189099997,7900,0.0,1.0
1999-11-15,28.47,29.03,28.47,28.77,22.134517241300003,6200,0.0,1.0
1999-11-16,28.88,29.13,28.69,28.89,22.2268405666,5100,0.0,1.0
1999-11-17,28.97,29.09,28.63,28.64,22.034500305599998,13500,0.0,1.0
1999-11-18,28.83,28.83,28.61,28.77,22.134517241300003,2200,0.0,1.0
1999-11-19,28.67,28.72,28.45,28.5,21.926789759400002,14700,0.0,1.0
1999-11-22,28.13,28.22,28.09,28.17,21.6729006148,2100,0.0,1.0
1999-11-23,28.09,28.13,27.89,28.06,21.588270899999998,10100,0.0,1.0
1999-11-24,28.0,28.28,27.95,28.22,21.711368667,4200,0.0,1.0
1999-11-26,28.22,28.56,28.22,28.56,21.972951421999998,6700,0.0,1.0
1999-11-29,28.47,28.88,28.47,28.81,22.165291683099998,8900,0.0,1.0
1999-11-30,28.86,28.97,28.41,28.41,21.8575472654,6900,0.0,1.0
1999-12-01,28.75,28.86,28.67,28.75,22.1191300204,8800,0.0,1.0
1999-12-02,28.63,28.63,28.39,28.63,22.026806695100003,157100,0.0,1.0
1999-12-03,28.89,29.19,28.88,28.95,22.273002229299998,8800,0.0,1.0
1999-12-06,28.97,29.22,28.75,29.0,22.3114702815,11900,0.0,1.0
1999-12-07,28.78,28.91,28.52,28.52,21.9421769803,6400,0.0,1.0
1999-12-08,28.44,28.69,28.25,28.36,21.819079213200002,11000,0.0,1.0
1999-12-09,29.23,29.23,28.22,28.31,21.780611161,18200,0.0,1.0
1999-12-10,28.94,29.09,28.91,29.09,22.3807127755,16100,0.0,1.0
1999-12-13,29.38,29.97,29.38,29.97,23.0577504944,4400,0.0,1.0
1999-12-14,29.91,30.0,29.56,29.58,22.7576996871,20900,0.0,1.0
