date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-06-22,44.47,45.32,44.47,45.07,36.5704363618,14000,0.0,1.0
2006-06-23,46.19,46.25,45.97,45.99,37.3169373924,17700,0.0,1.0
2006-06-26,46.48,46.48,46.05,46.31,37.5765899249,4700,0.0,1.0
2006-06-27,46.51,47.06,45.97,45.97,37.3007091092,11900,0.0,1.0
2006-06-28,46.09,46.34,45.81,46.34,37.6009323498,20900,0.0,1.0
2006-06-29,46.18,49.29,46.18,49.29,39.9946041329,125100,0.0,1.0
2006-06-30,49.7,49.85,49.0,49.48,40.1487728241,42500,0.0,1.0
2006-07-03,50.37,50.85,50.37,50.83,41.2441819452,9700,0.0,1.0
2006-07-05,50.08,50.34,49.34,50.0,40.5707081892,16100,0.0,1.0
2006-07-06,50.2,50.79,49.97,50.05,40.6112788974,18200,0.0,1.0
2006-07-07,49.85,50.18,49.2,49.36,40.0514031244,23100,0.0,1.0
2006-07-10,49.34,49.37,48.74,49.08,39.8242071585,11000,0.0,1.0
2006-07-11,49.04,49.06,48.34,49.06,39.8079788753,82600,0.0,1.0
2006-07-12,49.6,49.92,48.76,48.76,39.5645546261,23700,0.0,1.0
2006-07-13,47.83,47.9,46.58,46.63,37.8362424573,67700,0.0,1.0
2006-07-14,46.74,46.74,45.6,46.03,37.349393959,94100,0.0,1.0
2006-07-17,46.29,46.29,45.0,45.19,36.6678060614,111000,0.0,1.0
2006-07-18,45.9,45.92,44.52,45.16,36.6434636365,84800,0.0,1.0
2006-07-19,45.67,47.49,45.67,47.2,38.2987485306,6700,0.0,1.0
2006-07-20,47.09,47.09,44.76,44.76,36.318897971,143900,0.0,1.0
2006-07-21,44.7,44.7,42.94,42.99,34.8826949011,12600,0.0,1.0
2006-07-24,43.32,43.87,42.68,43.58,35.3614292577,15800,0.0,1.0
2006-07-25,44.26,45.34,44.0199,45.34,36.789518186,20900,0.0,1.0
2006-07-26,43.98,44.81,43.55,44.81,36.3594686792,28100,0.0,1.0
2006-07-27,45.35,45.39,44.0,44.08,35.7671363396,8700,0.0,1.0
2006-07-28,44.08,44.08,44.08,44.08,35.7671363396,0,0.0,1.0
2006-07-31,44.95,46.25,44.9,45.91,37.2520242593,11300,0.0,1.0
2006-08-01,44.91,45.36,44.91,45.36,36.8057464693,19800,0.0,1.0
2006-08-02,45.96,47.04,45.96,46.38,37.6333889163,14200,0.0,1.0
2006-08-03,46.23,46.48,46.01,46.48,37.7145303327,7100,0.0,1.0
2006-08-04,47.0,47.15,45.25,45.3,36.7570616194,53900,0.0,1.0
2006-08-07,45.8,46.17,45.61,45.92,37.260138401,5500,0.0,1.0
2006-08-08,45.9,45.9,44.73,44.87,36.408153529,5900,0.0,1.0
2006-08-09,44.35,45.64,44.35,44.84,36.3838111041,56000,0.0,1.0
2006-08-10,44.37,44.6001,44.07,44.43,36.0511312969,8600,0.0,1.0
2006-08-11,44.37,44.44,43.5301,43.54,35.3289726912,3600,0.0,1.0
2006-08-14,43.3,43.58,42.82,42.82,34.7447544932,44000,0.0,1.0
2006-08-15,43.3,44.14,43.18,43.98,35.6859949232,5400,0.0,1.0
2006-08-16,44.78,45.45,44.78,45.38,36.8219747525,3500,0.0,1.0
2006-08-17,45.3,45.3899,44.46,44.66,36.2377565546,12200,0.0,1.0
2006-08-18,45.17,45.17,44.5201,45.1,36.5947787867,1700,0.0,1.0
