date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-06-22,137.6,138.2,136.44,137.92,117.666615997,47800,0.0,1.0
2006-06-23,144.4,146.0,144.4,145.56,124.184691303,2900,0.0,1.0
2006-06-26,145.56,145.56,145.56,145.56,124.184691303,0,0.0,1.0
2006-06-27,149.0,149.0,147.52,147.88,126.164002129,12900,0.0,1.0
2006-06-28,148.16,149.84,148.16,149.84,127.836178517,35900,0.0,1.0
2006-06-29,151.48,153.96,151.48,153.96,131.351161535,19300,0.0,1.0
2006-06-30,155.16,156.28,153.72,155.96,133.057463972,53600,0.0,1.0
2006-07-03,157.0,158.24,156.68,157.92,134.729640359,7700,0.0,1.0
2006-07-05,157.8,157.8,154.88,157.0,133.944741238,15400,0.0,1.0
2006-07-06,156.72,157.52,155.56,155.6,132.750329533,27400,0.0,1.0
2006-07-07,158.0,158.0,153.8,154.08,131.453539682,17400,0.0,1.0
2006-07-10,153.52,154.84,153.08,153.84,131.248783389,72300,0.0,1.0
2006-07-11,154.36,155.76,153.88,155.76,132.886833728,129100,0.0,1.0
2006-07-12,154.92,155.8,154.04,154.72,131.999556461,102800,0.0,1.0
2006-07-13,152.36,152.88,152.1676,152.36,129.986119586,2200,0.0,1.0
2006-07-14,153.04,153.16,150.28,152.2,129.849615392,54200,0.0,1.0
2006-07-17,152.52,152.52,148.2,148.2,126.437010519,19900,0.0,1.0
2006-07-18,150.84,150.84,147.52,149.72,127.733800371,28000,0.0,1.0
2006-07-19,150.16,150.9672,149.28,150.0,127.972682712,12300,0.0,1.0
2006-07-20,150.6,150.96,149.08,149.08,127.187783591,34500,0.0,1.0
2006-07-21,146.88,146.88,145.24,145.48,124.116439206,10700,0.0,1.0
2006-07-24,150.52,151.08,149.76,151.08,128.894086027,30400,0.0,1.0
2006-07-25,152.76,152.8,152.6,152.6,130.190875879,6600,0.0,1.0
2006-07-26,154.08,159.4,154.0,158.56,135.275657139,9300,0.0,1.0
2006-07-27,159.0,159.28,155.2,155.2,132.409069046,8400,0.0,1.0
2006-07-28,156.56,157.0,156.4,157.0,133.944741238,11000,0.0,1.0
2006-07-31,159.8,159.8,158.76,159.4,135.992304162,5800,0.0,1.0
2006-08-01,161.0,161.72,159.32,161.72,137.971614988,7600,0.0,1.0
