date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-06-22,18.53,18.57,18.46,18.56,15.4358442695,5100,0.0,1.0
2006-06-23,18.645,18.645,18.645,18.645,15.5065364442,25000,0.0,1.0
2006-06-26,18.645,18.645,18.645,18.645,15.5065364442,0,0.0,1.0
2006-06-27,18.35,18.39,18.29,18.295,15.2154510189,71000,0.0,1.0
2006-06-28,18.35,18.35,18.18,18.29,15.2112926556,41500,0.0,1.0
2006-06-29,18.46,18.755,18.34,18.755,15.598020435,139000,0.0,1.0
2006-06-30,18.855,18.855,18.775,18.81,15.6437624304,379100,0.0,1.0
2006-07-03,18.81,18.81,18.81,18.81,15.6437624304,0,0.0,1.0
2006-07-05,18.655,18.655,18.42,18.57,15.4441609959,117000,0.0,1.0
2006-07-06,18.59,18.675,18.555,18.675,15.5314866235,85200,0.0,1.0
2006-07-07,18.53,18.65,18.49,18.53,15.4108940902,127000,0.0,1.0
2006-07-10,18.655,18.78,18.585,18.65,15.5106948074,348600,0.0,1.0
2006-07-11,18.5,18.655,18.38,18.65,15.5106948074,96500,0.0,1.0
2006-07-12,18.58,18.58,18.2,18.215,15.1489172073,125000,0.0,1.0
2006-07-13,18.035,18.11,17.895,17.95,14.9285239567,281100,0.0,1.0
2006-07-14,17.875,17.875,17.605,17.695,14.7164474326,132400,0.0,1.0
2006-07-17,17.73,17.88,17.7,17.76,14.7705061544,56300,0.0,1.0
2006-07-18,17.74,17.74,17.29,17.505,14.5584296302,199600,0.0,1.0
2006-07-19,17.64,17.975,17.64,17.925,14.9077321406,147400,0.0,1.0
2006-07-20,17.99,17.995,17.7,17.7,14.7206057958,254600,0.0,1.0
2006-07-21,17.565,17.575,17.425,17.475,14.5334794509,165300,0.0,1.0
2006-07-24,17.705,17.89,17.675,17.865,14.857831782,130900,0.0,1.0
2006-07-25,18.005,18.095,17.805,18.035,14.9992161315,634100,0.0,1.0
2006-07-26,17.84,17.845,17.675,17.675,14.6998139797,239900,0.0,1.0
